input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_wildcard_certificate,cdn_name,cdn,tls_expired,tls_subject_org_,tls_mismatched,final_url,csp_domains_,location,tls_self_signed
*.doubleclick.net,Enterprise Advertising & Analytics Solutions - Google Marketing Platform,200,128632,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:16:09Z,2023-09-11T08:16:08Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,77fce969f6da9c23b46a4179eeece1a8,cd9aec87aa4ae96416bd900a0b81fba5a0f3f8e3b5fd4b2ea159059797f70790,ctls,marketingplatform.google.com,443,https://doubleclick.net:443,https,sffe,text/html,GET,142.250.185.206,/,708578229,2a00:1450:4001:812::200e,HTTP/3,2177,False,True,,,,,,https://marketingplatform.google.com/about/enterprise/,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,,
*.googleapis.com,Error 404 (Not Found)!!1,404,1561,googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:20:17Z,2023-09-11T08:20:16Z,CN=*.googleapis.com,*.googleapis.com,*.clients6.google.ws,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,47b5590e5460fccfe62735a45d11c93c,673ef6b84c916d86e91e11870d377226a39b50290fae7bfc19fb8cffadf502db,ctls,googleapis.com,443,https://googleapis.com:443,https,,text/html,GET,142.250.186.164,/,302920777,2a00:1450:4001:82b::2004,HTTP/3,12,False,True,,,,,,,,,
555.comcast.com,Platform · Secure WebRTC and Messaging,200,8234,www.555.comcast.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-02-28T23:59:59Z,"CN=*.555.comcast.com, O=Comcast Corporation, ST=Pennsylvania, C=US",*.555.comcast.com,*.555.comcast.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,a6879b62a98fd9456bad18e420b44278,5f19b9fad0568bcfd41615939aa68f5c204625f3578ae7ce67391ddfe6dfabab,ctls,www.555.comcast.com,80,http://555.comcast.com:80,http,,text/html,GET,96.99.227.255,/,-1731813108,96.99.227.255,webpack,1,False,True,,,,Comcast Corporation,,https://www.555.comcast.com,,,
ac-gateway.api-business.comcast.com,,403,23,ac-gateway.api-business.comcast.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-10-14T23:59:59Z,CN=ac-gateway.api-business.comcast.com,ac-gateway.api-business.comcast.com,*.va.ac-gateway.api-business.comcast.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,2eaa5316fb313d6dccbcbdae5332d6a8,4ae635b0dea99fbc4262029be852c772bde949507f87544ecaccb0576c092caa,ctls,ac-gateway.api-business.comcast.com,443,https://ac-gateway.api-business.comcast.com:443,https,,application/json,GET,108.138.7.83,/,968070783,108.138.7.119,Amazon Web Services,1,False,True,cloudfront,True,,,,,,,
ac-gateway.np.api-business.comcast.com,,403,23,ac-gateway.np.api-business.comcast.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-09-29T23:59:59Z,CN=ac-gateway.np.api-business.comcast.com,ac-gateway.np.api-business.comcast.com,*.va.ac-gateway.np.api-business.comcast.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,724eed230f84de7174c63b492b09e0f8,ec6d4bac8e1e064473494aa2c53fbfadaa8f469dcdaf703bc4508ec743388a5d,ctls,ac-gateway.np.api-business.comcast.com,443,https://ac-gateway.np.api-business.comcast.com:443,https,,application/json,GET,18.66.122.110,/,968070783,18.66.122.23,Amazon Web Services,1,False,True,cloudfront,True,,,,,,,
accessibility.comcast.com,Sign in to your account,200,39676,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,ctls,login.microsoftonline.com,443,https://accessibility.comcast.com:443,https,,text/html,GET,23.185.0.1,/,1148574620,2620:12a:8001::1,HSTS,95,False,,,,,Microsoft Corporation,,https://login.microsoftonline.com/906aefe9-76a7-4f65-b82d-5ec20775d5aa/saml2?SAMLRequest=jZLBbtswEETvBfoPAu%2B0JLqSLMJy4MYIaiBtjdjpoZeCplYOAWqpcqmk%2BfvKUg2kh6TlheByB3wzy%2BXVr9ZGj%2BDJOKxYOktYBKhdbfBUsfvDDV%2Bwq9WSVGs7ue7DA97Bzx4oRIMOSY4XFes9SqfIkETVAsmg5X79%2BVaKWSI774LTzrJJ8nazIgIfBhYWbTcV%2B1GUeZnqptS6AHEUSilRpPM8VflclaqBMssWWZ0mjWbRt4sLcXaxJephixQUhqGUiDlPCp6mh0RIsZBZ9p1Fuz9oHw1Oht9CO05NJD8dDju%2B%2B7o%2FsGh9wb12SH0Lfg%2F%2B0Wi4v7ut2EMIHck4VloDkTkaa8LzTLtWKwrnPWbRZojSoAoj90Vg3cngrDXaO3JNcGgNwigok1zB4JoXuSr4hybP%2BHEhap6BFklRZHWmVHyeiWDT0OQYg38xrf%2FNf%2FVv%2FKeOa4cBMMSd7QdmiluDxnmFJ%2BDnx7hIOA2h2eFoTsgdxsv4BdflZ30ZQLabnbNGP0dra93TtQcVoGLB98CiG%2BdbFV5HT2fpWDE1b8ZW2SN1oE1joGbv30WvrHg14fz9t1e%2FAQ%3D%3D&RelayState=%2F,,,
account-details-content-dev.np.digital.business.comcast.com,,200,14,account-details-content-dev.np.digital.business.comcast.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-08T00:00:00Z,2024-03-08T23:59:59Z,CN=account-details-content-dev.np.digital.business.comcast.com,account-details-content-dev.np.digital.business.comcast.com,*.account-details-content-dev.np.digital.business.comcast.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8a5b8c3515e51772ce50d51589f03cfc,8995936ff22b1331550141ab9a7845b9cd31468244a080bd0922416c4a009e51,ctls,account-details-content-dev.np.digital.business.comcast.com,443,https://account-details-content-dev.np.digital.business.comcast.com:443,https,AmazonS3,text/html,GET,13.32.121.87,/,-1341942583,13.32.121.68,Amazon Web Services,1,False,True,cloudfront,True,,,,,,,
account-details-content-pqa.np.digital.business.comcast.com,,200,14,account-details-content-pqa.np.digital.business.comcast.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-08T00:00:00Z,2024-03-08T23:59:59Z,CN=account-details-content-pqa.np.digital.business.comcast.com,account-details-content-pqa.np.digital.business.comcast.com,*.va.account-details-content-pqa.np.digital.business.comcast.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,cee9164ae69e3626cd9b42d152f5ada3,8cbac01f49330047af680fe5254d65aee16ada97e34712ebc39355157dac423c,ctls,account-details-content-pqa.np.digital.business.comcast.com,443,https://account-details-content-pqa.np.digital.business.comcast.com:443,https,AmazonS3,text/html,GET,143.204.215.18,/,-1341942583,143.204.215.17,Amazon Web Services,1,False,True,cloudfront,True,,,,,,,
account-details-content-qa.np.digital.business.comcast.com,,200,14,account-details-content-qa.np.digital.business.comcast.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-08T00:00:00Z,2024-03-08T23:59:59Z,CN=account-details-content-qa.np.digital.business.comcast.com,account-details-content-qa.np.digital.business.comcast.com,*.account-details-content-qa.np.digital.business.comcast.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f801e59e47e837c4abd81b538c7b44d4,7e7c6ecb41e007605ec1a2e551dcebeb2055bdea436179c782135d5ba5e89e54,ctls,account-details-content-qa.np.digital.business.comcast.com,443,https://account-details-content-qa.np.digital.business.comcast.com:443,https,AmazonS3,text/html,GET,18.66.112.27,/,-1341942583,18.66.112.58,Amazon Web Services,1,False,True,cloudfront,True,,,,,,,
account-details-ui-dev.np.digital.business.comcast.com,Account Details,200,1587,account-details-ui-dev.np.digital.business.comcast.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=account-details-ui-dev.np.digital.business.comcast.com,account-details-ui-dev.np.digital.business.comcast.com,*.or.account-details-ui-dev.np.digital.business.comcast.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4b509d624e061948c00555cd383912e2,2f787fad25b3a1face28fe6034c99c7a5d98cb8e5aaf5bc1e181e8c11e772ca2,ctls,account-details-ui-dev.np.digital.business.comcast.com,443,https://account-details-ui-dev.np.digital.business.comcast.com:443,https,AmazonS3,text/html,GET,18.66.112.84,/,1604758859,18.66.112.48,Amazon Web Services,3,False,True,cloudfront,True,,,,,,,
