new,host,a,soa,status_code,caa,cname,mx,ns,txt,aaaa,cdn,cdn-name,has_internal_ips,internal_ips
,asbestos.la.sidefx.com,,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,entrust.net,,,,,,,,,
,aws.sidefx.com,35.182.173.59,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,builder.sidefx.com,192.168.234.192,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,True,192.168.234.192
,calendar.sidefx.com,192.178.25.179,"ns1.google.com, dns-admin.google.com",NOERROR,,ghs.googlehosted.com,,,,2a00:1450:401b:814::2013,,,,
,cert.sidefx.com,192.168.234.7,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,True,192.168.234.7
,doris.la.sidefx.com,,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,entrust.net,,,,,,,,,
,download.sidefx.com,206.223.178.168,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,email.mg.sidefx.com,"34.102.239.211, 205.251.192.133, 205.251.194.74, 205.251.197.202, 205.251.198.78","ns-586.awsdns-09.net, awsdns-hostmaster.amazon.com",NOERROR,";, digicert.com, letsencrypt.org",mailgun.org,"mxb.mailgun.org, mxa.mailgun.org","ns-1614.awsdns-09.co.uk, ns-1482.awsdns-57.org, ns-133.awsdns-16.com, ns-586.awsdns-09.net","google-site-verification=FIGVOKZm6lQFDBJaiC2DdwvBy8TInunoGCt-1gnL4PA, 8f7088gv5932jxw9lwwd1b6ttx2pw2ds, v=spf1 include:_spf.mailgun.org include:_spf.eu.mailgun.org -all",,True,google,,
,file.sidefx.com,192.168.234.65,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,True,192.168.234.65
,florida.sidefx.com,,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,entrust.net,,,,,,,,,
,ftp.sidefx.com,206.223.178.164,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,gallery.sidefx.com,206.223.178.164,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,ftp.sidefx.com,,,,,,,,
,games.sidefx.com,,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,entrust.net,archive.sidefx.com,,,,,,,,
,gate.la.sidefx.com,,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,entrust.net,,,,,,,,,
,gmail.sidefx.com,142.250.185.243,"ns1.google.com, dns-admin.google.com",NOERROR,,ghs.googlehosted.com,,,,2a00:1450:4001:801::2013,,,,
,hamster.la.sidefx.com,,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,entrust.net,,,,,,,,,
