input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,csp_domains_,webserver,final_url,tls_mismatched,cdn_name,cdn,tls_expired,tls_self_signed,location
4gsim.att.com,AT&T Global Logon - Error,200,25699,vh.e-access.att.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-16T00:00:00Z,2024-03-15T23:59:59Z,"CN=*.e-access.att.com, O=AT&T Services\, Inc., L=Dallas, ST=Texas, C=US",*.e-access.att.com,"AT&T Services, Inc.",*.e-access.att.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,08e5d0e50a11bee83ef691e14d117abc,4e49e02d230d34846a209e0ed3733a977fee350dcfd46b3952a4b82522e738b0,True,ctls,vh.e-access.att.com,443,https://4gsim.att.com:443,https,text/html,GET,144.160.125.126,/,709943645,2001:1890:1c00:3411::4:1005,Java,412,False,,,https://vh.e-access.att.com/lrr/attLRR/LrrController?TAM_OP=error&USERNAME=&ERROR_CODE=0x38cf0424&ERROR_TEXT=Bad%20Request&METHOD=GET&URL=%2F&HOSTNAME=vh.e-access.att.com&AUTHNLEVEL=&FAILREASON=&PROTOCOL=https&OLDSESSION=&EXPIRE_SECS=0,,,,,,
5gcentral.att.com,ATT Login Redirect,200,2429,saml.e-access.att.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=saml.e-access.att.com, O=AT&T Services\, Inc., L=Dallas, ST=Texas, C=US",saml.e-access.att.com,"AT&T Services, Inc.",saml.e-access.att.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,11391cc56839760035d38bceec3a4694,999b64f482d50ccb1e1a28bf46b5ba7fd09cad418879e76aa21fb6bf5d16dbf4,,ctls,saml.e-access.att.com,443,https://5gcentral.att.com:443,https,text/html,GET,23.192.153.80,/,-1840324437,2a02:26f0:480:986::2db1,HSTS,81,False,,,https://saml.e-access.att.com/isam/sps/ATTIDP_Lighthouse/saml20/login?SAMLRequest=fVLLbtswELz7KwLdJUqyHTeEbUCN%2BzDg2kas9tCLQdMriwBFstxV0v59KSlNmgDJHoc7szMDzlE02vGipdrcwa8WkEZXYX432iDvHxdR6w23AhVyIxpATpIfim8bnicpd96SlVZHr2jvswQieFLWDLT1ahHttp82uy%2Fr7bES4lrAZFxNoBJyeoLpLIfxSXzI0kl2nVUin86q7OY0UH%2BAx6CziIJsNBrUEFtYGyRhKOBpPo7TWZxlZTrl44znNz8H6iqEVUZQT6%2BJHHLGOu8JxEJKQEwEUSJtw1SAGTpkRVmuV%2FvjRl1qqm2L0BPylGl7UY9p9o%2BVfFTmrMzl%2FSZOwxLyr2W5j%2Fe7QzmIFP8aurUG2wb8Afy9kvD9bvNsdnqRYMgL%2FWT0wcXSGgooc7oNlpBZA725uHMaI1omNIHvgt%2FDUUhMXO2iZX913u3wvkC%2FfPPKnP2%2F9kx0fBvyhX6sVvJPj3fz2fpG0Ns1ZEnWI%2BocV%2F0qbw06kKpScI6eZAqt7cOtB0GwiMi3EF2x5Wg0mHn5hZd%2FAQ%3D%3D&RelayState=%2F,,,,,,
911standalone.uc.att.com,New  Session - AT&T Advance E-911 Standalone,200,7016,911standalone.uc.att.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-07T00:00:00Z,2024-07-09T23:59:59Z,"CN=911standalone.uc.att.com, O=AT&T Services\, Inc., L=Dallas, ST=Texas, C=US",911standalone.uc.att.com,"AT&T Services, Inc.",911standalone.uc.att.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,b54f1bfdd573fd7433966d1e2fafdd9f,5715b832991f75cade5706d68a18004a346cc9d31e5e7b8c252bad2f7cb76bb3,,ctls,911standalone.uc.att.com,443,https://911standalone.uc.att.com:443,https,text/html,GET,52.200.200.94,/,1178321982,52.200.200.94,Ruby on Rails,22,False,https://*.googleapis.com,Apache,https://911standalone.uc.att.com/users/sign_in,,,,,,
aaapidmenurequestodadev.att.com,Error 404 Not Found,200,5046,aaapidmenurequestodadev.att.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-07T00:00:00Z,2023-12-06T23:59:59Z,"CN=*.att.com, O=AT&T Services\, Inc., L=Southfield, ST=Michigan, C=US",*.att.com,"AT&T Services, Inc.",*.att.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,09faf77a6dd3000c8f43530bb2c894e6,d67fce4293ea74dd47ec39b2ea28f71a6013c17f8b8f7ecf32a650c3beade36d,True,ctls,aaapidmenurequestodadev.att.com,443,https://aaapidmenurequestodadev.att.com:443,https,text/html,GET,72.246.169.113,/,-227099035,2a02:26f0:1700:38e::2db1,HSTS,14,False,,,,,,,,,
aaapidmenurequestodaprod.att.com,Error 404 Not Found,200,5049,aaapidmenurequestodaprod.att.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-07T00:00:00Z,2023-12-06T23:59:59Z,"CN=*.att.com, O=AT&T Services\, Inc., L=Southfield, ST=Michigan, C=US",*.att.com,"AT&T Services, Inc.",*.att.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,09faf77a6dd3000c8f43530bb2c894e6,d67fce4293ea74dd47ec39b2ea28f71a6013c17f8b8f7ecf32a650c3beade36d,True,ctls,aaapidmenurequestodaprod.att.com,443,https://aaapidmenurequestodaprod.att.com:443,https,text/html,GET,104.111.217.97,/,1374019543,2a02:26f0:1700:38e::2db1,HSTS,14,False,,,,,,,,,
aaapionlyrequestodadev.att.com,Error 404 Not Found,200,5050,aaapionlyrequestodadev.att.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-07T00:00:00Z,2023-12-06T23:59:59Z,"CN=*.att.com, O=AT&T Services\, Inc., L=Southfield, ST=Michigan, C=US",*.att.com,"AT&T Services, Inc.",*.att.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,09faf77a6dd3000c8f43530bb2c894e6,d67fce4293ea74dd47ec39b2ea28f71a6013c17f8b8f7ecf32a650c3beade36d,True,ctls,aaapionlyrequestodadev.att.com,443,https://aaapionlyrequestodadev.att.com:443,https,text/html,GET,2.23.197.91,/,-227099035,2a02:26f0:480:991::2db1,HSTS,14,False,,,,,,,,,
aaapirequestodaprod.att.com,Error 404 Not Found,200,5047,aaapirequestodaprod.att.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-07T00:00:00Z,2023-12-06T23:59:59Z,"CN=*.att.com, O=AT&T Services\, Inc., L=Southfield, ST=Michigan, C=US",*.att.com,"AT&T Services, Inc.",*.att.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,09faf77a6dd3000c8f43530bb2c894e6,d67fce4293ea74dd47ec39b2ea28f71a6013c17f8b8f7ecf32a650c3beade36d,True,ctls,aaapirequestodaprod.att.com,443,https://aaapirequestodaprod.att.com:443,https,text/html,GET,104.76.201.120,/,-227099035,2a02:26f0:480:986::2db1,HSTS,14,False,,,,,,,,,
abbottmeeting.att.com,,200,82,abbottmeeting.att.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2024-03-21T23:59:59Z,"CN=abbottmeeting.att.com, O=AT&T Services\, Inc., L=Dallas, ST=Texas, C=US",abbottmeeting.att.com,"AT&T Services, Inc.",abbottmeeting.att.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,7224222edc1392557d0f3229d0bfcbd4,e71825fb33bb0570745b36246984a931c75e10973ad0a21a109308a92ef2d8f6,,ctls,abbottmeeting.att.com,443,https://abbottmeeting.att.com:443,https,text/html,GET,12.130.54.89,/,1631801191,12.130.54.89,Windows Server,1,False,URL='https://abbottmeeting.att.com/tms',Microsoft-IIS/8.5,,,,,,,
about.att.com,"AT&T News, Wireless and Network Information | AT&T Newsroom",200,30335,about.att.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-07T00:00:00Z,2023-12-06T23:59:59Z,"CN=*.att.com, O=AT&T Services\, Inc., L=Southfield, ST=Michigan, C=US",*.att.com,"AT&T Services, Inc.",*.att.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,09faf77a6dd3000c8f43530bb2c894e6,d67fce4293ea74dd47ec39b2ea28f71a6013c17f8b8f7ecf32a650c3beade36d,True,ctls,about.att.com,443,https://about.att.com:443,https,text/html,GET,104.111.217.97,/,1147070331,2a02:26f0:1700:394::2db1,HSTS,967,False,,,,,,,,,
abws.att.com,,404,48,abws.att.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-16T00:00:00Z,2023-11-15T23:59:59Z,"CN=abws.att.com, O=AT&T Services\, Inc., L=Dallas, ST=Texas, C=US",abws.att.com,"AT&T Services, Inc.",abws.att.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,48f1317ea02eeb71f7cef47b00b17943,3ed966f604e01a7f75bd4e0453566b01192ac61e4fe33257fbb45843f054b5b1,,ctls,abws.att.com,443,https://abws.att.com:443,https,application/json,GET,144.160.117.82,/,834205737,144.160.117.82,,1,False,,,,,,,,,
