new,host,a,soa,status_code,cdn,cdn-name,cname,ns,aaaa,has_internal_ips,internal_ips,caa,mx,txt
[x],00a5412d-0fd4-4dd3-bcc7-ede346432917.unifi-hosting.ui.com,,,NOERROR,,,,,,,,,,
[x],02ce2d84-6ebe-40d3-890b-f4daa7d4b9b9.unifi-hosting.ui.com,167.99.56.24,"ns-1508.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],03f7ab7f-8de9-4a4f-acde-2a5693671282.unifi-hosting.ui.com,45.55.65.8,"ns-1508.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],057b56bb-8055-4e86-af04-f1c665b23994.unifi-hosting.ui.com,161.35.140.179,"ns-1508.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],058c96fa-6386-48f8-bc7d-a5204e5a1eec.unifi-hosting.ui.com,143.198.131.168,"ns-1508.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],068b7e42-464c-47d5-9e1d-a77b62ee10f7.unifi-hosting.ui.com,64.227.97.16,"ns-1508.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],07b7d31c-060f-47ce-b215-0362deeb7818.unifi-hosting.ui.com,157.245.8.239,"ns-1508.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],0a04ca54-bbd5-477d-9d17-163f554630d6.unifi-hosting.ui.com,,"ns-1508.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],0a251c34-14cd-4018-8ac4-1fc874524ebb.unifi-hosting.stg.ui.com,206.189.143.84,"ns-493.awsdns-61.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],0a6053ce-cea6-4a92-b135-0b89ecd8f6ea.unifi-hosting.ui.com,167.99.120.152,"ns-1508.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],0a7ae198-50ed-4ba0-a09d-db56bce0f322.unifi-hosting.stg.ui.com,138.197.159.124,"ns-493.awsdns-61.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],0cb41923-4287-4465-b9a2-901e90eb3f0b.unifi-hosting.stg.ui.com,142.93.188.8,"ns-493.awsdns-61.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],0ffd3991-bfe1-487e-9434-de4563585dca.unifi-hosting.ui.com,157.245.8.131,"ns-1508.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],10775200-cd4f-4920-ae49-7a3c501acd1f.unifi-hosting.ui.com,24.144.100.26,"ns-1508.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],10b6df69-6414-4375-bdd6-721051c58fac.unifi-hosting.ui.com,165.22.188.160,"ns-1508.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],1287a2e2-b899-4d0d-880d-999487181732.unifi-hosting.stg.ui.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],12f2c1c2-ff1e-42df-82c3-ad3e7bab172c.unifi-hosting.stg.ui.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],1483984a-56d0-4dfd-bdf6-7701b249d15a.unifi-hosting.ui.com,,,NOERROR,,,,,,,,,,
[x],17-121-122-44.dev-go.ubnt.com,104.154.206.242,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],18fe2410-3c94-11ec-9f0c-0a58a9feac02.unifi-hosting.dev.ui.com,165.227.102.93,"ns-1982.awsdns-55.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],1a100c5d-f3d9-42e5-a4e9-f5379817be79.unifi-hosting.ui.com,,,NOERROR,,,,,,,,,,
[x],1click.ui.com,"13.32.99.53, 13.32.99.50, 13.32.99.14, 13.32.99.101","ns-1849.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],1e5eb15e-3c94-11ec-9f0c-0a58a9feac02.unifi-hosting.dev.ui.com,159.65.249.77,"ns-1982.awsdns-55.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],2052e667-4b76-46f0-988f-aef73ff73e99.unifi-hosting.ui.com,159.65.229.244,"ns-1508.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],226af24b-52ec-4a55-b804-03f03f6729a3.unifi-hosting.ui.com,,,NOERROR,,,,,,,,,,
