input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_self_signed,tls_subject_org_,csp_domains_,tls_mismatched,final_url
asia.helium.com,Something went wrong.,402,48194,asia.helium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-01T04:18:48Z,2023-09-29T04:18:47Z,CN=helium.com,helium.com,helium.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,2c432106329f2e21a303fa3765a24df6,fa396d43ac26f2f6e47dda728222d889b5e0e17e38272f2c954657e58032502e,True,ctls,asia.helium.com,,443,https://asia.helium.com:443,https,cloudflare,text/html,GET,23.227.38.74,/,-1840324437,23.227.38.74,Shopify,176,False,,,,,,
auth.helium.com,Helium – Introducing The People's Network,200,95914,www.helium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-01T04:18:48Z,2023-09-29T04:18:47Z,CN=helium.com,helium.com,helium.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,2c432106329f2e21a303fa3765a24df6,fa396d43ac26f2f6e47dda728222d889b5e0e17e38272f2c954657e58032502e,True,ctls,www.helium.com,cloudflare,443,https://auth.helium.com:443,https,cloudflare,text/html,GET,104.18.103.2,/,-738705486,2606:4700::6812:6702,webpack,12,False,True,,,,,https://www.helium.com/
blog.helium.com,The Helium Blog,200,352496,blog.helium.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-22T00:00:00Z,2023-11-22T23:59:59Z,CN=blog.helium.com,blog.helium.com,blog.helium.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,fabd77d70a0e87b4df7f6db96545f1ce,e29a308f50cd5faad0299a08120867ca901f8d6b58235cd7ebe09c558530c0e3,,ctls,blog.helium.com,,443,https://blog.helium.com:443,https,openresty,text/html,GET,52.5.181.79,/,-1485515534,52.0.16.118,PayPal,237,False,,,,https://cdn-videos-1.medium.com,,https://blog.helium.com/?gi=70022d225cf2
chat.helium.com,Official Helium Community,200,11076,discord.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-19T00:00:00Z,2023-11-19T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",26d99efd06d1fe09aac998d6e008d57d,5a3e404ce97078da5c49e10f7913703afb19e679d417ccb0e3f46c41fa901d5b,True,ctls,discord.com,cloudflare,443,https://chat.helium.com:443,https,cloudflare,text/html,GET,104.21.69.156,/,738847875,2606:4700:3034::ac43:d1a5,hCaptcha,118,False,True,,"Cloudflare, Inc.",https://discordapp.com,,https://discord.com/invite/helium
community.helium.com,Helium Community,200,153780,community.helium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-18T00:00:05Z,2023-10-16T00:00:04Z,CN=community.helium.com,community.helium.com,community.helium.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,fc86c582525c70d037c9782a237b344e,592f18e5fd49dece4c90eda2a3a3958005af8368dbb10701966f854a9c87dd73,,ctls,community.helium.com,,443,https://community.helium.com:443,https,nginx,text/html,GET,74.82.16.203,/,-1840324437,2602:fd3f:0:ff06::cb,Ruby on Rails,538,False,,,,https://global.discourse-cdn.com/standard14/brotli_asset/,,
console-prometheus.helium.com,Origin DNS error | console-prometheus.helium.com | Cloudflare,530,7020,console-prometheus.helium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-01T04:18:48Z,2023-09-29T04:18:47Z,CN=helium.com,helium.com,helium.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,2c432106329f2e21a303fa3765a24df6,fa396d43ac26f2f6e47dda728222d889b5e0e17e38272f2c954657e58032502e,True,ctls,console-prometheus.helium.com,cloudflare,443,https://console-prometheus.helium.com:443,https,cloudflare,text/html,GET,104.21.69.156,/,-1046248760,2606:4700:3034::ac43:d1a5,HTTP/3,94,False,True,,,,,
console-vip.helium.com,Helium Console,200,5030,console-vip.helium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-01T04:18:48Z,2023-09-29T04:18:47Z,CN=helium.com,helium.com,helium.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,2c432106329f2e21a303fa3765a24df6,fa396d43ac26f2f6e47dda728222d889b5e0e17e38272f2c954657e58032502e,True,ctls,console-vip.helium.com,cloudflare,443,https://console-vip.helium.com:443,https,cloudflare,text/html,GET,172.67.209.165,/,-738705486,2606:4700:3034::6815:459c,Heroku,65,False,True,,,,,
core-cms.helium.com,Application Error,503,874,core-cms.helium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-01T04:18:48Z,2023-09-29T04:18:47Z,CN=helium.com,helium.com,helium.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,2c432106329f2e21a303fa3765a24df6,fa396d43ac26f2f6e47dda728222d889b5e0e17e38272f2c954657e58032502e,True,ctls,core-cms.helium.com,cloudflare,443,https://core-cms.helium.com:443,https,cloudflare,text/html,GET,172.67.209.165,/,-1907036115,2606:4700:3034::6815:459c,HTTP/3,27,False,True,,,,,
dashboard.helium.com,Grafana,200,88793,dashboard.helium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-06T05:43:51Z,2023-10-04T05:43:50Z,CN=dashboard.helium.com,dashboard.helium.com,dashboard.helium.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8b82d93c0a737071002b4cd73f721631,95f6c4070c6058902a8e048b93979806d353d253af46ba511cf5293c25ca475c,,ctls,dashboard.helium.com,google,443,https://dashboard.helium.com:443,https,envoy,text/html,GET,34.117.214.84,/,-1427184229,34.117.214.84,HSTS,216,False,True,,,https:,,
developer.helium.com,Home | Helium Documentation,200,18634,docs.helium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-26T06:30:12Z,2023-08-24T06:30:11Z,CN=developer.helium.com,developer.helium.com,docs.helium.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7ade900d13e32e508cfacfb3effefac5,c026af3014354be8f24309cac61c589640ba6c76e2b3c68bcfdf5d162548c829,,ctls,docs.helium.com,,443,https://developer.helium.com:443,https,Netlify,text/html,GET,18.192.231.252,/,-457982244,2a05:d014:275:cb01::c8,webpack,28,False,,,,,,https://docs.helium.com/
