input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,csp_domains_,tls_expired,final_url,tls_mismatched,location
academy.bitmex.com,BitMEX | Most Advanced Crypto Trading Platform for Bitcoin & Home of the Perpetual Swap,200,680493,www.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-04-12T23:59:59Z,"CN=bitmex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitmex.com,"Cloudflare, Inc.",devhk.bitmex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a00b7023a2bb18bd9e40dd1315167807,4e64d5e7fcfa184f42648f2c182fe209d860f852a69ff91a3fbed83b2335a671,ctls,www.bitmex.com,cloudflare,443,https://academy.bitmex.com:443,https,cloudflare,text/html,GET,172.64.146.66,/,-509095234,104.18.41.190,webpack,468,False,True,True,https://bitmex15121659339916.zendesk.com,,https://www.bitmex.com,,
affiliates.bitmex.com,Just a moment...,403,7151,affiliates.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-20T00:00:00Z,2023-12-20T23:59:59Z,"CN=affiliates.bitmex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",affiliates.bitmex.com,"Cloudflare, Inc.",affiliates.bitmex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",30749edff601958dabddbcf79b7dccb2,51f544dd39c891618551583f774864cd49ea2e0d46187871fa0fdb2bf9587eb8,ctls,affiliates.bitmex.com,cloudflare,443,https://affiliates.bitmex.com:443,https,cloudflare,text/html,GET,104.18.168.94,/,543861130,104.18.169.94,HSTS,88,False,True,,,,https://affiliates.bitmex.com/login.user,,
api.analytics.bitmex.com,,404,,api.analytics.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-12T00:00:00Z,2023-09-10T23:59:59Z,"CN=bitmex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitmex.com,"Cloudflare, Inc.",bitmex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a7831858f893dce43bae6a42b2f90692,d5e1b791f9f7ab6c1a923e5fc933e0ecc76106e2b88cdf6d5917d83fd77596a9,ctls,api.analytics.bitmex.com,cloudflare,443,https://api.analytics.bitmex.com:443,https,cloudflare,text/plain,GET,172.64.146.66,/,-1840324437,104.18.41.190,HTTP/3,1,False,True,True,,,,,
auth.devhk.bitmex.com,,403,16,auth.devhk.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-18T00:00:00Z,2023-09-16T23:59:59Z,"CN=bitmex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitmex.com,"Cloudflare, Inc.",auth.devhk.bitmex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5c13f30e60b0b31fd417008f230a4298,5cd3b2f1cc39db00d41c245f725bc4d0793c3f5437628946a929f57def054190,ctls,auth.devhk.bitmex.com,cloudflare,443,https://auth.devhk.bitmex.com:443,https,cloudflare,text/plain,GET,104.18.41.190,/,1253481126,172.64.146.66,HTTP/3,1,False,True,,,,,,
bitmex.com,BitMEX | Most Advanced Crypto Trading Platform for Bitcoin & Home of the Perpetual Swap,200,680493,www.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-04-12T23:59:59Z,"CN=bitmex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitmex.com,"Cloudflare, Inc.",devhk.bitmex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a00b7023a2bb18bd9e40dd1315167807,4e64d5e7fcfa184f42648f2c182fe209d860f852a69ff91a3fbed83b2335a671,ctls,www.bitmex.com,cloudfront,443,https://bitmex.com:443,https,cloudflare,text/html,GET,13.225.78.59,/,-689373029,13.225.78.108,webpack,468,False,True,True,https://www.facebook.com,,https://www.bitmex.com:443/,,
blog.devhk.bitmex.com,,403,16,blog.devhk.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-04-12T23:59:59Z,"CN=bitmex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitmex.com,"Cloudflare, Inc.",devhk.bitmex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a00b7023a2bb18bd9e40dd1315167807,4e64d5e7fcfa184f42648f2c182fe209d860f852a69ff91a3fbed83b2335a671,ctls,blog.devhk.bitmex.com,cloudflare,443,https://blog.devhk.bitmex.com:443,https,cloudflare,text/plain,GET,172.64.146.66,/,1253481126,104.18.41.190,HTTP/3,1,False,True,True,,,,,
blog2.bitmex.com,Homepage | BitMEX Blog,200,171444,blog2.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-04-12T23:59:59Z,"CN=bitmex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitmex.com,"Cloudflare, Inc.",devhk.bitmex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a00b7023a2bb18bd9e40dd1315167807,4e64d5e7fcfa184f42648f2c182fe209d860f852a69ff91a3fbed83b2335a671,ctls,blog2.bitmex.com,cloudflare,443,https://blog2.bitmex.com:443,https,cloudflare,text/html,GET,104.18.41.190,/,-689373029,172.64.146.66,wpBakery,2844,False,True,True,,,,,
blog2.devhk.bitmex.com,,403,16,blog2.devhk.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-04-12T23:59:59Z,"CN=bitmex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitmex.com,"Cloudflare, Inc.",devhk.bitmex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a00b7023a2bb18bd9e40dd1315167807,4e64d5e7fcfa184f42648f2c182fe209d860f852a69ff91a3fbed83b2335a671,ctls,blog2.devhk.bitmex.com,cloudflare,443,https://blog2.devhk.bitmex.com:443,https,cloudflare,text/plain,GET,172.64.146.66,/,1253481126,104.18.41.190,HTTP/3,1,False,True,True,,,,,
cdn.analytics.bitmex.com,,404,49,cdn.analytics.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-12T00:00:00Z,2023-09-10T23:59:59Z,"CN=bitmex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitmex.com,"Cloudflare, Inc.",bitmex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a7831858f893dce43bae6a42b2f90692,d5e1b791f9f7ab6c1a923e5fc933e0ecc76106e2b88cdf6d5917d83fd77596a9,ctls,cdn.analytics.bitmex.com,cloudflare,443,https://cdn.analytics.bitmex.com:443,https,cloudflare,text/plain,GET,104.18.41.190,/,138222360,172.64.146.66,HTTP/3,2,False,True,True,,,,,
devhk-static.bitmex.com,,403,243,devhk-static.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-10-17T23:59:59Z,CN=devhk-static.bitmex.com,devhk-static.bitmex.com,,devhk-static.bitmex.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ac0474febfbe55a614ad51b8b27ea62b,0562a2a055866741bfb955f486884358bd504e0c297e5644630d8344ae8b4533,ctls,devhk-static.bitmex.com,cloudfront,443,https://devhk-static.bitmex.com:443,https,AmazonS3,application/xml,GET,13.32.99.103,/,1083987442,13.32.99.77,Amazon Web Services,2,False,True,,,,,,
