input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,cdn_name,webserver,tech_,cdn,csp_domains_,tls_self_signed,final_url
cloud.smokescreen.io,,200,138,cloud.smokescreen.io,443,True,tls13,TLS_AES_256_GCM_SHA384,,2020-10-21T08:21:03Z,2030-10-19T08:21:03Z,CN=cloud.smokescreen.io,cloud.smokescreen.io,,CN=cloud.smokescreen.io,cloud.smokescreen.io,,f683cc2fb3d972b9e605fd1bdc478a3f,280409223356dbcb76288bf364111486921653e42eac647db878df3a3b44349a,ctls,cloud.smokescreen.io,443,https://cloud.smokescreen.io:443,https,text/html,GET,54.164.118.119,/,1631801191,54.164.118.119,6,False,,Microsoft-IIS/10.0,Windows Server,,URL=owncloud.html,True,
downloads.smokescreen.io,404 Not Found,404,538,downloads.smokescreen.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-08T00:00:00Z,2024-06-05T23:59:59Z,CN=downloads.smokescreen.io,downloads.smokescreen.io,download.smokescreen.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,bfcac8a6b78df41452fa27a8df483f36,28652e12c90ae40c945158c4c29ddaaeeb4bfeb10684d5f23967f3a4a9500c8d,ctls,downloads.smokescreen.io,443,https://downloads.smokescreen.io:443,https,text/html,GET,18.66.112.38,/,824358785,18.66.112.127,21,False,cloudfront,AmazonS3,Amazon Web Services,True,,,
faultline.smokescreen.io,Smokescreen: Deception Technology,200,303738,www.smokescreen.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-15T00:00:00Z,2024-06-13T23:59:59Z,CN=smokescreen.io,smokescreen.io,www.smokescreen.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,82af3c4f3a9df03f40092a5266b33bda,3f06c2de088812383fa3293285c15c9966f28d72f51a242aaceb117963025ac7,ctls,www.smokescreen.io,443,https://faultline.smokescreen.io:443,https,text/html,GET,18.211.160.0,/,-2056063867,18.211.160.0,74,False,,AmazonS3,webpack,,,,https://www.smokescreen.io
firelight.smokescreen.io,Sign in · GitLab,200,30227,firelight.smokescreen.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-26T10:15:49Z,2023-08-24T10:15:48Z,CN=firelight.smokescreen.io,firelight.smokescreen.io,firelight.smokescreen.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,04653f38a3b1757d009c2291f968afc6,cc0a5d0a8f69dc9d7845d721e5743126c432e3c6d33664724613e736c690ede0,ctls,firelight.smokescreen.io,443,https://firelight.smokescreen.io:443,https,text/html,GET,15.207.130.246,/,1265477436,15.207.130.246,155,False,,nginx,Vue.js,,,,https://firelight.smokescreen.io/users/sign_in
gc.smokescreen.io,Sign In | Sentry,200,7956,gc.smokescreen.io,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-19T10:50:00Z,2023-08-17T10:49:59Z,CN=gc.smokescreen.io,gc.smokescreen.io,gc.smokescreen.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7f5a6730403eb55f1dc1f61f5d44241f,84049a39d312e395bc9fcac072c82f76ec8ac734ce48017263637ed1dd4308fa,ctls,gc.smokescreen.io,443,https://gc.smokescreen.io:443,https,text/html,GET,3.213.6.62,/,-1840324437,3.213.6.62,239,False,,nginx/1.24.0,Python,,https://secure.gravatar.com,,https://gc.smokescreen.io/auth/login/smokescreen/
hub.smokescreen.io,Not Found,404,2556,hub.smokescreen.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-25T11:46:05Z,2023-10-23T11:46:04Z,CN=hub.smokescreen.io,hub.smokescreen.io,hub.smokescreen.io,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,17b0fd5e36e9622e54c04fe404ab81e6,35ab437a6534c711cdba361ab5c71f1046d4b1a3204cf8a8b7189478fe338d8d,ctls,hub.smokescreen.io,443,https://hub.smokescreen.io:443,https,text/html,GET,199.60.103.2,/,-1394963183,2606:2c40::c73c:67fe,91,False,,cloudflare,HTTP/3,,,,
learn.smokescreen.io,,404,47,learn.smokescreen.io,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-06-12T00:00:00Z,2024-07-12T23:59:59Z,CN=try.unbounce.com,try.unbounce.com,wp.unbounce.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,5ef305b2b5480f497447fcc1c87f4bce,46ae25e88c486338254a221da5c69cc8bea64e9cefa7b8d8cd9790259fddc037,ctls,learn.smokescreen.io,443,https://learn.smokescreen.io:443,https,text/plain,GET,3.69.136.55,/,-1335621053,3.126.202.50,1,False,,,,,,,
mario.smokescreen.io,Smokescreen: Deception Technology,200,303738,www.smokescreen.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-15T00:00:00Z,2024-06-13T23:59:59Z,CN=smokescreen.io,smokescreen.io,www.smokescreen.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,82af3c4f3a9df03f40092a5266b33bda,3f06c2de088812383fa3293285c15c9966f28d72f51a242aaceb117963025ac7,ctls,www.smokescreen.io,443,https://mario.smokescreen.io:443,https,text/html,GET,18.211.160.0,/,-2056063867,18.211.160.0,74,False,,AmazonS3,webpack,,,,https://www.smokescreen.io
minerva.smokescreen.io,Smokescreen: Deception Technology,200,303738,www.smokescreen.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-15T00:00:00Z,2024-06-13T23:59:59Z,CN=smokescreen.io,smokescreen.io,www.smokescreen.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,82af3c4f3a9df03f40092a5266b33bda,3f06c2de088812383fa3293285c15c9966f28d72f51a242aaceb117963025ac7,ctls,www.smokescreen.io,443,https://minerva.smokescreen.io:443,https,text/html,GET,18.211.160.0,/,-2056063867,18.211.160.0,74,False,,AmazonS3,webpack,,,,https://www.smokescreen.io/
smokescreen.io,Smokescreen: Deception Technology,200,303738,smokescreen.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-15T00:00:00Z,2024-06-13T23:59:59Z,CN=smokescreen.io,smokescreen.io,www.smokescreen.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,82af3c4f3a9df03f40092a5266b33bda,3f06c2de088812383fa3293285c15c9966f28d72f51a242aaceb117963025ac7,ctls,smokescreen.io,443,https://smokescreen.io:443,https,text/html,GET,13.32.99.7,/,-299120996,13.32.99.124,74,False,cloudfront,AmazonS3,webpack,True,,,
www.smokescreen.io,Smokescreen: Deception Technology,200,303738,www.smokescreen.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-15T00:00:00Z,2024-06-13T23:59:59Z,CN=smokescreen.io,smokescreen.io,www.smokescreen.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,82af3c4f3a9df03f40092a5266b33bda,3f06c2de088812383fa3293285c15c9966f28d72f51a242aaceb117963025ac7,ctls,www.smokescreen.io,443,https://www.smokescreen.io:443,https,text/html,GET,13.32.99.7,/,-299120996,13.32.99.124,74,False,cloudfront,AmazonS3,webpack,True,,,
