new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,mx,txt,ns,caa,has_internal_ips,internal_ips
,alasco.de,,,,"duke.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,api-docs.alasco.rocks,172.104.135.188,,alasco-vboy4ura5j.pzero.perimeter81.com,,NOERROR,,,,,,,,
,api.alasco.de,"104.22.74.141, 104.22.75.141, 172.67.21.239","2606:4700:10::6816:4b8d, 2606:4700:10::ac43:15ef, 2606:4700:10::6816:4a8d",,"duke.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,app-staging.alasco.rocks,"104.26.5.79, 172.67.69.253, 104.26.4.79","2606:4700:20::ac43:45fd, 2606:4700:20::681a:44f, 2606:4700:20::681a:54f",,"duke.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,app.alasco.de,"104.22.74.141, 172.67.21.239, 104.22.75.141","2606:4700:10::6816:4b8d, 2606:4700:10::6816:4a8d, 2606:4700:10::ac43:15ef",,"duke.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,branding.alasco.de,"104.22.74.141, 172.67.21.239, 104.22.75.141","2606:4700:10::ac43:15ef, 2606:4700:10::6816:4a8d, 2606:4700:10::6816:4b8d",,"duke.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,demo.alasco.de,"188.114.98.229, 188.114.99.229","2a06:98c1:3123:e000::5, 2a06:98c1:3122:e000::5",,"duke.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,developer.alasco.de,"172.67.21.239, 104.22.74.141, 104.22.75.141","2606:4700:10::6816:4b8d, 2606:4700:10::ac43:15ef, 2606:4700:10::6816:4a8d",,"duke.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,explore.alasco.de,,,custom-domain.teamwalnut.com,"ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,hello.alasco.de,"52.41.190.196, 54.149.247.91, 44.228.158.230",,"6b5b338e-fb4a-4b34-9035-da21e19b3322.outrch.com, app1e.outrch.com","ns-2.awsdns-00.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,letsencrypt.org,,
