input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,csp_domains_,tls_mismatched,location
alasco.de,Software für Finanzcontrolling und ESG-Management | Alasco,200,101363,www.alasco.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-02-20T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",445a5225cf5acfde14a79752fcbfa1e7,6d45b6dd2ca40e1e29140d8c3ebb1d61ec5237caad0d4d1e59c239d1f462dd0a,True,ctls,www.alasco.de,cloudflare,443,https://alasco.de:443,https,cloudflare,text/html,GET,104.22.74.141,/,-1840324437,2606:4700:10::6816:4a8d,Yoast SEO:20.1,266,False,True,https://www.alasco.de/,,,
api-docs.alasco.rocks,,403,43,api-docs.alasco.rocks,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-03-23T23:59:59Z,CN=*.pzero.perimeter81.com,*.pzero.perimeter81.com,,pzero.perimeter81.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ead0b2766ba6a8c9022b960a12b8f09e,2725c83119e7e6e3393be885feb99912eca48af34df9f0565a7c6f687e9ac94d,True,ctls,api-docs.alasco.rocks,,443,https://api-docs.alasco.rocks:443,https,,text/plain,GET,172.104.135.188,/,-315677744,172.104.135.188,,2,False,,,,True,
api.alasco.de,,403,42,api.alasco.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-02-20T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",445a5225cf5acfde14a79752fcbfa1e7,6d45b6dd2ca40e1e29140d8c3ebb1d61ec5237caad0d4d1e59c239d1f462dd0a,True,ctls,api.alasco.de,cloudflare,443,https://api.alasco.de:443,https,cloudflare,application/json,GET,104.22.75.141,/,968070783,2606:4700:10::6816:4a8d,Cloudflare,1,False,True,,,,
app-staging.alasco.rocks,,302,95,login.alasco.rocks,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T13:05:16Z,2023-07-11T13:05:15Z,CN=login.alasco.rocks,login.alasco.rocks,,login.alasco.rocks,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,bf753acf4b058c428602bc232a2c7808,5892c000596846a9404153571eb70bc2f289f02907e5d7e109d1f1c6ca4dec5b,,ctls,login.alasco.rocks,cloudflare,443,https://app-staging.alasco.rocks:443,https,cloudflare,text/plain,GET,104.26.5.79,/,-1091654146,2606:4700:20::681a:44f,HTTP/3,1,False,True,https://login.alasco.rocks/u/login/identifier?state=hKFo2SBSeG93UkFGVDFrbXR4aVFuYWx3Tnprek1mWnpJX2VOc6Fur3VuaXZlcnNhbC1sb2dpbqN0aWTZIG5sbk1Da3pHemNBNjM2NjZEOU1JVWlNWTdpMGNpMkczo2NpZNkgd29IdmJNeHR4VW1JSW5COFN1ZTVaVkVhMFJSYVp0dHA,,,https://app-staging.alasco.rocks/?iss=https%3A%2F%2Flogin.alasco.rocks%2F
app.alasco.de,,302,81,login.alasco.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-29T23:14:12Z,2023-07-28T23:14:11Z,CN=login.alasco.de,login.alasco.de,,login.alasco.de,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8b99887baedfe35c36c68549a44a0979,3a80b5858158dd891d7051aea41e07556a01be32c5a0fee5e895b0260f28ec1d,,ctls,login.alasco.de,cloudflare,443,https://app.alasco.de:443,https,cloudflare,text/plain,GET,104.22.75.141,/,-8585406,2606:4700:10::ac43:15ef,HTTP/3,1,False,True,https://login.alasco.de/u/login/identifier?state=hKFo2SBVdjdRMGhKbUhxX0dJREpxQmVWNzRJQkFsbmVfWTZ4dKFur3VuaXZlcnNhbC1sb2dpbqN0aWTZIGYtbHdDSnl0V0FLYTMtdDR3OVhmTTBhTVoweGNIWU9ao2NpZNkgWnZITURBQko3WnphM0IxZGdscFc5enZ0U0ZRUXZWVVY,,,https://app.alasco.de/?iss=https%3A%2F%2Flogin.alasco.de%2F
branding.alasco.de,404 Not Found,404,345,branding.alasco.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-02-20T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",445a5225cf5acfde14a79752fcbfa1e7,6d45b6dd2ca40e1e29140d8c3ebb1d61ec5237caad0d4d1e59c239d1f462dd0a,True,ctls,branding.alasco.de,cloudflare,443,https://branding.alasco.de:443,https,cloudflare,text/html,GET,104.22.75.141,/,-294670919,2606:4700:10::6816:4a8d,Cloudflare,15,False,True,,,,
demo.alasco.de,Software für Finanzcontrolling und ESG-Management | Alasco,200,101363,www.alasco.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-02-20T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",445a5225cf5acfde14a79752fcbfa1e7,6d45b6dd2ca40e1e29140d8c3ebb1d61ec5237caad0d4d1e59c239d1f462dd0a,True,ctls,www.alasco.de,cloudflare,443,https://demo.alasco.de:443,https,cloudflare,text/html,GET,104.22.74.141,/,527808453,2606:4700:10::ac43:15ef,Yoast SEO:20.1,266,False,True,https://www.alasco.de/,,,
developer.alasco.de,Alasco - API,200,1013312,developer.alasco.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-02-20T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",445a5225cf5acfde14a79752fcbfa1e7,6d45b6dd2ca40e1e29140d8c3ebb1d61ec5237caad0d4d1e59c239d1f462dd0a,True,ctls,developer.alasco.de,cloudflare,443,https://developer.alasco.de:443,https,cloudflare,text/html,GET,172.67.21.239,/,-1816998975,2606:4700:10::ac43:15ef,Cloudflare,1812,False,True,,,,
explore.alasco.de,,404,33,explore.alasco.de,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-08T15:46:17Z,2023-08-06T15:46:16Z,CN=account.growthspace.com,account.growthspace.com,,www.cybereason.guide,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9c864001bfeb1e9db0a2cf9660f9b5ee,252789bf144abe2a512b0ad68697e197ad42475f261db34dda527cd41d28caaf,,ctls,explore.alasco.de,,443,https://explore.alasco.de:443,https,Cowboy,application/json,GET,13.248.133.76,/,-1242126446,76.223.4.166,Cowboy,1,False,,,,,
hello.alasco.de,,204,,hello.alasco.de,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-10T03:04:29Z,2023-07-09T03:04:28Z,CN=hello.alasco.de,hello.alasco.de,,hello.alasco.de,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e45fdba7be529c37f20c586729427c03,874f09401ce8f0a031b122041d4c6ec1d3e0b7331b0970e8eca3b88414c5ac96,,ctls,hello.alasco.de,,443,https://hello.alasco.de:443,https,,,GET,52.41.190.196,/,-1840324437,44.228.158.230,HSTS,1,False,,,,,
