new,host,a,aaaa,cname,mx,soa,ns,txt,status_code,cdn,cdn-name,caa
[x],0g8scw8.filezilla-project.org,49.12.121.47,2a01:4f8:242:52d0::2,filezilla-project.org,filezilla-project.org,"ns1.domaindiscount24.net, tech.key-systems.net","ns3.domaindiscount24.net, ns1.domaindiscount24.net, ns2.domaindiscount24.net","v=spf1 mx ip4:49.12.121.47/32 ip6:2a01:4f8:242:52d0::2/64 -all, google-site-verification=VMSIrNYAVoMPTFK6VdS6swSnzPeV9u3oDl2KraQnLI8",NOERROR,,,
[x],17-58-97-44.my.ncsc.gov.uk,"52.85.151.95, 52.85.151.57, 52.85.151.4, 52.85.151.43",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],449cfda4.my.ncsc.gov.uk,"52.222.214.45, 52.222.214.84, 52.222.214.123, 52.222.214.98",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],44fdropbox.my.ncsc.gov.uk,"52.222.214.98, 52.222.214.45, 52.222.214.123, 52.222.214.84",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],5k6wzpspjf97.filezilla-project.org,49.12.121.47,2a01:4f8:242:52d0::2,filezilla-project.org,filezilla-project.org,"ns1.domaindiscount24.net, tech.key-systems.net","ns1.domaindiscount24.net, ns2.domaindiscount24.net, ns3.domaindiscount24.net","v=spf1 mx ip4:49.12.121.47/32 ip6:2a01:4f8:242:52d0::2/64 -all, google-site-verification=VMSIrNYAVoMPTFK6VdS6swSnzPeV9u3oDl2KraQnLI8",NOERROR,,,
[x],9-58.my.ncsc.gov.uk,"52.222.214.123, 52.222.214.45, 52.222.214.84, 52.222.214.98",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],94-225-33-6.my.ncsc.gov.uk,"52.85.151.95, 52.85.151.4, 52.85.151.43, 52.85.151.57",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],acdhub.service.ncsc.gov.uk,,,,,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com","ns-1390.awsdns-45.org, ns-1996.awsdns-57.co.uk, ns-591.awsdns-09.net, ns-60.awsdns-07.com",,NOERROR,True,cloudfront,
[x],admin-mobile.my.ncsc.gov.uk,"52.84.174.12, 52.84.174.67, 52.84.174.83, 52.84.174.55",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],agarcia.my.ncsc.gov.uk,"18.161.97.18, 18.161.97.57, 18.161.97.67, 18.161.97.47",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],aia.external.ncsc.gov.uk,51.140.188.180,,"aia.ncsc.trafficmanager.net, d6ab9bbf-42f6-4ead-b64a-ca6896c09d01.cloudapp.net",,"ns1-201.azure-dns.com, msnhst.microsoft.com",,,NOERROR,True,azure,
[x],amocservicesapi.my.ncsc.gov.uk,"52.222.214.98, 52.222.214.123, 52.222.214.84, 52.222.214.45",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],api-prod.check-reports.ncsc.gov.uk,"18.66.112.59, 18.66.112.110, 18.66.112.96, 18.66.112.104",,,,"ns-1553.awsdns-02.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],apimanagement.service.ncsc.gov.uk,20.90.40.198,,,,"ns1-01.azure-dns.com, azuredns-hostmaster.microsoft.com","ns3-01.azure-dns.org, ns4-01.azure-dns.info, ns1-01.azure-dns.com, ns2-01.azure-dns.net",,NOERROR,,,
[x],audaction.my.ncsc.gov.uk,"3.161.119.93, 3.161.119.49, 3.161.119.86, 3.161.119.39",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com","ns-1391.awsdns-45.org, ns-1709.awsdns-21.co.uk, ns-184.awsdns-23.com, ns-689.awsdns-22.net",,NOERROR,True,cloudfront,
[x],audit.service.ncsc.gov.uk,"35.177.98.137, 35.176.5.166",,,inbound-smtp.eu-west-1.amazonaws.com,"ns-307.awsdns-38.com, awsdns-hostmaster.amazon.com","ns-307.awsdns-38.com, ns-1219.awsdns-24.org, ns-1790.awsdns-31.co.uk, ns-851.awsdns-42.net",,NOERROR,,,"letsencrypt.org, comodoca.com, mailto:verify@audit.service.ncsc.gov.uk, amazon.com"
[x],authoring.ncsc.gov.uk,,,,,"ns-580.awsdns-08.net, awsdns-hostmaster.amazon.com","ns-1698.awsdns-20.co.uk, ns-580.awsdns-08.net, ns-488.awsdns-61.com, ns-1185.awsdns-20.org",,NOERROR,True,cloudfront,
[x],azerty.my.ncsc.gov.uk,"52.85.151.43, 52.85.151.4, 52.85.151.95, 52.85.151.57",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],basiccheck.service.ncsc.gov.uk,"13.32.110.4, 13.32.110.34, 13.32.110.3, 13.32.110.28","2600:9000:211a:3000:1e:4c3c:dc80:93a1, 2600:9000:211a:8e00:1e:4c3c:dc80:93a1, 2600:9000:211a:600:1e:4c3c:dc80:93a1, 2600:9000:211a:6000:1e:4c3c:dc80:93a1, 2600:9000:211a:f200:1e:4c3c:dc80:93a1, 2600:9000:211a:6600:1e:4c3c:dc80:93a1, 2600:9000:211a:1e00:1e:4c3c:dc80:93a1, 2600:9000:211a:da00:1e:4c3c:dc80:93a1",,,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com","ns-1258.awsdns-29.org, ns-1991.awsdns-56.co.uk, ns-35.awsdns-04.com, ns-743.awsdns-28.net",d365mktkey=PV5YxMgq2xB1n5UsGMaLzxNDSQFspRiAUaaYE40M9HQx,NOERROR,True,cloudfront,
[x],beta.ncsc.gov.uk,"99.84.191.91, 99.84.191.34, 99.84.191.20, 99.84.191.74",,,,"ns-1881.awsdns-43.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],buildserver.devops.ncsc.gov.uk,"34.246.5.103, 63.32.251.132",,,,"ns-644.awsdns-16.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,
[x],cache-enconnecthelp-helporigin.my.ncsc.gov.uk,"52.85.151.95, 52.85.151.57, 52.85.151.4, 52.85.151.43",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],capfrontdoor.internal.ncsc.gov.uk,"54.230.112.101, 54.230.112.92, 54.230.112.117, 54.230.112.123",,,,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com","ns-1714.awsdns-22.co.uk, ns-731.awsdns-27.net, ns-1392.awsdns-46.org, ns-146.awsdns-18.com",,NOERROR,True,cloudfront,
[x],catai3i1.my.ncsc.gov.uk,"52.222.214.84, 52.222.214.98, 52.222.214.123, 52.222.214.45",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],ccstats-qcy-c.my.ncsc.gov.uk,"18.66.196.86, 18.66.196.102, 18.66.196.90, 18.66.196.73",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],check-reports.ncsc.gov.uk,"18.165.98.98, 18.165.98.67, 18.165.98.12, 18.165.98.97, 205.251.193.247, 205.251.195.27, 205.251.197.38, 205.251.198.17",,,,"ns-1553.awsdns-02.co.uk, awsdns-hostmaster.amazon.com","ns-503.awsdns-62.com, ns-1318.awsdns-36.org, ns-795.awsdns-35.net, ns-1553.awsdns-02.co.uk",,NOERROR,True,cloudfront,
[x],checkcybersecurity.service.ncsc.gov.uk,"13.32.110.28, 13.32.110.3, 13.32.110.4, 13.32.110.34","2600:9000:25a2:7800:1e:4c3c:dc80:93a1, 2600:9000:25a2:ec00:1e:4c3c:dc80:93a1, 2600:9000:25a2:5200:1e:4c3c:dc80:93a1, 2600:9000:25a2:4e00:1e:4c3c:dc80:93a1, 2600:9000:25a2:5a00:1e:4c3c:dc80:93a1, 2600:9000:25a2:4200:1e:4c3c:dc80:93a1, 2600:9000:25a2:8200:1e:4c3c:dc80:93a1, 2600:9000:25a2:4400:1e:4c3c:dc80:93a1",,,"ns-618.awsdns-13.net, awsdns-hostmaster.amazon.com","ns-1286.awsdns-32.org, ns-1897.awsdns-45.co.uk, ns-38.awsdns-04.com, ns-618.awsdns-13.net",,NOERROR,True,cloudfront,
[x],checkmycybersecurity.service.ncsc.gov.uk,"108.138.7.3, 108.138.7.34, 108.138.7.87, 108.138.7.129","2600:9000:2490:ea00:a:d316:8f40:93a1, 2600:9000:2490:5a00:a:d316:8f40:93a1, 2600:9000:2490:2a00:a:d316:8f40:93a1, 2600:9000:2490:e200:a:d316:8f40:93a1, 2600:9000:2490:7400:a:d316:8f40:93a1, 2600:9000:2490:7a00:a:d316:8f40:93a1, 2600:9000:2490:7800:a:d316:8f40:93a1, 2600:9000:2490:ee00:a:d316:8f40:93a1",,,"ns-1205.awsdns-22.org, awsdns-hostmaster.amazon.com","ns-293.awsdns-36.com, ns-1205.awsdns-22.org, ns-2009.awsdns-59.co.uk, ns-556.awsdns-05.net",d365mktkey=GbYfNYfFMYE2ubP8U5QXYRUKzck44pgO9Azqq7N6aWgx,NOERROR,True,cloudfront,
[x],crl.external.ncsc.gov.uk,51.141.7.121,,"aag.ncsc.trafficmanager.net, 4492a620-a790-4091-8a9e-fbc87e0e55d7.cloudapp.net",,"ns1-201.azure-dns.com, msnhst.microsoft.com",,,NOERROR,True,azure,
[x],crm.external.ncsc.gov.uk,"52.56.49.207, 3.9.252.45",,,,"ns-324.awsdns-40.com, awsdns-hostmaster.amazon.com","ns-324.awsdns-40.com, ns-865.awsdns-44.net, ns-1324.awsdns-37.org, ns-1960.awsdns-53.co.uk",,NOERROR,,,
[x],cyberessentials.ncsc.gov.uk,"52.85.132.68, 52.85.132.113, 52.85.132.9, 52.85.132.56, 205.251.192.122, 205.251.195.28, 205.251.197.70, 205.251.198.177",,,,"ns-1350.awsdns-40.org, awsdns-hostmaster.amazon.com","ns-796.awsdns-35.net, ns-1350.awsdns-40.org, ns-1713.awsdns-22.co.uk, ns-122.awsdns-15.com",,NOERROR,True,cloudfront,
[x],cyberfirst.ncsc.gov.uk,"52.222.149.76, 52.222.149.27, 52.222.149.47, 52.222.149.3",,,inbound-smtp.eu-west-1.amazonaws.com,"ns-1336.awsdns-39.org, awsdns-hostmaster.amazon.com","ns-1336.awsdns-39.org, ns-2001.awsdns-58.co.uk, ns-352.awsdns-44.com, ns-866.awsdns-44.net","amazonses:0TGjOuVGNlZIccVTNgJZfPUP3ugNWuIwKe4TAR6siRA=, v=spf1 include:amazonses.com ~all",NOERROR,True,cloudfront,
[x],d.ldap.filezilla-project.org,49.12.121.47,2a01:4f8:242:52d0::2,filezilla-project.org,filezilla-project.org,"ns1.domaindiscount24.net, tech.key-systems.net","ns3.domaindiscount24.net, ns2.domaindiscount24.net, ns1.domaindiscount24.net","v=spf1 mx ip4:49.12.121.47/32 ip6:2a01:4f8:242:52d0::2/64 -all, google-site-verification=VMSIrNYAVoMPTFK6VdS6swSnzPeV9u3oDl2KraQnLI8",NOERROR,,,
[x],dashboard.devops.ncsc.gov.uk,52.17.223.123,,,inbound-smtp.eu-west-1.amazonaws.com,"ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com","ns-1419.awsdns-49.org, ns-1826.awsdns-36.co.uk, ns-871.awsdns-44.net, ns-121.awsdns-15.com",,NOERROR,,,
[x],db23.my.ncsc.gov.uk,,,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],deploys-api.my.ncsc.gov.uk,"52.222.214.84, 52.222.214.98, 52.222.214.45, 52.222.214.123",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],dn16.my.ncsc.gov.uk,"52.222.214.98, 52.222.214.123, 52.222.214.45, 52.222.214.84",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],doc-helpdesk.my.ncsc.gov.uk,"52.222.214.98, 52.222.214.45, 52.222.214.123, 52.222.214.84",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],dsgit.my.ncsc.gov.uk,"18.161.97.67, 18.161.97.47, 18.161.97.57, 18.161.97.18",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],dwoportal.report.ncsc.gov.uk,20.49.159.192,,,,"ns1-03.azure-dns.com, azuredns-hostmaster.microsoft.com",,,NOERROR,True,azure,
[x],eadadfs.my.ncsc.gov.uk,"18.161.97.18, 18.161.97.47, 18.161.97.57, 18.161.97.67",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],emailsecuritycheck.service.ncsc.gov.uk,"99.86.4.25, 99.86.4.88, 99.86.4.45, 99.86.4.40",,,inbound-smtp.eu-west-1.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com","ns-332.awsdns-41.com, ns-1165.awsdns-17.org, ns-697.awsdns-23.net, ns-1639.awsdns-12.co.uk","v=spf1 -all, google-site-verification=S8wCJ_XENvLJNu8U4JjbyP03OoyaBKj4O-bcmeej1ss",NOERROR,True,cloudfront,
[x],engfrontdoor.internal.ncsc.gov.uk,"13.249.39.106, 13.249.39.29, 13.249.39.23, 13.249.39.68",,,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com","ns-379.awsdns-47.com, ns-1254.awsdns-28.org, ns-667.awsdns-19.net, ns-1745.awsdns-26.co.uk",,NOERROR,True,cloudfront,
[x],enterpriseenrollment.devops.ncsc.gov.uk,13.74.111.192,,"enterpriseenrollment.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu01.northeurope.cloudapp.azure.com, pexsucpeu03.swedencentral.cloudapp.azure.com",,"ns1-201.azure-dns.com, msnhst.microsoft.com, ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",,,NOERROR,True,azure,
[x],enterpriseenrollment.research.ncsc.gov.uk,52.236.189.96,,"enterpriseenrollment.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu02.westeurope.cloudapp.azure.com, pexsucpeu01.northeurope.cloudapp.azure.com, pexsucpeu03.swedencentral.cloudapp.azure.com",,"ns1-201.azure-dns.com, msnhst.microsoft.com, ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",,,NOERROR,True,azure,
[x],exerciseinabox.service.ncsc.gov.uk,"13.32.99.105, 13.32.99.94, 13.32.99.19, 13.32.99.72",,,,"ns-822.awsdns-38.net, awsdns-hostmaster.amazon.com","ns-1406.awsdns-47.org, ns-488.awsdns-61.com, ns-822.awsdns-38.net, ns-1653.awsdns-14.co.uk",,NOERROR,True,cloudfront,
[x],exipure-49.filezilla-project.org,49.12.121.47,2a01:4f8:242:52d0::2,filezilla-project.org,filezilla-project.org,"ns1.domaindiscount24.net, tech.key-systems.net","ns1.domaindiscount24.net, ns2.domaindiscount24.net, ns3.domaindiscount24.net","v=spf1 mx ip4:49.12.121.47/32 ip6:2a01:4f8:242:52d0::2/64 -all, google-site-verification=VMSIrNYAVoMPTFK6VdS6swSnzPeV9u3oDl2KraQnLI8",NOERROR,,,
[x],faep6-1.my.ncsc.gov.uk,"18.161.97.67, 18.161.97.47, 18.161.97.18, 18.161.97.57",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],fbfh3-2.my.ncsc.gov.uk,"52.85.151.43, 52.85.151.4, 52.85.151.95, 52.85.151.57",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],fmprdircw03.my.ncsc.gov.uk,"52.222.214.123, 52.222.214.45, 52.222.214.98, 52.222.214.84",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],grafana.devops.ncsc.gov.uk,"52.214.204.23, 54.77.245.142",,grafana-load-balancer-2016586329.eu-west-1.elb.amazonaws.com,,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",,,NOERROR,,,
[x],h-135-197-246-210.filezilla-project.org,49.12.121.47,2a01:4f8:242:52d0::2,filezilla-project.org,filezilla-project.org,"ns1.domaindiscount24.net, tech.key-systems.net","ns1.domaindiscount24.net, ns3.domaindiscount24.net, ns2.domaindiscount24.net","v=spf1 mx ip4:49.12.121.47/32 ip6:2a01:4f8:242:52d0::2/64 -all, google-site-verification=VMSIrNYAVoMPTFK6VdS6swSnzPeV9u3oDl2KraQnLI8",NOERROR,,,
[x],hbc.service.ncsc.gov.uk,"35.71.146.146, 52.223.8.28",,,,"ns-632.awsdns-15.net, awsdns-hostmaster.amazon.com","ns-1128.awsdns-13.org, ns-1972.awsdns-54.co.uk, ns-257.awsdns-32.com, ns-632.awsdns-15.net",,NOERROR,,,amazontrust.com
[x],http-m-olx-co-id09.my.ncsc.gov.uk,"18.161.97.57, 18.161.97.18, 18.161.97.47, 18.161.97.67",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
[x],individual.service.ncsc.gov.uk,"108.157.4.123, 108.157.4.70, 108.157.4.49, 108.157.4.88",,,,"ns-1930.awsdns-49.co.uk, awsdns-hostmaster.amazon.com","ns-1930.awsdns-49.co.uk, ns-196.awsdns-24.com, ns-733.awsdns-27.net, ns-1046.awsdns-02.org",,NOERROR,True,cloudfront,
[x],intn.my.ncsc.gov.uk,"18.66.248.26, 18.66.248.13, 18.66.248.68, 18.66.248.72",,,,"ns-1709.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,
