new,host,a,soa,status_code,caa,cname,txt,has_internal_ips,internal_ips,aaaa,ns,cdn,cdn-name,mx
[x],abtesting.api.roblox.com,10.128.240.147,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,10.128.240.147,,,,,
[x],ad1.ra.roblox.com,208.185.173.21,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],ad1.sm.roblox.com,172.17.252.21,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,172.17.252.21,,,,,
[x],ad2.ra.roblox.com,208.185.173.22,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],ad3.ra.roblox.com,208.185.173.237,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app1.ra.roblox.com,208.185.173.27,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,v=spf1 a -all,,,,,,,
[x],app10.rp.roblox.com,64.125.149.78,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app10.sm.roblox.com,172.16.0.52,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,172.16.0.52,,,,,
[x],app11.rp.roblox.com,64.125.149.79,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app11.sm.roblox.com,172.16.0.42,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,True,172.16.0.42,,,,,
[x],app13.rp.roblox.com,64.125.149.81,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app14.rp.roblox.com,64.125.149.82,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app15.rp.roblox.com,64.125.149.83,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app16.rp.roblox.com,64.125.149.84,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app17.rp.roblox.com,64.125.149.85,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app19.rp.roblox.com,64.125.149.87,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app2.rp.roblox.com,64.125.149.69,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app20.p1t.roblox.com,208.185.173.47,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app20.rp.roblox.com,64.125.149.88,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app21.p1t.roblox.com,208.185.173.112,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app21.rp.roblox.com,64.125.149.89,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app22.rp.roblox.com,64.125.149.142,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app23.p1t.roblox.com,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app23.rp.roblox.com,64.125.149.91,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app3.rp.roblox.com,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app38.rp.roblox.com,64.125.149.160,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],app4.rp.roblox.com,64.125.149.94,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
