new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,ns,mx,txt,has_internal_ips,internal_ips,caa
[x],account.tiktok.com,209.127.230.14,,,"ns-440.awsdns-55.com, awsdns-hostmaster.amazon.com",NOERROR,,,,"mxb.mailgun.org, mxa.mailgun.org","v=spf1 include:mailgun.org include:spf1.dm.aliyun.com include:spf.onlarksuite.com include:_netblocks.m.feishu.cn ~all, google-site-verification=PFrjfDfGmixXJiFGXTCgthz45UMx6ExAHJdj8u0vISI",,,
[x],accounts.scm-us.tiktok.com,"23.209.125.10, 23.209.125.11",,"accounts.scm-us.tiktok.com.edgesuite.net, a816.t.akamai.net","n0t.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],activity.us.tiktok.com,"184.29.143.136, 184.29.143.139, 184.29.143.184, 184.29.143.185, 184.29.143.162, 184.29.143.160, 184.29.143.177, 184.29.143.146, 184.29.143.144",,"activity.us.tiktok.com.edgesuite.net, a2047.w181.akamai.net","n0w181.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],ads-service.tiktok.com,209.127.230.4,,,"ns-440.awsdns-55.com, awsdns-hostmaster.amazon.com",NOERROR,,,,mx01.dm.aliyun.com,v=spf1 include:spf1.dm.aliyun.com include:spf.onlarksuite.com include:_netblocks.m.feishu.cn -all,,,
[x],ads.tiktok.com,"104.126.37.129, 104.126.37.147, 104.126.37.145, 104.126.37.146, 104.126.37.178, 104.126.37.138, 104.126.37.185",,"ads.tiktok.com.edgekey.net, e35058.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],ads.us.tiktok.com,"104.126.118.240, 104.126.118.235, 104.126.118.248, 104.126.118.200, 104.126.118.233, 104.126.118.242, 104.126.118.241, 104.126.118.201, 104.126.118.243",,"ads.us.tiktok.com.edgesuite.net, a2047.w185.akamai.net","n0w185.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],adsintegrity.us.tiktok.com,"184.29.143.138, 184.29.143.153, 184.29.143.144, 184.29.143.145, 184.29.143.147, 184.29.143.152, 184.29.143.139, 184.29.143.146, 184.29.143.154",,"adsintegrity.us.tiktok.com.edgesuite.net, a2047.w183.akamai.net","n0w183.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],alpha1-6-4.hackerrank.com,23.37.42.110,"2a02:26f0:1700:181::22e9, 2a02:26f0:1700:18f::22e9","hackerrank.com.edgekey.net, e8937.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],analytics.us.tiktok.com,"184.29.143.186, 184.29.143.155, 184.29.143.161, 184.29.143.168, 184.29.143.138, 184.29.143.178, 184.29.143.137, 184.29.143.170, 184.29.143.169",,"analytics.us.tiktok.com.edgesuite.net, a2047.w183.akamai.net","n0w183.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],api.tiktokv.com,"104.126.37.130, 104.126.37.123, 104.126.37.177, 104.126.37.171, 104.126.37.154, 104.126.37.137, 104.126.37.146, 104.126.37.178, 104.126.37.170",,"api.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],api.us.tiktokv.com,"23.37.123.185, 23.37.123.170, 23.37.123.176, 23.37.123.184, 23.37.123.171, 23.37.123.178, 23.37.123.179, 23.37.123.186, 23.37.123.177",,"api.us.tiktokv.com.edgesuite.net, a2047.w184.akamai.net","n0w184.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],api16-normal-useast5.us.tiktokv.com,"23.222.12.32, 23.222.12.11, 23.222.12.9, 23.222.12.18, 23.222.12.43, 23.222.12.33, 23.222.12.8, 23.222.12.16, 23.222.12.48",,"api16-normal-useast5.us.tiktokv.com.edgesuite.net, a2047.w181.akamai.net","n0w181.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],api16-normal-vpc2-useast5.us.tiktokv.com,"184.29.143.178, 184.29.143.152",,"api16-normal-vpc2-useast5.us.tiktokv.com.edgesuite.net, a1861.w182.akamai.net","n0w182.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],api19-core-c-useast1a.tiktokv.com,,,tiktok.bytedance.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,,
