input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,tls_subject_org_,cdn_name,cdn,final_url,csp_domains_
admin-qa.moviexchange.com,MX Admin Portal,200,696,admin-qa.moviexchange.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.moviexchange.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",190e25e1e701c52b1b4d36ee5f62db3a,7f87ca7f0f643957ea1662b16790cf1049b6e86e3f4a9dbfa029a0901a595c46,True,ctls,admin-qa.moviexchange.com,443,https://admin-qa.moviexchange.com:443,https,cloudflare,text/html,GET,104.16.201.18,/,23836348,2606:4700::6810:c912,Cloudflare,16,False,,"Cloudflare, Inc.",cloudflare,True,,
admin.moviexchange.com,Sign in ・ Cloudflare Access,200,28353,moviexchange.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,True,ctls,moviexchange.cloudflareaccess.com,443,https://admin.moviexchange.com:443,https,cloudflare,text/html,GET,104.16.200.18,/,-1045189294,2606:4700::6810:c912,HSTS,75,False,,,cloudflare,True,https://moviexchange.cloudflareaccess.com/cdn-cgi/access/login/admin.moviexchange.com?kid=16fcb21a0989dab8c9c66f627b532f262941fd26d1d98a74a21341ead6a35fcb&redirect_url=%2F&meta=eyJraWQiOiI2NDNhMjg5MTQ1YTk3OTEwNjI5Y2IwZjRhMDI2ZjZiOTMxMTNiMTM0N2ZhNmYxZjhmZDFjZGFiNDY3NDk5NWQxIiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTY4NTU1Njk3OCwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6IjE2ZmNiMjFhMDk4OWRhYjhjOWM2NmY2MjdiNTMyZjI2Mjk0MWZkMjZkMWQ5OGE3NGEyMTM0MWVhZDZhMzVmY2IiLCJob3N0bmFtZSI6ImFkbWluLm1vdmlleGNoYW5nZS5jb20iLCJhcHBfc2Vzc2lvbl9oYXNoIjoiNDQ2ZGRmNzdmYWI0YmVlZDU1MThmMGQ1OGFjMGUwNDIwNWRmZTE4N2Q3MzNmMDY3MDkyNzIwMDcyM2FmNGU3NyIsIm5iZiI6MTY4NTU1Njk3OCwiaXNfd2FycCI6ZmFsc2UsImlzX2dhdGV3YXkiOmZhbHNlLCJ0eXBlIjoibWV0YSIsInJlZGlyZWN0X3VybCI6IlwvIiwibXRsc19hdXRoIjp7ImNlcnRfaXNzdWVyX3NraSI6IiIsImNlcnRfcHJlc2VudGVkIjpmYWxzZSwiY2VydF9zZXJpYWwiOiIiLCJjZXJ0X2lzc3Vlcl9kbiI6IiIsImF1dGhfc3RhdHVzIjoiTk9ORSJ9LCJhdXRoX3N0YXR1cyI6Ik5PTkUifQ.aT8AawLoDPllRJ-PdIphIfYrt6g56EVdry9-CVngEOE_6eukZKAPHixA7qbKTHb1hRec6Zn4WmUGSO2Rm_fzOx6ph004qpQNJOyQM-lA12FdGHzQ_bNNbwmgbtun4o8M6A6WEIxUZiA7ZQhzWt0sIE2m8pq7-JCnGbbjsI3yyoJ6Ub4S9qBDn86GktJkueTmoJ_opS1VoPXECkdgW3AumLNJabwoK6U_k9jlmnYPW60SLuuCbSfrdOqVLbJ9aA7zyklw-DVDdGg1lztLookvdMZ6bkIqP22V9bV5jCTYvxtQQkhN42T85gKb_wpf3i4DU9xwJLM6h0XK4ULWG6tr5A,https:
api-ci.moviexchange.com,,404,19,api-ci.moviexchange.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.moviexchange.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",190e25e1e701c52b1b4d36ee5f62db3a,7f87ca7f0f643957ea1662b16790cf1049b6e86e3f4a9dbfa029a0901a595c46,True,ctls,api-ci.moviexchange.com,443,https://api-ci.moviexchange.com:443,https,cloudflare,text/plain,GET,104.16.200.18,/,-138391155,2606:4700::6810:c912,Cloudflare,2,False,,"Cloudflare, Inc.",cloudflare,True,,
api.moviexchange.com,,404,19,api.moviexchange.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-17T00:00:00Z,2023-08-30T23:59:59Z,"CN=*.moviexchange.com, O=Vista Group International Limited, L=Auckland, C=NZ",*.moviexchange.com,moviexchange.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,059bfcdacea7638605e30bd072109635,b15db880847901f97d01c6e54a561b5fd9e4f0577315fe381930ff15caf7a21a,True,ctls,api.moviexchange.com,443,https://api.moviexchange.com:443,https,,text/plain,GET,20.109.130.67,/,-138391155,20.109.130.67,,2,False,,Vista Group International Limited,,,,
apidocs.moviexchange.com,The MX Showtimes and Tickets API,200,278027,apidocs.moviexchange.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-02T00:00:00Z,2024-04-01T23:59:59Z,"CN=apidocs.moviexchange.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",apidocs.moviexchange.com,apidocs.moviexchange.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",18211911ca49aa5cc8c212a7e0b1d583,496f618881f88bb0b2f5724c9a7bcc4e05156afa11aa81ebf7e75c4f759844e1,,ctls,apidocs.moviexchange.com,443,https://apidocs.moviexchange.com:443,https,cloudflare,text/html,GET,104.16.201.18,/,-1972962719,2606:4700::6810:c912,Heroku,240,False,,"Cloudflare, Inc.",cloudflare,True,https://apidocs.moviexchange.com/docs,
auth.moviexchange.com,movieXchange Authentication,200,1942,auth.moviexchange.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.moviexchange.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",190e25e1e701c52b1b4d36ee5f62db3a,7f87ca7f0f643957ea1662b16790cf1049b6e86e3f4a9dbfa029a0901a595c46,True,ctls,auth.moviexchange.com,443,https://auth.moviexchange.com:443,https,cloudflare,text/html,GET,104.16.200.18,/,-2005858064,2606:4700::6810:c812,Cloudflare,57,False,,"Cloudflare, Inc.",cloudflare,True,,https://fonts.gstatic.com/
autodiscover.moviexchange.com,Sign in to Outlook,200,202756,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,80,http://autodiscover.moviexchange.com:80,http,,text/html,GET,52.98.152.168,/,-1249852061,2603:1026:c0d:82f::8,HSTS,174,False,,Microsoft Corporation,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=ca7c1586-d0f7-c842-e150-3368865d57f1&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=moviexchange.com&nonce=638211537801902091.e3caf16c-e49e-474f-81d5-a7dbd8a3f5e4&state=DctBDsIgEEBR0Lu4kpYpUGDReJYRBm0iTlIVe_yyeH_3pRDi3J06qXuEn02YAJzxQUPUk44wkElYYE6KbCRlvS0qQHYKfb7ngKY4srK_15H_ON42wlddKreV9vTE94OGxPXS8oK_L-f1k7jRdgA,
curator.moviexchange.com,Sign in ・ Cloudflare Access,200,28359,moviexchange.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,True,ctls,moviexchange.cloudflareaccess.com,443,https://curator.moviexchange.com:443,https,cloudflare,text/html,GET,104.16.200.18,/,859701250,2606:4700::6810:c912,HSTS,75,False,,,cloudflare,True,https://moviexchange.cloudflareaccess.com/cdn-cgi/access/login/curator.moviexchange.com?kid=18b65621ef6e79509a297d3a06bf014c8117e6e921f8b977791d10dfeec2504b&redirect_url=%2F&meta=eyJraWQiOiI2NDNhMjg5MTQ1YTk3OTEwNjI5Y2IwZjRhMDI2ZjZiOTMxMTNiMTM0N2ZhNmYxZjhmZDFjZGFiNDY3NDk5NWQxIiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTY4NTU1Njk3OCwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6IjE4YjY1NjIxZWY2ZTc5NTA5YTI5N2QzYTA2YmYwMTRjODExN2U2ZTkyMWY4Yjk3Nzc5MWQxMGRmZWVjMjUwNGIiLCJob3N0bmFtZSI6ImN1cmF0b3IubW92aWV4Y2hhbmdlLmNvbSIsImFwcF9zZXNzaW9uX2hhc2giOiIzYWUwOTkyMjVmNGExY2I2NWZiM2Y3Y2E0YTJiMTZiYzA4ZDI3NTlkN2U2ZDljNGIyMmE0MjkyZWYzOTM2MzBhIiwibmJmIjoxNjg1NTU2OTc4LCJpc193YXJwIjpmYWxzZSwiaXNfZ2F0ZXdheSI6ZmFsc2UsInR5cGUiOiJtZXRhIiwicmVkaXJlY3RfdXJsIjoiXC8iLCJtdGxzX2F1dGgiOnsiY2VydF9pc3N1ZXJfc2tpIjoiIiwiY2VydF9wcmVzZW50ZWQiOmZhbHNlLCJjZXJ0X3NlcmlhbCI6IiIsImNlcnRfaXNzdWVyX2RuIjoiIiwiYXV0aF9zdGF0dXMiOiJOT05FIn0sImF1dGhfc3RhdHVzIjoiTk9ORSJ9.DRIqpsjACRoCmieskWVMo2RLZ88z3Mb-0iGSfshPSEs8jx3_dlyYGjD1lOyXMQfYmlP9CvqHznyLsgq9rifo1TN_S17PwazjjYTAP3V3czb4wFA4tlfSH0BJ5NqrqxquaHley4UBguuaWqHm9MaEOvmSuwqJKZSw4vXSVw4HEIebNxodWJ5L74hIicFDc81PqB3pIS7dt0XPdZJET2SJNRE3zSGBXzd6wHRN1knbjvJHf7RR7sucPaREZBbd0GlTTGhRIpMV6BrYTZ-VLh5ourHOKo7Fa0fGatyVTi7l-L_uGpRL_WnLQsmx9IN6BCC5bJB-pLMDJYw9S8KdJL15Rg,https:
docs.moviexchange.com,,400,351,docs.moviexchange.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-27T18:47:03Z,2024-04-21T18:47:03Z,"CN=*.blob.core.windows.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.blob.core.windows.net,*.z50.blob.storage.azure.net,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,a7ce15772384041b74f7a9fc7cf61888,c17ef611b77c8d3e5dcc4086116d36ad12d06868aec0db7bce9c74666fd405c4,True,ctls,docs.moviexchange.com,443,https://docs.moviexchange.com:443,https,Microsoft-HTTPAPI/2.0,application/xml,GET,52.183.104.36,/,653340801,52.183.104.36,Microsoft HTTPAPI:2.0,3,False,True,Microsoft Corporation,azure,True,,
enterpriseenrollment.moviexchange.com,Microsoft Intune admin center,200,39950,intune.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-20T00:03:25Z,2024-04-14T00:03:25Z,"CN=intune.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",intune.microsoft.com,intune.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,fbe882ad9daeb5df0f0d14db966ea3c8,d5bab55b00d08eec6b9981deee10c77d19ccdd091bfd836e38b6bc95a281a90d,,ctls,intune.microsoft.com,443,https://enterpriseenrollment.moviexchange.com:443,https,,text/html,GET,20.91.147.72,/,1631801191,20.91.147.72,HSTS,4,False,,Microsoft Corporation,,,https://intune.microsoft.com/,
