new,host,a,soa,status_code,ns,has_internal_ips,internal_ips,cname,caa,cdn,cdn-name
[x],mr05c1kmdc.atlassian-app.opsgenie.com,"104.192.142.16, 104.192.142.15, 104.192.142.17","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],msavertack24.atlassian-app.opsgenie.com,"185.166.143.34, 185.166.143.33, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],msavertacklgw.atlassian-app.opsgenie.com,"104.192.142.15, 104.192.142.17, 104.192.142.16","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],msavertacknationalretail.atlassian-app.opsgenie.com,"185.166.143.34, 185.166.143.33, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],msm-booking.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.35, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],mss-syd05-ngw-01-r3-951-1.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.34, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],mta-v17.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.34, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],munki.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.35, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],muster-gamma-iad.atlassian-app.opsgenie.com,"185.166.143.34, 185.166.143.35, 185.166.143.33","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],mwise.atlassian-app.opsgenie.com,"185.166.143.34, 185.166.143.35, 185.166.143.33","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1114.awsdns-11.org, ns-1818.awsdns-35.co.uk, ns-236.awsdns-29.com, ns-988.awsdns-59.net",,,,,,
[x],mx1-hnd-sp2.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.34, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],my-microservice-19.atlassian-app.opsgenie.com,"185.166.143.34, 185.166.143.33, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],myhcmmauat.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.33, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],myriad-service.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.34, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],nagios02-sjc1.atlassian-app.opsgenie.com,"185.166.143.34, 185.166.143.33, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],nasdaq-meli.app.opsgenie.com,"185.166.143.34, 185.166.143.35, 185.166.143.33","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],nbfkord-smmi24.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.33, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],ncnodenet.atlassian-app.opsgenie.com,"104.192.142.16, 104.192.142.17, 104.192.142.15","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],new-doc-docs.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.35, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],nhchc.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.34, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],nohop.app.opsgenie.com,"185.166.143.35, 185.166.143.34, 185.166.143.33","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],notificationsystems-rivendell-aws-dev.atlassian-app.opsgenie.com,"185.166.143.34, 185.166.143.35, 185.166.143.33","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],notifier.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.34, 185.166.143.33","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],np2p.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.33, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],oauth-p.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.34, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],oec.atlassian-app.opsgenie.com,"185.166.143.34, 185.166.143.35, 185.166.143.33","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],onebox.atlassian-app.opsgenie.com,"185.166.143.34, 185.166.143.35, 185.166.143.33","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],ont-base.atlassian-app.opsgenie.com,"104.192.142.17, 104.192.142.15, 104.192.142.16","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],optimus-internal-eu.app.opsgenie.com,"185.166.143.34, 185.166.143.33, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],opus-qc7.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.33, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],opusa41-cookies.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.34, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1114.awsdns-11.org, ns-1818.awsdns-35.co.uk, ns-236.awsdns-29.com, ns-988.awsdns-59.net",,,,,,
[x],opusa63.atlassian-app.opsgenie.com,"185.166.143.34, 185.166.143.33, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],opusd64.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.34, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],or1lic2.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.33, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],oxy-oxygen-481e10cf.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.34, 185.166.143.33","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],oxy-oxygen-57f860fe.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.35, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1114.awsdns-11.org, ns-1818.awsdns-35.co.uk, ns-236.awsdns-29.com, ns-988.awsdns-59.net",,,,,,
[x],oxy-oxygen-74-6-45-22.atlassian-app.opsgenie.com,"185.166.143.34, 185.166.143.33, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],oxyoxygen-628af23a.atlassian-app.opsgenie.com,"185.166.143.34, 185.166.143.35, 185.166.143.33","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],p04-pushws.app-backup.opsgenie.com,"185.166.143.35, 185.166.143.34, 185.166.143.33","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],p103-maildomainws.atlassian-app.opsgenie.com,"104.192.142.17, 104.192.142.15, 104.192.142.16","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],p3-fas.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.34, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1114.awsdns-11.org, ns-1818.awsdns-35.co.uk, ns-236.awsdns-29.com, ns-988.awsdns-59.net",,,,,,
[x],p301-escrowproxy.atlassian-app.opsgenie.com,"104.192.142.15, 104.192.142.17, 104.192.142.16","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],p306-buy.atlassian-app.opsgenie.com,,"ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],par01-prd-esmasdata-02c.atlassian-app.opsgenie.com,"185.166.143.34, 185.166.143.33, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1114.awsdns-11.org, ns-1818.awsdns-35.co.uk, ns-236.awsdns-29.com, ns-988.awsdns-59.net",,,,,,
[x],partnercensts.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.33, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],pavel-aharoni.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.34, 185.166.143.33","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1114.awsdns-11.org, ns-1818.awsdns-35.co.uk, ns-236.awsdns-29.com, ns-988.awsdns-59.net",,,,,,
[x],paymentrequestapi.atlassian-app.opsgenie.com,"185.166.143.34, 185.166.143.35, 185.166.143.33","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],pdvpfsbw1.atlassian-app.opsgenie.com,"104.192.142.17, 104.192.142.15, 104.192.142.16","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],peer.atlassian-app.opsgenie.com,"185.166.143.34, 185.166.143.35, 185.166.143.33","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1114.awsdns-11.org, ns-1818.awsdns-35.co.uk, ns-236.awsdns-29.com, ns-988.awsdns-59.net",,,,,,
[x],pessig2a.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.34, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],pesto.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.35, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],pgg3q4.atlassian-app.opsgenie.com,"104.192.142.16, 104.192.142.15, 104.192.142.17","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],pgg4bf.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.33, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],pkeene4.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.35, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],pknwm.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.34, 185.166.143.33","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],platform-eng-dev-karissa-test-misc-services.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.34, 185.166.143.33","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],plogin.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.33, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],plutter-na.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.34, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1114.awsdns-11.org, ns-1818.awsdns-35.co.uk, ns-236.awsdns-29.com, ns-988.awsdns-59.net",,,,,,
[x],pn-140-43.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.35, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],png2-sbx-tm-vip1.atlassian-app.opsgenie.com,,"ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],pnvbpamw1.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.33, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],policy.atlassian-app.opsgenie.com,"104.192.142.15, 104.192.142.17, 104.192.142.16","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],poolnformationlackbee.atlassian-app.opsgenie.com,"185.166.143.34, 185.166.143.35, 185.166.143.33","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],poolparty.atlassian-app.opsgenie.com,"185.166.143.34, 185.166.143.33, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1114.awsdns-11.org, ns-1818.awsdns-35.co.uk, ns-236.awsdns-29.com, ns-988.awsdns-59.net",,,,,,
[x],pr43.atlassian-app.opsgenie.com,"104.192.142.15, 104.192.142.16, 104.192.142.17","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],prayers.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.33, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],prd1mbuild2w.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.35, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],preferences-www6-1.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.33, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],prestable.atlassian-app.opsgenie.com,"185.166.143.34, 185.166.143.33, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],preview-app.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.33, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],prf-chargex-preprod.atlassian-app.opsgenie.com,"185.166.143.34, 185.166.143.35, 185.166.143.33","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],private-demo-stagingen-users.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.35, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],private-zhbtp4pzeuct6hpr.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.33, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],privatestagingconfluence-site-doc-corporate.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.34, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],privateusers-prod-db1site.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.33, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],prizc-zgldyxxd5abshtai.atlassian-app.opsgenie.com,"185.166.143.34, 185.166.143.33, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],prizc-zuo22irkthbfqg43.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.33, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],prodexmob1wsat.atlassian-app.opsgenie.com,"104.192.142.15, 104.192.142.16, 104.192.142.17","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],ptc-pcx-devsc-bl.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.33, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],publish-pic.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.33, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],pubmmr-zkttfk4whk72tupv.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.35, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],pubmmr-zrtvwwimkiwjrrex.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.34, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1114.awsdns-11.org, ns-1818.awsdns-35.co.uk, ns-236.awsdns-29.com, ns-988.awsdns-59.net",,,,,,
[x],pupkin.atlassian-app.opsgenie.com,"185.166.143.34, 185.166.143.35, 185.166.143.33","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],push.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.35, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],pv01sa-e05.atlassian-app.opsgenie.com,"185.166.143.34, 185.166.143.35, 185.166.143.33","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],pv11p01sa-d20.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.33, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],pv11p03sa-c03.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.34, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],pym.atlassian-app.opsgenie.com,"185.166.143.34, 185.166.143.33, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],qa-int.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.34, 185.166.143.33","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],qa-ml.atlassian-app.opsgenie.com,"104.192.142.16, 104.192.142.15, 104.192.142.17","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],qapublic-panel.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.34, 185.166.143.33","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],qbdtpaaf-stgf.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.34, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],qbshared-ppd.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.34, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],quickgrid.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.34, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],quota-dra.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.33, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],r11---sn-aigezned.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.35, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],rbeurcms01.atlassian-app.opsgenie.com,"185.166.143.34, 185.166.143.33, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1114.awsdns-11.org, ns-1818.awsdns-35.co.uk, ns-236.awsdns-29.com, ns-988.awsdns-59.net",,,,,,
[x],rbsk.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.34, 185.166.143.33","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1114.awsdns-11.org, ns-1818.awsdns-35.co.uk, ns-236.awsdns-29.com, ns-988.awsdns-59.net",,,,,,
[x],recurrent-privacy.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.34, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],redirect-pc1-scgob.atlassian-app.opsgenie.com,"185.166.143.34, 185.166.143.33, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],redirects-ssl.atlassian-app.opsgenie.com,"185.166.143.34, 185.166.143.35, 185.166.143.33","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],repair.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.34, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1114.awsdns-11.org, ns-1818.awsdns-35.co.uk, ns-236.awsdns-29.com, ns-988.awsdns-59.net",,,,,,
[x],review-dd-ssl-sel-vgqkk2.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.35, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],rsvd-zhtoqfr7dxayozah.app-backup.opsgenie.com,"185.166.143.34, 185.166.143.35, 185.166.143.33","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],rupload-cgk1-2.atlassian-app.opsgenie.com,"185.166.143.34, 185.166.143.35, 185.166.143.33","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],rush5.atlassian-app.opsgenie.com,"185.166.143.34, 185.166.143.35, 185.166.143.33","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],s13vlx.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.34, 185.166.143.33","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],s3-knock-outs.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.33, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1114.awsdns-11.org, ns-1818.awsdns-35.co.uk, ns-236.awsdns-29.com, ns-988.awsdns-59.net",,,,,,
[x],s3p-shield-kube-controller-webhook-f427d61.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.34, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],s4-recruiting.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.34, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],saab-a4-5.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.35, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],samiksha.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.33, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],sapdev.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.34, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],sasvpn.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.33, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],savehere.atlassian-app.opsgenie.com,"185.166.143.34, 185.166.143.35, 185.166.143.33","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1114.awsdns-11.org, ns-1818.awsdns-35.co.uk, ns-236.awsdns-29.com, ns-988.awsdns-59.net",,,,,,
[x],sc-cppm-sub10.atlassian-app.opsgenie.com,"104.192.142.16, 104.192.142.15, 104.192.142.17","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],scm-admins.atlassian-app.opsgenie.com,"104.192.142.15, 104.192.142.17, 104.192.142.16","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],scrx4e8fvb.atlassian-app.opsgenie.com,"104.192.142.17, 104.192.142.16, 104.192.142.15","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],sdb-02.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.35, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],sdk595ww.atlassian-app.opsgenie.com,"185.166.143.34, 185.166.143.35, 185.166.143.33","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],sdlcdash-dev3.atlassian-app.opsgenie.com,"185.166.143.34, 185.166.143.35, 185.166.143.33","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],sdnfcadm-ap.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.34, 185.166.143.33","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],sdt-platqaw1.atlassian-app.opsgenie.com,"104.192.142.16, 104.192.142.17, 104.192.142.15","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],sdt-recap-09.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.33, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],sdt-trans5.atlassian-app.opsgenie.com,"185.166.143.34, 185.166.143.33, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],seasiavpn.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.35, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1114.awsdns-11.org, ns-1818.awsdns-35.co.uk, ns-236.awsdns-29.com, ns-988.awsdns-59.net",,,,,,
[x],sera1-rel.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.33, 185.166.143.34","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],server-00fb793b-45dc-4.atlassian-app.opsgenie.com,"185.166.143.33, 185.166.143.34, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],server13.atlassian-app.opsgenie.com,"104.192.142.17, 104.192.142.16, 104.192.142.15","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],service-profile0-6.atlassian-app.opsgenie.com,"185.166.143.34, 185.166.143.33, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],sfm-taxap-lpa01.atlassian-app.opsgenie.com,"185.166.143.34, 185.166.143.33, 185.166.143.35","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],sftp-admin-catalog-development.atlassian-app.opsgenie.com,"185.166.143.35, 185.166.143.34, 185.166.143.33","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
