new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,txt,mx,ns,has_internal_ips,internal_ips,caa,ptr
[x],92zsrvr0.92z.baldor.com,87.245.121.34,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],abacusanalyzer.abb.com,"2.17.100.129, 2.17.100.184",,"abacusanalyzer.waf.abb, abacusanalyzer.abb.com.edgekey.net, e64218.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],abacusdashboards.abb.com,"52.49.8.106, 18.200.110.5, 63.35.63.17",,"redirect.abb.com, xc-alb-9aag8556-prod-ext01-1017646772.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],abb,,,,"ac1.nstld.com, info.verisign-grs.com",NOERROR,,,,,"a0.nic.abb, b0.nic.abb, a2.nic.abb, c0.nic.abb",,,,
[x],abb-fiext-hub02.fi.abb.com,"23.53.43.24, 23.53.43.8",,"abb-fiext-hub02.fi.waf.abb, abb-fiext-hub02.fi.abb.com.edgekey.net, e64218.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],abb-rcp-comm-drives.abb.com.cn,139.217.6.167,,abb-rcp-comm.chinacloudapp.cn,"ns1-01.azure-dns.cn, waboa.microsoft.com",NOERROR,,,,,,,,,
[x],abb.com.cn,52.30.171.72,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,"v=spf1 include:inet.spf.abb.com include:spf.sendcloud.org -all, DigiCert prevalidation for abb.com.cn, please send verification email to stanislaw.kaminski@pl.abb.com",,"nse2.abb.com, nse1.abb.com, nse3.abb.com",,,,
[x],abbtestmaintenance.fi.abb.com,"2.16.241.134, 2.16.241.150",,"abbtestmaintenance.fi.waf.abb, abbtestmaintenance.fi.abb.com.edgekey.net, e116720.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],abbtv.inside.abb.com,"54.220.158.156, 54.77.181.91",,xc-alb-media-prod-ext-167049270.eu-west-1.elb.amazonaws.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],abbtv.inside.stage.abb.com,,,xc-alb-media-stage-ext-2051250666.eu-west-1.elb.amazonaws.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],ability.abb.com,"18.200.110.5, 52.49.8.106, 63.35.63.17",,"redirect.abb.com, xc-alb-9aag8556-prod-ext01-1017646772.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],access-management.drives.abb.com,,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,True,azure,,,,,,,
[x],access.baldor.com,70.182.107.68,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],access.motion.abb.com,"2.17.100.233, 2.17.100.153",,"access.motion.waf.abb, access.motion.abb.com.edgekey.net, e119625.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],accessmanagement.motion.abb.com,"23.36.162.221, 23.36.162.214",,"accessmanagement.motion.waf.abb, accessmanagement.motion.abb.com.edgekey.net, e64218.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],accessmanagement.motion.abb.com.cn,,,accessmanagement-motion-abb-com.chinanorth3.cloudapp.chinacloudapi.cn,"ns1-09.azure-dns-2.cn, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,,,,
[x],account.buildingplus.abb.com.cn,,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],ace.stage.abb.com,"2.17.100.185, 2.17.100.248",,"stage.ace.abb.com, stage.ace.waf.abb, stage.ace.abb.com.edgekey.net, e116720.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],acrmpoc.it.abb.com,81.118.90.53,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],actricity.xe.abb.com,138.225.1.40,,,"xe-s-dnsis01z.xe.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],admin.accept.evcharging.abb.com,20.31.96.132,,"eveconacc-admin-tm.trafficmanager.net, accept-eve-we-applicationgateway-pubip.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,,,
[x],admin.edcs.abb.com,52.178.201.147,,"prodbiotbackend.azurewebsites.net, waws-prod-db3-061.vip.azurewebsites.windows.net, waws-prod-db3-061.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],admin.edcs.abb.com.cn,40.125.211.229,,"prodcnbiotbackend.chinacloudsites.cn, cnws-prod-bjb-007.sip.chinacloudsites.chinacloudapi.cn, cnws-prod-bjb-007.chinacloudapp.cn","ns1-01.azure-dns.cn, waboa.microsoft.com",NOERROR,,,,,,,,,
[x],admin.evcharging.abb.com,20.31.200.142,,"prod-eve-admin-tm.trafficmanager.net, prod-eve-we-applicationgateway-pubip.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,,,
[x],admin.evcharging.abb.com.cn,,,"prod-eve-admin-tm.trafficmanager.cn, prod-eve-cet-applicationgateway-pubip.chinaeast2.cloudapp.chinacloudapi.cn","ns1-04.azure-dns-1.cn, ns2.windowsazure.cn",NOERROR,,,,,,,,,
[x],admin.smartsensor.abb.com.cn,40.73.45.240,,smartsensor-ip-prod-02.chinanorth2.cloudapp.chinacloudapi.cn,"ns1-02.azure-dns.cn, ns2.windowsazure.cn",NOERROR,,,,,,,,,
[x],admin.stage.forum-controlsystems.abb.com,138.91.126.240,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,True,azure,,,,,,,
[x],admin.test.edcs.abb.com.cn,,,"tqacnbiotbackend.chinacloudsites.cn, cnws-prod-bjb-001.sip.chinacloudsites.chinacloudapi.cn, cnws-prod-bjb-001.chinacloudapp.cn","ns1-01.azure-dns.cn, waboa.microsoft.com",NOERROR,,,,,,,,,
[x],admin.testlab.evcharging.abb.com,20.93.218.47,,"testlab-eve-admin-tm.trafficmanager.net, testlab-eve-we-applicationgateway-pubip.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,,,
[x],adns1.abb.com,20.199.185.130,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],ahc.enterprisesoftware.abb,13.94.192.98,,,"ns1-06.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,True,azure,ahc-prod.azurewebsites.net,,"ns4-06.azure-dns.info, ns1-06.azure-dns.com, ns2-06.azure-dns.net, ns3-06.azure-dns.org",,,,
