input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,tls_subject_org_,tls_expired,final_url,csp_domains_,tls_self_signed
*.mc.yandex.ru,,404,,mc.yandex.ru,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-17T21:01:01Z,2023-08-27T20:59:59Z,"CN=mc.yandex.ru, O=Yandex LLC, L=Moscow, ST=Moscow, C=RU",mc.yandex.ru,informer.yandex.ru,"CN=GlobalSign ECC OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign ECC OV SSL CA 2018,GlobalSign nv-sa,2330f6ca6a7911ed93740e591d84329e,7be76f90c6c4980dfd54c21ed98ed59275d95ff96be80ca5d487baa10fd6098d,,ctls,mc.yandex.ru,,443,https://mc.yandex.ru:443,https,,,GET,93.158.134.119,/,-1840324437,2a02:6b8::1:119,HSTS,1,False,,,Yandex LLC,,,,
2625a019b068474d8fdabb3e6868f582.es-kibana.myteksi.net,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://2625a019b068474d8fdabb3e6868f582.es-kibana.myteksi.net:80,http,CloudFront,text/html,GET,13.32.121.11,/,-200130296,13.32.121.53,Amazon Web Services,20,False,True,,,,,,
271-dco-vc3-nsabb.donations.livestream.com,Login to Livestream,200,24763,livestream.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-19T00:00:00Z,2023-10-18T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",40f0a7164beb42f54b00d60ce0f61f93,3be2a8749710a618e778b6353b40352ba45ab232d4f22bbc40de3c7a89c1733e,,ctls,livestream.com,fastly,443,https://271-dco-vc3-nsabb.donations.livestream.com:443,https,cloudflare,text/html,GET,151.101.2.29,/,973546752,151.101.194.29,Varnish,557,False,True,,"Cloudflare, Inc.",,https://livestream.com/session/new,,
271-dco-vc3-nsabb.media.muslimpro.com,Error 404 (Not Found)!!1,404,1561,,,,,,,,,,,,,,,,,,,,80,http://271-dco-vc3-nsabb.media.muslimpro.com:80,http,ghs,text/html,GET,142.250.185.211,/,302920777,2a00:1450:4001:812::2013,,12,False,,,,,,,
271-dco-vc3-nsabb.ops.oasiscloud.io,404 Not Found,404,548,271-dco-vc3-nsabb.ops.oasiscloud.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-09T00:00:00Z,2024-03-08T23:59:59Z,"CN=oasiscloud.io, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",oasiscloud.io,*.ops.oasiscloud.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",f4854c796f3f2b794f3728706b6a29ef,cd671c301fe64b4a257bbfed74248e5d5fabdf03cf8be8a93569f6499915bea9,True,ctls,271-dco-vc3-nsabb.ops.oasiscloud.io,cloudflare,443,https://271-dco-vc3-nsabb.ops.oasiscloud.io:443,https,cloudflare,text/html,GET,104.22.59.107,/,566218143,2606:4700:10::ac43:24a5,HSTS,14,False,True,True,"Cloudflare, Inc.",,,,
271-dco-vc3-nsabb.prod.sqills.com,404 Not Found,404,548,271-dco-vc3-nsabb.prod.sqills.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-15T00:00:00Z,2024-01-13T23:59:59Z,CN=*.prod.sqills.com,*.prod.sqills.com,prod.sqills.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,d0eacdb8450c0484c7f21531c539481f,33a0226a5042f300c32b377c64d237b6f3492d974ffcf1187e52c63a27eaeffe,True,ctls,271-dco-vc3-nsabb.prod.sqills.com,,443,https://271-dco-vc3-nsabb.prod.sqills.com:443,https,nginx,text/html,GET,84.241.158.135,/,566218143,84.241.158.135,Nginx,14,False,,,,,,,
271-dco-vc3-nsabb.resources.mongodb.com,MongoDB: The Developer Data Platform | MongoDB,200,723209,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,True,ctls,www.mongodb.com,,443,https://271-dco-vc3-nsabb.resources.mongodb.com:443,https,,text/html,GET,52.206.222.245,/,-1138311082,54.175.147.155,HSTS,455,False,,,,,https://www.mongodb.com/,https://*.mongodb.com,
271-dco-vc3-nsabb.sg-dev.seek.com,,418,31,271-dco-vc3-nsabb.sg-dev.seek.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T00:11:51Z,2023-07-11T00:54:39Z,CN=*.sg-dev.seek.com,*.sg-dev.seek.com,*.sg-dev.seek.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,62957cde799fbb44d2a6cb2f7ed2bc95,8bc3458824dc5e1c9f6b5aa5b6dcdf2affba1d6e51a06d8688a63893cfa672df,True,ctls,271-dco-vc3-nsabb.sg-dev.seek.com,cloudflare,443,https://271-dco-vc3-nsabb.sg-dev.seek.com:443,https,cloudflare,text/plain,GET,104.18.0.110,/,-2113662151,2606:4700::6812:16e,HSTS,2,False,True,,,,,,
271-dco-vc3-nsabb.stage.twilio.com,ERROR: The request could not be satisfied,403,919,271-dco-vc3-nsabb.stage.twilio.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-13T00:00:00Z,2024-06-10T23:59:59Z,CN=*.stage.twilio.com,*.stage.twilio.com,stage.twilio.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8fd682dfc1719bab2c00428161c730f7,146bba01e6f08311eb6af4d1760c23e0ed95fd297f9b15b1b3a767a98d146144,True,ctls,271-dco-vc3-nsabb.stage.twilio.com,cloudfront,443,https://271-dco-vc3-nsabb.stage.twilio.com:443,https,CloudFront,text/html,GET,13.32.99.99,/,2103389744,13.32.99.43,Amazon Web Services,20,False,True,,,,,,
271-dco-vc3-nsabb.tianma-prd-in.vivo.com,403 Forbidden,403,548,271-dco-vc3-nsabb.tianma-prd-in.vivo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-01T00:00:00Z,2023-12-02T23:59:59Z,"CN=*.tianma-prd-in.vivo.com, O=vivo Mobile Communication Co.\, Ltd., L=Dongguan, ST=Guangdong Province, C=CN",*.tianma-prd-in.vivo.com,*.tianma-prd-in.vivo.com,"CN=Secure Site CA G2, OU=www.digicert.com, O=DigiCert Inc, C=US",Secure Site CA G2,DigiCert Inc,e9e8432b3ca8671e3edaf95c1361f3c5,9771e622205c39200c8fec707d64b52d11979b54e1e5b711492f9845ecabbddd,True,ctls,271-dco-vc3-nsabb.tianma-prd-in.vivo.com,,443,https://271-dco-vc3-nsabb.tianma-prd-in.vivo.com:443,https,nginx,text/html,GET,129.227.254.190,/,-963616178,129.227.254.190,Nginx,14,False,,,"vivo Mobile Communication Co., Ltd.",,,,
271-dco-vc3-nsabb.unified.seek.com,,403,16,,,,,,,,,,,,,,,,,,,cloudflare,80,http://271-dco-vc3-nsabb.unified.seek.com:80,http,cloudflare,text/plain,GET,104.18.22.53,/,1253481126,104.18.23.53,Cloudflare Bot Management,1,False,True,,,,,,
2810abbf.ngrok.io,,404,54,2810abbf.ngrok.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-27T00:01:22Z,2023-07-26T00:01:21Z,CN=*.ngrok.io,*.ngrok.io,ngrok.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b3c990ec30025a3c3558a9f0e4abbf0a,89a2e2345c75ca0be10a8652d97bdf52330cc1d0f11eaefa90358bf7501a4e5b,True,ctls,2810abbf.ngrok.io,,443,https://2810abbf.ngrok.io:443,https,,text/plain,GET,3.13.191.225,/,983653510,2600:1f16:d83:1202::6e:2,,4,False,,,,,,,
2abbd6d.odoo.com,Typo | Odoo,200,41729,www.odoo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-15T07:30:56Z,2023-07-14T07:30:55Z,CN=*.odoo.com,*.odoo.com,odoo.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c67064c2551df279623555c2339e1e44,bf8db9cb4860282a546534b8cebd2e8c228c647ee61af6c0d72a3af11f4f5384,True,ctls,www.odoo.com,,443,https://2abbd6d.odoo.com:443,https,nginx,text/html,GET,141.94.74.34,/,-2056854727,141.94.74.34,Python,596,False,,,,,https://www.odoo.com/typo?domain=2abbd6d.odoo.com&autodbname=2abbd6d&hosting=eu177a.odoo.com,,
