new,host,a,cname,soa,status_code,aaaa,txt,cdn,cdn-name,ns,mx,caa,has_internal_ips,internal_ips
,amremote-phx.rabobank.com,74.118.218.13,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,amremote.rabobank.com,74.118.216.13,amremote.rabobank.akadns.net,"internal.akadns.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,amremote21.rabobank.com,74.118.218.13,amremote-phx.rabobank.com,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,amremotepcy.rabobank.com,74.118.216.13,amremotepcy.rabobank.akadns.net,"internal.akadns.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,analytics.rabobank.com,93.188.252.91,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,anfc157f.rabobank.nl,92.64.199.129,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,anomali-integrator-dev.rabobank.com,51.137.10.220,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,True,azure,,,,,
,anomali-integrator.rabobank.com,20.23.22.34,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,ap.vc.rabobank.com,145.72.124.88,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,apac-guest-wifi.rabobank.com,169.69.69.69,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,api-acpt-src.rabobank.nl,145.72.99.2,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,api-acpt.rabobank.nl,"2.16.187.19, 2.16.187.48","api-acpt.rabobank.nl.edgekey.net, e67916.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:6c00::210:bb13, 2a02:26f0:6c00::210:bb30",,,,,,,,
,api-dev.digitalbrazil.rabobank.com,191.235.206.105,appgtw-dev-br-shared.brazilsouth.cloudapp.azure.com,"ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,,,True,azure,,,,,
,api-njs.rabobank.com,74.118.223.42,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,api-sandbox-acpt-src.rabobank.nl,,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,api-sandbox-acpt.rabobank.nl,"2.17.100.235, 2.17.100.163","api-sandbox-acpt.rabobank.nl.edgekey.net, e24690.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:3100::1735:2bb2, 2a02:26f0:3100::1735:2ba9",,,,,,,,
,api-sandbox.rabobank.nl,"23.213.161.197, 23.213.161.217","api-sandbox.rabobank.nl.edgekey.net, e88140.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:3500:14::1724:a24e, 2a02:26f0:3500:14::1724:a24f",,,,,,,,
,api-sdc.rabobank.com,85.119.18.42,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,api-sit.digitalbrazil.rabobank.com,191.233.245.124,appgtw-sit-br-shared.brazilsouth.cloudapp.azure.com,"ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,,,True,azure,,,,,
,api-src.rabobank.nl,145.72.108.16,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,api-test.powerplatform.rabobank.nl,20.238.24.169,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,api-uat.dasfn.rabobank.com,191.233.23.30,appgtw-uat-br-shared.brazilsouth.cloudapp.azure.com,"ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,,,True,azure,,,,,
,api.dasfn.rabobank.com,191.233.28.160,appgtw-prd-br-shared.brazilsouth.cloudapp.azure.com,"ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,,,True,azure,,,,,
,api.digitalbrazil.rabobank.com,191.233.28.160,appgtw-prd-br-shared.brazilsouth.cloudapp.azure.com,"ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,,,True,azure,,,,,
,api.powerplatform.rabobank.nl,20.13.160.37,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,api.rabobank.com,85.119.18.42,api-sdc.rabobank.com,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,api.rabobank.nl,"2.16.187.58, 2.16.187.17","api.rabobank.nl.edgekey.net, e37206.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:6c00::210:bb3a, 2a02:26f0:6c00::210:bb11",,,,,,,,
,apigw-dev-src.integration.rabobank.nl,188.200.99.154,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,apigw-src.integration.rabobank.nl,188.200.99.153,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,apigw-staging-src.integration.rabobank.nl,188.200.99.155,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,apin-acpt-src.rabobank.nl,145.72.99.59,,,NOERROR,,,,,,,,,
,apin-sandbox-acpt-src.rabobank.nl,145.72.99.60,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,apin-sandbox-acpt.rabobank.nl,"62.115.252.57, 62.115.252.26","apin-sandbox-acpt.rabobank.nl.edgekey.net, e36569.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2001:2030:21::3e73:fc1a, 2001:2030:21::3e73:fc39",,,,,,,,
,apin-sandbox-src.rabobank.nl,145.72.108.47,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,apin-sandbox.rabobank.nl,"23.213.161.212, 23.213.161.223","apin-sandbox.rabobank.nl.edgekey.net, e114688.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:ab00::5c7a:d70a, 2a02:26f0:ab00::214:8e6a",,,,,,,,
,apin-src.rabobank.nl,145.72.108.46,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,apin.rabobank.nl,"2.16.241.133, 2.16.241.147","apin.rabobank.nl.edgekey.net, e115949.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:480:c::210:f193, 2a02:26f0:480:c::210:f185",,,,,,,,
,apportal-sin.rabobank.com,203.127.42.88,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,apportal.rabobank.com,203.127.42.88,apportal.rabobank.akadns.net,"internal.akadns.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,apportal11.rabobank.com,203.127.42.88,apportal-sin.rabobank.com,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,apportal21.rabobank.com,61.8.255.248,apportal-sib.rabobank.com,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,apps-ota.kwx.rabobank.nl,145.72.120.24,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,apps.pcf-t01-extsign.rabobank.nl,,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,v=spf1 -all,,,"a7-64.akam.net, a18-65.akam.net, a20-66.akam.net, a3-67.akam.net, a12-64.akam.net, a1-191.akam.net",,,,
,apps.pcf-t01.rabobank.nl,,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,v=spf1 -all,,,"a7-64.akam.net, a3-67.akam.net, a20-66.akam.net, a18-65.akam.net, a12-64.akam.net, a1-191.akam.net",,,,
,apps.pcf-t02-we.rabobank.nl,,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,"a3-67.akam.net, a18-65.akam.net, a20-66.akam.net, a7-64.akam.net, a12-64.akam.net, a1-191.akam.net",,,,
,apps.pcf-t02.rabobank.nl,,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,v=spf1 -all,,,"a7-64.akam.net, a1-191.akam.net, a20-66.akam.net, a12-64.akam.net, a18-65.akam.net, a3-67.akam.net",,,,
,apps.pcf-tst-extsign.rabobank.nl,,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,v=spf1 -all,,,"a20-66.akam.net, a7-64.akam.net, a1-191.akam.net, a12-64.akam.net, a3-67.akam.net, a18-65.akam.net",,,,
,apremote-a-sis.rabobank.com,118.201.85.122,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,apremote-cnhkg.rabobank.com,203.208.160.38,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,apremote.rabobank.com,118.201.85.122,apremote.rabobank.akadns.net,"internal.akadns.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,apremote21.rabobank.com,203.208.160.38,apremote-cnhkg.rabobank.com,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,atdc-acc.rabobank.nl,51.138.110.161,atd-acc.alpamayoprd.azure.rabo.cloud,"ns1-08.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,True,azure,,,,,
,atdc-dev.test.rabobank.nl,104.45.72.252,atd-dev.alpamayo.azure.rabo.cloud,"ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,True,azure,,,,,
,atdc.rabobank.nl,51.138.110.161,atd-prod.alpamayoprd.azure.rabo.cloud,"ns1-08.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,True,azure,,,,,
,atdc.test.rabobank.nl,104.45.72.252,atd-test.alpamayo.azure.rabo.cloud,"ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,True,azure,,,,,
,atrc-acc.rabobank.nl,20.126.142.220,atr-acc.atralpamayoprd.azure.rabo.cloud,"ns1-03.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,,,,
,autodiscover.rabobank.com,145.72.120.28,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,autolst-staging.rabobank.com,20.224.75.54,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,autolst.rabobank.com,13.93.84.192,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,True,azure,,,,,
,bankieren-acpt2-src.rabobank.nl,145.72.99.13,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,bankieren-acpt2.rabobank.nl,"23.53.43.24, 23.53.42.232","bankieren-acpt.rabobank.nl.edgekey.net, e95558.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,bankieren-acpt3-src.rabobank.nl,145.72.99.14,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,bankieren-acpt3.rabobank.nl,"23.213.161.215, 23.213.161.224","bankieren-acpt.rabobank.nl.edgekey.net, e95558.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:ab00::5c7a:d721, 2a02:26f0:ab00::5c7a:d768",,,,,,,,
,bankieren-acpt4-src.rabobank.nl,145.72.99.15,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,bankieren-nga2-src.rabobank.nl,145.72.99.17,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,bankieren-nga2.rabobank.nl,"23.213.161.224, 23.213.161.215","bankieren-nga.rabobank.nl.edgekey.net, e95558.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:ab00::5c7a:d721, 2a02:26f0:ab00::5c7a:d768",,,,,,,,
,bankieren-nga3-src.rabobank.nl,145.72.99.18,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,bankieren-nga3.rabobank.nl,"96.16.54.186, 96.16.54.129","bankieren-nga.rabobank.nl.edgekey.net, e95558.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:d8::1740:c42, 2a02:26f0:d8::1740:c43",,,,,,,,
,bankieren-nga4-src.rabobank.nl,145.72.99.19,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,bankieren-sandbox-src.rabobank.nl,,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,bankieren-src.rabobank.nl,145.72.108.18,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,bankieren-verificatie-src.rabobank.nl,145.72.108.17,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,bankieren-verificatie.rabobank.nl,"104.110.240.16, 104.110.240.40","bankieren-verificatie.rabobank.nl.edgekey.net, e114034.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:c900:9::5f65:4aa0, 2a02:26f0:c900:9::5f65:4a96",,,,,,,,
,bankieren.rabobank.nl,,"bankieren.rabobank.nl.edgekey.net, e82494.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,banking-acpt2-src.rabobank.com,,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,banking-acpt3-src.rabobank.com,145.72.99.22,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,banking-acpt4.rabobank.com,"80.239.137.146, 62.115.252.18","banking-acpt.rabobank.com.edgekey.net, e95558.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2001:2030:21::3e73:fc12, 2001:2030:21::50ef:8992",,,,,,,,
,banking-verification-src.rabobank.com,145.72.108.19,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,banking-verification.rabobank.com,"95.101.111.152, 95.101.111.165","banking-verification.rabobank.com.edgekey.net, e114034.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:480:23::1726:62b8, 2a02:26f0:480:23::1726:62a8",,,,,,,,
,banking.rabobank.com,"62.115.252.74, 62.115.252.10","banking.rabobank.com.edgekey.net, e106496.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2001:2030:21::3e73:fc0a, 2001:2030:21::3e73:fc4a",,,,,,,,
,bdrp2acc.rabobank.nl,13.94.144.223,"bdrpaccapim.azure-api.net, apimgmttmqpgs0tgy5twfogm02dblqidplkj41xjzb708cajtk.trafficmanager.net, bdrpaccapim-westeurope-01.regional.azure-api.net, apimgmthsyzayzeof6nassd1nmadl1zxdhgjrqumcvjuleicu7.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,True,azure,,,,,
,bdrp2dev.rabobank.nl,104.46.36.165,"bdrpdevapim.azure-api.net, apimgmttm7wz1d1h2laavmtrrz4hewehhbuvctczcrcxcm9rkb.trafficmanager.net, bdrpdevapim-westeurope-01.regional.azure-api.net, apimgmthsabrfuvdtppieowg04nf1pflbm9oymih9rc0iaiu5f.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,True,azure,,,,,
,bdrp2prd.rabobank.nl,40.68.227.56,"bdrpprdapim.azure-api.net, apimgmttm51fjwh0ey24huo7vnjx7siivoa6kzpkfjcpob7onl.trafficmanager.net, bdrpprdapim-westeurope-01.regional.azure-api.net, apimgmthsolq4kgqo9yyjrepzzemiyxl0jjcwok2ixcbesinth.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,True,azure,,,,,
,bdrp2tst.rabobank.nl,40.68.57.7,"bdrptstapim.azure-api.net, apimgmttmh6aj4zk53fx6dncrbclj41t20cmhflwzfw4fuyipd.trafficmanager.net, bdrptstapim-westeurope-01.regional.azure-api.net, apimgmthsc3fxjpo9nhotgfzsfrc9uix4whkbhnharci1dk87x.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,True,azure,,,,,
,bedrijfshistorie.rabobank.com,195.93.224.197,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,bedrijven.rabobank.nl,172.246.25.147,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,"v=spf1 include:spf.sendinblue.com include:rabobank.nl -all, Om2eKfDFoy6/avEsw4dN4XyUa8OgU7gDjZI9MvSxwTJcYMWwc4nHVJODnARfAKlOci4LCKQaAALYqFLDOcINQA==",,,,bedrijven.rabobank.nl,,,
,beslagendesk.rabobank.nl,185.52.104.40,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,"9nNytyDBnjWN10d5IbTeHXeKZ9URZAOn1zUbnQh+UXbhtwN8JrEmLPfiW9uHHMswLIqoHo5z2DFDKh0y589Law==, v=spf1 a:mailrelay.motiv.nl -all",,,,beslagendesk-rabobank-nl.mail.protection.outlook.com,,,
,betaalverzoek-acpt2.rabobank.nl,,"betaalverzoek-acpt.rabobank.nl.edgekey.net, e95558.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:7100::210:14a, 2a02:26f0:7100::210:179",,,,,,,,
,betaalverzoek-acpt3-src.rabobank.nl,145.72.99.44,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,betaalverzoek-acpt3.rabobank.nl,"2.16.187.11, 2.16.187.32","betaalverzoek-acpt.rabobank.nl.edgekey.net, e95558.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:6c00::210:bb20, 2a02:26f0:6c00::210:bb0b",,,,,,,,
,betaalverzoek.rabobank.nl,"23.213.161.216, 23.213.161.206","betaalverzoek.rabobank.nl.edgekey.net, e76643.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:3500:14::1724:a246, 2a02:26f0:3500:14::1724:a248",,,,,,,,
,betalen-acpt2-src.rabobank.nl,145.72.99.29,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,betalen-acpt3-src.rabobank.nl,145.72.99.30,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,betalen-acpt3.rabobank.nl,"95.101.111.135, 95.101.111.181","betalen-acpt.rabobank.nl.edgekey.net, e95558.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:480:23::1726:62a0, 2a02:26f0:480:23::1726:62b3",,,,,,,,
,betalen-acpt4-src.rabobank.nl,145.72.99.31,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,betalen-acpt4.rabobank.nl,"62.115.252.18, 80.239.137.146","betalen-acpt.rabobank.nl.edgekey.net, e95558.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2001:2030:21::3e73:fc12, 2001:2030:21::50ef:8992",,,,,,,,
,betalen-src.rabobank.nl,145.72.108.22,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,betalen-verificatie-src.rabobank.nl,145.72.108.14,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,betalen-verificatie.rabobank.nl,"23.213.161.218, 23.213.161.206","betalen-verificatie.rabobank.nl.edgekey.net, e114034.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:3500:14::1724:a24d, 2a02:26f0:3500:14::1724:a24f",,,,,,,,
,betalen.rabobank.nl,"23.33.238.18, 23.33.238.67","betalen.rabobank.nl.edgekey.net, e76643.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2600:1400:c000::172b:3ae0, 2600:1400:c000::172b:3a89",,,,,,,,
,bounce.alerts.rabobank.nl,108.168.255.75,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,v=spf1 include:rabobank.nl -all,,,,bounce.alerts.rabobank.nl,,,
,bounce.info.rabobank.nl,108.168.255.75,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,v=spf1 include:rabobank.nl -all,,,,bounce.info.rabobank.nl,,,
,brandportal.rabobank.nl,193.36.148.133,rabobank.papirfly.com,"ns1.hyp.net, hostmaster.domeneshop.no",NOERROR,,,,,,,,,
,brdevportal-div.rabobank.com,74.118.221.37,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,brdevportal-qdv.rabobank.com,74.118.222.37,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,brdevportal.rabobank.com,74.118.221.37,brdevportal.rabobank.akadns.net,"internal.akadns.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,brdevportal11.rabobank.com,74.118.222.37,brdevportal-qdv.rabobank.com,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,brdevportal21.rabobank.com,74.118.221.37,brdevportal-div.rabobank.com,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,brein.acceptatie.rabobank.nl,145.219.241.5,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,brein.test.rabobank.nl,145.219.187.20,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,brportal-div.rabobank.com,74.118.221.36,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,brportal-qdv.rabobank.com,74.118.222.36,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,brportal.rabobank.com,74.118.221.36,brportal.rabobank.akadns.net,"internal.akadns.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,brportal11.rabobank.com,,brportal-qdv.rabobank.com,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,brportal21.rabobank.com,74.118.221.36,brportal-div.rabobank.com,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,brremote-div.rabobank.com,74.118.221.38,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,brremote-qdv.rabobank.com,,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,brremote.rabobank.com,74.118.221.38,brremote.rabobank.akadns.net,"internal.akadns.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,brremote11.rabobank.com,,brremote-qdv.rabobank.com,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,brremote21.rabobank.com,74.118.221.38,brremote-div.rabobank.com,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,bstlsae02.rabobank.com,"145.72.124.66, 145.72.124.69",,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,bstlswc02.rabobank.com,"145.72.124.67, 145.72.124.70",,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,bstpdrsbc01.rabobank.com,145.72.124.116,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,bt--eudevportal-vip.twp.rabobank.com,145.72.122.19,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,bt--euportal-vip.twp.rabobank.com,145.72.122.18,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,bt--euuatportal-vip.twp.rabobank.com,145.72.122.20,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,bt--monitoringportaal-vipu.twp.rabobank.nl,,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,bt-eudevportal-vip.twp.rabobank.com,145.72.122.19,bt--eudevportal-vip.twp.rabobank.com,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,bt-euportal-vipu.twp.rabobank.com,145.72.122.20,bt--euportal-vipu.twp.rabobank.com,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,bx--euportal-vipu.twp.rabobank.com,145.72.123.20,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,bx--euuatportal-vip.twp.rabobank.com,145.72.123.20,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,bx--monitoringportaal-a-vipu.twp.rabobank.nl,145.72.123.12,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,bx--monitoringportaal-vipu.twp.rabobank.nl,145.72.123.4,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,bx--vpx04-ext-snip.twp.rabobank.com,145.72.123.46,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,bx-eudevportal-vip.twp.rabobank.com,145.72.123.19,bx--eudevportal-vip.twp.rabobank.com,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,bx-euportal-vipu.twp.rabobank.com,145.72.123.20,bx--euportal-vipu.twp.rabobank.com,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,bxtlsae01.rabobank.com,"85.119.16.180, 85.119.16.184",,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,bxtlswc01.rabobank.com,"85.119.16.185, 85.119.16.190",,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,bxtlswc02.rabobank.com,"145.72.124.83, 145.72.124.86",,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,calculationengine.cloudbr.rabobank.com,191.233.28.160,appgtw-prd-br-shared.brazilsouth.cloudapp.azure.com,"ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,,,True,azure,,,,,
,calculationengine.cloudbrdev.rabobank.com,191.235.206.105,appgtw-dev-br-shared.brazilsouth.cloudapp.azure.com,"ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,,,True,azure,,,,,
,calculationengine.cloudbrsit.rabobank.com,191.233.245.124,appgtw-sit-br-shared.brazilsouth.cloudapp.azure.com,"ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,,,True,azure,,,,,
,calculationengine.cloudbruat.rabobank.com,191.233.23.30,appgtw-uat-br-shared.brazilsouth.cloudapp.azure.com,"ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,,,True,azure,,,,,
,caps-pcy.rabobank.com,74.118.216.78,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,caps.rabobank.com,74.118.216.78,caps-pcy.rabobank.com,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,capsdev.rabobank.com,74.118.216.77,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,car-test.rabobank.com,"3.125.189.196, 3.127.11.115, 3.126.216.110","car-test.rabobank.com.cname.mendix.net, elb.bbl-prod-2.eu-central-1.mendixcloud.net","ns-888.awsdns-47.net, awsdns-hostmaster.amazon.com",NOERROR,"2a05:d014:145:aa00:63e4:ad8e:c1c7:8675, 2a05:d014:145:aa02:39cc:ca87:679c:1a44, 2a05:d014:145:aa01:e7ed:1bdf:317c:168e",,,,,,,,
