new,host,a,cname,soa,ns,status_code,cdn,cdn-name,aaaa,mx,txt,caa
[x],208-64-200-225.steampowered.com,,,,,NOERROR,,,,,,
[x],7g5v9w9yv2wz9yq3.www.new.blog.counter-strike.net,"192.0.78.24, 192.0.78.25",new.blog.counter-strike.net,"ns1.wordpress.com, hostmaster.wordpress.com","ns2.wordpress.com, ns1.wordpress.com, ns3.wordpress.com",NOERROR,,,,,,
[x],adfs.valvesoftware.com,208.64.203.155,,"a1-164.akam.net, admin.valvesoftware.com",,NOERROR,,,,,,
[x],admin-jayarustpass.telapiwww.new.blog.counter-strike.net,"192.0.78.24, 192.0.78.25",new.blog.counter-strike.net,"ns1.wordpress.com, hostmaster.wordpress.com","ns2.wordpress.com, ns1.wordpress.com, ns3.wordpress.com",NOERROR,,,,,,
[x],admin.wiki.teamfortress.com,208.64.202.101,,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,,,,,,
[x],akamai.steampowered.com,,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],api-beta.steampowered.com,208.64.202.85,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],api.origin.steampowered.com,208.64.202.85,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],api.steampowered.com,23.212.216.106,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],apilb-01-tuk1.steampowered.com,208.64.202.119,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],aplvm7vhbiwc8u3v.beta.mallww.new.blog.counter-strike.net,"192.0.78.24, 192.0.78.25",new.blog.counter-strike.net,"ns1.wordpress.com, hostmaster.wordpress.com","ns2.wordpress.com, ns1.wordpress.com, ns3.wordpress.com",NOERROR,,,,,,
[x],art.counter-strike.net,,,,,NOERROR,,,,,,
[x],blog.counter-strike.net,"192.0.78.179, 192.0.78.231",,"ns1.wordpress.com, hostmaster.wordpress.com",,NOERROR,,,,,,
[x],blog.dota2.com,"104.18.37.57, 172.64.150.199",,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,True,cloudflare,,,,
[x],blogs.valvesoftware.com,69.192.67.3,www.valvesoftware.com,"a1-164.akam.net, admin.valvesoftware.com",,NOERROR,,,,,,
[x],bots.counter-strike.net,,,,,NOERROR,,,,,,
[x],br.blog.dota2.com,"188.114.99.229, 188.114.98.229",,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,True,cloudflare,,,,
[x],br.dota2.com,,,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,True,cloudflare,,,,
[x],bulkmail.steampowered.com,208.64.202.36,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],bump.steampowered.com,,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cafe.steampowered.com,104.130.132.85,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cafesupport.steampowered.com,104.130.132.85,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],cdn-01-origin.steampowered.com,"192.69.97.4, 208.78.167.26, 208.78.165.154, 192.69.97.5","cdn.origin.steamstatic.com, cdn.steam.akadns.net","internal.akadns.net, hostmaster.akamai.com",,NOERROR,,,,,,
[x],cdn-01.steampowered.com,"208.78.165.154, 192.69.97.5, 192.69.97.4, 208.78.167.26","cdn-01-origin.steampowered.com, cdn.origin.steamstatic.com, cdn.steam.akadns.net","internal.akadns.net, hostmaster.akamai.com",,NOERROR,,,,,,
[x],cdn.dota2.com,"172.64.150.199, 104.18.37.57",,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,True,cloudflare,,,,
[x],cdn.steamcommunity.com,"2.16.91.11, 2.16.91.17","community.akamai.steamstatic.com.edgesuite.net, a1697.b.akamai.net","n0b.akamai.net, hostmaster.akamai.com",,NOERROR,,,,,,
[x],cdn.steampowered.com,"23.55.161.12, 23.55.161.39","storefront.akamai.steamstatic.com.edgesuite.net, a1189.g1.akamai.net","n0g1.akamai.net, hostmaster.akamai.com",,NOERROR,,,,,,
[x],cdn.store.steampowered.com,"92.122.101.33, 92.122.101.34","store.akamai.steamstatic.com.edgesuite.net, a1737.b.akamai.net","n0b.akamai.net, hostmaster.akamai.com",,NOERROR,,,,,,
[x],cdn4.steampowered.com,"2.19.205.43, 2.19.205.81","akacdn.valve.com.edgesuite.net, a1507.d.akamai.net","n0d.akamai.net, hostmaster.akamai.com",,NOERROR,,,,,,
[x],cdn4.store.steampowered.com,"2.16.107.26, 2.16.107.88","akacdn.valve.com.edgesuite.net, a1507.d.akamai.net","n0d.akamai.net, hostmaster.akamai.com",,NOERROR,,,,,,
