new,host,a,aaaa,cname,soa,status_code,mx,txt,caa,ns,cdn,cdn-name
[x],parool.nl,,"2a02:26f0:7100::210:108, 2a02:26f0:7100::210:121",,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com","_globalsign-domain-verification=nsqnD7wwhGNdAOhsaYaOrHYUUv235YiSl78GYluXBl, google-site-verification=XSC00M3Z3pG0_oe0X2HfgkfGd6cS0TWRi7oJ1rzxirM, google-site-verification=_P93-8PNG2FsEtNQRe4cpKAmrC1u8Zuda61rMXUkeEo, L92j0kgqhvAZ7e3fpCHfY9lQYZvkyqROvtJRykweyCacctepHUYjW4LmiNMHD8/PBS3Oc9xHD1iiajYFGCesaA==, 332mt5ir0sr0j7r9va5dtkm8ac, google-site-verification=uWTvpecqGST9D6fUKk7luLpxvwMsdN_EcXdk-zhmUQY, MS=ms34981512, persgroep-ecommerce-prod.azurewebsites.net, google-site-verification=jwa7nlVqRJ0y8iqztNPrOMpzm3M7IcZE5nWt7XMHVk8, v=spf1 ip4:146.185.48.0/21 ip4:217.68.27.250 ip4:217.68.27.206 ip4:80.69.72.128/28 ip4:87.253.151.0/24 ip4:79.143.217.1/24,  ip4:87.233.195.0/24 ip4:87.233.192.0/24 ip4:194.88.230.32/27 ip4:194.88.231.0/24 , include:_spf.google.com  include:et._spf.pardot.com include:spf.flowmailer.net include:amazonses.com include:spf.mailjet.com -all, facebook-domain-verification=5y2hnnfxeeeifl104z2i0r3czwtbbo",,"eur5.akam.net, eur6.akam.net, usc2.akam.net, eur2.akam.net, use2.akam.net, use5.akam.net, ns1-125.akam.net, ns1-25.akam.net",,
,abonnement.parool.nl,"2.17.100.226, 2.17.100.202",,"shops.tapp.dpgmedia.cloud.edgekey.net, e115161.dscb.akamaiedge.net",,NOERROR,,,,,,
,acc-webwinkel.parool.nl,83.138.137.59,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
,acc.meer.parool.nl,"92.123.189.98, 92.123.189.41","2a02:26f0:d8::1740:c31, 2a02:26f0:d8::1740:c3b","common2.dpp.edgekey.net, e12230.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
,acc.parool.nl,"95.101.74.133, 95.101.74.154","2a02:26f0:c900:9::5f65:4a85, 2a02:26f0:c900:9::5f65:4a9a","dpp-parool-wc.edgekey.net, e29928.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
,acc.webwinkel.parool.nl,83.138.137.59,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
,account.parool.nl,"2.20.142.19, 2.20.143.99","2a02:26f0:ab00::214:8e42, 2a02:26f0:ab00::214:8e60","dpgm-account.edgekey.net, e123360.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
,accounts.parool.nl,"52.49.16.186, 52.212.156.205, 54.229.120.124, 52.17.82.217, 52.17.121.244, 52.19.57.181, 52.30.9.119, 52.31.157.92",,"accounts-ad-nl.sslproxy.gigya.com, sslproxy.eu1.gigya.com, lb.eu1.gigya.com","dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,
,advertorial.parool.nl,"95.101.74.154, 95.101.74.133","2a02:26f0:c900:9::5f65:4a9a, 2a02:26f0:c900:9::5f65:4a85","dpp-parool-wc.edgekey.net, e29928.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
,beta.parool.nl,"88.221.24.97, 88.221.24.50","2a02:26f0:480:23::1726:62ba, 2a02:26f0:480:23::1726:628d","dpp-parool-wc.edgekey.net, e29928.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
,brandedcontent.parool.nl,"62.115.252.8, 62.115.252.48","2001:2030:21::3e73:fc08, 2001:2030:21::3e73:fc30","dpp-parool-wc.edgekey.net, e29928.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
,cmp.parool.nl,"13.32.121.85, 13.32.121.91, 13.32.121.98, 13.32.121.43",,cdn-1294.privacy-mgmt.com,"ns-840.awsdns-41.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront
,dagkrant.parool.nl,146.185.54.239,,www5524.persgroep.be,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
,dev-service.parool.nl,"92.123.189.67, 92.123.189.11","2a02:26f0:d8::1740:c43, 2a02:26f0:d8::1740:c40","dpp-parool-wc.edgekey.net, e29928.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
,digitalekrant.parool.nl,"46.30.127.84, 46.30.127.87, 46.30.127.86, 46.30.127.88, 46.30.126.143, 46.30.126.135, 46.30.126.159, 46.30.126.155, 46.30.127.83, 46.30.127.85",,www.e-pages.dk,"ns1.dlx.dk, ks.dlx.dk",NOERROR,,,"digicert.com, mailto:ks@dlx.dk, letsencrypt.org, buypass.com, sectigo.com",,,
,dreamteam.parool.nl,146.185.53.23,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
,e.email.parool.nl,"185.136.65.6, 185.136.64.7, 185.136.64.6, 185.136.65.7",,web.flowmailer.net,"ns1.flowmailer.net, contact.flowmailer.net",NOERROR,return.flowmailer.net,v=spf1 include:spf.flowmailer.net ~all,"entrust.net, sectigo.com, digicert.com, letsencrypt.org, mailto:abuse@flowmailer.com, quovadisglobal.com",,,
,esales-test.parool.nl,"2.20.143.43, 2.20.143.56","2a02:26f0:ab00::5c7a:d768, 2a02:26f0:ab00::214:8e50","dpp-parool-wc.edgekey.net, e29928.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
,esales.parool.nl,"95.101.74.154, 95.101.74.133","2a02:26f0:c900:9::5f65:4a85, 2a02:26f0:c900:9::5f65:4a9a","dpp-parool-wc.edgekey.net, e29928.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
