new,host,ttl,a,cname,soa,status_code,aaaa,ns,cdn,cdn-name,mx,txt,caa
[x],accounts.moneytree.jp,300,52.68.215.132,whispering-eyrie-9627.fierce-springs-2127.herokuspace.com,"{'name': 'fierce-springs-2127.herokuspace.com', 'ns': 'ns-43.awsdns-05.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'fierce-springs-2127.herokuspace.com', 'ns': 'ns-43.awsdns-05.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'fierce-springs-2127.herokuspace.com', 'ns': 'ns-43.awsdns-05.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'fierce-springs-2127.herokuspace.com', 'ns': 'ns-43.awsdns-05.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'fierce-springs-2127.herokuspace.com', 'ns': 'ns-43.awsdns-05.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'fierce-springs-2127.herokuspace.com', 'ns': 'ns-43.awsdns-05.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,,
[x],api-direct.moneytree.jp,300,"52.199.184.122, 52.68.121.66",omoikane.lpt-prod.moneytree.jp,"{'name': 'lpt-prod.moneytree.jp', 'ns': 'ns-1211.awsdns-23.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'lpt-prod.moneytree.jp', 'ns': 'ns-1211.awsdns-23.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'lpt-prod.moneytree.jp', 'ns': 'ns-1211.awsdns-23.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,,
[x],api-sandbox.moneytree.jp,300,,d1ns86u1fwz6mi.cloudfront.net,"{'name': 'd1ns86u1fwz6mi.cloudfront.net', 'ns': 'ns-1470.awsdns-55.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd1ns86u1fwz6mi.cloudfront.net', 'ns': 'ns-1470.awsdns-55.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd1ns86u1fwz6mi.cloudfront.net', 'ns': 'ns-1470.awsdns-55.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"2600:9000:278c:6a00:1f:1356:1280:93a1, 2600:9000:278c:f800:1f:1356:1280:93a1, 2600:9000:278c:a400:1f:1356:1280:93a1, 2600:9000:278c:c00:1f:1356:1280:93a1, 2600:9000:278c:7400:1f:1356:1280:93a1, 2600:9000:278c:5a00:1f:1356:1280:93a1, 2600:9000:278c:9200:1f:1356:1280:93a1, 2600:9000:278c:1c00:1f:1356:1280:93a1","ns-1807.awsdns-33.co.uk, ns-941.awsdns-53.net, ns-489.awsdns-61.com, ns-1470.awsdns-55.org",True,cloudfront,,,
[x],api.moneytree.jp,180,"18.66.122.78, 18.66.122.17, 18.66.122.76, 18.66.122.129",d144rgwnx12y3e.cloudfront.net,"{'name': 'd144rgwnx12y3e.cloudfront.net', 'ns': 'ns-1583.awsdns-05.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd144rgwnx12y3e.cloudfront.net', 'ns': 'ns-1583.awsdns-05.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd144rgwnx12y3e.cloudfront.net', 'ns': 'ns-1583.awsdns-05.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"2600:9000:2250:6e00:6:653:8680:93a1, 2600:9000:2250:fe00:6:653:8680:93a1, 2600:9000:2250:fc00:6:653:8680:93a1, 2600:9000:2250:6c00:6:653:8680:93a1, 2600:9000:2250:3a00:6:653:8680:93a1, 2600:9000:2250:1000:6:653:8680:93a1, 2600:9000:2250:2000:6:653:8680:93a1, 2600:9000:2250:d800:6:653:8680:93a1",,True,cloudfront,,,
[x],api2.moneytree.jp,300,,d3m7fujdo2x8m1.cloudfront.net,"{'name': 'cloudfront.net', 'ns': 'ns-418.awsdns-52.com', 'mailbox': 'hostmaster.cloudfront.net', 'serial': 1377556270, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 60}, {'name': 'cloudfront.net', 'ns': 'ns-418.awsdns-52.com', 'mailbox': 'hostmaster.cloudfront.net', 'serial': 1377556270, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 60}, {'name': 'cloudfront.net', 'ns': 'ns-418.awsdns-52.com', 'mailbox': 'hostmaster.cloudfront.net', 'serial': 1377556270, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 60}, {'name': 'cloudfront.net', 'ns': 'ns-418.awsdns-52.com', 'mailbox': 'hostmaster.cloudfront.net', 'serial': 1377556270, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 60}, {'name': 'cloudfront.net', 'ns': 'ns-418.awsdns-52.com', 'mailbox': 'hostmaster.cloudfront.net', 'serial': 1377556270, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 60}, {'name': 'cloudfront.net', 'ns': 'ns-418.awsdns-52.com', 'mailbox': 'hostmaster.cloudfront.net', 'serial': 1377556270, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 60}, {'name': 'cloudfront.net', 'ns': 'ns-418.awsdns-52.com', 'mailbox': 'hostmaster.cloudfront.net', 'serial': 1377556270, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 60}",NOERROR,,,,,,,
[x],app-staging.getmoneytree.com,300,"18.161.97.44, 18.161.97.19, 18.161.97.69, 18.161.97.96",d1q4eq9y50mb3k.cloudfront.net,"{'name': 'd1q4eq9y50mb3k.cloudfront.net', 'ns': 'ns-1181.awsdns-19.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd1q4eq9y50mb3k.cloudfront.net', 'ns': 'ns-1181.awsdns-19.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd1q4eq9y50mb3k.cloudfront.net', 'ns': 'ns-1181.awsdns-19.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd1q4eq9y50mb3k.cloudfront.net', 'ns': 'ns-1181.awsdns-19.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"2600:9000:25f7:8400:3:e5dd:6c00:93a1, 2600:9000:25f7:c400:3:e5dd:6c00:93a1, 2600:9000:25f7:c800:3:e5dd:6c00:93a1, 2600:9000:25f7:f800:3:e5dd:6c00:93a1, 2600:9000:25f7:6200:3:e5dd:6c00:93a1, 2600:9000:25f7:d200:3:e5dd:6c00:93a1, 2600:9000:25f7:9400:3:e5dd:6c00:93a1, 2600:9000:25f7:fe00:3:e5dd:6c00:93a1","ns-1181.awsdns-19.org, ns-1857.awsdns-40.co.uk, ns-509.awsdns-63.com, ns-519.awsdns-00.net",True,cloudfront,,,
[x],app.getmoneytree.com,100,,d2cnig2zt9jogc.cloudfront.net,"{'name': 'd2cnig2zt9jogc.cloudfront.net', 'ns': 'ns-660.awsdns-18.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd2cnig2zt9jogc.cloudfront.net', 'ns': 'ns-660.awsdns-18.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,"ns-1546.awsdns-01.co.uk, ns-1225.awsdns-25.org, ns-216.awsdns-27.com, ns-660.awsdns-18.net",True,cloudfront,,,
[x],assets-staging.moneytree.jp,300,"13.225.78.56, 13.225.78.60, 13.225.78.12, 13.225.78.117",d2bcjvq67n3271.cloudfront.net,"{'name': 'd2bcjvq67n3271.cloudfront.net', 'ns': 'ns-1581.awsdns-05.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd2bcjvq67n3271.cloudfront.net', 'ns': 'ns-1581.awsdns-05.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd2bcjvq67n3271.cloudfront.net', 'ns': 'ns-1581.awsdns-05.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,"ns-470.awsdns-58.com, ns-777.awsdns-33.net, ns-1169.awsdns-18.org, ns-1581.awsdns-05.co.uk",True,cloudfront,,,
[x],assets.getmoneytree.com,300,"13.35.58.28, 13.35.58.63, 13.35.58.37, 13.35.58.82",d3omjjb104pzuo.cloudfront.net,"{'name': 'd3omjjb104pzuo.cloudfront.net', 'ns': 'ns-1921.awsdns-48.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd3omjjb104pzuo.cloudfront.net', 'ns': 'ns-1921.awsdns-48.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd3omjjb104pzuo.cloudfront.net', 'ns': 'ns-1921.awsdns-48.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"2600:9000:2022:1000:1c:68f5:7000:93a1, 2600:9000:2022:4c00:1c:68f5:7000:93a1, 2600:9000:2022:7000:1c:68f5:7000:93a1, 2600:9000:2022:7600:1c:68f5:7000:93a1, 2600:9000:2022:6400:1c:68f5:7000:93a1, 2600:9000:2022:f800:1c:68f5:7000:93a1, 2600:9000:2022:a400:1c:68f5:7000:93a1, 2600:9000:2022:c00:1c:68f5:7000:93a1","ns-291.awsdns-36.com, ns-559.awsdns-05.net, ns-1170.awsdns-18.org, ns-1921.awsdns-48.co.uk",True,cloudfront,,,
[x],assets.moneytree.jp,253,"13.35.58.63, 13.35.58.37, 13.35.58.82, 13.35.58.28",d3omjjb104pzuo.cloudfront.net,"{'name': 'd3omjjb104pzuo.cloudfront.net', 'ns': 'ns-1921.awsdns-48.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd3omjjb104pzuo.cloudfront.net', 'ns': 'ns-1921.awsdns-48.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd3omjjb104pzuo.cloudfront.net', 'ns': 'ns-1921.awsdns-48.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd3omjjb104pzuo.cloudfront.net', 'ns': 'ns-1921.awsdns-48.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"2600:9000:2022:4c00:1c:68f5:7000:93a1, 2600:9000:2022:7000:1c:68f5:7000:93a1, 2600:9000:2022:7600:1c:68f5:7000:93a1, 2600:9000:2022:6400:1c:68f5:7000:93a1, 2600:9000:2022:f800:1c:68f5:7000:93a1, 2600:9000:2022:a400:1c:68f5:7000:93a1, 2600:9000:2022:c00:1c:68f5:7000:93a1, 2600:9000:2022:1000:1c:68f5:7000:93a1","ns-291.awsdns-36.com, ns-559.awsdns-05.net, ns-1170.awsdns-18.org, ns-1921.awsdns-48.co.uk",True,cloudfront,,,
