input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_self_signed,tls_mismatched,tls_subject_org_,tls_wildcard_certificate,final_url,csp_domains_
aaa.vlerick.com,Citrix Access Gateway,200,5702,aaa.vlerick.com,443,True,tls10,TLS_RSA_WITH_AES_256_CBC_SHA,2023-01-05T00:00:00Z,2024-01-05T23:59:59Z,"CN=*.vlerick.com, O=Vlerick Business School, ST=Oost-Vlaanderen, C=BE",*.vlerick.com,vlerick.com,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,58b459a54f24b2b13acb05b19810e232,06d3eb3ecd841c9adacd77d8015112e99e4970154c7c501e06fdf014a1b0ce7c,ctls,aaa.vlerick.com,,443,https://aaa.vlerick.com:443,https,Apache,text/html,GET,193.190.150.53,/,12023395,193.190.150.53,Apache,162,False,,,,Vlerick Business School,True,https://aaa.vlerick.com/vpn/tmindex.html,
adfs.uat.vlerick.com,Not Found,404,315,adfs.uat.vlerick.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-02T00:00:00Z,2023-11-02T23:59:59Z,"CN=*.uat.vlerick.com, O=Vlerick Business School, ST=Oost-Vlaanderen, C=BE",*.uat.vlerick.com,*.uat.vlerick.com,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,0f153a9e6a59f036fe5fca82f6ad0816,dcc614be584aececb2f8a542f8ce9ae58ca7c1b694b883ce4914537c788a8a85,ctls,adfs.uat.vlerick.com,,443,https://adfs.uat.vlerick.com:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,193.190.150.44,/,225052475,193.190.150.44,Microsoft HTTPAPI:2.0,7,False,,,,Vlerick Business School,True,,
api.uat.vlerick.com,,404,54,api.uat.vlerick.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-01T00:00:00Z,2023-09-01T23:59:59Z,"CN=api.uat.vlerick.com, O=Vlerick Business School, ST=Oost-Vlaanderen, C=BE",api.uat.vlerick.com,www.api.uat.vlerick.com,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,df239489e814c87f16f9a21ed8c48f2d,32b64ba080a219f1ae16593f001b79947c12406965b0e18668a8a002d1a4a4c3,ctls,api.uat.vlerick.com,azure,443,https://api.uat.vlerick.com:443,https,,application/json,GET,51.145.247.35,/,-326256188,51.145.247.35,,1,False,True,,,Vlerick Business School,,,
api.vlerick.com,,404,54,api.vlerick.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-05T00:00:00Z,2023-09-05T23:59:59Z,"CN=api.vlerick.com, O=Vlerick Business School, ST=Oost-Vlaanderen, C=BE",api.vlerick.com,www.api.vlerick.com,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,c8b6526c81ecdeb3f0d054caf4e1017d,c1a7bbda1236e84a1d77f650cf193502cdd7d9bccc2c6c9db9799d434de340a4,ctls,api.vlerick.com,azure,443,https://api.vlerick.com:443,https,,application/json,GET,51.144.36.225,/,-326256188,51.144.36.225,,1,False,True,,,Vlerick Business School,,,
apply.vlerick.com,Online Application Login,200,25139,app.askadmissions.co.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-07T11:58:34Z,2023-11-19T17:21:15Z,CN=*.askadmissions.co.uk,*.askadmissions.co.uk,askadmissions.co.uk,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",8ed93dd12b74f8cb945bad4d13295f7d,9da4c590635b8c862f602e3c9078b8d8c7d297dd69adccbdb25d9329bcb9af48,ctls,app.askadmissions.co.uk,,443,https://apply.vlerick.com:443,https,Microsoft-IIS/8.5,text/html,GET,193.190.150.59,/,-1809352348,193.190.150.59,Windows Server,566,False,,,,,True,https://app.askadmissions.co.uk/ayapplicantlogin/fl_ApplicantLogin.asp?ID=vlerick,
auth.uat.vlerick.com,,401,49,auth.uat.vlerick.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2022-11-02T00:00:00Z,2023-11-02T23:59:59Z,"CN=*.uat.vlerick.com, O=Vlerick Business School, ST=Oost-Vlaanderen, C=BE",*.uat.vlerick.com,*.uat.vlerick.com,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,0f153a9e6a59f036fe5fca82f6ad0816,dcc614be584aececb2f8a542f8ce9ae58ca7c1b694b883ce4914537c788a8a85,ctls,auth.uat.vlerick.com,,443,https://auth.uat.vlerick.com:443,https,Microsoft-IIS/8.0,text/plain,GET,193.190.150.45,/,-1321130087,193.190.150.45,Windows Server,2,False,,,,Vlerick Business School,True,,
auth.vlerick.com,Vlerick Business School - Sign In,200,19057,vlerick.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-22T00:00:00Z,2024-04-12T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,acc0524426e03bda5ac8c153b81141e6,f175750cb39a3759a6c589307b799ceac53db8e46eab6e9a30490fce3aa77149,ctls,vlerick.okta.com,,443,https://auth.vlerick.com:443,https,nginx,text/html,GET,193.190.150.52,/,-1321130087,193.190.150.52,Nginx,476,False,,,,"Okta, Inc.",True,https://vlerick.okta.com/login/login.htm?fromURI=%2Fapp%2Fvlerickbusinessschool_adfsvlerick_1%2Fexke1l0ccq2pWdExk0x7%2Fsso%2Fsaml%3FSAMLRequest%3D7b0HYBxJliUmL23Ke39K9UrX4HShCIBgEyTYkEAQ7MGIzeaS7B1pRyMpqyqBymVWZV1mFkDM7Z28995777333nvvvfe6O51OJ%252fff%252fz9cZmQBbPbOStrJniGAqsgfP358Hz8iHjfZolw9Ol638%252bWr%252fBet86ZNz55%252b9lEx235wPtnb%252b3R2sJ09nJ1v7%252b%252fM9rcne%252fey7d3ZzuRguj%252bZzPLJR%252blP5nVTVMvPPtob73yUnjXNOj9bNm22bOmjnb172zsPtncP3uzsPtq7%252f2iPGu3s%252fNRH6VPqp1hmLb85b9tV8%252bju3csyr4vp23H1ts3G02pxN1utzIeTdVMs86ZppvOqKn%252f%252fbHbe6De%252f%252f%252b7d%252fN3bfLfcmU5%252f0d7qu7PTd2933j242zTVXQzuo%252fSkWjY58FnXy0dV1hTNo2W2yJtH7fTR6%252bMvnj8irB5NpdGj9bJZ5dPivMhnH6XvFuWyecQk2vz2qq7aalqVHx09ZhLU8urml7KmyWuQ4KMjkIAogGGNDRmYAvTBXWp1WUzz5m5br5v28V3p4Uin7gXBPXv6siqL6XX6rKoX2YaR7o53%252bROa3nNuGo73uCyrq5M6z9r8s4%252bot%252fyj9K7pR7kjnzGvEE3b%252fF1rvvQ%252fOylpYK%252fy89tTzyPExmbTR1PApo9f0o%252brqp49vjvc%252f5H5cgBz%252f1VtcvT%252fAA%253d%253d%26RelayState%3Db88ca371-b6ca-44d1-988b-88f5d5589110,https://oinmanager.okta.com
autodiscover.edu.vlerick.com,Vlerick Business School - Sign In,200,19199,vlerick.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-22T00:00:00Z,2024-04-12T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,acc0524426e03bda5ac8c153b81141e6,f175750cb39a3759a6c589307b799ceac53db8e46eab6e9a30490fce3aa77149,ctls,vlerick.okta.com,,80,http://autodiscover.edu.vlerick.com:80,http,nginx,text/html,GET,52.98.241.184,/,-1249852061,2603:1026:c0d:6b::8,Nginx,476,False,,,,"Okta, Inc.",True,https://vlerick.okta.com/login/login.htm?fromURI=%2Fapp%2Foffice365%2Fexk4cluuu1ExFKvuh0x7%2Fsso%2Fwsfed%2Fpassive%3Fclient-request-id%3D1fcefe68-0b06-31c5-3695-18cdf856e6af%26username%3D%26wa%3Dwsignin1.0%26wtrealm%3Durn%253afederation%253aMicrosoftOnline%26wctx%3Destsredirect%253d2%2526estsrequest%253drQQIARAAjVE9aBNhAM2XS8_0R1M6dVI5HKR6yf3lLgl0yE-TNGn--ptEJNx9-a53ubt8be6nNaV7QZAuXTq62UVwkuLg4lJQOhcEFZRSUKRTJjHBxbFveDzeGx68N0ewYTbxgPkHjh4xzagqS0M0Uv-hNzMxrf35dI-c_MCKR7MfB-s_Xh-DEGq7Yc9EPR0aYYitE0BpjrNlJyIR7DomxkYYq6oOES9GR3kE78iRtwCcA3AJwIlfEvkYF-UEhueicV4SOSEaZhlBHNrDeshItCCJIq3EoohGigTbEHFxgZEu_KFK0nU0bkS4p_fRtX9cxT2rtYVt55g4BJmGt5TBpc2FZFprGbaXUTqmLdt5hmulmjXaymlFO15VzVK-0mguLa_I7masom2L2WJOredrKW_R7Rf4msZ14IKUMkqlQrKg5Tobxcb2srmq992MkRRVkd71ClVBbBc5HM_GrLqy1K13evT6s2rWQYy31kOrbrRcNPgT4kYzvyHI4UwW7p4RJN5CXb19HgBfAuAqMMX4E8FgaHps1nffNwiAl2PDR95RL9LHD--WDp6_CsrXM76zsYhqGJ2iAjW3X-4v4hTjwfSjNcZTenJHQnCHdzLKRj3X9Jat2ryUYA9JcEiSp-R4kJj2UUS6yl6S4DcJDm75TsdvcOb5JLiYEiZIaMq6Zc_M7VF6u-VgA3WpxB61a9ktCEfKk00X2VTiCTWsoJ7u7--_v-0b3Lk4-vbr8_evP_NXocfllSxkBVjazTb1Fby4kTT7TaeilW1k43w9VpcLYhc2lFi5UJv_Cw2,*.tiles.mapbox.com
autodiscover.edutest.vlerick.com,Pieter de Loos Traxion Training - Sign In,200,19584,pdeloos-training.oktapreview.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-22T00:00:00Z,2024-03-08T23:59:59Z,"CN=*.oktapreview.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.oktapreview.com,oktapreview.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1225cab1a1c01b4edf8ae6892fc04205,7bec214190f7eda45abde4cdf6dcb988e471d9b7718e1e8afec1a40e1e2f9883,ctls,pdeloos-training.oktapreview.com,,80,http://autodiscover.edutest.vlerick.com:80,http,nginx,text/html,GET,52.97.189.72,/,-1249852061,2603:1026:c0d:6b::8,Nginx,477,False,,,,"Okta, Inc.",True,https://pdeloos-training.oktapreview.com/login/login.htm?fromURI=%2Fapp%2Foffice365%2Fexk5gb06z9uqsagXA0h7%2Fsso%2Fwsfed%2Fpassive%3Fclient-request-id%3Db78a505c-faef-7c97-d842-11085a576861%26username%3D%26wa%3Dwsignin1.0%26wtrealm%3Durn%253afederation%253aMicrosoftOnline%26wctx%3Destsredirect%253d2%2526estsrequest%253drQQIARAAjVE9bBJhAOXj6Am1WqyLbuZiHBoP7rs_fpImAgelhUqFVihqyHHcwRXuvjvuhyu1u3GqcTDpaOLSxcSlpotODp06miYmOpg0jf9TdRLi4tg3vLzkDe_lvVkMRmDyOvUPNDlmklIUSEryWP2H_sxk-P7y473vf549fJ--FKxXO-IOuCy3HFu27Ijbk_uq1I1ISNsFRMe2DSsZjSLH7iHUjSBFUSWZ4bmxH0UDMfoagEMAjgHY9cd4Jk5zNEsxNM_FaArSsQhsJZqQHVXg4jRDshykSRFKMZJim00qlmgyvEgf-adLKcfu0GNCfXUo__KHFNTXGgay7B3sKRAkixOspXY2my5XSnxF6KjzdXmY2ejpaxnVobuCMA8HjRyZYPT1Yp5JLCJ2KAgb9e58Ptf2-PKgLVZkM17WqHQn597JlCxKNVMrmWbKS5lMmVxIx91u_-4i33ELZJa1uaJbM1nHg3lR19kNqCwN452mU3Nvk8aKUSAHS7vYmdZ-heGjpTSkH2A4MmRdbR0GwMcAOAlMUf5kMDgdnrjiu-Y7DYDnE6Njbrz4pv3-Yhdf1q_eehIO-Q4mooYHxa63kMhTXKagrItViFJFa7GVK2gKb3BM2sjyaxWzitTVOS4Jt3GwjeP7eCiIhX0EllmGxzj4gYNH53z7oTP8eXgeHE2xk7jUE1XNmpndJNRWw0ZdWSeSm4SnWQ1JGitX7DmyRSTvEaMI4sHW1tbbC77Ti3tv3v388PnT1_zJ9E2llbU4u1wz2_VYgRFLWq1H9wtwISazuil6UnM5lUCtamUVtuf-Ag2,data.pendo.io
autodiscover.uat.vlerick.com,Please wait...,200,1672,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,ctls,login.microsoftonline.com,,80,http://autodiscover.uat.vlerick.com:80,http,,text/html,GET,52.98.243.40,/,-1249852061,2603:1026:c0d:82e::8,HSTS,1,False,,,,Microsoft Corporation,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=f6ffdc5b-ba96-32d5-32b8-15cc0d30d926&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=uat.vlerick.com&nonce=638252403258534604.0cc3e6ea-96a6-476c-90ad-86a3ddeece41&state=DcsxDsMgDEBRaO_SpYJQDA4Zop7Fsj1ETYREE3r9Mry_fWuMuQ-3wYYRMyOUmGMKEHPJkDAkH5hBUcktSOjSjOyWQOIKEoiosqaXHe9zqj-a3k1pP9aLTt93bRt_PNfj0WWl66yyfbl2bX8,
