input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,csp_domains_,final_url
api.opentech.fund,Just a moment...,403,7115,api.opentech.fund,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2024-04-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ffade077c0aab219e57dd931dbbbaf7f,0ece1eb006df98bebbb9e5fe39e0fe53c77d87b56a5f1b5d04bc6c3c2f0ea190,True,ctls,api.opentech.fund,cloudflare,443,https://api.opentech.fund:443,https,cloudflare,text/html,GET,172.66.40.151,/,207573046,2606:4700:3108::ac42:2b69,HTTP/3,87,False,True,,,
apply.opentech.fund,Just a moment...,403,7137,apply.opentech.fund,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2024-04-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ffade077c0aab219e57dd931dbbbaf7f,0ece1eb006df98bebbb9e5fe39e0fe53c77d87b56a5f1b5d04bc6c3c2f0ea190,True,ctls,apply.opentech.fund,cloudflare,443,https://apply.opentech.fund:443,https,cloudflare,text/html,GET,172.66.40.151,/,-1943360249,2606:4700:3108::ac42:2897,HTTP/3,87,False,True,,,
archive.opentech.fund,Just a moment...,403,7082,archive.opentech.fund,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2024-04-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ffade077c0aab219e57dd931dbbbaf7f,0ece1eb006df98bebbb9e5fe39e0fe53c77d87b56a5f1b5d04bc6c3c2f0ea190,True,ctls,archive.opentech.fund,cloudflare,443,https://archive.opentech.fund:443,https,cloudflare,text/html,GET,172.66.40.151,/,-539043374,2606:4700:3108::ac42:2b69,HTTP/3,87,False,True,,,
au.reset.tech,Reset Australia,200,22922,au.reset.tech,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T00:00:00Z,2024-04-23T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",reset.tech,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",bae9d6d8bff0eb1eaeb4c6b4edaf9e3a,52dcc6fca3325bd1d4af4b1a9144a54d014f9dc90845e9edaeeb1cd0532e15af,True,ctls,au.reset.tech,cloudflare,443,https://au.reset.tech:443,https,cloudflare,text/html,GET,104.26.12.228,/,-330539707,2606:4700:20::ac43:4b35,Varnish,307,False,True,,,
beta.opentech.fund,Just a moment...,403,7173,beta.opentech.fund,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2024-04-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ffade077c0aab219e57dd931dbbbaf7f,0ece1eb006df98bebbb9e5fe39e0fe53c77d87b56a5f1b5d04bc6c3c2f0ea190,True,ctls,beta.opentech.fund,cloudflare,443,https://beta.opentech.fund:443,https,cloudflare,text/html,GET,172.66.40.151,/,103717809,2606:4700:3108::ac42:2b69,HTTP/3,87,False,True,,,
beta.reset.tech,Sign in ・ Cloudflare Access,200,31180,phantasm.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,True,ctls,phantasm.cloudflareaccess.com,cloudflare,443,https://beta.reset.tech:443,https,cloudflare,text/html,GET,104.26.12.228,/,-988142518,2606:4700:20::681a:de4,HSTS,87,False,True,,http://127.0.0.1:*,https://phantasm.cloudflareaccess.com/cdn-cgi/access/login/beta.reset.tech?kid=70e3a638f8e42d32834244b53137718822223294f4710f5646c837d165656d08&redirect_url=%2F&meta=eyJraWQiOiI4NDIzODZkYWQxNWI3MjdhNWI5Zjk1YmYxZTQwMzJlM2FlOWJlYmNhOWI5ODY5MjA3ZmFhM2ZhYjJjYzAzZDQ2IiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTY4NDM1ODU4Nywic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6IjcwZTNhNjM4ZjhlNDJkMzI4MzQyNDRiNTMxMzc3MTg4MjIyMjMyOTRmNDcxMGY1NjQ2YzgzN2QxNjU2NTZkMDgiLCJob3N0bmFtZSI6ImJldGEucmVzZXQudGVjaCIsImFwcF9zZXNzaW9uX2hhc2giOiI3MjkwNDAxYWY3ZGU3ZTNiMmI0ZWRjOGZjM2NjZTBkN2Y2NjRlZDZkMGQ1ZmExM2JjOTJmMzM4ODBjNzIwMDgzIiwibmJmIjoxNjg0MzU4NTg3LCJpc193YXJwIjpmYWxzZSwiaXNfZ2F0ZXdheSI6ZmFsc2UsInR5cGUiOiJtZXRhIiwicmVkaXJlY3RfdXJsIjoiXC8iLCJtdGxzX2F1dGgiOnsiY2VydF9pc3N1ZXJfc2tpIjoiIiwiY2VydF9wcmVzZW50ZWQiOmZhbHNlLCJjZXJ0X3NlcmlhbCI6IiIsImNlcnRfaXNzdWVyX2RuIjoiIiwiYXV0aF9zdGF0dXMiOiJOT05FIn0sImF1dGhfc3RhdHVzIjoiTk9ORSJ9.vyWmPPUoMV13aGZpDAtgKXFQeXNY8eRbfmHqR5LKE4tTR22m1KFN9ZifonpWkyG4vp0aFmYUd9Y2Ao6isFoxT0QTx63f1XhGTmP0LCvgO_XgCM1ddjmdq1KQlDFJRVJyERMYP5ATlcQ3gePlq6x2P6jNs9-X_dXaDGkRq6ncUTvXeR713jB1noOCWYlmaolRCnMh5jD_FC6hFZap9iSzfIwLZGvFwSwcVjC3XQsphjTPiWyD30HVsGSx-PpDRPWNf-jDoDXVybI5JLoijUpptYzz2LZ16KlrrAM-_UoSCPpSifdn2V5z4qfnGzmLW224782-muFL-gNFyVy22DVK0g
councildsa.reset.tech,European Council documents on the Digital Services Act,200,15232,councildsa.reset.tech,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T00:00:00Z,2024-04-23T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",reset.tech,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",bae9d6d8bff0eb1eaeb4c6b4edaf9e3a,52dcc6fca3325bd1d4af4b1a9144a54d014f9dc90845e9edaeeb1cd0532e15af,True,ctls,councildsa.reset.tech,cloudflare,443,https://councildsa.reset.tech:443,https,cloudflare,text/html,GET,172.67.75.53,/,-11417469,2606:4700:20::681a:de4,Varnish,246,False,True,,,
dataviz.opentech.fund,Just a moment...,403,7139,dataviz.opentech.fund,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2024-04-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ffade077c0aab219e57dd931dbbbaf7f,0ece1eb006df98bebbb9e5fe39e0fe53c77d87b56a5f1b5d04bc6c3c2f0ea190,True,ctls,dataviz.opentech.fund,cloudflare,443,https://dataviz.opentech.fund:443,https,cloudflare,text/html,GET,172.66.40.151,/,-1529557950,2606:4700:3108::ac42:2b69,HTTP/3,87,False,True,,,
de.reset.tech,Sign in ・ Cloudflare Access,200,31171,phantasm.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,True,ctls,phantasm.cloudflareaccess.com,cloudflare,443,https://de.reset.tech:443,https,cloudflare,text/html,GET,104.26.12.228,/,-939166222,2606:4700:20::ac43:4b35,HSTS,87,False,True,,https:,https://phantasm.cloudflareaccess.com/cdn-cgi/access/login/de.reset.tech?kid=69985e2cd9cd395175fb7a25f8e062173de64a3d4e297895639fe6c72d963ba0&redirect_url=%2F&meta=eyJraWQiOiI4NDIzODZkYWQxNWI3MjdhNWI5Zjk1YmYxZTQwMzJlM2FlOWJlYmNhOWI5ODY5MjA3ZmFhM2ZhYjJjYzAzZDQ2IiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTY4NDM1ODU4Nywic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6IjY5OTg1ZTJjZDljZDM5NTE3NWZiN2EyNWY4ZTA2MjE3M2RlNjRhM2Q0ZTI5Nzg5NTYzOWZlNmM3MmQ5NjNiYTAiLCJob3N0bmFtZSI6ImRlLnJlc2V0LnRlY2giLCJhcHBfc2Vzc2lvbl9oYXNoIjoiNGExZjM3MWVhMWUxYTNlMzcyODhhMTQxYTg3ZjM2YWQ3YTllYmIwNzM4MjY4NGQ4OGUxNDFlMzMwYzU4MTE2NSIsIm5iZiI6MTY4NDM1ODU4NywiaXNfd2FycCI6ZmFsc2UsImlzX2dhdGV3YXkiOmZhbHNlLCJ0eXBlIjoibWV0YSIsInJlZGlyZWN0X3VybCI6IlwvIiwibXRsc19hdXRoIjp7ImNlcnRfaXNzdWVyX3NraSI6IiIsImNlcnRfcHJlc2VudGVkIjpmYWxzZSwiY2VydF9zZXJpYWwiOiIiLCJjZXJ0X2lzc3Vlcl9kbiI6IiIsImF1dGhfc3RhdHVzIjoiTk9ORSJ9LCJhdXRoX3N0YXR1cyI6Ik5PTkUifQ.gbM0z6m8Nw-s58c0QuHcEQJ-N7TOh3C4WXjBFXP2ilu1a8RRiWgbqLkEgLS6dC66LYcu6-BY2y5hOWZmDF3c3SIBGZXB8v2gcSaw6LfHZImENiS1sxGh0VMsSlWJELfIcxM0cRXpAJ-hNc9wGPIym3mclsagBM3qeQg2bIj1Uv_8ueXqvfeFW66n5hyIUICrfb-HmTNBKVL-mKbAnOmQFz18u5hAGKsVAl48kNGtCtnXKxt38LzUKsS5YWB0osrFtjndyhpMjRh_-FYO80mODcAsublcTxRGs0_F8unPNoqPkKxsrrfajrsaImYWjnd_2ZmBc5MXGk4Ef-tODsHV4g
dev-api.opentech.fund,Just a moment...,403,7058,dev-api.opentech.fund,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2024-04-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ffade077c0aab219e57dd931dbbbaf7f,0ece1eb006df98bebbb9e5fe39e0fe53c77d87b56a5f1b5d04bc6c3c2f0ea190,True,ctls,dev-api.opentech.fund,cloudflare,443,https://dev-api.opentech.fund:443,https,cloudflare,text/html,GET,172.66.43.105,/,207573046,2606:4700:3108::ac42:2897,HTTP/3,87,False,True,,,
