input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_mismatched,csp_domains_,final_url
access.amazonaws.com,,404,29,access.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-08T00:00:00Z,2024-03-07T23:59:59Z,CN=queue.amazonaws.com,queue.amazonaws.com,*.sqs.us-east-1.vpce.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e1e986c66629a77f3af226fb7825aed8,2754071566b0e34435ee992275394d6ffebb948ed2023ba7c07d0fb54cb4f35a,True,ctls,access.amazonaws.com,,443,https://access.amazonaws.com:443,https,,,GET,3.236.169.123,/,-1644365637,3.236.169.123,,2,False,,,True,,
assethub.kucoin.com,KuCoin Partner Admin,200,4982,assethub.kucoin.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-08T00:00:00Z,2024-02-08T23:59:59Z,"CN=kucoin.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",kucoin.com,kucoin.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",1245a5311d0a2d95e01cca118f771936,29c6b0c0de733cca0b577eafc88f19d45e155124766c896dd553fcb59cfb75b9,True,ctls,assethub.kucoin.com,cloudflare,443,https://assethub.kucoin.com:443,https,cloudflare,text/html,GET,104.18.8.15,/,1501402070,2606:4700::6812:80f,hCaptcha,1,False,True,"Cloudflare, Inc.",,https://kucoin.eu.ada.support,
assets.kucoin.com,,403,243,assets.kucoin.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-25T00:00:00Z,2024-04-22T23:59:59Z,CN=*.kucoin.com,*.kucoin.com,*.staticimg.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4d85f3b8fc36fae3e285a81bd0e197b3,86e86dbd4e25df4c570d8f4573eda9010e011f82ac61c4e4b96fd5105642d64d,True,ctls,assets.kucoin.com,cloudfront,443,https://assets.kucoin.com:443,https,AmazonS3,application/xml,GET,3.161.119.77,/,-1382515554,2600:9000:223e:f800:17:4924:2640:93a1,Amazon Web Services,2,False,True,,,,
docs.kucoin.com,KuCoin API Documentation,200,743187,docs.kucoin.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-08T00:00:00Z,2024-02-08T23:59:59Z,"CN=kucoin.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",kucoin.com,kucoin.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",1245a5311d0a2d95e01cca118f771936,29c6b0c0de733cca0b577eafc88f19d45e155124766c896dd553fcb59cfb75b9,True,ctls,docs.kucoin.com,cloudflare,443,https://docs.kucoin.com:443,https,cloudflare,text/html,GET,104.18.8.15,/,2103778073,2606:4700::6812:80f,HSTS,12928,False,True,"Cloudflare, Inc.",,,
ec2-54-250-161-38.ap-northeast-1.compute.amazonaws.com,Test Page for the Nginx HTTP Server on the Amazon Linux AMI,200,3770,ec2-54-250-161-38.ap-northeast-1.compute.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-13T00:00:00Z,2024-04-10T23:59:59Z,CN=*.delight-system.com,*.delight-system.com,*.delight-system.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,12bd32e4351d4f830bd6dc96cfba2336,7bee3e55344c0f4f467515a0cc03e44465abbd4d5d12ea794f1a96336f12cbbe,True,ctls,ec2-54-250-161-38.ap-northeast-1.compute.amazonaws.com,,443,https://ec2-54-250-161-38.ap-northeast-1.compute.amazonaws.com:443,https,nginx/1.10.1,text/html,GET,54.250.161.38,/,-881185420,54.250.161.38,Nginx:1.10.1,117,False,,,True,,
frontend-helper.kucoin.com,,200,2,frontend-helper.kucoin.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-20T00:00:00Z,2023-11-18T23:59:59Z,CN=kucoin.com,kucoin.com,pool-x.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,2a654bc4e807b68eb1c8b7c982c6c17c,1f47c5213b93b3574a3fbf98e8b605d775397f263eae9d5f752edc6dca1c63f4,True,ctls,frontend-helper.kucoin.com,cloudfront,443,https://frontend-helper.kucoin.com:443,https,-,application/json,GET,18.66.112.35,/,-1206076886,2600:9000:223f:d800:11:ce92:b440:93a1,HSTS,1,False,True,,True,,
http://fp-it.portal101.cn,,200,,fp-it.portal101.cn,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-24T00:00:00Z,2023-11-23T23:59:59Z,CN=*.portal101.cn,*.portal101.cn,portal101.cn,"CN=TrustAsia RSA DV TLS CA G2, O=TrustAsia Technologies\, Inc., C=CN",TrustAsia RSA DV TLS CA G2,"TrustAsia Technologies, Inc.",d2145c527752d1114dda12d3e3d3cc3d,53480f467c1b5d749a94303adbad74839cbc6baa47e3778f33478a8a44ae0e64,True,ctls,fp-it.portal101.cn,,443,https://fp-it.portal101.cn:443,https,,,GET,101.42.123.176,/,1781709202,101.42.123.176,,1,False,,,,,
https://analytics.google.com,Redirecting...,200,888,analytics.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:16:18Z,2023-10-02T08:16:17Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,dae25a43a6936128ed1b8afa4c2d653b,d9400a529522e19c31ee576709e351b1773254f9bfac91a668c893a61999d5fa,True,ctls,analytics.google.com,,443,https://analytics.google.com:443,https,ESF,text/html,GET,216.239.32.181,/,302920777,2001:4860:4802:34::181,HTTP/3,1,False,,,,http:,https://analytics.google.com/analytics/web/
https://analytics.twitter.com,Twitter Analytics,200,6346,analytics.twitter.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-01T00:00:00Z,2023-10-01T23:59:59Z,"CN=*.twitter.com, O=Twitter\, Inc., L=San Francisco, ST=California, C=US",*.twitter.com,twitter.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3a47bf19dcf3c39f2258bb6ae44eaaac,46fe842999eda1d32a2df40c28da7735bb58ddda34e2efc763475d0bb5de81e1,True,ctls,analytics.twitter.com,,443,https://analytics.twitter.com:443,https,tsa_f,text/html,GET,104.244.42.3,/,-1831547740,104.244.42.131,HSTS,129,False,,"Twitter, Inc.",,https://udc-neb.kampyle.com,https://analytics.twitter.com/about
https://api.growingio.com,,200,,api.growingio.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-29T00:00:00Z,2023-09-23T23:59:59Z,CN=*.growingio.com,*.growingio.com,growingio.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,418832b9f067713021ab2eb29ac3b813,c436d5e7602c188bb3e1a082ca2296f398111801a68d2fd17998849510d6f217,True,ctls,api.growingio.com,,443,https://api.growingio.com:443,https,QTL_Cache/1.2.14,text/plain,GET,138.113.69.46,/,190856733,163.171.242.53,,1,False,,,,,
