input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,tls_subject_org_,final_url,csp_domains_
agency.bitmart.com,,404,,agency.bitmart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-16T06:29:21Z,2024-01-16T06:29:21Z,CN=*.bitmart.com,*.bitmart.com,bitmart.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",071c6818c5a0cd4ac7f1f9e0d801f994,9d44fcfb7fd3141e3ce7dbb1bfe2606ad296c67c10c5a91f58d358c01982855a,True,ctls,agency.bitmart.com,cloudflare,443,https://agency.bitmart.com:443,https,cloudflare,text/plain,GET,104.18.17.176,/,-1840324437,2606:4700::6812:11b0,HSTS,1,False,True,,,,
api-cloud.bitmart.com,,200,28,api-cloud.bitmart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-16T06:29:21Z,2024-01-16T06:29:21Z,CN=*.bitmart.com,*.bitmart.com,bitmart.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",071c6818c5a0cd4ac7f1f9e0d801f994,9d44fcfb7fd3141e3ce7dbb1bfe2606ad296c67c10c5a91f58d358c01982855a,True,ctls,api-cloud.bitmart.com,cloudflare,443,https://api-cloud.bitmart.com:443,https,cloudflare,application/json,GET,104.18.17.176,/,1858479841,2606:4700::6812:11b0,HSTS,1,False,True,,,,
api.bitmart.com,,200,21,api.bitmart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-16T06:29:21Z,2024-01-16T06:29:21Z,CN=*.bitmart.com,*.bitmart.com,bitmart.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",071c6818c5a0cd4ac7f1f9e0d801f994,9d44fcfb7fd3141e3ce7dbb1bfe2606ad296c67c10c5a91f58d358c01982855a,True,ctls,api.bitmart.com,cloudflare,443,https://api.bitmart.com:443,https,cloudflare,application/json,GET,104.18.17.176,/,1858479841,2606:4700::6812:11b0,HSTS,1,False,True,,,,
autodiscover.bitmart.com,Sign in to Outlook,200,202106,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,,ctls,login.microsoftonline.com,,80,http://autodiscover.bitmart.com:80,http,,text/html,GET,40.99.157.40,/,-1249852061,2603:1026:c0d:c2d::8,HSTS,174,False,,,Microsoft Corporation,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=0114896a-52f3-9637-7826-92eaa163b33d&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=bitmart.com&nonce=638210720801635055.a87f99ff-319c-470a-a354-a6f9b5324a0d&state=DctNDsIgEEBh0LvoinZgGH4WjWeZQkmaSEgQ6_Vl8b3dk0KI-3SbJMwI7zAYDd5AAO2QgGjh4EuMpSjUMSnrgRUjWcWuxJ3QWIYs5_tc24_XVz_4Xbf9HJX7WFKrjytv_B0tn5_UrqP_AQ,
backstage-api.bitmart.com,,404,19,backstage-api.bitmart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-16T06:29:21Z,2024-01-16T06:29:21Z,CN=*.bitmart.com,*.bitmart.com,bitmart.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",071c6818c5a0cd4ac7f1f9e0d801f994,9d44fcfb7fd3141e3ce7dbb1bfe2606ad296c67c10c5a91f58d358c01982855a,True,ctls,backstage-api.bitmart.com,cloudflare,443,https://backstage-api.bitmart.com:443,https,cloudflare,text/plain,GET,104.18.16.176,/,-138391155,2606:4700::6812:10b0,HSTS,2,False,True,,,,
backstage.bitmart.com,BBX,200,5614,backstage.bitmart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-16T06:29:21Z,2024-01-16T06:29:21Z,CN=*.bitmart.com,*.bitmart.com,bitmart.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",071c6818c5a0cd4ac7f1f9e0d801f994,9d44fcfb7fd3141e3ce7dbb1bfe2606ad296c67c10c5a91f58d358c01982855a,True,ctls,backstage.bitmart.com,cloudflare,443,https://backstage.bitmart.com:443,https,cloudflare,text/html,GET,104.18.16.176,/,-905122977,2606:4700::6812:11b0,Lightbox,124,False,True,,,https://backstage.bitmart.com/login,
beta.bitmart.com,,403,16,beta.bitmart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-16T06:29:21Z,2024-01-16T06:29:21Z,CN=*.bitmart.com,*.bitmart.com,bitmart.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",071c6818c5a0cd4ac7f1f9e0d801f994,9d44fcfb7fd3141e3ce7dbb1bfe2606ad296c67c10c5a91f58d358c01982855a,True,ctls,beta.bitmart.com,cloudflare,443,https://beta.bitmart.com:443,https,cloudflare,text/plain,GET,104.18.16.176,/,1268003052,2606:4700::6812:11b0,HSTS,1,False,True,,,,
bitmart.com,,403,16,www.bitmart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-16T06:29:21Z,2024-01-16T06:29:21Z,CN=*.bitmart.com,*.bitmart.com,bitmart.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",071c6818c5a0cd4ac7f1f9e0d801f994,9d44fcfb7fd3141e3ce7dbb1bfe2606ad296c67c10c5a91f58d358c01982855a,True,ctls,www.bitmart.com,cloudflare,443,https://bitmart.com:443,https,cloudflare,text/plain,GET,104.18.16.176,/,1253481126,2606:4700::6812:11b0,HSTS,1,False,True,,,https://www.bitmart.com/,
derivatives.bitmart.com,"27,781.3 (BTCUSDT) - USDⓈ-Margined Perpetual | BitMart.com",200,224678,derivatives.bitmart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-16T06:29:21Z,2024-01-16T06:29:21Z,CN=*.bitmart.com,*.bitmart.com,bitmart.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",071c6818c5a0cd4ac7f1f9e0d801f994,9d44fcfb7fd3141e3ce7dbb1bfe2606ad296c67c10c5a91f58d358c01982855a,True,ctls,derivatives.bitmart.com,cloudflare,443,https://derivatives.bitmart.com:443,https,cloudflare,text/html,GET,104.18.16.176,/,-1901909077,2606:4700::6812:11b0,Vue.js,166,False,True,,,https://derivatives.bitmart.com/en-US,https://staticpro.bitmart.com
developer-pro.bitmart.com,API Reference,200,10750,developer-pro.bitmart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-16T06:29:21Z,2024-01-16T06:29:21Z,CN=*.bitmart.com,*.bitmart.com,bitmart.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",071c6818c5a0cd4ac7f1f9e0d801f994,9d44fcfb7fd3141e3ce7dbb1bfe2606ad296c67c10c5a91f58d358c01982855a,True,ctls,developer-pro.bitmart.com,cloudflare,443,https://developer-pro.bitmart.com:443,https,cloudflare,text/html,GET,104.18.17.176,/,-1292046302,2606:4700::6812:11b0,HSTS,443,False,True,,,,
