input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,tls_mismatched,tls_wildcard_certificate,tech_,final_url,webserver,cdn_name,cdn
adm.myomnipod.com,,500,15,hosting.xo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-27T00:00:00Z,2023-09-27T23:59:59Z,CN=hosting.digitalspace.net,hosting.digitalspace.net,,www.hosting.digitalspace.net,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,e6dc11439229f546162eb45ef38d12ef,0d66286f922ba5a9a2b94b65c3e28b1c687ae1971e36fb0ad494de942fa8f2a7,ctls,hosting.xo.com,80,http://adm.myomnipod.com:80,http,text/html,GET,66.226.70.24,/,102437165,66.226.70.24,1,False,True,,HSTS,https://hosting.xo.com/portal/,Apache,,
cloud.eu-sandbox.myomnipod.com,404 - File or directory not found.,404,1245,cloud.eu-sandbox.myomnipod.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-07-12T00:00:00Z,2024-08-11T23:59:59Z,"CN=cloud.eu-sandbox.myomnipod.com, O=Salesforce.com\, Inc., L=San Francisco, ST=California, C=US",cloud.eu-sandbox.myomnipod.com,"Salesforce.com, Inc.",cloud.eu-sandbox.myomnipod.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,475bd744b835af0fe5763a009543a423,75cf8c9b72414f266d684bfa521e23ba1486163f9f8528ba9747e9d7ba5b4ccc,ctls,cloud.eu-sandbox.myomnipod.com,443,https://cloud.eu-sandbox.myomnipod.com:443,https,text/html,GET,13.111.132.161,/,1631801191,13.111.132.161,30,False,,,,,,,
customercare.myomnipod.com,404 - Not found or no permission to access,404,1330,customercare.myomnipod.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-12-05T00:00:00Z,2024-01-02T23:59:59Z,"CN=*.eloqua.com, O=Oracle Corporation, L=Redwood City, ST=California, C=US",*.eloqua.com,Oracle Corporation,*.eloqua.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3fbfeefce7683ba5af65885a4c8127d6,046da516e28172f9090c5a58326960c1e6027d501d0e978bf7ff247aa23df8bb,ctls,customercare.myomnipod.com,443,https://customercare.myomnipod.com:443,https,text/html,GET,209.167.231.15,/,-1044085938,209.167.231.15,33,False,True,True,Bootstrap,,,,
elq.myomnipod.com,404 - Not found or no permission to access,404,1330,elq.myomnipod.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-12-05T00:00:00Z,2024-01-02T23:59:59Z,"CN=*.eloqua.com, O=Oracle Corporation, L=Redwood City, ST=California, C=US",*.eloqua.com,Oracle Corporation,*.eloqua.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3fbfeefce7683ba5af65885a4c8127d6,046da516e28172f9090c5a58326960c1e6027d501d0e978bf7ff247aa23df8bb,ctls,elq.myomnipod.com,443,https://elq.myomnipod.com:443,https,text/html,GET,209.167.231.15,/,-1044085938,209.167.231.15,33,False,True,True,Bootstrap,,,,
eu.myomnipod.com,404 - File or directory not found.,404,1245,eu.myomnipod.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-07T00:00:00Z,2024-03-09T23:59:59Z,"CN=eu.myomnipod.com, O=SALESFORCE.COM\, INC., L=San Francisco, ST=California, C=US",eu.myomnipod.com,"SALESFORCE.COM, INC.",eu.myomnipod.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7624e59e0e032038e2a856752a69abb5,a80b1d314770297cf7510c07de9a829e7ca3bba948285110c60cf55bfc9df28f,ctls,eu.myomnipod.com,443,https://eu.myomnipod.com:443,https,text/html,GET,13.111.47.81,/,1631801191,13.111.47.81,30,False,,,,,,,
home.myomnipod.com,,500,15,hosting.xo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-27T00:00:00Z,2023-09-27T23:59:59Z,CN=hosting.digitalspace.net,hosting.digitalspace.net,,www.hosting.digitalspace.net,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,e6dc11439229f546162eb45ef38d12ef,0d66286f922ba5a9a2b94b65c3e28b1c687ae1971e36fb0ad494de942fa8f2a7,ctls,hosting.xo.com,80,http://home.myomnipod.com:80,http,text/html,GET,66.226.70.24,/,102437165,66.226.70.24,1,False,True,,HSTS,https://hosting.xo.com/portal/,Apache,,
info.myomnipod.com,Free Insulin Pump Experience Kit for Insulin Dependent Diabetes | Omnipod®,200,47426,na.myomnipod.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-07T00:00:00Z,2024-03-09T23:59:59Z,"CN=na.myomnipod.com, O=SALESFORCE.COM\, INC., L=San Francisco, ST=California, C=US",na.myomnipod.com,"SALESFORCE.COM, INC.",na.myomnipod.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,20babab8f541f23273216d701f6b0ff6,7ffc95559197369501bc1590182ef7aae80da3c7883d9fb3381f00b8b0b395db,ctls,na.myomnipod.com,443,https://info.myomnipod.com:443,https,text/html,GET,23.101.172.244,/,-913648075,23.101.172.244,722,False,,,HSTS,https://na.myomnipod.com/become-a-podder-demo-kit?ctoken=70150000001XulIAAS,,azure,True
learning.myomnipod.com,,200,59007,learning.myomnipod.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-21T00:00:00Z,2023-12-20T23:59:59Z,CN=learning.myomnipod.com,learning.myomnipod.com,,www.learning.myomnipod.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",d056ccb8d87b693f0d20caaeb3f4c0d3,374beb3ea24794bc2d3836583467c6e014cee1a50b71b5c3217ee44875cb7940,ctls,learning.myomnipod.com,443,https://learning.myomnipod.com:443,https,text/html,GET,3.125.69.61,/,-1840324437,18.157.217.148,480,False,,,Yii,https://learning.myomnipod.com/lms/,,,
myomnipod.com,"Omnipod | Insulin Pump Therapy, Simplified",200,138313,www.omnipod.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-17T00:00:00Z,2024-07-16T23:59:59Z,CN=omnipod.com,omnipod.com,,www.omnipod.com,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,DigiCert Inc,8fa6da74cf9d9e0b9732fbfef582b3b6,f91ccd2657547dea3672e73ddf4aba00180f7011aa829f44be2c45d3838e11f1,ctls,www.omnipod.com,80,http://myomnipod.com:80,http,text/html,GET,13.89.172.5,/,997500400,13.89.172.5,1560,False,,,Varnish,https://www.omnipod.com/,cloudflare,azure,True
na-sandbox.myomnipod.com,404 - File or directory not found.,404,1245,na-sandbox.myomnipod.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-07-17T00:00:00Z,2024-08-16T23:59:59Z,"CN=na-sandbox.myomnipod.com, O=Salesforce.com\, Inc., L=San Francisco, ST=California, C=US",na-sandbox.myomnipod.com,"Salesforce.com, Inc.",na-sandbox.myomnipod.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,70f1299a445ab7daaea42f8297e891d1,2f35dd6d690280a2d2f5b1b82fcf37a924900ef701b7c553d4977a0556b205ff,ctls,na-sandbox.myomnipod.com,443,https://na-sandbox.myomnipod.com:443,https,text/html,GET,13.111.99.125,/,1631801191,13.111.99.125,30,False,,,,,,,
