new,host,a,cname,soa,caa,status_code,cdn,cdn-name,aaaa,ns,txt,mx
[x],0-226-104-36.press.tomorrowland.com,"172.66.40.152, 172.66.43.104",customers.prezly.com,,,NOERROR,True,cloudflare,,,,
[x],0-k8s-prod.press.tomorrowland.com,"172.66.40.152, 172.66.43.104",customers.prezly.com,,,NOERROR,True,cloudflare,,,,
[x],02b.press.tomorrowland.com,"172.66.40.152, 172.66.43.104",customers.prezly.com,,,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2898, 2606:4700:3108::ac42:2b68",,,
[x],05be.press.tomorrowland.com,"172.66.43.104, 172.66.40.152",customers.prezly.com,"marty.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2b68, 2606:4700:3108::ac42:2898",,,
[x],062e.press.tomorrowland.com,"172.66.40.152, 172.66.43.104",customers.prezly.com,,,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2898, 2606:4700:3108::ac42:2b68",,,
[x],07a.press.tomorrowland.com,"172.66.40.152, 172.66.43.104",customers.prezly.com,,,NOERROR,True,cloudflare,,,,
[x],0error.press.tomorrowland.com,"172.66.40.152, 172.66.43.104",customers.prezly.com,"marty.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2898, 2606:4700:3108::ac42:2b68",,,
[x],0es.press.tomorrowland.com,"172.66.43.104, 172.66.40.152",customers.prezly.com,"marty.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2898, 2606:4700:3108::ac42:2b68",,,
[x],0upmidg.press.tomorrowland.com,,customers.prezly.com,"marty.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2898, 2606:4700:3108::ac42:2b68",,,
[x],10azure.press.tomorrowland.com,"172.66.40.152, 172.66.43.104",customers.prezly.com,"marty.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2898, 2606:4700:3108::ac42:2b68",,,
[x],11-15.press.tomorrowland.com,"172.66.40.152, 172.66.43.104",customers.prezly.com,,,NOERROR,True,cloudflare,,,,
[x],11-sysbilling.press.tomorrowland.com,"172.66.43.104, 172.66.40.152",customers.prezly.com,,,NOERROR,True,cloudflare,,,,
[x],114-111-16.press.tomorrowland.com,"172.66.40.152, 172.66.43.104",customers.prezly.com,,,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2898, 2606:4700:3108::ac42:2b68",,,
[x],114-126-39.press.tomorrowland.com,"172.66.43.104, 172.66.40.152",customers.prezly.com,,,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2898, 2606:4700:3108::ac42:2b68",,,
[x],11dim-evosm.press.tomorrowland.com,"172.66.40.152, 172.66.43.104",customers.prezly.com,,,NOERROR,True,cloudflare,,,,
[x],14-courier.press.tomorrowland.com,"172.66.43.104, 172.66.40.152",customers.prezly.com,,,NOERROR,True,cloudflare,,,,
[x],15-courier2.press.tomorrowland.com,"172.66.43.104, 172.66.40.152",customers.prezly.com,"marty.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2898, 2606:4700:3108::ac42:2b68",,,
[x],15-intl.press.tomorrowland.com,"172.66.43.104, 172.66.40.152",customers.prezly.com,"marty.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2b68, 2606:4700:3108::ac42:2898",,,
[x],155-9-171-10.press.tomorrowland.com,,customers.prezly.com,"marty.ns.cloudflare.com, dns.cloudflare.com","mailto:admin@prezly.com, amazon.com, comodoca.com, digicert.com, entrust.net, globalsign.com, letsencrypt.org, pki.goog, sectigo.com",NOERROR,True,cloudflare,"2606:4700:3108::ac42:2b68, 2606:4700:3108::ac42:2898",,,
[x],155-9-171-93.press.tomorrowland.com,"188.114.99.229, 188.114.98.229",customers.prezly.com,,,NOERROR,True,cloudflare,"2a06:98c1:3123:e000::5, 2a06:98c1:3122:e000::5",,,
[x],155-9-172-63.press.tomorrowland.com,"172.66.43.104, 172.66.40.152",customers.prezly.com,,,NOERROR,True,cloudflare,,,,
[x],155-9-182-22.press.tomorrowland.com,"172.66.43.104, 172.66.40.152",customers.prezly.com,,,NOERROR,True,cloudflare,,,,
[x],155-9-182-32.press.tomorrowland.com,"172.66.40.152, 172.66.43.104",customers.prezly.com,,,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2898, 2606:4700:3108::ac42:2b68",,,
[x],155-9-182-36.press.tomorrowland.com,"172.66.40.152, 172.66.43.104",customers.prezly.com,"marty.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2898, 2606:4700:3108::ac42:2b68",,,
[x],155-9-182-97.press.tomorrowland.com,"172.66.40.152, 172.66.43.104",customers.prezly.com,,,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2b68, 2606:4700:3108::ac42:2898",,,
[x],155-9-183-76.press.tomorrowland.com,"172.66.40.152, 172.66.43.104",customers.prezly.com,,,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2b68, 2606:4700:3108::ac42:2898",,,
[x],155-9-183-93.press.tomorrowland.com,"172.66.43.104, 172.66.40.152",customers.prezly.com,,,NOERROR,True,cloudflare,,,,
[x],155-9-184-10.press.tomorrowland.com,"172.66.43.104, 172.66.40.152",customers.prezly.com,"marty.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2898, 2606:4700:3108::ac42:2b68",,,
[x],155-9-184-32.press.tomorrowland.com,"172.66.40.152, 172.66.43.104",customers.prezly.com,"marty.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2b68, 2606:4700:3108::ac42:2898",,,
[x],155-9-187-5.press.tomorrowland.com,"172.66.40.152, 172.66.43.104",customers.prezly.com,,,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2898, 2606:4700:3108::ac42:2b68",,,
[x],155-9-187-6.press.tomorrowland.com,"172.66.40.152, 172.66.43.104",customers.prezly.com,"marty.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2898, 2606:4700:3108::ac42:2b68",,,
[x],155-9-187-92.press.tomorrowland.com,"172.66.40.152, 172.66.43.104",customers.prezly.com,"marty.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2898, 2606:4700:3108::ac42:2b68",,,
[x],155-9-192-4.press.tomorrowland.com,"172.66.40.152, 172.66.43.104",customers.prezly.com,,,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2b68, 2606:4700:3108::ac42:2898",,,
[x],155-9-192-6.press.tomorrowland.com,"172.66.43.104, 172.66.40.152",customers.prezly.com,,,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2898, 2606:4700:3108::ac42:2b68",,,
[x],155-9-193-62.press.tomorrowland.com,"172.66.40.152, 172.66.43.104",customers.prezly.com,,,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2b68, 2606:4700:3108::ac42:2898",,,
[x],155-9-193-88.press.tomorrowland.com,"172.66.40.152, 172.66.43.104",customers.prezly.com,,,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2898, 2606:4700:3108::ac42:2b68",,,
[x],155-9-197-21.press.tomorrowland.com,"172.66.43.104, 172.66.40.152",customers.prezly.com,"marty.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2b68, 2606:4700:3108::ac42:2898",,,
[x],155-9-197-36.press.tomorrowland.com,"172.66.43.104, 172.66.40.152",customers.prezly.com,"marty.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2b68, 2606:4700:3108::ac42:2898",,,
[x],155-9-198-77.press.tomorrowland.com,"172.66.40.152, 172.66.43.104",customers.prezly.com,"marty.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2898, 2606:4700:3108::ac42:2b68",,,
[x],155-9-199-10.press.tomorrowland.com,"172.66.40.152, 172.66.43.104",customers.prezly.com,"marty.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2b68, 2606:4700:3108::ac42:2898",,,
[x],155-9-199-15.press.tomorrowland.com,,customers.prezly.com,"marty.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],155-9-199-34.press.tomorrowland.com,"172.66.43.104, 172.66.40.152",customers.prezly.com,"marty.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],155-9-201-96.press.tomorrowland.com,"172.66.40.152, 172.66.43.104",customers.prezly.com,"marty.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2898, 2606:4700:3108::ac42:2b68",,,
[x],155-9-203-5.press.tomorrowland.com,"188.114.98.229, 188.114.99.229",customers.prezly.com,,,NOERROR,True,cloudflare,"2a06:98c1:3122:e000::5, 2a06:98c1:3123:e000::5",,,
[x],155-9-204-18.press.tomorrowland.com,"188.114.99.229, 188.114.98.229",customers.prezly.com,,,NOERROR,True,cloudflare,"2a06:98c1:3123:e000::5, 2a06:98c1:3122:e000::5",,,
[x],155-9-204-67.press.tomorrowland.com,"172.66.40.152, 172.66.43.104",customers.prezly.com,"marty.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2898, 2606:4700:3108::ac42:2b68",,,
[x],155-9-208-31.press.tomorrowland.com,"172.66.43.104, 172.66.40.152",customers.prezly.com,,,NOERROR,True,cloudflare,,,,
[x],155-9-208-38.press.tomorrowland.com,"172.66.43.104, 172.66.40.152",customers.prezly.com,,,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2b68, 2606:4700:3108::ac42:2898",,,
[x],155-9-209-10.press.tomorrowland.com,"172.66.40.152, 172.66.43.104",customers.prezly.com,,,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2898, 2606:4700:3108::ac42:2b68",,,
[x],155-9-210-62.press.tomorrowland.com,"172.66.40.152, 172.66.43.104",customers.prezly.com,"marty.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2b68, 2606:4700:3108::ac42:2898",,,
[x],155-9-211-46.press.tomorrowland.com,"172.66.40.152, 172.66.43.104",customers.prezly.com,,,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2898, 2606:4700:3108::ac42:2b68",,,
[x],155-9-211-51.press.tomorrowland.com,"172.66.40.152, 172.66.43.104",customers.prezly.com,,,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2898, 2606:4700:3108::ac42:2b68",,,
[x],155-9-211-91.press.tomorrowland.com,"172.66.43.104, 172.66.40.152",customers.prezly.com,"marty.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2898, 2606:4700:3108::ac42:2b68",,,
[x],155-9-211-98.press.tomorrowland.com,"172.66.43.104, 172.66.40.152",customers.prezly.com,"marty.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,"2606:4700:3108::ac42:2898, 2606:4700:3108::ac42:2b68",,,
[x],155-9-212-25.press.tomorrowland.com,"172.66.40.152, 172.66.43.104",customers.prezly.com,,,NOERROR,True,cloudflare,,,,
