input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,favicon_path,a_,tech_,lines,failed,knowledgebase_PageType,knowledgebase_pHash,tls_expired,webserver,tls_wildcard_certificate,tls_mismatched,cdn_name,final_url,cdn,csp_domains_,location
0.0.0.mobile.de,Zugriff verweigert / Access denied,403,8259,www.mobile.de,443,True,tls13,TLS_AES_256_GCM_SHA384,2024-12-13T00:00:00Z,2025-12-13T23:59:59Z,"CN=www.mobile.de, O=mobile.de GmbH, L=Kleinmachnow, ST=Brandenburg, C=DE, serialNumber=HRB 18517, businessCategory=Private Organization, jurisdictionLocality=Potsdam, jurisdictionStateOrProvince=Brandenburg, jurisdictionCountry=DE, businessCategory=Private Organization, jurisdictionLocality=Potsdam, jurisdictionStateOrProvince=Brandenburg, jurisdictionCountry=DE",www.mobile.de,mobile.de GmbH,www.automobile.fr,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,361f599270f8d4eb24f536a6014a7695,f17dac210fec5d34dfd40db8037c51e4f918a97093cd0051cb9162e918a6de53,ctls,www.mobile.de,443,https://0.0.0.mobile.de,https,text/html,GET,13.32.99.42,/,-682745113,/favicon.ico,13.32.99.27,,203,False,nonerror,0,,AkamaiGHost,,,cloudfront,https://www.mobile.de/,True,,
0.0.mobile.de,Zugriff verweigert / Access denied,403,8259,www.mobile.de,443,True,tls13,TLS_AES_256_GCM_SHA384,2024-12-13T00:00:00Z,2025-12-13T23:59:59Z,"CN=www.mobile.de, O=mobile.de GmbH, L=Kleinmachnow, ST=Brandenburg, C=DE, serialNumber=HRB 18517, businessCategory=Private Organization, jurisdictionLocality=Potsdam, jurisdictionStateOrProvince=Brandenburg, jurisdictionCountry=DE, businessCategory=Private Organization, jurisdictionLocality=Potsdam, jurisdictionStateOrProvince=Brandenburg, jurisdictionCountry=DE",www.mobile.de,mobile.de GmbH,www.automobile.fr,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,361f599270f8d4eb24f536a6014a7695,f17dac210fec5d34dfd40db8037c51e4f918a97093cd0051cb9162e918a6de53,ctls,www.mobile.de,443,https://0.0.mobile.de,https,text/html,GET,13.32.99.71,/,-682745113,/favicon.ico,13.32.99.27,,203,False,nonerror,0,,AkamaiGHost,,,cloudfront,https://www.mobile.de/,True,,
0.b.0.mobile.de,Zugriff verweigert / Access denied,403,8259,www.mobile.de,443,True,tls13,TLS_AES_256_GCM_SHA384,2024-12-13T00:00:00Z,2025-12-13T23:59:59Z,"CN=www.mobile.de, O=mobile.de GmbH, L=Kleinmachnow, ST=Brandenburg, C=DE, serialNumber=HRB 18517, businessCategory=Private Organization, jurisdictionLocality=Potsdam, jurisdictionStateOrProvince=Brandenburg, jurisdictionCountry=DE, businessCategory=Private Organization, jurisdictionLocality=Potsdam, jurisdictionStateOrProvince=Brandenburg, jurisdictionCountry=DE",www.mobile.de,mobile.de GmbH,www.automobile.fr,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,361f599270f8d4eb24f536a6014a7695,f17dac210fec5d34dfd40db8037c51e4f918a97093cd0051cb9162e918a6de53,ctls,www.mobile.de,443,https://0.b.0.mobile.de,https,text/html,GET,13.32.99.71,/,-682745113,/favicon.ico,13.32.99.42,,203,False,nonerror,0,,AkamaiGHost,,,cloudfront,https://www.mobile.de/,True,,
0.gb-suche.mobile.de,Zugriff verweigert / Access denied,403,8259,www.mobile.de,443,True,tls13,TLS_AES_256_GCM_SHA384,2024-12-13T00:00:00Z,2025-12-13T23:59:59Z,"CN=www.mobile.de, O=mobile.de GmbH, L=Kleinmachnow, ST=Brandenburg, C=DE, serialNumber=HRB 18517, businessCategory=Private Organization, jurisdictionLocality=Potsdam, jurisdictionStateOrProvince=Brandenburg, jurisdictionCountry=DE, businessCategory=Private Organization, jurisdictionLocality=Potsdam, jurisdictionStateOrProvince=Brandenburg, jurisdictionCountry=DE",www.mobile.de,mobile.de GmbH,www.automobile.fr,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,361f599270f8d4eb24f536a6014a7695,f17dac210fec5d34dfd40db8037c51e4f918a97093cd0051cb9162e918a6de53,ctls,www.mobile.de,443,https://0.gb-suche.mobile.de,https,text/html,GET,13.32.99.71,/,-682745113,/favicon.ico,13.32.99.42,,203,False,nonerror,0,,AkamaiGHost,,,cloudfront,https://www.mobile.de/,True,,
0.mobile.de,Zugriff verweigert / Access denied,403,8259,www.mobile.de,443,True,tls13,TLS_AES_256_GCM_SHA384,2024-12-13T00:00:00Z,2025-12-13T23:59:59Z,"CN=www.mobile.de, O=mobile.de GmbH, L=Kleinmachnow, ST=Brandenburg, C=DE, serialNumber=HRB 18517, businessCategory=Private Organization, jurisdictionLocality=Potsdam, jurisdictionStateOrProvince=Brandenburg, jurisdictionCountry=DE, businessCategory=Private Organization, jurisdictionLocality=Potsdam, jurisdictionStateOrProvince=Brandenburg, jurisdictionCountry=DE",www.mobile.de,mobile.de GmbH,www.automobile.fr,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,361f599270f8d4eb24f536a6014a7695,f17dac210fec5d34dfd40db8037c51e4f918a97093cd0051cb9162e918a6de53,ctls,www.mobile.de,443,https://0.mobile.de,https,text/html,GET,13.32.99.42,/,-682745113,/favicon.ico,13.32.99.27,,203,False,nonerror,0,,AkamaiGHost,,,cloudfront,https://www.mobile.de/,True,,
0.sandbox.mobile.de,,404,,0.sandbox.mobile.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-23T00:00:00Z,2025-04-23T23:59:59Z,CN=*.sandbox.mobile.de,*.sandbox.mobile.de,,*.sandbox.mobile.de,"CN=ZeroSSL RSA Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL RSA Domain Secure Site CA,ZeroSSL,81ea5a683cbe38c9d2f46b58f1f2bb6d,02d008806cdf940b83bc659fea8955e6004e2f7302753a3aaba654c266ceab18,ctls,0.sandbox.mobile.de,443,https://0.sandbox.mobile.de,https,,GET,18.199.137.13,/,,/favicon.ico,3.78.115.134,,1,False,other,0,,,True,,,,,,
0fdropbox8-3.mobile.de,Zugriff verweigert / Access denied,403,8259,www.mobile.de,443,True,tls13,TLS_AES_256_GCM_SHA384,2024-12-13T00:00:00Z,2025-12-13T23:59:59Z,"CN=www.mobile.de, O=mobile.de GmbH, L=Kleinmachnow, ST=Brandenburg, C=DE, serialNumber=HRB 18517, businessCategory=Private Organization, jurisdictionLocality=Potsdam, jurisdictionStateOrProvince=Brandenburg, jurisdictionCountry=DE, businessCategory=Private Organization, jurisdictionLocality=Potsdam, jurisdictionStateOrProvince=Brandenburg, jurisdictionCountry=DE",www.mobile.de,mobile.de GmbH,www.automobile.fr,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,361f599270f8d4eb24f536a6014a7695,f17dac210fec5d34dfd40db8037c51e4f918a97093cd0051cb9162e918a6de53,ctls,www.mobile.de,443,https://0fdropbox8-3.mobile.de,https,text/html,GET,13.32.99.71,/,-682745113,/favicon.ico,13.32.99.43,,203,False,nonerror,0,,AkamaiGHost,,,cloudfront,https://www.mobile.de/,True,,
178-118-183-51.corp.mobile.de,Zugriff verweigert / Access denied,403,8259,www.mobile.de,443,True,tls13,TLS_AES_256_GCM_SHA384,2024-12-13T00:00:00Z,2025-12-13T23:59:59Z,"CN=www.mobile.de, O=mobile.de GmbH, L=Kleinmachnow, ST=Brandenburg, C=DE, serialNumber=HRB 18517, businessCategory=Private Organization, jurisdictionLocality=Potsdam, jurisdictionStateOrProvince=Brandenburg, jurisdictionCountry=DE, businessCategory=Private Organization, jurisdictionLocality=Potsdam, jurisdictionStateOrProvince=Brandenburg, jurisdictionCountry=DE",www.mobile.de,mobile.de GmbH,www.automobile.fr,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,361f599270f8d4eb24f536a6014a7695,f17dac210fec5d34dfd40db8037c51e4f918a97093cd0051cb9162e918a6de53,ctls,www.mobile.de,443,https://178-118-183-51.corp.mobile.de,https,text/html,GET,13.32.99.71,/,-682745113,/favicon.ico,13.32.99.42,,203,False,nonerror,0,,AkamaiGHost,,,cloudfront,https://www.mobile.de/,True,,
37-9-4.corp.mobile.de,Zugriff verweigert / Access denied,403,8259,www.mobile.de,443,True,tls13,TLS_AES_256_GCM_SHA384,2024-12-13T00:00:00Z,2025-12-13T23:59:59Z,"CN=www.mobile.de, O=mobile.de GmbH, L=Kleinmachnow, ST=Brandenburg, C=DE, serialNumber=HRB 18517, businessCategory=Private Organization, jurisdictionLocality=Potsdam, jurisdictionStateOrProvince=Brandenburg, jurisdictionCountry=DE, businessCategory=Private Organization, jurisdictionLocality=Potsdam, jurisdictionStateOrProvince=Brandenburg, jurisdictionCountry=DE",www.mobile.de,mobile.de GmbH,www.automobile.fr,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,361f599270f8d4eb24f536a6014a7695,f17dac210fec5d34dfd40db8037c51e4f918a97093cd0051cb9162e918a6de53,ctls,www.mobile.de,443,https://37-9-4.corp.mobile.de,https,text/html,GET,13.32.99.43,/,-682745113,/favicon.ico,13.32.99.27,,203,False,nonerror,0,,AkamaiGHost,,,cloudfront,https://www.mobile.de/,True,,
4-3-09.home.mobile.de,Zugriff verweigert / Access denied,403,8259,www.mobile.de,443,True,tls13,TLS_AES_256_GCM_SHA384,2024-12-13T00:00:00Z,2025-12-13T23:59:59Z,"CN=www.mobile.de, O=mobile.de GmbH, L=Kleinmachnow, ST=Brandenburg, C=DE, serialNumber=HRB 18517, businessCategory=Private Organization, jurisdictionLocality=Potsdam, jurisdictionStateOrProvince=Brandenburg, jurisdictionCountry=DE, businessCategory=Private Organization, jurisdictionLocality=Potsdam, jurisdictionStateOrProvince=Brandenburg, jurisdictionCountry=DE",www.mobile.de,mobile.de GmbH,www.automobile.fr,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,361f599270f8d4eb24f536a6014a7695,f17dac210fec5d34dfd40db8037c51e4f918a97093cd0051cb9162e918a6de53,ctls,www.mobile.de,443,https://4-3-09.home.mobile.de,https,text/html,GET,13.32.99.71,/,-682745113,/favicon.ico,13.32.99.43,,203,False,nonerror,0,,AkamaiGHost,,,cloudfront,https://www.mobile.de/,True,,
