input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,webserver,csp_domains_,tech_,tls_mismatched,final_url
acc-abonnement.humo.be,DPG Media Privacy Gate,200,8843,myprivacy.dpgmedia.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-10T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.dpgmedia.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.be,DPG Media Services nv,dpgmedia.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ddc8be1048d6e44ff97fcb4627e7db9,587620209568fd2623e8b85cba1994a74830924cd2eeae4a8a2bc7b7be641328,True,ctls,myprivacy.dpgmedia.be,443,https://acc-abonnement.humo.be:443,https,text/html,GET,95.101.111.170,/,1049423751,2a02:26f0:ab00::5c7a:d713,278,False,,,Google Tag Manager,,https://myprivacy.dpgmedia.be/consent?siteKey=zdztnffnk26ad0jt&callbackUrl=https%3A%2F%2Facc-abonnement.humo.be%2Fprivacygate-confirm%3FredirectUri%3D%252F
acc.humo.be,Access Denied,401,261,acc.humo.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-09T00:00:00Z,2024-02-09T23:59:59Z,"CN=*.humo.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.humo.be,DPG Media Services nv,humo.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,de3d3effc3b73d9f3d83e9dadc3d88a8,6e13765b01b6b22df34110629d568e5d92fd2061be310c440971a33d20ff7695,True,ctls,acc.humo.be,443,https://acc.humo.be:443,https,text/html,GET,95.101.111.178,/,-377599431,2a02:26f0:ab00::5c7a:d730,10,False,AkamaiGHost,https:,HSTS,,
account.humo.be,Inlogpoging geblokkeerd,406,3322,account.humo.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-09T00:00:00Z,2024-02-09T23:59:59Z,"CN=*.humo.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.humo.be,DPG Media Services nv,humo.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,de3d3effc3b73d9f3d83e9dadc3d88a8,6e13765b01b6b22df34110629d568e5d92fd2061be310c440971a33d20ff7695,True,ctls,account.humo.be,443,https://account.humo.be:443,https,text/html,GET,23.53.43.64,/,1824847384,2a02:26f0:ab00::214:8e60,1,False,AkamaiGHost,,,,
accounts.humo.be,,200,,accounts.humo.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-17T00:00:00Z,2023-10-17T23:59:59Z,CN=accounts.persgroep.nl,accounts.persgroep.nl,,social.volkskrant.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3f3039929bd7e3a154638178dd28b2d2,070e06f614f39e7264de842fe97efda4a8fe5f7226694e8933595229380a2dd0,,ctls,accounts.humo.be,443,https://accounts.humo.be:443,https,text/html,GET,52.30.9.119,/,-1516177449,52.30.9.119,1,False,,,,,
beta.humo.be,DPG Media Privacy Gate,200,8816,myprivacy.dpgmedia.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-10T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.dpgmedia.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.be,DPG Media Services nv,dpgmedia.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ddc8be1048d6e44ff97fcb4627e7db9,587620209568fd2623e8b85cba1994a74830924cd2eeae4a8a2bc7b7be641328,True,ctls,myprivacy.dpgmedia.be,443,https://beta.humo.be:443,https,text/html,GET,23.53.43.73,/,-377599431,2a02:26f0:ab00::5c7a:d730,278,False,,,Google Tag Manager,,https://myprivacy.dpgmedia.be/consent?siteKey=ZdzTNfFnK26aD0JT&callbackUrl=https%3a%2f%2fwww.humo.be%2fprivacy-wall%2faccept%3fredirectUri%3d%252f
brandedcontentbe.humo.be,DPG Media Branded Content -,200,16462,brandedcontentbe.humo.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-30T04:53:52Z,2023-09-28T04:53:51Z,CN=persgroep.be,persgroep.be,,www.willy.radio,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9996f325023724981564f1b5e3038f54,b79475021f3b18e6a1886e25e3455da88bfd5ac20a7c37525853f0263a64421d,,ctls,brandedcontentbe.humo.be,443,https://brandedcontentbe.humo.be:443,https,text/html,GET,2.17.100.130,/,-2127695578,2a02:26f0:480:23::1726:62a1,114,False,Apache,,Yoast SEO:19.12,,
castor-forum.humo.be,Redirecting..,200,308,castor-forum.humo.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-25T00:00:00Z,2023-11-25T23:59:59Z,"CN=cdm.cegeka.com, O=Cegeka NV, L=Hasselt, C=BE",cdm.cegeka.com,Cegeka NV,cdm.cegeka.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3306d1753bc511750218e1ff23da46eb,48ec60ef26cd951893ad302a07357ef9fc71a4dbc7274523c401094cf8e45394,,ctls,castor-forum.humo.be,443,https://castor-forum.humo.be:443,https,text/html,GET,212.113.65.128,/,-542502280,212.113.65.128,16,False,,,Java,True,
circulation.humo.be,,200,12,circulation.humo.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-10T15:18:45Z,2023-09-08T15:18:44Z,CN=circulation.humo.be,circulation.humo.be,,circulation.humo.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7f53cc3c03bb4c2cddb3ea7203c62d08,f1ae42ce996cbe4e433c05ccd7eccb079cea4816ad5e458791180acadfcdf758,,ctls,circulation.humo.be,443,https://circulation.humo.be:443,https,text/html,GET,164.92.144.12,/,-1840324437,164.92.144.12,1,False,nginx/1.18.0 (Ubuntu),,Ubuntu,,
dev-service.humo.be,Invalid URL,400,209,dev-service.humo.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-09T00:00:00Z,2024-02-09T23:59:59Z,"CN=*.humo.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.humo.be,DPG Media Services nv,humo.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,de3d3effc3b73d9f3d83e9dadc3d88a8,6e13765b01b6b22df34110629d568e5d92fd2061be310c440971a33d20ff7695,True,ctls,dev-service.humo.be,443,https://dev-service.humo.be:443,https,text/html,GET,23.53.43.66,/,-1661059769,2a02:26f0:ab00::5c7a:d708,8,False,AkamaiGHost,,,,
docu.humo.be,Humo | Diamond Docu,200,28650,docu.humo.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-09T00:00:00Z,2024-02-09T23:59:59Z,"CN=*.humo.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.humo.be,DPG Media Services nv,humo.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,de3d3effc3b73d9f3d83e9dadc3d88a8,6e13765b01b6b22df34110629d568e5d92fd2061be310c440971a33d20ff7695,True,ctls,docu.humo.be,443,https://docu.humo.be:443,https,text/html,GET,95.101.111.178,/,-129088868,2a02:26f0:ab00::5c7a:d708,392,False,Apache,,WordPress:5.7.9,,
durex.humo.be,404 Not Found,404,196,durex.humo.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2020-01-20T12:21:20Z,2025-01-18T12:21:20Z,CN=SEPM,SEPM,,sv-int-sepm2,"CN=CegekaRootCertAuth, DC=corp, DC=local, DC=corp, DC=local",CegekaRootCertAuth,,42e8ba42a2c0c57c0034d0289cd0e8c2,fe62ebec95dcd84399d035ec2034b8e289b9c38507b60bb47ad0f0bfa8c28f52,,ctls,durex.humo.be,443,https://durex.humo.be:443,https,text/html,GET,212.113.64.4,/,-780928015,212.113.64.4,8,False,Symantec Endpoint Protection Manager,,,True,
e.email.humo.be,"You received emails from this domain, didn't you?",200,15468,e.email.humo.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-24T09:47:25Z,2023-08-22T09:47:24Z,CN=e.email.humo.be,e.email.humo.be,,e.email.humo.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6831902b64573bb6e4a04e9df6a69e3c,3d64fb0959f2894e875035f92a6a1440dc62a5015fdd164236a88fdf9529f31a,,ctls,e.email.humo.be,443,https://e.email.humo.be:443,https,text/html,GET,185.136.64.6,/,-1812417198,185.136.65.7,344,False,nginx,,Webflow,,
