new,host,a,cname,mx,soa,txt,caa,status_code,aaaa,ns,has_internal_ips,internal_ips
,blogs.humo.be,212.113.89.41,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,brandedcontentbe.humo.be,"95.101.111.159, 95.101.111.152","persgroep-be.dpp.edgekey.net, e11917.dscb.akamaiedge.net",,"n0dscb.akamaiedge.net, hostmaster.akamai.com",,,NOERROR,"2a02:26f0:ab00::214:8e41, 2a02:26f0:ab00::214:8e68",,,
,castor-banners.humo.be,212.113.65.133,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,castor-blogs.humo.be,212.113.65.133,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,castor-forum.humo.be,212.113.65.128,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,castor-old.humo.be,212.113.65.133,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,castor-www.humo.be,212.113.65.133,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,circulation.humo.be,164.92.144.12,dpg.pexi.nl,,"ns1.digitalocean.com, hostmaster.pexi.nl",,,NOERROR,,,,
,cms.humo.be,178.208.61.9,sentia.humo.be,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,dev-service.humo.be,"95.101.111.140, 95.101.111.178","dpgm-humo-wc.edgekey.net, e29827.dscb.akamaiedge.net",,"n0dscb.akamaiedge.net, hostmaster.akamai.com",,,NOERROR,"2a02:26f0:ab00::5c7a:d708, 2a02:26f0:ab00::5c7a:d730",,,
,dev.humo.be,178.208.54.56,devel.sanomadigital.be,,"ns-94.awsdns-11.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,
,devapi.humo.be,212.113.89.41,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,docu.humo.be,"62.115.252.67, 80.239.137.170","dpgm-humo-wc.edgekey.net, e29827.dscb.akamaiedge.net",,"n0dscb.akamaiedge.net, hostmaster.akamai.com",,,NOERROR,"2001:2030:21::50ef:89aa, 2001:2030:21::3e73:fc43",,,
,downloads.humo.be,212.113.89.59,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,durex.humo.be,212.113.64.4,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,e.email.humo.be,"185.136.65.6, 185.136.64.6, 185.136.65.7, 185.136.64.7",web.flowmailer.net,return.flowmailer.net,"ns1.flowmailer.net, contact.flowmailer.net",v=spf1 include:spf.flowmailer.net ~all,"quovadisglobal.com, letsencrypt.org, digicert.com, mailto:abuse@flowmailer.com, entrust.net, sectigo.com",NOERROR,,,,
,ebike-non-prod.humo.be,"23.36.162.223, 23.36.162.213","dpgm-humo-wc.edgekey.net, e29827.dscb.akamaiedge.net",,"n0dscb.akamaiedge.net, hostmaster.akamai.com",,,NOERROR,,,,
,ebike.humo.be,"23.36.162.213, 23.36.162.223","dpgm-humo-wc.edgekey.net, e29827.dscb.akamaiedge.net",,"n0dscb.akamaiedge.net, hostmaster.akamai.com",,,NOERROR,,,,
,esales-test.humo.be,"2.17.100.178, 2.17.100.242","dpgm-humo-wc.edgekey.net, e29827.dscb.akamaiedge.net",,"n0dscb.akamaiedge.net, hostmaster.akamai.com",,,NOERROR,"2a02:26f0:1700:5::5f65:1b71, 2a02:26f0:1700:5::5f65:1b54",,,
,esales.humo.be,"2.17.100.242, 2.17.100.178","dpgm-humo-wc.edgekey.net, e29827.dscb.akamaiedge.net",,"n0dscb.akamaiedge.net, hostmaster.akamai.com",,,NOERROR,"2a02:26f0:1700:5::5f65:1b54, 2a02:26f0:1700:5::5f65:1b71",,,
,ftp.humo.be,212.123.20.170,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,humo1.humo.be,195.0.49.182,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,img-acc.humo.be,"184.28.29.144, 184.28.29.164","dpgm-image-api.edgekey.net, e127453.dscd.akamaiedge.net",,"n0dscd.akamaiedge.net, hostmaster.akamai.com",,,NOERROR,"2600:141b:5000::b81c:be1b, 2600:141b:5000::b81c:be20",,,
,img.humo.be,"184.86.103.207, 184.86.103.215","dpgm-image-api.edgekey.net, e127453.dscd.akamaiedge.net",,"n0dscd.akamaiedge.net, hostmaster.akamai.com",,,NOERROR,"2a02:26f0:1700:7::17d5:a1dc, 2a02:26f0:1700:7::17d5:a1d4",,,
,ims.humo.be,95.101.74.160,"dpgm-humo-wc.edgekey.net, e29827.dscb.akamaiedge.net",,"n0dscb.akamaiedge.net, hostmaster.akamai.com",,,NOERROR,2a02:26f0:c900:9::5f65:4aa0,,,
,kotbeu.humo.be,212.113.64.135,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,landingpage.humo.be,"95.101.111.140, 95.101.111.178","dpgm-humo-wc.edgekey.net, e29827.dscb.akamaiedge.net",,"n0dscb.akamaiedge.net, hostmaster.akamai.com",,,NOERROR,"2a02:26f0:3100::1735:2b98, 2a02:26f0:3100::1735:2b89",,,
,login.humo.be,"23.36.162.222, 23.36.162.221","gigya.persgroep.edgekey.net, e15382.dscb.akamaiedge.net",,"n0dscb.akamaiedge.net, hostmaster.akamai.com",,,NOERROR,"2a02:26f0:7100::210:150, 2a02:26f0:7100::210:129",,,
,m.humo.be,146.185.53.23,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,magazine.humo.be,"46.30.126.147, 46.30.126.156",e-pages.pub,mail.dlx.dk,"ns1.dlx.dk, ks.dlx.dk",v=spf1 include:_spf.mail.dlx.dk ?all,,NOERROR,,"ns1.dlx.dk, ns2.dlx.dk",,
,mail.humo.be,195.75.219.122,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,mail2.humo.be,195.75.219.124,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,maillist.humo.be,212.113.64.135,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,mgt-intern.humo.be,192.168.169.118,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,True,192.168.169.118
,mgt01.humo.be,178.208.61.17,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,mig-forum.humo.be,212.113.65.73,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,mig-old.humo.be,212.113.65.73,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,mig.humo.be,212.113.65.111,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,mijn.humo.be,"23.36.162.213, 23.36.162.223","dpgm-humo-wc.edgekey.net, e29827.dscb.akamaiedge.net",,"n0dscb.akamaiedge.net, hostmaster.akamai.com",,,NOERROR,,,,
,mijnomgeving.humo.be,"95.101.111.140, 95.101.111.178","dpgm-humo-wc.edgekey.net, e29827.dscb.akamaiedge.net",,"n0dscb.akamaiedge.net, hostmaster.akamai.com",,,NOERROR,"2a02:26f0:480:23::1726:62a2, 2a02:26f0:480:23::1726:6296",,,
,mobile2.humo.be,"95.101.111.140, 95.101.111.178","dpgm-humo-wc.edgekey.net, e29827.dscb.akamaiedge.net",,"n0dscb.akamaiedge.net, hostmaster.akamai.com",,,NOERROR,"2a02:26f0:ab00::5c7a:d730, 2a02:26f0:ab00::5c7a:d708",,,
,myaccount.humo.be,"95.101.111.180, 95.101.111.169","myaccnt.dpp.edgekey.net, e15454.dscb.akamaiedge.net",,"n0dscb.akamaiedge.net, hostmaster.akamai.com",,,NOERROR,"2a02:26f0:ab00::214:8e70, 2a02:26f0:ab00::5c7a:d722",,,
,mysql01.humo.be,178.208.61.14,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,mysql02.humo.be,178.208.61.15,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,oldrd.humo.be,212.113.64.134,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,pollux-old.humo.be,212.113.65.134,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,pollux-www.humo.be,,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,prod.humo.be,212.113.89.41,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,projecten.humo.be,"88.221.24.57, 88.221.24.49","dpgm-humo-wc.edgekey.net, e29827.dscb.akamaiedge.net",,"n0dscb.akamaiedge.net, hostmaster.akamai.com",,,NOERROR,"2a02:26f0:10e::6860:5b53, 2a02:26f0:10e::6860:5b5a",,,
,rock-rally.humo.be,"95.101.111.140, 95.101.111.178","dpgm-humo-wc.edgekey.net, e29827.dscb.akamaiedge.net",,"n0dscb.akamaiedge.net, hostmaster.akamai.com",,,NOERROR,"2a02:26f0:3500:14::1724:a24d, 2a02:26f0:3500:14::1724:a255",,,
,rockrally.humo.be,"95.101.111.140, 95.101.111.178","dpgm-humo-wc.edgekey.net, e29827.dscb.akamaiedge.net",,"n0dscb.akamaiedge.net, hostmaster.akamai.com",,,NOERROR,"2a02:26f0:ab00::5c7a:d730, 2a02:26f0:ab00::5c7a:d708",,,
,s0.img.humo.be,178.208.61.9,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,s2.img.humo.be,178.208.61.9,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,s3.img.humo.be,178.208.61.9,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,s4.img.humo.be,178.208.61.9,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,s6.img.humo.be,178.208.61.9,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,s8.img.humo.be,178.208.61.9,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,s9.img.humo.be,178.208.61.9,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,sentia.humo.be,178.208.61.9,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,shop.humo.be,95.101.74.160,"dpgm-humo-wc.edgekey.net, e29827.dscb.akamaiedge.net",,"n0dscb.akamaiedge.net, hostmaster.akamai.com",,,NOERROR,2a02:26f0:c900:9::5f65:4aa0,,,
,social.humo.be,52.30.9.119,"accounts-ad-nl.sslproxy.gigya.com, sslproxy.eu1.gigya.com, lb.eu1.gigya.com",,"ns-1877.awsdns-42.co.uk, awsdns-hostmaster.amazon.com, dns1.p01.nsone.net, hostmaster.nsone.net",,,NOERROR,,"dns1.p01.nsone.net, dns2.p01.nsone.net, dns3.p01.nsone.net, dns4.p01.nsone.net, ns-1099.awsdns-09.org, ns-1877.awsdns-42.co.uk, ns-499.awsdns-62.com, ns-864.awsdns-44.net",,
,staging.humo.be,178.208.61.17,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,static.humo.be,212.113.89.41,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,stream.humo.be,212.113.65.106,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,temptation.humo.be,"23.53.43.66, 23.53.43.73","temptation.humo.be.edgekey.net, e29827.dscb.akamaiedge.net",,"n0dscb.akamaiedge.net, hostmaster.akamai.com",,,NOERROR,"2a02:26f0:3100::1735:2b89, 2a02:26f0:3100::1735:2b98",,,
,testftp.humo.be,212.123.20.170,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,twee.humo.be,,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,unsubscribe.humo.be,,"prod.unsubscribe.tapp.dpgmedia.cloud, unsubscribe.tapp.dpgmedia.cloud.edgekey.net, e72151.dscb.akamaiedge.net",,"n0dscb.akamaiedge.net, hostmaster.akamai.com",,,NOERROR,"2a02:26f0:d8::1740:c48, 2a02:26f0:d8::1740:c30",,,
,users.humo.be,178.208.61.9,sentia.humo.be,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,voordelen.humo.be,"23.53.43.73, 23.53.43.18","crm.dpp.edgekey.net, e15443.dscb.akamaiedge.net",,"n0dscb.akamaiedge.net, hostmaster.akamai.com",,,NOERROR,"2a02:26f0:3100::1735:2bba, 2a02:26f0:3100::1725:e25a",,,
,web-frontend-pr-8527.humo.be,,,,,,,NOERROR,,,,
,web02.humo.be,178.208.61.13,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,webcms.humo.be,178.208.61.9,sentia.humo.be,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,www.humo.be,"2.17.100.178, 2.17.100.242","dpgm-humo-wc.edgekey.net, e29827.dscb.akamaiedge.net",,"n0dscb.akamaiedge.net, hostmaster.akamai.com",,,NOERROR,"2a02:26f0:1700:5::5f65:1b54, 2a02:26f0:1700:5::5f65:1b71",,,
,www2014.humo.be,178.208.61.9,,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
,www2015.humo.be,178.208.61.9,sentia.humo.be,,"ns1-25.akam.net, hostmaster.persgroep.be",,,NOERROR,,,,
