new,host,a,cname,soa,status_code,aaaa,cdn,cdn-name,mx,txt,caa,ns
,alasco.de,"104.22.74.141, 172.67.21.239, 104.22.75.141",,"duke.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6816:4b8d, 2606:4700:10::ac43:15ef, 2606:4700:10::6816:4a8d",True,cloudflare,"aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","v=spf1 include:_spf.google.com include:mail.zendesk.com include:servers.mcsv.net include:sendgrid.net include:5181082.spf05.hubspotemail.net ~all, apple-domain-verification=f5VcCC1Nd2BSdJj7, google-site-verification=tKm77qEsMyy890gaxTkV_tie1_c4E28F8e3KfM97zOQ, google-site-verification=yCDXe04aP9o9XOjWzFYXfMQLr4n3nVgfG249lWHmSMo",,"raina.ns.cloudflare.com, duke.ns.cloudflare.com"
,api-staging.alasco.rocks,"188.114.99.229, 188.114.98.229",,"duke.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2a06:98c1:3122:e000::5, 2a06:98c1:3123:e000::5",True,cloudflare,,,,
,app-staging.alasco.rocks,"172.67.69.253, 104.26.5.79, 104.26.4.79",,"duke.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:20::ac43:45fd, 2606:4700:20::681a:54f, 2606:4700:20::681a:44f",True,cloudflare,,,,
,app.alasco.de,"104.22.74.141, 104.22.75.141, 172.67.21.239",,"duke.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6816:4b8d, 2606:4700:10::6816:4a8d, 2606:4700:10::ac43:15ef",True,cloudflare,,,,
,branding.alasco.de,"172.67.21.239, 104.22.75.141, 104.22.74.141",,"duke.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6816:4a8d, 2606:4700:10::6816:4b8d, 2606:4700:10::ac43:15ef",True,cloudflare,,,,
,demo.alasco.de,"104.22.74.141, 104.22.75.141, 172.67.21.239",,"duke.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::ac43:15ef, 2606:4700:10::6816:4a8d, 2606:4700:10::6816:4b8d",True,cloudflare,,,,
,developer.alasco.de,"188.114.99.229, 188.114.98.229",,"duke.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2a06:98c1:3123:e000::5, 2a06:98c1:3122:e000::5",True,cloudflare,,,,
,get.alasco.de,"3.126.202.50, 3.69.136.55","17b07ba6002a4ae0a4e55942dffdb9c1.unbouncepages.com, unbouncepages.com","ns-748.awsdns-29.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,google-site-verification=OR1Dxjz7lXfsMSTzdmscdUNH56xGM9k7kpj72k7ERAs,,"ns-1465.awsdns-55.org, ns-1575.awsdns-04.co.uk, ns-362.awsdns-45.com, ns-748.awsdns-29.net"
,hello.alasco.de,"52.41.190.196, 44.228.158.230, 54.149.247.91","6b5b338e-fb4a-4b34-9035-da21e19b3322.outrch.com, app1e.outrch.com","ns-2.awsdns-00.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,letsencrypt.org,
,inside.alasco.de,"185.199.108.153, 185.199.109.153, 185.199.110.153, 185.199.111.153",alasco-tech.github.io,"ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"2606:50c0:8003::153, 2606:50c0:8000::153, 2606:50c0:8001::153, 2606:50c0:8002::153",,,,,"digicert.com, letsencrypt.org",
,l.alasco.de,52.72.49.79,,"duke.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,login.alasco.de,"104.17.171.55, 104.17.235.88",alasco-cd-enr90ilxh5kguc0t.edge.tenants.eu.auth0.com,"kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700::6811:eb58, 2606:4700::6811:ab37",True,cloudflare,,,"digicert.com, letsencrypt.org",
,login.alasco.rocks,"104.17.235.88, 104.17.171.55",alasco-staging-cd-oaz4fr13intuikxr.edge.tenants.eu.auth0.com,"kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700::6811:ab37, 2606:4700::6811:eb58",True,cloudflare,,,letsencrypt.org,
,maintenance.alasco.de,"104.22.74.141, 172.67.21.239, 104.22.75.141",,"duke.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6816:4b8d, 2606:4700:10::ac43:15ef, 2606:4700:10::6816:4a8d",True,cloudflare,,,,
,rabbitmq.alasco.de,"18.198.141.16, 18.185.146.204, 52.28.163.41",rabbitmq-web-console-1424781812.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,rabbitmq.alasco.rocks,"3.123.126.183, 18.158.162.226, 3.66.251.252",rabbitmq-web-console-161358396.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,support.alasco.de,"104.16.53.111, 104.16.51.111",alasco.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudflare,mail-pod-28.int.zendesk.com,"pod=28, v=spf1 include:mail.zendesk.com ~all",,
,zendesk4.alasco.de,"162.159.138.6, 162.159.128.7, 184.72.174.126, 34.235.62.90, 3.213.143.227",mail4.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudflare,mail.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all,,"ns-1213.awsdns-23.org, ns-1858.awsdns-40.co.uk, ns-444.awsdns-55.com, ns-754.awsdns-30.net"
