input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,tls_subject_org_,tls_self_signed,tls_mismatched,final_url,csp_domains_
achados.elo.com.br,Home | Elo,200,1811543,www.elo.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-17T08:33:55Z,2023-08-15T09:32:48Z,CN=elo.com.br,elo.com.br,*.elo.com.br,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,3c4d444a51426463577d20663f71025b,9747b8caf2769dd4e0a96e8e2dd6dcf5cd79b13834d99b2edc722cf78850fbd3,ctls,www.elo.com.br,,443,https://achados.elo.com.br:443,https,cloudflare,text/html,GET,54.207.1.159,/,159470670,18.229.81.181,HSTS,308,False,,True,,,,https://www.elo.com.br,https://media.elo.com.br
api-authentication-dev.elo.com.br,Error,404,139,api-authentication-dev.elo.com.br,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-04T00:00:00Z,2023-10-06T23:59:59Z,CN=*.elo.com.br,*.elo.com.br,*.apps-nprd-portais.elo.com.br,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,fbc186fbadc35531253122ccb23ff42f,61dfd77bbb28628fc5a00e6fc941c3fb4e3102e1bf1b36e6b9279f9706e539c6,ctls,api-authentication-dev.elo.com.br,,443,https://api-authentication-dev.elo.com.br:443,https,,text/html,GET,177.71.228.5,/,1593207841,52.67.82.5,HSTS,11,False,,True,,,,,
api-authentication-prod.elo.com.br,Error,404,139,api-authentication-prod.elo.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-02T00:03:02Z,2023-08-31T01:01:58Z,CN=api-authentication-prod.elo.com.br,api-authentication-prod.elo.com.br,api-authentication-prod.elo.com.br,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,f75ca3688c386e746404e2c7f2e9e84b,73abc908a8e81f0f4c174a2a6efe9c3f3d43b44430d28c9cbc7a6f39cdb51b50,ctls,api-authentication-prod.elo.com.br,cloudflare,443,https://api-authentication-prod.elo.com.br:443,https,cloudflare,text/html,GET,104.18.30.115,/,1593207841,2606:4700::6812:1e73,HSTS,11,False,True,,,,,,
api-authentication-qa.elo.com.br,Error,404,139,api-authentication-qa.elo.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-17T08:33:55Z,2023-08-15T09:32:48Z,CN=elo.com.br,elo.com.br,*.elo.com.br,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,3c4d444a51426463577d20663f71025b,9747b8caf2769dd4e0a96e8e2dd6dcf5cd79b13834d99b2edc722cf78850fbd3,ctls,api-authentication-qa.elo.com.br,cloudflare,443,https://api-authentication-qa.elo.com.br:443,https,cloudflare,text/html,GET,104.18.2.31,/,1593207841,2606:4700::6812:31f,HSTS,11,False,True,True,,,,,
api-contentful-prod.elo.com.br,Error,404,139,api-contentful-prod.elo.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-17T08:33:55Z,2023-08-15T09:32:48Z,CN=elo.com.br,elo.com.br,*.elo.com.br,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,3c4d444a51426463577d20663f71025b,9747b8caf2769dd4e0a96e8e2dd6dcf5cd79b13834d99b2edc722cf78850fbd3,ctls,api-contentful-prod.elo.com.br,cloudflare,443,https://api-contentful-prod.elo.com.br:443,https,cloudflare,text/html,GET,104.18.2.31,/,1593207841,2606:4700::6812:31f,Node.js,11,False,True,True,,,,,
api-offer-prod.elo.com.br,Error,404,139,api-offer-prod.elo.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-17T08:33:55Z,2023-08-15T09:32:48Z,CN=elo.com.br,elo.com.br,*.elo.com.br,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,3c4d444a51426463577d20663f71025b,9747b8caf2769dd4e0a96e8e2dd6dcf5cd79b13834d99b2edc722cf78850fbd3,ctls,api-offer-prod.elo.com.br,cloudflare,443,https://api-offer-prod.elo.com.br:443,https,cloudflare,text/html,GET,104.18.2.31,/,1593207841,2606:4700::6812:31f,Node.js,11,False,True,True,,,,,
api-promotion-prod.elo.com.br,HTTP Status 404 – Not Found,404,427,api-promotion-prod.elo.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-17T08:33:55Z,2023-08-15T09:32:48Z,CN=elo.com.br,elo.com.br,*.elo.com.br,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,3c4d444a51426463577d20663f71025b,9747b8caf2769dd4e0a96e8e2dd6dcf5cd79b13834d99b2edc722cf78850fbd3,ctls,api-promotion-prod.elo.com.br,cloudflare,443,https://api-promotion-prod.elo.com.br:443,https,cloudflare,text/html,GET,104.18.3.31,/,-230353730,2606:4700::6812:21f,Cloudflare,1,False,True,True,,,,,
api.elo.com.br,,404,47,api.elo.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T19:36:05Z,2024-05-12T19:36:04Z,"CN=api.elo.com.br, O=ELO SERVICOS S.A., L=BARUERI, ST=SAO PAULO, C=BR",api.elo.com.br,api.elo.com.br,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,4bef130527a501d8e86cb8a7fd118aab,0213d59a26c7dab6ab7984dea086dd1eae9097bedbd663549b506e7da0d78351,ctls,api.elo.com.br,cloudflare,443,https://api.elo.com.br:443,https,cloudflare,text/plain,GET,104.18.23.27,/,871172785,2606:4700::6812:171b,HSTS,1,False,True,,ELO SERVICOS S.A.,,,,
autodiscover.elo.com.br,Sign in to Outlook,200,38411,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,ctls,login.microsoftonline.com,,80,http://autodiscover.elo.com.br:80,http,,text/html,GET,52.98.175.24,/,-1249852061,2603:1026:c0d:82a::8,HSTS,94,False,,,Microsoft Corporation,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=61fc4fbb-f765-47c8-2aae-4e7e9e3a4cdc&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=elo.com.br&nonce=638221331779870930.be7c58fa-08e0-4b77-9e20-a8d9f39653d3&state=DctLDoMwDADRpNyFXYKJC44XqGfJx0iVQJbSll6fLN7sxhpjhu7RWegxtGIMYUaciTgSMILPQmWJe3IQBdwzEzmWAC7FyjvyumBF299x0n-aXk3ScW5yqC96-tzGq27p99X6_hS9pN0,
caixaempresarial.elo.com.br,Caixa Elo Empresarial | Elo,200,282870,www.elo.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-17T08:33:55Z,2023-08-15T09:32:48Z,CN=elo.com.br,elo.com.br,*.elo.com.br,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,3c4d444a51426463577d20663f71025b,9747b8caf2769dd4e0a96e8e2dd6dcf5cd79b13834d99b2edc722cf78850fbd3,ctls,www.elo.com.br,,443,https://caixaempresarial.elo.com.br:443,https,cloudflare,text/html,GET,54.207.1.159,/,2086856303,18.229.81.181,HSTS,204,False,,True,,,,https://www.elo.com.br/produtos/pequenas-e-medias-empresas/caixa-empresarial-elo,https://media.elo.com.br
