input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,tls_subject_org_,tls_wildcard_certificate,webserver,tech_,cdn_name,cdn,final_url,location,csp_domains_
1024.dev.api.vtm.be,Service Unavailable,503,269,1024.dev.api.vtm.be,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-29T00:27:13Z,2023-07-28T00:27:12Z,CN=*.dev.api.vtm.be,*.dev.api.vtm.be,*.dev.api.vtm.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d214df2642d75e477520e7fb2771f931,913603f26ac893084acb931fe303fe03672edf1dedcd025cf43a381c3cc9c57a,ctls,1024.dev.api.vtm.be,443,https://1024.dev.api.vtm.be:443,https,text/html,GET,95.101.111.180,/,-1460107930,2a02:26f0:480:23::1726:6299,9,False,,True,,,,,,,
155-9-52-38.tickets.vtm.be,Tickoweb,200,239,155-9-52-38.tickets.vtm.be,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-04-17T10:00:10Z,2023-07-16T10:00:09Z,CN=01062023.contiusfoundation.tickoweb.be,01062023.contiusfoundation.tickoweb.be,01062023.contiusfoundation.tickoweb.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,79259e02f0784340e2e57e57cee21c3a,058ba73c133e5e5976db90d35c2d7272b7a3fe4d613ec4c46366e491635ef1fe,ctls,155-9-52-38.tickets.vtm.be,443,https://155-9-52-38.tickets.vtm.be:443,https,text/html,GET,86.39.65.98,/,1210327255,2a00:6ec0:101:1:0:98:0:1,15,False,,,,,,,,,
155-9-73-74.tickets.vtm.be,Tickoweb,200,239,155-9-73-74.tickets.vtm.be,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-04-17T10:00:10Z,2023-07-16T10:00:09Z,CN=01062023.contiusfoundation.tickoweb.be,01062023.contiusfoundation.tickoweb.be,01062023.contiusfoundation.tickoweb.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,79259e02f0784340e2e57e57cee21c3a,058ba73c133e5e5976db90d35c2d7272b7a3fe4d613ec4c46366e491635ef1fe,ctls,155-9-73-74.tickets.vtm.be,443,https://155-9-73-74.tickets.vtm.be:443,https,text/html,GET,86.39.65.98,/,1210327255,2a00:6ec0:101:1:0:98:0:1,15,False,,,,,,,,,
1h.tickets.vtm.be,Tickoweb,200,239,1h.tickets.vtm.be,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-04-17T10:00:10Z,2023-07-16T10:00:09Z,CN=01062023.contiusfoundation.tickoweb.be,01062023.contiusfoundation.tickoweb.be,01062023.contiusfoundation.tickoweb.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,79259e02f0784340e2e57e57cee21c3a,058ba73c133e5e5976db90d35c2d7272b7a3fe4d613ec4c46366e491635ef1fe,ctls,1h.tickets.vtm.be,443,https://1h.tickets.vtm.be:443,https,text/html,GET,86.39.65.98,/,1210327255,2a00:6ec0:101:1:0:98:0:1,15,False,,,,,,,,,
44-46.tickets.vtm.be,Tickoweb,200,239,44-46.tickets.vtm.be,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-04-17T10:00:10Z,2023-07-16T10:00:09Z,CN=01062023.contiusfoundation.tickoweb.be,01062023.contiusfoundation.tickoweb.be,01062023.contiusfoundation.tickoweb.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,79259e02f0784340e2e57e57cee21c3a,058ba73c133e5e5976db90d35c2d7272b7a3fe4d613ec4c46366e491635ef1fe,ctls,44-46.tickets.vtm.be,443,https://44-46.tickets.vtm.be:443,https,text/html,GET,86.39.65.98,/,1210327255,2a00:6ec0:101:1:0:98:0:1,15,False,,,,,,,,,
accessimage.tickets.vtm.be,Tickoweb,200,239,accessimage.tickets.vtm.be,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-04-17T10:00:10Z,2023-07-16T10:00:09Z,CN=01062023.contiusfoundation.tickoweb.be,01062023.contiusfoundation.tickoweb.be,01062023.contiusfoundation.tickoweb.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,79259e02f0784340e2e57e57cee21c3a,058ba73c133e5e5976db90d35c2d7272b7a3fe4d613ec4c46366e491635ef1fe,ctls,accessimage.tickets.vtm.be,443,https://accessimage.tickets.vtm.be:443,https,text/html,GET,86.39.65.98,/,1210327255,2a00:6ec0:101:1:0:98:0:1,15,False,,,,,,,,,
account-datav4-cacheoceania.tickets.vtm.be,Tickoweb,200,239,account-datav4-cacheoceania.tickets.vtm.be,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-04-17T10:00:10Z,2023-07-16T10:00:09Z,CN=01062023.contiusfoundation.tickoweb.be,01062023.contiusfoundation.tickoweb.be,01062023.contiusfoundation.tickoweb.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,79259e02f0784340e2e57e57cee21c3a,058ba73c133e5e5976db90d35c2d7272b7a3fe4d613ec4c46366e491635ef1fe,ctls,account-datav4-cacheoceania.tickets.vtm.be,443,https://account-datav4-cacheoceania.tickets.vtm.be:443,https,text/html,GET,86.39.65.98,/,1210327255,2a00:6ec0:101:1:0:98:0:1,15,False,,,,,,,,,
account-oldpanel.tickets.vtm.be,Tickoweb,200,239,account-oldpanel.tickets.vtm.be,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-04-17T10:00:10Z,2023-07-16T10:00:09Z,CN=01062023.contiusfoundation.tickoweb.be,01062023.contiusfoundation.tickoweb.be,01062023.contiusfoundation.tickoweb.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,79259e02f0784340e2e57e57cee21c3a,058ba73c133e5e5976db90d35c2d7272b7a3fe4d613ec4c46366e491635ef1fe,ctls,account-oldpanel.tickets.vtm.be,443,https://account-oldpanel.tickets.vtm.be:443,https,text/html,GET,86.39.65.98,/,1210327255,2a00:6ec0:101:1:0:98:0:1,15,False,,,,,,,,,
account.vtm.be,Inlogpoging geblokkeerd,406,3323,account.vtm.be,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-10-11T00:00:00Z,2023-10-11T23:59:59Z,"CN=*.vtm.be, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.vtm.be,vtm.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,eb3142f456f41a6bc0c786936fcf894a,e7cbac56b12ac4977982255dc82978d6139eff41aee86e7e43e9624b67d8ae9f,ctls,account.vtm.be,443,https://account.vtm.be:443,https,text/html,GET,23.3.88.51,/,-1806949131,2a02:26f0:ab00::214:8e60,1,False,DPG Media Services N.V.,True,AkamaiGHost,,,,,,
admin-private-jirasite.tickets.vtm.be,Tickoweb,200,239,admin-private-jirasite.tickets.vtm.be,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-04-17T10:00:10Z,2023-07-16T10:00:09Z,CN=01062023.contiusfoundation.tickoweb.be,01062023.contiusfoundation.tickoweb.be,01062023.contiusfoundation.tickoweb.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,79259e02f0784340e2e57e57cee21c3a,058ba73c133e5e5976db90d35c2d7272b7a3fe4d613ec4c46366e491635ef1fe,ctls,admin-private-jirasite.tickets.vtm.be,443,https://admin-private-jirasite.tickets.vtm.be:443,https,text/html,GET,86.39.65.98,/,1210327255,2a00:6ec0:101:1:0:98:0:1,15,False,,,,,,,,,
