new,host,ttl,a,cname,soa,has_internal_ips,internal_ips,status_code,aaaa,ns,cdn,cdn-name,mx,caa,txt
[x],bitrue.com,60,"18.136.22.251, 52.74.249.77, 52.221.114.97",,"{'name': 'bitrue.com', 'ns': 'ns-1204.awsdns-22.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bitrue.com', 'ns': 'ns-1204.awsdns-22.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,,NOERROR,,"ns-532.awsdns-02.net, ns-1204.awsdns-22.org, ns-139.awsdns-17.com, ns-1830.awsdns-36.co.uk",,,"alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com, alt2.aspmx.l.google.com","amazon.com, amazonaws.com, amazontrust.com, awstrust.com, globalsign.com, letsencrypt.org, mailto:support@bitrue.com",
,api.bitrue.com,300,,internal-finance-bitmarket-nginx-elb-in-1520021708.ap-southeast-1.elb.amazonaws.com,"{'name': 'ap-southeast-1.elb.amazonaws.com', 'ns': 'ns-1125.awsdns-12.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'ap-southeast-1.elb.amazonaws.com', 'ns': 'ns-1125.awsdns-12.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'ap-southeast-1.elb.amazonaws.com', 'ns': 'ns-1125.awsdns-12.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'ap-southeast-1.elb.amazonaws.com', 'ns': 'ns-1125.awsdns-12.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'ap-southeast-1.elb.amazonaws.com', 'ns': 'ns-1125.awsdns-12.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",,,NOERROR,,,,,,,
,b.bitrue.com,60,"18.160.10.93, 18.160.10.57, 18.160.10.7, 18.160.10.45",d1p523ve9xjcw7.cloudfront.net,"{'name': 'd1p523ve9xjcw7.cloudfront.net', 'ns': 'ns-1068.awsdns-05.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd1p523ve9xjcw7.cloudfront.net', 'ns': 'ns-1068.awsdns-05.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd1p523ve9xjcw7.cloudfront.net', 'ns': 'ns-1068.awsdns-05.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,,NOERROR,"2600:9000:2491:7200:0:f0bb:41c0:93a1, 2600:9000:2491:ec00:0:f0bb:41c0:93a1, 2600:9000:2491:7e00:0:f0bb:41c0:93a1, 2600:9000:2491:5400:0:f0bb:41c0:93a1, 2600:9000:2491:e400:0:f0bb:41c0:93a1, 2600:9000:2491:fc00:0:f0bb:41c0:93a1, 2600:9000:2491:4a00:0:f0bb:41c0:93a1, 2600:9000:2491:4400:0:f0bb:41c0:93a1","ns-105.awsdns-13.com, ns-1956.awsdns-52.co.uk, ns-1068.awsdns-05.org, ns-828.awsdns-39.net",True,cloudfront,,,
,cdn.bitrue.com,300,"3.162.38.59, 3.162.38.57, 3.162.38.83, 3.162.38.85",dw49ulfn2ijz6.cloudfront.net,"{'name': 'dw49ulfn2ijz6.cloudfront.net', 'ns': 'ns-453.awsdns-56.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dw49ulfn2ijz6.cloudfront.net', 'ns': 'ns-453.awsdns-56.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,,NOERROR,,"ns-1691.awsdns-19.co.uk, ns-1091.awsdns-08.org, ns-702.awsdns-23.net, ns-453.awsdns-56.com",True,cloudfront,,,
,cms.bitrue.com,300,,d3s035jyjankec.cloudfront.net,"{'name': 'd3s035jyjankec.cloudfront.net', 'ns': 'ns-1336.awsdns-39.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd3s035jyjankec.cloudfront.net', 'ns': 'ns-1336.awsdns-39.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,,NOERROR,"2600:9000:2156:5c00:0:46c7:4100:93a1, 2600:9000:2156:7400:0:46c7:4100:93a1, 2600:9000:2156:8c00:0:46c7:4100:93a1, 2600:9000:2156:b200:0:46c7:4100:93a1, 2600:9000:2156:c00:0:46c7:4100:93a1, 2600:9000:2156:1000:0:46c7:4100:93a1, 2600:9000:2156:3400:0:46c7:4100:93a1, 2600:9000:2156:4600:0:46c7:4100:93a1","ns-1336.awsdns-39.org, ns-151.awsdns-18.com, ns-1893.awsdns-44.co.uk, ns-959.awsdns-55.net",True,cloudfront,,,
,fm.bitrue.com,300,,d226l455ybdhjn.cloudfront.net,"{'name': 'd226l455ybdhjn.cloudfront.net', 'ns': 'ns-1913.awsdns-47.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd226l455ybdhjn.cloudfront.net', 'ns': 'ns-1913.awsdns-47.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,,NOERROR,,"ns-121.awsdns-15.com, ns-1356.awsdns-41.org, ns-1913.awsdns-47.co.uk, ns-989.awsdns-59.net",True,cloudfront,,,
,future.bitrue.com,300,,finance-futures-ngx-alb-out-1821070362.ap-southeast-1.elb.amazonaws.com,"{'name': 'ap-southeast-1.elb.amazonaws.com', 'ns': 'ns-1125.awsdns-12.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'ap-southeast-1.elb.amazonaws.com', 'ns': 'ns-1125.awsdns-12.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'ap-southeast-1.elb.amazonaws.com', 'ns': 'ns-1125.awsdns-12.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",,,NOERROR,,,,,,,
,futures.bitrue.com,600,"143.204.98.40, 143.204.98.105, 143.204.98.112, 143.204.98.127",d1zzcj29v1dcm4.cloudfront.net,"{'name': 'd1zzcj29v1dcm4.cloudfront.net', 'ns': 'ns-1341.awsdns-39.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd1zzcj29v1dcm4.cloudfront.net', 'ns': 'ns-1341.awsdns-39.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd1zzcj29v1dcm4.cloudfront.net', 'ns': 'ns-1341.awsdns-39.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,,NOERROR,,,True,cloudfront,,,
,gitlab.bitrue.com,300,,finance-gitlab-bitrue-ff5895c4541ba8ef.elb.ap-southeast-1.amazonaws.com,"{'name': 'elb.ap-southeast-1.amazonaws.com', 'ns': 'ns-448.awsdns-56.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'elb.ap-southeast-1.amazonaws.com', 'ns': 'ns-448.awsdns-56.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'elb.ap-southeast-1.amazonaws.com', 'ns': 'ns-448.awsdns-56.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'elb.ap-southeast-1.amazonaws.com', 'ns': 'ns-448.awsdns-56.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",,,NOERROR,,,,,,,
,link.bitrue.com,900,,,"{'name': 'bitrue.com', 'ns': 'ns-1204.awsdns-22.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bitrue.com', 'ns': 'ns-1204.awsdns-22.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bitrue.com', 'ns': 'ns-1204.awsdns-22.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,,NOERROR,,,,,,";, pki.goog",
