input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_subject_org_,cdn_name,cdn,final_url,tls_expired,csp_domains_
a.api-sandbox.singleplatform.com,404 Not Found,404,162,a.api-sandbox.singleplatform.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-04-29T00:00:00Z,2024-05-27T23:59:59Z,CN=api-sandbox.singleplatform.com,api-sandbox.singleplatform.com,*.api-sandbox.singleplatform.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,129c5e592f9a9f3961b2ac4c8b89e798,038c1915d33fbd6bbff99edbfbfe9b9dcea5d8738dc0f56c999e058d47704f93,True,ctls,a.api-sandbox.singleplatform.com,443,https://a.api-sandbox.singleplatform.com:443,https,nginx,text/html,GET,65.9.66.85,/,190856733,65.9.66.61,Nginx,8,False,,cloudfront,True,,,
a.integration.singleplatform.com,404 Not Found,404,162,a.integration.singleplatform.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-24T00:00:00Z,2024-01-19T23:59:59Z,CN=integration.singleplatform.com,integration.singleplatform.com,integration.singleplatform.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b40d6798b135f5af85e6e38c26b3acbd,afe851eb2a55b1d5dbbaa46eaf64d19c9690009aaa54c06f5537f11646d36b54,True,ctls,a.integration.singleplatform.com,443,https://a.integration.singleplatform.com:443,https,nginx,text/html,GET,13.224.189.25,/,190856733,13.224.189.94,Nginx,8,False,,cloudfront,True,,,
a.qa1.singleplatform.com,,404,,a.qa1.singleplatform.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-23T00:00:00Z,2024-01-19T23:59:59Z,CN=qa1.singleplatform.com,qa1.singleplatform.com,qa1.singleplatform.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3685e50f5778d69fd70cce968fb0d562,57ee9433cf087065f2e680d792e9dbb4953406776462c9b4fab0d4a78d458b71,True,ctls,a.qa1.singleplatform.com,443,https://a.qa1.singleplatform.com:443,https,CloudFront,,GET,13.32.99.75,/,-1840324437,13.32.99.22,Amazon Web Services,1,False,,cloudfront,True,,,
a.qa2.singleplatform.com,404 Not Found,404,162,a.qa2.singleplatform.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-03-01T00:00:00Z,2024-01-19T23:59:59Z,CN=qa2.singleplatform.com,qa2.singleplatform.com,qa2.singlepage.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3d7f8a0e10a2fa3c770f1d15f6e84c43,55a3076b370546ec091e464080c1281cc0be691a19d7319a3943a7b7e63f9f34,True,ctls,a.qa2.singleplatform.com,443,https://a.qa2.singleplatform.com:443,https,nginx,text/html,GET,13.32.27.6,/,190856733,13.32.27.10,Nginx,8,False,,cloudfront,True,,,
aaf.constantcontact.com,Just a moment...,403,6483,www.constantcontact.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,2023-03-22T00:00:00Z,2024-03-21T23:59:59Z,"CN=www.constantcontact.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",www.constantcontact.com,*.www.constantcontact.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",fbc3598987f982fff2cf2a0691fac68e,cd7295ae5ed26710e75be7b793af858fcc2a3595270dafb9056097cae870210a,True,ctls,www.constantcontact.com,443,https://aaf.constantcontact.com:443,https,cloudflare,text/html,GET,208.75.122.14,/,1410926739,208.75.122.14,Cloudflare Bot Management,82,False,"Cloudflare, Inc.",,,https://www.constantcontact.com/?pn=aaf,,
aanp.constantcontact.com,Just a moment...,403,6511,www.constantcontact.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,2023-03-22T00:00:00Z,2024-03-21T23:59:59Z,"CN=www.constantcontact.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",www.constantcontact.com,*.www.constantcontact.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",fbc3598987f982fff2cf2a0691fac68e,cd7295ae5ed26710e75be7b793af858fcc2a3595270dafb9056097cae870210a,True,ctls,www.constantcontact.com,443,https://aanp.constantcontact.com:443,https,cloudflare,text/html,GET,208.75.122.14,/,714452724,208.75.122.14,Cloudflare Bot Management,82,False,"Cloudflare, Inc.",,,https://www.constantcontact.com/?pn=aanp,,
about.constantcontact.com,Just a moment...,403,6452,www.constantcontact.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,2023-03-22T00:00:00Z,2024-03-21T23:59:59Z,"CN=www.constantcontact.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",www.constantcontact.com,*.www.constantcontact.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",fbc3598987f982fff2cf2a0691fac68e,cd7295ae5ed26710e75be7b793af858fcc2a3595270dafb9056097cae870210a,True,ctls,www.constantcontact.com,443,https://about.constantcontact.com:443,https,cloudflare,text/html,GET,104.18.30.242,/,102297418,104.18.31.242,Cloudflare Bot Management,82,False,"Cloudflare, Inc.",cloudflare,True,https://www.constantcontact.com/about,,
about.s1.constantcontact.com,,403,16,about.s1.constantcontact.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,2023-04-22T00:00:00Z,2024-04-21T23:59:59Z,"CN=s1.constantcontact.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",s1.constantcontact.com,*.s1.constantcontact.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e54233f1deef97f198a8b6b4a4c21dc9,d30bc85fc15692c0ecb4dcb93e3d97ea45a87ffe917fdcadec9f2e530e7c2fe3,True,ctls,about.s1.constantcontact.com,443,https://about.s1.constantcontact.com:443,https,cloudflare,text/plain,GET,104.18.29.160,/,1268003052,104.18.28.160,Cloudflare,1,False,"Cloudflare, Inc.",cloudflare,True,,,
acksupplies.constantcontact.com,Just a moment...,403,6540,www.constantcontact.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,2023-03-22T00:00:00Z,2024-03-21T23:59:59Z,"CN=www.constantcontact.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",www.constantcontact.com,*.www.constantcontact.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",fbc3598987f982fff2cf2a0691fac68e,cd7295ae5ed26710e75be7b793af858fcc2a3595270dafb9056097cae870210a,True,ctls,www.constantcontact.com,443,https://acksupplies.constantcontact.com:443,https,cloudflare,text/html,GET,208.75.122.14,/,1383508319,208.75.122.14,Cloudflare Bot Management,82,False,"Cloudflare, Inc.",,,https://www.constantcontact.com/?pn=acksupplies,,
activate.constantcontact.com,Just a moment...,403,6506,www.constantcontact.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,2023-03-22T00:00:00Z,2024-03-21T23:59:59Z,"CN=www.constantcontact.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",www.constantcontact.com,*.www.constantcontact.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",fbc3598987f982fff2cf2a0691fac68e,cd7295ae5ed26710e75be7b793af858fcc2a3595270dafb9056097cae870210a,True,ctls,www.constantcontact.com,443,https://activate.constantcontact.com:443,https,cloudflare,text/html,GET,208.75.122.14,/,1819378711,208.75.122.14,Cloudflare Bot Management,82,False,"Cloudflare, Inc.",,,https://www.constantcontact.com/?pn=activate,,
