input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,cdn,webserver,tls_wildcard_certificate,csp_domains_,tls_self_signed,final_url
academy.cbs.nl,academy.cbs.nl: Op de site inloggen,200,29979,academy.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-05T10:57:00Z,2024-01-05T10:51:00Z,"CN=academy.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",academy.cbs.nl,Centraal Bureau voor de Statistiek,academy.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,ec69e82bdc0219a31a4585431637c576,cfc9cc714d813bbd45784f43a5c2bd80008ec1dd19d2eac56f95f3931b7de902,ctls,academy.cbs.nl,443,https://academy.cbs.nl:443,https,text/html,GET,213.136.31.220,/,-366337701,2001:7b8:c14::80:7,PHP,325,False,,,Apache,,https:,,https://academy.cbs.nl/login/index.php
accounts.cbs.nl,PowerShell Universal Dashboard,200,1277,accounts.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-30T10:11:08Z,2024-01-30T10:06:00Z,"CN=accounts.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",accounts.cbs.nl,Centraal Bureau voor de Statistiek,accounts.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,ebcb7fa960677052f0d9b2dc8a50b1a7,f8ef92e648977f9ed0fcf5114174dcf36c1a6c9eae0aa516f0ffcee21dffd472,ctls,accounts.cbs.nl,443,https://accounts.cbs.nl:443,https,text/html,GET,87.213.43.244,/,1826260784,2001:67c:14b0:1816::244,Microsoft ASP.NET,44,False,,,Kestrel,,,,
adc3.cbs.nl,,503,62,adc3.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-05T08:42:17Z,2024-01-05T08:37:00Z,"CN=*.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",*.cbs.nl,Centraal Bureau voor de Statistiek,cbs.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,465a197366fbc312787b0b844e8a100f,17a54fb4403f3b1c90c9e3d6c4fd90fbfbb0ae3b22faea635ceebd03bfbadb2c,ctls,adc3.cbs.nl,443,https://adc3.cbs.nl:443,https,,GET,87.213.43.243,/,107704025,2001:67c:14b0:1816::243,,1,False,,,,True,,,
afasmail.cbs.nl,,503,62,afasmail.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-05T10:56:47Z,2024-01-05T10:51:00Z,"CN=afasmail.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",afasmail.cbs.nl,Centraal Bureau voor de Statistiek,afasmail.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,7e275e290c75c62188864695f1308260,ae80230751b7f463b5cfbd0b74f1f398e1573138d5033f1844ab824d51415d5e,ctls,afasmail.cbs.nl,443,https://afasmail.cbs.nl:443,https,,GET,87.213.43.244,/,107704025,2001:67c:14b0:1816::244,,1,False,,,,,,,
api.mig.cbs.nl,401 Authorization Required,401,574,api.mig.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-04-14T09:14:35Z,2023-07-13T09:14:34Z,CN=mediaportal.cbs.nl,mediaportal.cbs.nl,,mediaportal.cbs.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f86bf91e76b05021c601c64bbd295009,ebde4f9c3035ceed234f6b0bbe135af9e7d4f4f8e05a3cc1774b99f852880712,ctls,api.mig.cbs.nl,443,https://api.mig.cbs.nl:443,https,text/html,GET,51.144.98.86,/,1335698669,51.144.98.86,Nginx,14,False,azure,True,nginx,,,,
azwstatline.cbs.nl,CBS Statline,200,7842,azwstatline.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-05T10:56:31Z,2024-01-05T10:51:00Z,"CN=azwstatline.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",azwstatline.cbs.nl,Centraal Bureau voor de Statistiek,azwstatline.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,d2d9aff651bc2f60e04eee276f0edff5,d3166f022e403ad9570ff74acda79fa881711edf239944a0655c748c3ad33a2f,ctls,azwstatline.cbs.nl,443,https://azwstatline.cbs.nl:443,https,text/html,GET,87.213.43.244,/,1772087922,2001:67c:14b0:1816::244,NVD3,100,False,,,Webserver,,*.cbs.nl,,
beeldbank-beheer.cbs.nl,Picture Pack,200,6947,beeldbank-beheer.cbs.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-01-05T10:56:13Z,2024-01-05T10:51:00Z,"CN=beeldbank-beheer.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",beeldbank-beheer.cbs.nl,Centraal Bureau voor de Statistiek,beeldbank-beheer.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,1f486e582e262c6704bd5cb048790bcf,f4b5c97020eb479f56c42463d3b31aeff83b137a2374553744c3401822164d6c,ctls,beeldbank-beheer.cbs.nl,443,https://beeldbank-beheer.cbs.nl:443,https,text/html,GET,195.225.101.70,/,1631801191,2a00:1fb8:a19:2::70,Microsoft ASP.NET,45,False,,,Picture Pack,,,,
beeldbank.cbs.nl,Homepage | Beeldbank CBS,200,14788,beeldbank.cbs.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-01-05T10:56:20Z,2024-01-05T10:51:00Z,"CN=beeldbank.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",beeldbank.cbs.nl,Centraal Bureau voor de Statistiek,beeldbank.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,7fd830fc81a6d9734a7f0bdbd1390401,69a5a1a0d037098a764f9cf168ae2fbb73822ee13858a72da38b34a40b0785f3,ctls,beeldbank.cbs.nl,443,https://beeldbank.cbs.nl:443,https,text/html,GET,195.225.101.70,/,1631801191,2a00:1fb8:a19:2::70,Microsoft ASP.NET:4.0.30319,467,False,,,,,,,
beo.cbs.nl,Centraal Bureau voor de Statistiek,200,10946,antwoord.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-05T10:56:39Z,2024-01-05T10:51:00Z,"CN=antwoord.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",antwoord.cbs.nl,Centraal Bureau voor de Statistiek,antwoord.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,ffa64f4bfa565f91f9fa20ee7b187cdc,06dcaf46b5c9ce12aded0f34c669c3241806e53da1d068816616e99889e49ca5,ctls,antwoord.cbs.nl,443,https://beo.cbs.nl:443,https,text/html,GET,87.213.43.244,/,1631801191,2001:67c:14b0:1816::244,HSTS,186,False,,,,,,,https://antwoord.cbs.nl/?ReturnUrl=https%3a%2f%2foverzicht.cbs.nl%2f
beta.cbs.nl,,200,44,beta.cbs.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-03-29T00:00:00Z,2024-04-10T23:59:59Z,CN=*.zxcs.nl,*.zxcs.nl,,zxcs.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,68222378f81dc5852fdbeda10697ac26,85cc23d59d3a1ad5b19bf0e06d4284dd294f564fb8a238854d15f2cecf352318,ctls,beta.cbs.nl,443,https://beta.cbs.nl:443,https,text/html,GET,185.104.29.106,/,-1812417198,2a06:2ec0:1::135,Apache:2,2,False,,,Apache/2,True,,,
betalinkeddata-test.cbs.nl,,404,19,betalinkeddata-test.cbs.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-04-04T07:08:38Z,2024-04-04T07:03:00Z,"CN=nep-knooppunt-ketenacceptatie.viewer.dso.kadaster.nl, O=Dienst voor het Kadaster en de openbare registers, L=Apeldoorn, ST=Gelderland, C=NL",nep-knooppunt-ketenacceptatie.viewer.dso.kadaster.nl,Dienst voor het Kadaster en de openbare registers,nep-knooppunt-ketenacceptatie.viewer.dso.kadaster.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,3ece1ab4a4cf56a7e5ed45934f982a72,d75338feaf3234f08e1a1d20784776e135b1276f6aa66e9b0d8f5ff75efb3983,ctls,betalinkeddata-test.cbs.nl,443,https://betalinkeddata-test.cbs.nl:443,https,text/plain,GET,145.77.105.58,/,-138391155,2001:67c:2f04:f500::58,HSTS,2,False,,,,,,,
blaise.cbs.nl,IIS Windows Server,200,703,blaise.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-05T10:55:53Z,2024-01-05T10:50:00Z,"CN=blaise.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",blaise.cbs.nl,Centraal Bureau voor de Statistiek,blaise.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,9028d371b16dfa1069903c81d8a2e215,8e44a6392bab951834c1461836c6bbac5685c3bf194fe412894214920c231845,ctls,blaise.cbs.nl,443,https://blaise.cbs.nl:443,https,text/html,GET,87.213.43.244,/,1631801191,2001:67c:14b0:1816::244,Windows Server,32,False,,,Microsoft-IIS/10.0,,,,
