input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,tls_mismatched,final_url,csp_domains_,tls_expired
550g.trellix.com,Login - Oracle Access Management 12c,200,5906,550g.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-26T00:00:00Z,2024-04-25T23:59:59Z,"CN=550g.trellix.com, O=Musarubra US LLC, ST=California, C=US",550g.trellix.com,Musarubra US LLC,www.550g.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,970c354ecf0436e3044968f9402cc70a,12a8c89064f72f4dc98244c62e2b2238e0e51601b0f60282e70a7692857a0a88,ctls,550g.trellix.com,,443,https://550g.trellix.com:443,https,,text/html,GET,136.179.57.108,/,-780928015,136.179.57.108,Oracle Dynamic Monitoring Service,174,False,,,,https://550g.trellix.com:443/oam/server/obrareq.cgi?encquery%3D%2FE8QeYxIPRnXRPIx7WgbwbFDPm6m4TY%2F3W1RIjT8PLGJotTdmR5E0zryboYnq%2BKx5pjWFdYvXp2c5azxocaS4dPIcNRXpLCtbMI3p%2BuHxWeOW1ZWhdZqNj6yJJaVYsLpbaOMxlAj6AM7HB2jKvTat4AWN4poSS3X%2F8W8eCNG7nyDxeREokbophB0Ub%2BZ2pbCE0Cxk68C3tDmQthgB75hYS5e8Y0MkjbaWlEKjjZ3yK5nqZbGJ57j0U9q6mKRFqobbTDXWpjlgHjfpZzdhvksElUtfEl6FGXakOnMspnl9dyIkm9%2FgW4nXPohA77hJPXf%20agentid%3DProxy12cOHS%20ver%3D1%20crmethod%3D2%26cksum%3Dbe6c0ef97986115d93daa58b24bcd592b1338af1&ECID-Context=1.0060PRzvGH99TcUpu4L6iX0005p50004OE%3Bk%5EjE,,
account.beta.manage.trellix.com,Bad request,400,547,account.beta.manage.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-01T00:00:00Z,2023-12-01T23:59:59Z,"CN=bps.beta.manage.trellix.com, O=Musarubra US LLC, ST=California, C=US",bps.beta.manage.trellix.com,Musarubra US LLC,saaspartner.api.beta.manage.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,0a68108dfac92b191c11e940dd551f0c,172045b3a0110ce08eacde82df7f7430a51e82d0f78da557e8ce94d5e28fd25c,ctls,account.beta.manage.trellix.com,,443,https://account.beta.manage.trellix.com:443,https,awselb/2.0,text/html,GET,52.89.116.19,/,1544982160,52.42.202.78,,19,False,,,,,,
account.manage.trellix.com,Bad request,400,547,account.manage.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-01T00:00:00Z,2023-12-01T23:59:59Z,"CN=bps.manage.trellix.com, O=Musarubra US LLC, ST=California, C=US",bps.manage.trellix.com,Musarubra US LLC,saaspartner.api.manage.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,bc53bd5971b75cc2a98f1a2633c83a0e,2310ce7e5cc9776092db06aaa8309e8c4219e3fb75e4864ae883c1147bea383c,ctls,account.manage.trellix.com,,443,https://account.manage.trellix.com:443,https,awselb/2.0,text/html,GET,52.43.205.250,/,1544982160,35.82.239.177,,19,False,,,,,,
agile.trellix.com,Oracle HTTP Server 12c,200,8893,agile.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-20T00:00:00Z,2024-02-20T23:59:59Z,"CN=agile.trellix.com, O=Musarubra US LLC, ST=California, C=US",agile.trellix.com,Musarubra US LLC,agilefile.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,b5f12f6743fb0a90058560fc476ed99c,cdcf570ba0c4ad6ed6cf50f4deea4d9f379ed49f7c5ce92d1d0610216c6efe5b,ctls,agile.trellix.com,,443,https://agile.trellix.com:443,https,,text/html,GET,136.179.57.122,/,-780928015,136.179.57.122,,184,False,,,,,,
agilefile.qa.trellix.com,Oracle HTTP Server 12c,200,8893,agilefile.qa.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-01T00:00:00Z,2023-12-01T23:59:59Z,"CN=agile.qa.trellix.com, O=Musarubra US LLC, ST=California, C=US",agile.qa.trellix.com,Musarubra US LLC,agilefile.qa.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,b1f344a76e8945af613b912468e54c02,588b0da4726c3d9e6fcce5a82f9854b7db56bb69854eb0728c39bf6b0dd38c15,ctls,agilefile.qa.trellix.com,,443,https://agilefile.qa.trellix.com:443,https,,text/html,GET,136.179.57.104,/,-780928015,136.179.57.104,,184,False,,,,,,
agilefile.trellix.com,Oracle HTTP Server 12c,200,8893,agilefile.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-20T00:00:00Z,2024-02-20T23:59:59Z,"CN=agile.trellix.com, O=Musarubra US LLC, ST=California, C=US",agile.trellix.com,Musarubra US LLC,agilefile.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,b5f12f6743fb0a90058560fc476ed99c,cdcf570ba0c4ad6ed6cf50f4deea4d9f379ed49f7c5ce92d1d0610216c6efe5b,ctls,agilefile.trellix.com,,443,https://agilefile.trellix.com:443,https,,text/html,GET,136.179.57.127,/,-780928015,136.179.57.127,,184,False,,,,,,
ah-usw003.manage.trellix.com,403 Forbidden,403,199,ah-usw003.manage.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-05-07T23:59:59Z,"CN=manage.trellix.com, O=Musarubra US LLC, ST=California, C=US",manage.trellix.com,Musarubra US LLC,*.manage.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,9d6b61759230c23843bd3c623e7027f2,b42d23a92f253d7d63d9607064c7dd1a1b0583b82d2183fdfd14337b8fa474ce,ctls,ah-usw003.manage.trellix.com,,443,https://ah-usw003.manage.trellix.com:443,https,Apache,text/html,GET,44.225.249.11,/,-855688948,52.34.179.199,HSTS,8,False,,True,,,,
amcore-ens.rest.gti.trellix.com,404 Not Found,403,142,amcore-ens.rest.gti.trellix.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,2023-04-18T00:00:00Z,2024-04-17T23:59:59Z,"CN=*.rest.gti.trellix.com, O=Musarubra US LLC, ST=California, C=US",*.rest.gti.trellix.com,Musarubra US LLC,rest.gti.trellix.com,"CN=Sectigo ECC Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo ECC Organization Validation Secure Server CA,Sectigo Limited,f2bdc3889b800bacf2e392e124a67541,1dbf74f1849ca865fc6a63cb491ec72667284d1ae47137bc1b3eb99e6c740644,ctls,amcore-ens.rest.gti.trellix.com,,443,https://amcore-ens.rest.gti.trellix.com:443,https,webserver,text/html,GET,3.65.151.110,/,-2065493192,3.66.136.60,HSTS,7,False,,True,,,,
ap.etp.trellix.com,Trellix - Email Security Cloud,200,2963,ap.etp.trellix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-01-31T23:59:59Z,"CN=us.etp.trellix.com, O=Musarubra US LLC, ST=California, C=US",us.etp.trellix.com,Musarubra US LLC,stage-us.etp.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,9c32be903170935c4d9091e4d6c2cf09,0ae1fa4a9d66450dcff23f87e6419f8abca4db188316b1a04199db55f2a75e20,ctls,ap.etp.trellix.com,cloudflare,443,https://ap.etp.trellix.com:443,https,cloudflare,text/html,GET,104.18.14.213,/,1248650709,2606:4700::6812:fd5,HSTS,80,False,True,,,,,
apacvpn.trellix.com,,200,315,apacvpn.trellix.com,443,True,tls12,TLS_RSA_WITH_AES_128_CBC_SHA,2023-03-04T00:00:00Z,2024-03-03T23:59:59Z,"CN=vpn.trellix.com, O=Musarubra US LLC, ST=California, C=US",vpn.trellix.com,Musarubra US LLC,pavvpn1.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,0d47b25df02120995236d76e1308a7ce,8b2b78c2ccd91423d7f15092a92f464befd6122194d9a8eb90113560d5537dcb,ctls,apacvpn.trellix.com,,443,https://apacvpn.trellix.com:443,https,,text/html,GET,103.245.47.188,/,-1840324437,103.245.47.188,HSTS,9,False,,,True,,,
