input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,tls_subject_org_,webserver,tls_wildcard_certificate,tls_expired,tls_self_signed,csp_domains_,final_url
*.force.com,Custom Application Development Software for Business - Salesforce.com,200,191291,www.salesforce.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-29T00:00:00Z,2024-05-27T23:59:59Z,"CN=www.salesforce.com, O=salesforce.com\, inc., L=San Francisco, ST=California, C=US",www.salesforce.com,c.salesforce.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f9119b9747c0824c341bbae1091e51a2,e253e090bdb2441b0a7a8724663eea0e47760ee6d7b1bbe63747dc15ae8c97de,ctls,www.salesforce.com,,443,https://force.com:443,https,text/html,GET,23.1.99.130,/,-530512969,23.1.35.132,Java,6610,False,,,"salesforce.com, inc.",Apache,,,,,https://www.salesforce.com/products/platform/overview/?sfdc-redirect=300&bc=HA
accounts-fg-origin.us-east4.creditkarma.com,403,403,134,accounts-fg-origin.us-east4.creditkarma.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.creditkarma.com, O=Credit Karma\, LLC, L=Oakland, ST=California, C=US",*.creditkarma.com,creditkarma.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,6997db1b3055e2c87b82492f36a1f974,a5ea2dcbbaf441c28a8120cda60bced8dc12b8742bafc4c5ce2976644779681f,ctls,accounts-fg-origin.us-east4.creditkarma.com,google,443,https://accounts-fg-origin.us-east4.creditkarma.com:443,https,text/html,GET,34.120.244.94,/,1723221432,34.120.244.94,HTTP/3,1,False,True,True,"Credit Karma, LLC",,True,,,,
accounts.creditkarma.ca,Welcome to OpenResty!,200,1097,accounts.creditkarma.ca,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-21T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.creditkarma.ca, O=Credit Karma LLC, L=Oakland, ST=California, C=US",*.creditkarma.ca,creditkarma.ca,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2ea34f113511c3c24ebe246c117a8497,165b52ca54b4108436d12bdf9f1dfcc71eed38ddb4ca9a2488eb7b17077a8d5e,ctls,accounts.creditkarma.ca,,443,https://accounts.creditkarma.ca:443,https,text/html,GET,23.212.204.232,/,-2121159142,23.212.204.232,HSTS,29,False,,,Credit Karma LLC,CK-FG-server,True,,,,
admax.us-central1.creditkarma.com,403,403,134,admax.us-central1.creditkarma.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.creditkarma.com, O=Credit Karma\, LLC, L=Oakland, ST=California, C=US",*.creditkarma.com,creditkarma.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,6997db1b3055e2c87b82492f36a1f974,a5ea2dcbbaf441c28a8120cda60bced8dc12b8742bafc4c5ce2976644779681f,ctls,admax.us-central1.creditkarma.com,google,443,https://admax.us-central1.creditkarma.com:443,https,text/html,GET,35.190.46.141,/,1723221432,35.190.46.141,HTTP/3,1,False,True,True,"Credit Karma, LLC",,True,,,,
admax.us-east4.creditkarma.com,403,403,134,admax.us-east4.creditkarma.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.creditkarma.com, O=Credit Karma\, LLC, L=Oakland, ST=California, C=US",*.creditkarma.com,creditkarma.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,6997db1b3055e2c87b82492f36a1f974,a5ea2dcbbaf441c28a8120cda60bced8dc12b8742bafc4c5ce2976644779681f,ctls,admax.us-east4.creditkarma.com,google,443,https://admax.us-east4.creditkarma.com:443,https,text/html,GET,34.120.145.96,/,1723221432,34.120.145.96,HTTP/3,1,False,True,True,"Credit Karma, LLC",,True,,,,
api.creditkarma.ca,Credit Score & Credit Reports at Intuit Credit Karma™ Canada,200,59291,api.creditkarma.ca,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-21T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.creditkarma.ca, O=Credit Karma LLC, L=Oakland, ST=California, C=US",*.creditkarma.ca,creditkarma.ca,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2ea34f113511c3c24ebe246c117a8497,165b52ca54b4108436d12bdf9f1dfcc71eed38ddb4ca9a2488eb7b17077a8d5e,ctls,api.creditkarma.ca,,443,https://api.creditkarma.ca:443,https,text/html,GET,23.212.204.232,/,-2072723803,23.212.204.232,React,147,False,,,Credit Karma LLC,CK-FG-server,True,,,https://www.googleadservices.com,
api.creditkarma.com,,404,,api.creditkarma.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-31T00:00:00Z,2024-02-28T23:59:59Z,"CN=*.creditkarma.com, O=Credit Karma\, LLC, L=Oakland, ST=California, C=US",*.creditkarma.com,creditkarma.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,1283eddf4681da89db0843c414d66c9f,68c475f0052277c488fda143d042d78be3c5c45faa83c9ae4c4f542e084497a7,ctls,api.creditkarma.com,,443,https://api.creditkarma.com:443,https,text/html,GET,23.52.120.75,/,-1513862838,23.52.120.75,HSTS,1,False,,,"Credit Karma, LLC",CK-FG-server,True,,,,
artelb1.gcp.creditkarma.com,403,403,134,artelb1.gcp.creditkarma.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2018-02-02T00:00:00Z,2021-02-01T23:59:59Z,"emailAddress=operations@creditkarma.com, CN=artifactory.gcp.creditkarma.com, OU=Infrastructure, O=Credit Karma\, Inc., L=San Francisco, ST=California, C=US, emailAddress=operations@creditkarma.com",artifactory.gcp.creditkarma.com,artifactory.corp.creditkarma.com,"emailAddress=operations@creditkarma.com, CN=Credit Karma Production Server CA, OU=Infrastructure, O=Credit Karma\, Inc., L=San Francisco, ST=California, C=US, emailAddress=operations@creditkarma.com",Credit Karma Production Server CA,"Credit Karma, Inc.",c750edf24569a5f77abe26e8c0f9ad17,5bb1da8af4bc2886bf7a673075210f385c7f2b60852f5df41853c13d65caaad2,ctls,artelb1.gcp.creditkarma.com,google,443,https://artelb1.gcp.creditkarma.com:443,https,text/html,GET,34.95.115.128,/,1723221432,34.95.115.128,HTTP/3,1,False,True,True,"Credit Karma, Inc.",,,True,True,,
artelb2.gcp.creditkarma.com,403,403,134,artelb2.gcp.creditkarma.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-06T00:00:00Z,2024-07-05T23:59:59Z,"CN=artifactory-b.corp.creditkarma.com, O=Credit Karma LLC, L=Oakland, ST=California, C=US",artifactory-b.corp.creditkarma.com,artifact001.prod.us-east4.ckint.io,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,facfea9655147bc7f1bc9e9f261773f8,fc835fcc22a63f64a53b05a7be5c69795b7732949d1488a336b7df84a96f5127,ctls,artelb2.gcp.creditkarma.com,google,443,https://artelb2.gcp.creditkarma.com:443,https,text/html,GET,34.107.151.75,/,1723221432,34.107.151.75,HTTP/3,1,False,True,,Credit Karma LLC,,,,,,
at.apply.creditkarma.com,Error | Intuit Credit Karma,400,98174,at.apply.creditkarma.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-13T00:00:00Z,2024-03-01T23:59:59Z,"CN=*.apply.creditkarma.com, O=Credit Karma\, LLC, L=Oakland, ST=California, C=US",*.apply.creditkarma.com,apply.creditkarma.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,17ad9ea3c8650ce169939bb899aad4d7,5679036387eb42b7cc54a308396295129b155a534ec116252ad9428b49bc2e1f,ctls,at.apply.creditkarma.com,,443,https://at.apply.creditkarma.com:443,https,text/html,GET,84.53.167.204,/,-2136863442,84.53.167.204,React,115,False,,,"Credit Karma, LLC",CK-FG-server,True,,,https://*.apply.creditkarma.com,
