new,host,ttl,a,cname,soa,status_code,cdn,cdn-name,ns,caa,txt,mx,aaaa,has_internal_ips,internal_ips
[x],0f494eec3061f10c4-okta-cert-manager.ck-coder-prod-workspace.corp.creditkarma.com,300,34.36.245.8,,"{'name': 'creditkarma.com', 'ns': 'dns1.p03.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1652127587, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 60}, {'name': 'creditkarma.com', 'ns': 'a1-204.akam.net', 'mailbox': 'hostmaster.creditkarma.com', 'serial': 2022121230, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}, {'name': 'creditkarma.com', 'ns': 'a1-204.akam.net', 'mailbox': 'hostmaster.creditkarma.com', 'serial': 2022121230, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}, {'name': 'creditkarma.com', 'ns': 'dns1.p03.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1652127587, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 60}, {'name': 'creditkarma.com', 'ns': 'dns1.p03.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1652127587, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 60}, {'name': 'creditkarma.com', 'ns': 'a1-204.akam.net', 'mailbox': 'hostmaster.creditkarma.com', 'serial': 2022121230, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}, {'name': 'creditkarma.com', 'ns': 'a1-204.akam.net', 'mailbox': 'hostmaster.creditkarma.com', 'serial': 2022121230, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}",NOERROR,True,google,,,,,,,
[x],creditkarma.ca,60,92.122.104.222,,"{'name': 'creditkarma.ca', 'ns': 'a1-204.akam.net', 'mailbox': 'hostmaster.creditkarma.ca', 'serial': 2022120271, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}, {'name': 'creditkarma.ca', 'ns': 'dns1.p08.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1646247763, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 60}, {'name': 'creditkarma.ca', 'ns': 'a1-204.akam.net', 'mailbox': 'hostmaster.creditkarma.ca', 'serial': 2022120271, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}",NOERROR,,,"dns3.p08.nsone.net, dns2.p08.nsone.net, dns4.p08.nsone.net, a16-64.akam.net, a4-66.akam.net, dns1.p08.nsone.net, a3-67.akam.net, a9-66.akam.net, a28-65.akam.net, a1-204.akam.net",,"google-site-verification=Ns9y8w8B0Sb5qLvy3ci-B91gOElB1eN3TitmLTiX2Vs, zendeskverification=7e085f6d6a61cf85, google-site-verification=s1HyhXYdgtBRPEZ3wgz_wBGLmlkULiOlSb34xeawkwc, d5p6dml980stnr400m5w5s2t7rdxtdyx, facebook-domain-verification=mowwm16jx6oc5aif9a829gfy5kcgn4, zf98mf0vlpyss7trkjb9py4dd04nhg1d, google-site-verification=STr-YUIORNSnbmEj5HgtLlnlseg9HwjsT399GBLvkus, v=spf1 include:creditkarma.ca._nspf.vali.email include:%{i}._ip.%{h}._ehlo.%{d}._spf.vali.email ~all","alt1.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt2.aspmx.l.google.com",,,
[x],dicontent.creditkarma.com,300,185.32.241.65,h-v60nf4oj-credkarm.online-metrix.net,"{'name': 'online-metrix.net', 'ns': 'mira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344186901, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 5}, {'name': 'online-metrix.net', 'ns': 'mira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344186901, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'online-metrix.net', 'ns': 'mira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344186901, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'online-metrix.net', 'ns': 'mira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344186901, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'online-metrix.net', 'ns': 'mira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344186901, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,,
[x],tg.apply.creditkarma.com,300,23.2.238.169,"apply.creditkarma.com.edgekey.net, e10670.b.akamaiedge.net","{'name': 'b.akamaiedge.net', 'ns': 'n0b.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1719073243, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamaiedge.net', 'ns': 'n0b.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1719073243, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamaiedge.net', 'ns': 'n0b.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1719073245, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamaiedge.net', 'ns': 'n0b.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1719073245, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamaiedge.net', 'ns': 'n0b.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1719073238, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,,,,,,,
,1rer.ck-coder-prod-workspace.corp.creditkarma.com,60,,,"{'name': 'creditkarma.com', 'ns': 'dns1.p03.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1652127587, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 60}, {'name': 'creditkarma.com', 'ns': 'dns1.p03.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1652127587, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 60}, {'name': 'creditkarma.com', 'ns': 'a1-204.akam.net', 'mailbox': 'hostmaster.creditkarma.com', 'serial': 2022121230, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}, {'name': 'creditkarma.com', 'ns': 'a1-204.akam.net', 'mailbox': 'hostmaster.creditkarma.com', 'serial': 2022121230, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}",NOERROR,True,google,,,,,,,
,246656-web4.www.creditkarma.com,3600,72.32.236.52,,"{'name': 'creditkarma.com', 'ns': 'dns1.p03.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1652127587, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 60}, {'name': 'creditkarma.com', 'ns': 'a1-204.akam.net', 'mailbox': 'hostmaster.creditkarma.com', 'serial': 2022121230, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}, {'name': 'creditkarma.com', 'ns': 'a1-204.akam.net', 'mailbox': 'hostmaster.creditkarma.com', 'serial': 2022121230, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}, {'name': 'creditkarma.com', 'ns': 'a1-204.akam.net', 'mailbox': 'hostmaster.creditkarma.com', 'serial': 2022121230, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}, {'name': 'creditkarma.com', 'ns': 'a1-204.akam.net', 'mailbox': 'hostmaster.creditkarma.com', 'serial': 2022121230, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}",NOERROR,,,,,,,,,
,_domainkey.creditkarma.ca,300,,,,NOERROR,,,ns.vali.email,,,,,,
,accounts-fg-origin.creditkarma.com,24,34.120.244.94,accounts-fg-origin.us-east4.creditkarma.com,"{'name': 'creditkarma.com', 'ns': 'dns1.p03.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1652127587, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 60}, {'name': 'creditkarma.com', 'ns': 'a1-204.akam.net', 'mailbox': 'hostmaster.creditkarma.com', 'serial': 2022121230, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}, {'name': 'creditkarma.com', 'ns': 'dns1.p03.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1652127587, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 60}, {'name': 'creditkarma.com', 'ns': 'a1-204.akam.net', 'mailbox': 'hostmaster.creditkarma.com', 'serial': 2022121230, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}, {'name': 'creditkarma.com', 'ns': 'a1-204.akam.net', 'mailbox': 'hostmaster.creditkarma.com', 'serial': 2022121230, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}",NOERROR,True,google,,,,,,,
,accounts-fg-origin.iad1.creditkarma.com,3021,64.128.79.98,,"{'name': 'creditkarma.com', 'ns': 'a1-204.akam.net', 'mailbox': 'hostmaster.creditkarma.com', 'serial': 2022121230, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}, {'name': 'creditkarma.com', 'ns': 'a1-204.akam.net', 'mailbox': 'hostmaster.creditkarma.com', 'serial': 2022121230, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}, {'name': 'creditkarma.com', 'ns': 'dns1.p03.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1652127587, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 60}, {'name': 'creditkarma.com', 'ns': 'a1-204.akam.net', 'mailbox': 'hostmaster.creditkarma.com', 'serial': 2022121230, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}, {'name': 'creditkarma.com', 'ns': 'a1-204.akam.net', 'mailbox': 'hostmaster.creditkarma.com', 'serial': 2022121230, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}",NOERROR,,,,,,,,,
,accounts-fg-origin.us-central1.creditkarma.com,2588,35.190.49.119,,"{'name': 'creditkarma.com', 'ns': 'a1-204.akam.net', 'mailbox': 'hostmaster.creditkarma.com', 'serial': 2022121230, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}, {'name': 'creditkarma.com', 'ns': 'dns1.p03.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1652127587, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 60}, {'name': 'creditkarma.com', 'ns': 'dns1.p03.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1652127587, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 60}, {'name': 'creditkarma.com', 'ns': 'dns1.p03.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1652127587, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 60}, {'name': 'creditkarma.com', 'ns': 'a1-204.akam.net', 'mailbox': 'hostmaster.creditkarma.com', 'serial': 2022121230, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}, {'name': 'creditkarma.com', 'ns': 'a1-204.akam.net', 'mailbox': 'hostmaster.creditkarma.com', 'serial': 2022121230, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}, {'name': 'creditkarma.com', 'ns': 'dns1.p03.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1652127587, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 60}",NOERROR,True,google,,,,,,,
,accounts-origin.creditkarma.com,300,64.128.79.93,accounts.iad1.creditkarma.com,"{'name': 'creditkarma.com', 'ns': 'a1-204.akam.net', 'mailbox': 'hostmaster.creditkarma.com', 'serial': 2022121230, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}, {'name': 'creditkarma.com', 'ns': 'dns1.p03.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1652127587, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 60}, {'name': 'creditkarma.com', 'ns': 'dns1.p03.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1652127587, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 60}, {'name': 'creditkarma.com', 'ns': 'a1-204.akam.net', 'mailbox': 'hostmaster.creditkarma.com', 'serial': 2022121230, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}, {'name': 'creditkarma.com', 'ns': 'a1-204.akam.net', 'mailbox': 'hostmaster.creditkarma.com', 'serial': 2022121230, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}",NOERROR,,,,,,,,,
