input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,tls_mismatched,tls_subject_org_,tls_wildcard_certificate,webserver,tech_,cdn_name,cdn,final_url,csp_domains_
edigitalsurvey.com,Maru/Matchbox | Maru Group,200,74099,www.marugroup.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T22:02:17Z,2023-08-03T22:02:16Z,CN=www.marugroup.net,www.marugroup.net,www.marugroup.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b81b6a457337a0535c0a64d4b0fce998,700f97898e4745a3663ac21ba3b454bc2202053149cdb4aef39cfc3603e19f8a,ctls,www.marugroup.net,443,https://edigitalsurvey.com:443,https,text/html,GET,104.22.12.151,/,1843834278,172.67.9.169,1115,False,,,,Squarespace,Stimulus,cloudflare,True,https://www.marugroup.net/maru-matchbox,
emp.test.bbc.com,Nothing to see here...,200,4748,,,,,,,,,,,,,,,,,,80,http://emp.test.bbc.com:80,http,text/html,GET,23.212.201.29,/,1380259394,2a02:26f0:3100:29e::f4a,25,False,,,,AmazonS3,Amazon Web Services,,,,url=https://www.bbc.co.uk/
gn-web-assets.api.bbc.com,,403,243,gn-web-assets.api.bbc.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-27T20:41:18Z,2024-05-28T20:41:17Z,"CN=gn-web-assets.api.bbc.com, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",gn-web-assets.api.bbc.com,gn-web-assets.api.bbc.co.uk,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,e0934e43093229412f4d3e8f0e46dc70,81bc258c880dc1a3a3f62583c4e57cdffc40ef860d34a90fa3641b5cfb44a806,ctls,gn-web-assets.api.bbc.com,80,http://gn-web-assets.api.bbc.com:80,http,application/xml,GET,99.86.4.51,/,-545552410,99.86.4.79,2,False,,BRITISH BROADCASTING CORPORATION,,AmazonS3,Amazon Web Services,cloudfront,True,https://gn-web-assets.api.bbc.com/,
heartbeat.activity.api.bbc.com,,401,31,heartbeat.activity.api.bbc.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-05T09:06:40Z,2024-05-06T09:06:39Z,"CN=heartbeat.activity.api.bbc.co.uk, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",heartbeat.activity.api.bbc.co.uk,heartbeat.activity.api.bbc.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,9e3ce9604e3d1fbc39e7ade5a1704979,e7cadab5be8d165be35585a79569d507b59d2733be7c5af6e93eeb73c5d3b665,ctls,heartbeat.activity.api.bbc.com,443,https://heartbeat.activity.api.bbc.com:443,https,application/json,GET,54.216.173.216,/,-1137713913,52.209.54.166,3,False,,BRITISH BROADCASTING CORPORATION,,Apache,HSTS,,,,
http-www-bbc-com.0.freebasics.com,Error,400,1526,http-www-bbc-com.0.freebasics.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-05-22T23:59:59Z,"CN=*.freebasics.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.freebasics.com,freebasics.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,b110c4ffe685e63685e34144cf7813e4,c23856a8beb2d6d8aaea7f4a1d8bfa0fb9f0ac3bbd9360c1b05ceddc450cddd2,ctls,http-www-bbc-com.0.freebasics.com,443,https://http-www-bbc-com.0.freebasics.com:443,https,text/html,GET,102.132.99.36,/,-1393310270,2a03:2880:f163:84:face:b00c:0:14c9,43,False,,"Meta Platforms, Inc.",True,,HTTP/3,,,,
http://bbc.co.uk,BBC - Home,200,566899,www.bbc.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T06:16:13Z,2024-04-14T06:16:12Z,"CN=www.bbc.com, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",www.bbc.com,bbc.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,a1d8827aecffc7874b925149b79dd4b1,3dd613b282b35ae46d082ad8c054238b4b1562078a54cf2d968613541dcd7afc,ctls,www.bbc.co.uk,443,https://bbc.co.uk:443,https,text/html,GET,151.101.0.81,/,111446429,2a04:4e42:600::81,96,False,,BRITISH BROADCASTING CORPORATION,True,BBC-GTM,Varnish,fastly,True,https://www.bbc.co.uk/,syndication.twitter.com
https-www-bbc-com.0.freebasics.com,Error,400,1526,https-www-bbc-com.0.freebasics.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-05-22T23:59:59Z,"CN=*.freebasics.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.freebasics.com,freebasics.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,b110c4ffe685e63685e34144cf7813e4,c23856a8beb2d6d8aaea7f4a1d8bfa0fb9f0ac3bbd9360c1b05ceddc450cddd2,ctls,https-www-bbc-com.0.freebasics.com,443,https://https-www-bbc-com.0.freebasics.com:443,https,text/html,GET,31.13.86.37,/,-1393310270,2a03:2880:f176:185:face:b00c:0:14c9,43,False,,"Meta Platforms, Inc.",True,,HTTP/3,,,,
https://bbc.co.uk,BBC - Home,200,566899,www.bbc.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T06:16:13Z,2024-04-14T06:16:12Z,"CN=www.bbc.com, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",www.bbc.com,bbc.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,a1d8827aecffc7874b925149b79dd4b1,3dd613b282b35ae46d082ad8c054238b4b1562078a54cf2d968613541dcd7afc,ctls,www.bbc.co.uk,443,https://bbc.co.uk:443,https,text/html,GET,151.101.0.81,/,111446429,2a04:4e42:600::81,96,False,,BRITISH BROADCASTING CORPORATION,True,BBC-GTM,Varnish,fastly,True,https://www.bbc.co.uk/,chartbeat.com
https://bbc.com,BBC - Homepage,200,238920,www.bbc.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T06:16:13Z,2024-04-14T06:16:12Z,"CN=www.bbc.com, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",www.bbc.com,bbc.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,a1d8827aecffc7874b925149b79dd4b1,3dd613b282b35ae46d082ad8c054238b4b1562078a54cf2d968613541dcd7afc,ctls,www.bbc.com,443,https://bbc.com:443,https,text/html,GET,151.101.128.81,/,,2a04:4e42:600::81,2322,False,,BRITISH BROADCASTING CORPORATION,True,BBC-GTM,Varnish,fastly,True,https://www.bbc.com/,
https://www.bbc.com,BBC - Homepage,200,238920,www.bbc.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T06:16:13Z,2024-04-14T06:16:12Z,"CN=www.bbc.com, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",www.bbc.com,bbc.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,a1d8827aecffc7874b925149b79dd4b1,3dd613b282b35ae46d082ad8c054238b4b1562078a54cf2d968613541dcd7afc,ctls,www.bbc.com,443,https://www.bbc.com:443,https,text/html,GET,146.75.120.81,/,111446429,146.75.120.81,2322,False,,BRITISH BROADCASTING CORPORATION,True,BBC-GTM,Varnish,fastly,True,,
ichef.bbci.co.uk,,200,10,ichef.bbci.co.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-10-17T05:51:02Z,2023-11-18T05:51:01Z,"CN=www.bbc.co.uk, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",www.bbc.co.uk,bbc.co.uk,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,f221eac014fccc0ce17095738e665cc2,0dff5c20121efc5da758b20967a23aa578c25b50d065537367b27db4e08a94d1,ctls,ichef.bbci.co.uk,443,https://ichef.bbci.co.uk:443,https,text/html,GET,23.212.201.19,/,1380259394,2a02:26f0:3100:286::f33,2,False,,BRITISH BROADCASTING CORPORATION,True,Apache,Apache,,,,
image.bbcamerica.bbc.com,,404,10,image.bbcamerica.bbc.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2022-06-28T00:00:00Z,2023-06-30T23:59:59Z,"CN=a248.e.akamai.net, O=Akamai Technologies\, Inc., L=Cambridge, ST=Massachusetts, C=US",a248.e.akamai.net,*.akamaized.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b8cdc00e1dc897fa6768667f6f060486,a1ac71dd8fdaeb4aaf9b5e1952536ade1c8ffd70b5004556df9d51f82b227591,ctls,image.bbcamerica.bbc.com,443,https://image.bbcamerica.bbc.com:443,https,,GET,2.16.186.72,/,1864250944,2.16.186.120,2,False,True,"Akamai Technologies, Inc.",True,AkamaiNetStorage,,,,,
image.bbcgames.bbc.com,Access Denied,403,276,,,,,,,,,,,,,,,,,,80,http://image.bbcgames.bbc.com:80,http,text/html,GET,2.16.186.120,/,-1593062727,2.16.186.72,10,False,,,,AkamaiGHost,,,,,
image.bluey.bbc.com,Access Denied,403,273,,,,,,,,,,,,,,,,,,80,http://image.bluey.bbc.com:80,http,text/html,GET,2.16.186.163,/,1317281187,2a02:26f0:3500:1b::1724:a39c,10,False,,,,AkamaiGHost,,,,,
image.crmdev.bbc.com,Access Denied,403,274,image.crmdev.bbc.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2022-06-28T00:00:00Z,2023-06-30T23:59:59Z,"CN=a248.e.akamai.net, O=Akamai Technologies\, Inc., L=Cambridge, ST=Massachusetts, C=US",a248.e.akamai.net,*.akamaized.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b8cdc00e1dc897fa6768667f6f060486,a1ac71dd8fdaeb4aaf9b5e1952536ade1c8ffd70b5004556df9d51f82b227591,ctls,image.crmdev.bbc.com,443,https://image.crmdev.bbc.com:443,https,text/html,GET,2.16.186.120,/,-1219688576,2.16.186.72,10,False,True,"Akamai Technologies, Inc.",True,AkamaiGHost,,,,,
image.topgear.bbc.com,Access Denied,403,275,image.topgear.bbc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-17T00:00:00Z,2023-12-08T23:59:59Z,"CN=san-6-s6.tlsprovisioning.exacttarget.com, O=SALESFORCE.COM\, INC., L=San Francisco, ST=California, C=US",san-6-s6.tlsprovisioning.exacttarget.com,image.relacionamento.clinicassistance.com.br,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,4c72b72f3e7bf759a1085c0404a29312,e5d064d02d6c035c9341cdcc5c5b58335baa445c8ca12012c3379b2d4a335830,ctls,image.topgear.bbc.com,443,https://image.topgear.bbc.com:443,https,text/html,GET,2.16.186.146,/,-1670632475,2a02:26f0:3500:1b::1724:a388,10,False,,"SALESFORCE.COM, INC.",,AkamaiGHost,,,,,
imageresizer-preprod.player.bbc.com,Service Unavailable,503,268,,,,,,,,,,,,,,,,,,80,http://imageresizer-preprod.player.bbc.com:80,http,text/html,GET,104.102.32.32,/,335062731,104.102.32.32,9,False,,,,AkamaiGHost,,,,,
lyncdiscover.bbc.com,,200,351,,,,,,,,,,,,,,,,,,80,http://lyncdiscover.bbc.com:80,http,application/json,GET,52.112.192.142,/,1602016169,2603:1027:0:48::21,1,False,,,,,Azure,,,,
main.dc.tps.bbc.com.pri.bbc.com,BBC - 404: Not Found,404,32408,main.dc.tps.bbc.com.pri.bbc.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-02-01T14:16:06Z,2024-03-04T14:16:05Z,"CN=*.bbc.co.uk, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",*.bbc.co.uk,bbc.co.uk,"CN=GlobalSign ECC OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign ECC OV SSL CA 2018,GlobalSign nv-sa,0b82e8ed6fa893a33bda024115be6a7e,ab4e080c641b9b3e5ce79d3e96c0168bdf852d6ffb83d1d66bacb6d819964586,ctls,main.dc.tps.bbc.com.pri.bbc.com,443,https://main.dc.tps.bbc.com.pri.bbc.com:443,https,text/html,GET,212.58.249.212,/,1885580238,212.58.244.70,542,False,True,BRITISH BROADCASTING CORPORATION,True,,,,,,
moderation.api.bbc.com,,404,126,moderation.api.bbc.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-19T14:46:14Z,2024-01-20T14:46:13Z,"CN=comments.api.bbc.co.uk, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",comments.api.bbc.co.uk,reportugc.api.bbc.co.uk,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,bd84618b207c52ce0961f2d46b6dec25,b68519e2b2ab6e8b739a80db959dc177d835bffa4bfdb819b542c8c3c9a1a323,ctls,moderation.api.bbc.com,443,https://moderation.api.bbc.com:443,https,application/json,GET,52.215.102.32,/,-764091936,34.240.162.126,1,False,,BRITISH BROADCASTING CORPORATION,,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips,OpenSSL:1.0.2k,,,,
optimizely.s3.amazonaws.com,,403,243,optimizely.s3.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2023-12-19T23:59:59Z,CN=*.s3.amazonaws.com,*.s3.amazonaws.com,s3.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5c786d7d836f7ec7d65e625b0bca2ab2,25b0a7826fcb8f6ae0c7bc14d8e53ea2741097aac08c7243810f2a739d63f6c4,ctls,optimizely.s3.amazonaws.com,443,https://optimizely.s3.amazonaws.com:443,https,application/xml,GET,54.231.230.161,/,-132623023,54.231.203.57,2,False,,,True,AmazonS3,Amazon Web Services,,,,
pages.email.bbc.com,403 - Forbidden: Access is denied.,403,1233,pages.email.bbc.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-07T00:00:00Z,2024-05-07T23:59:59Z,"CN=pages.email.bbc.com, O=Salesforce.com\, Inc., L=San Francisco, ST=California, C=US",pages.email.bbc.com,pages.email.bbc.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,d22b36500d4c7667ea4d94660fb0e8e1,db8d4d9c1e82c21153ddd9381ce178e666009541941cc941f864fcd358a08a25,ctls,pages.email.bbc.com,443,https://pages.email.bbc.com:443,https,text/html,GET,13.111.140.167,/,-207424980,13.111.140.167,30,False,,"Salesforce.com, Inc.",,,,,,,
preferences.notifications.int.api.bbc.com,,404,85,preferences.notifications.int.api.bbc.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-23T13:46:17Z,2024-02-24T13:46:16Z,"CN=preferences.notifications.int.api.bbc.com, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",preferences.notifications.int.api.bbc.com,preferences.notifications.int.api.bbc.co.uk,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,1a9e7a397fd47aff5dbc7926d36a089b,210cd301e0d76c6701eb5a052e3bcfcb798ca5b365fb6cf6e1de1220af233ec0,ctls,preferences.notifications.int.api.bbc.com,443,https://preferences.notifications.int.api.bbc.com:443,https,application/json,GET,52.30.95.59,/,-180011661,52.208.242.208,4,False,,BRITISH BROADCASTING CORPORATION,,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips,OpenSSL:1.0.2k,,,,
prospect.test.api.bbc.com,,403,42,prospect.test.api.bbc.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-16T14:02:43Z,2024-02-16T14:02:43Z,"C=GB, L=London, O=British Broadcasting Corporation, OU=BBC Development Services, CN=prospect.test.api.bbc.com, emailAddress=BBCIDOps@bbc.co.uk, emailAddress=BBCIDOps@bbc.co.uk",prospect.test.api.bbc.com,prospect.test.api.bbc.com,"L=London, emailAddress=ca-admin@bbc.co.uk, CN=BBC CA - Development Services, OU=BBC CA, O=British Broadcasting Corporation, C=GB, emailAddress=ca-admin@bbc.co.uk",BBC CA - Development Services,British Broadcasting Corporation,910346508e5fd901ea6ac5417f053bea,0e5b2969c5f74efae1c12bb99489257010ac57984104511c22c3f31feeba85f6,ctls,prospect.test.api.bbc.com,443,https://prospect.test.api.bbc.com:443,https,application/json,GET,34.251.200.146,/,768769774,34.250.204.148,1,False,,British Broadcasting Corporation,,,,,,,
segmentation.stage.api.bbc.com,,404,,segmentation.stage.api.bbc.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-14T07:06:05Z,2023-11-15T07:06:04Z,"CN=segmentation.int.api.bbc.co.uk, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",segmentation.int.api.bbc.co.uk,segmentation.stage.api.bbc.co.uk,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,263a047d1a668d94c5ca3b37db24c4e8,a3aa4c7ce8f896e0326a972dab4887bc5907b83dc3a8ad070eacf8863c657d2f,ctls,segmentation.stage.api.bbc.com,443,https://segmentation.stage.api.bbc.com:443,https,,GET,54.77.9.220,/,-1840324437,63.32.223.208,1,False,,BRITISH BROADCASTING CORPORATION,,Apache,Apache,,,,
