new,host,a,soa,status_code,ns,cdn,cdn-name,aaaa,cname,caa,mx,txt
[x],0--americabox-sre-dev-elm-okta-idp-r.antivirus.staging.staging.vivy.com,"3.74.193.56, 3.121.175.76, 18.196.163.78","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],0--americabox-sre-dev-elm-okta-idp-r.antivirus.staging.vivy.com,"18.196.163.78, 3.74.193.56, 3.121.175.76","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],0--careerservices.00000-okta-idp-assetsuction-town.sso.app-west.staging.vivy.com,"3.74.193.56, 18.196.163.78, 3.121.175.76","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],0--midwesttvwww0.00000-okta-idp-assetsuction-town.sso.app-west.vivy.com,"18.184.229.143, 18.198.139.143, 52.59.116.42","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],0-09cos17-protoarsh-041082-sidnaique.18.okta.nodecom.special-employeesurvey.samuellotfi.staging.vivy.com,"18.196.163.78, 3.74.193.56, 3.121.175.76","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],0-1-okta-ios-account-api-client-secure.staging.vivy.com,"3.74.193.56, 3.121.175.76, 18.196.163.78","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],0-1-okta-ios-admins-api-client-secure.vivy.com,"18.198.139.143, 52.59.116.42, 18.184.229.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],0-1-okta-ios-auth-api-client-mail.staging.vivy.com,"3.121.175.76, 18.196.163.78, 3.74.193.56","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],0-1-okta-ios-auth-api-client-maileuropewest.vivy.com,"18.198.139.143, 52.59.116.42, 18.184.229.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],0-1-okta-ios-auth-api-client-secure.events.vivy.com,"18.184.229.143, 18.198.139.143, 52.59.116.42","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],0-1-okta-ios-auth-api-client.20050529.staging.vivy.com,"18.196.163.78, 3.74.193.56, 3.121.175.76","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],0-1-okta-ios-auth-ssl-client-container.vivy.com,"18.184.229.143, 18.198.139.143, 52.59.116.42","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],0-1-okta-ios-cdn-api-live.vivy.com,"18.198.139.143, 18.184.229.143, 52.59.116.42","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],0-1-okta-ios-cloudfunction-okta-trial-auth-api-client-api-live.vivy.com,"18.184.229.143, 52.59.116.42, 18.198.139.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1123.awsdns-12.org, ns-2006.awsdns-58.co.uk, ns-508.awsdns-63.com, ns-960.awsdns-56.net",,,,,,,
[x],0-558.meineimmowelt.15-okta.vivy.com,"52.59.116.42, 18.198.139.143, 18.184.229.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1123.awsdns-12.org, ns-2006.awsdns-58.co.uk, ns-508.awsdns-63.com, ns-960.awsdns-56.net",,,,,,,
[x],0-backend-okta-ios-auth-api-client.staging.vivy.com,"3.121.175.76, 18.196.163.78, 3.74.193.56","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],0-checkpoint.thomsonreuters.analytics-okta-com.com.olinkserver.vivy.com,"52.59.116.42, 18.184.229.143, 18.198.139.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],0-cloudfront-okta-ios-auth-api-live.vivy.com,,"ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],0-loktaz.admincust90-tomcat-accountingloktaz.portal.staging.vivy.com,,"ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,
[x],0.staging.vivy.com,"3.121.175.76, 18.196.163.78, 3.74.193.56","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],02.pr.dev.vivy.com,"18.184.229.143, 52.59.116.42, 18.198.139.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],02.staging.vivy.com,"3.74.193.56, 3.121.175.76, 18.196.163.78","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],03.pr.dev.vivy.com,"52.59.116.42, 18.184.229.143, 18.198.139.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],03.staging.vivy.com,"3.74.193.56, 3.121.175.76, 18.196.163.78","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],030.staging.vivy.com,"3.74.193.56, 18.196.163.78, 3.121.175.76","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],031.staging.vivy.com,"18.196.163.78, 3.74.193.56, 3.121.175.76","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],0k8.lax1.pr.dev.vivy.com,"52.59.116.42, 18.198.139.143, 18.184.229.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],1-dev.vivy.com,"18.198.139.143, 52.59.116.42, 18.184.229.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],1.staging.vivy.com,"3.74.193.56, 3.121.175.76, 18.196.163.78","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],10-8.staging.vivy.com,"18.196.163.78, 3.121.175.76, 3.74.193.56","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],10-9.staging.vivy.com,"18.196.163.78, 3.74.193.56, 3.121.175.76","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],10.pr.dev.vivy.com,"52.59.116.42, 18.184.229.143, 18.198.139.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],11.auth-ns.auth-ns.auth-ns.staging.vivy.com,"3.121.175.76, 18.196.163.78, 3.74.193.56","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],11.auth-ns.staging.vivy.com,"18.196.163.78, 3.121.175.76, 3.74.193.56","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],11.pr.dev.vivy.com,"52.59.116.42, 18.184.229.143, 18.198.139.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],11.staging.vivy.com,"3.74.193.56, 3.121.175.76, 18.196.163.78","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],11.vivy.com,"18.184.229.143, 18.198.139.143, 52.59.116.42","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],12-8.staging.vivy.com,"18.196.163.78, 3.121.175.76, 3.74.193.56","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],12-9.staging.vivy.com,"3.74.193.56, 3.121.175.76, 18.196.163.78","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1123.awsdns-12.org, ns-2006.awsdns-58.co.uk, ns-508.awsdns-63.com, ns-960.awsdns-56.net",,,,,,,
[x],12.pr.dev.vivy.com,"52.59.116.42, 18.198.139.143, 18.184.229.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],12.staging.vivy.com,,"ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],122.staging.vivy.com,"3.121.175.76, 3.74.193.56, 18.196.163.78","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],124.staging.vivy.com,"18.196.163.78, 3.121.175.76, 3.74.193.56","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],125.staging.vivy.com,"3.121.175.76, 3.74.193.56, 18.196.163.78","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],126.staging.vivy.com,"3.121.175.76, 18.196.163.78, 3.74.193.56","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],128.staging.vivy.com,"3.121.175.76, 3.74.193.56, 18.196.163.78","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],13.pr.dev.vivy.com,"18.184.229.143, 52.59.116.42, 18.198.139.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],13.staging.vivy.com,"18.196.163.78, 3.121.175.76, 3.74.193.56","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],14-1.staging.vivy.com,"3.121.175.76, 18.196.163.78, 3.74.193.56","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],14-13.vivy.com,"18.184.229.143, 18.198.139.143, 52.59.116.42","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],14.staging.vivy.com,"18.196.163.78, 3.74.193.56, 3.121.175.76","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],145-147ilmi.pr.dev.vivy.com,"18.184.229.143, 52.59.116.42, 18.198.139.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],14834.vivy.com,"18.198.139.143, 52.59.116.42, 18.184.229.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],15.pr.dev.vivy.com,"18.184.229.143, 18.198.139.143, 52.59.116.42","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],16.vivy.com,"52.59.116.42, 18.198.139.143, 18.184.229.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],17.application-gitokta-test-18auth-nscms.engpr.announces-svc.dev.portal.vivy.com,"143.204.98.71, 143.204.98.128, 143.204.98.98, 143.204.98.125","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,
[x],17.engpr.announces-svc.dev.portal-oktascimserverdemo.vivy.com,"18.184.229.143, 52.59.116.42, 18.198.139.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],17.engpr.announces-svc.dev.portal.oktascimserverdemo.vivy.com,"18.184.229.143, 52.59.116.42, 18.198.139.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],17.engpr.announces-svc.gitoktadev.portal.vivy.com,"99.86.91.95, 99.86.91.105, 99.86.91.46, 99.86.91.53","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,
[x],17updatekey-oktascimserver.engpr.announces-svc.dev.portal.vivy.com,"52.85.242.47, 52.85.242.74, 52.85.242.60, 52.85.242.107","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,
[x],18.staging.vivy.com,"18.196.163.78, 3.74.193.56, 3.121.175.76","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],18.yx.pay.air-france.pr.defile.vivy.com,"18.184.229.143, 18.198.139.143, 52.59.116.42","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1123.awsdns-12.org, ns-2006.awsdns-58.co.uk, ns-508.awsdns-63.com, ns-960.awsdns-56.net",,,,,,,
[x],18pantheonsignedoktascimserver.portal.vivy.com,"65.8.19.62, 65.8.19.92, 65.8.19.70, 65.8.19.17","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1123.awsdns-12.org, ns-2006.awsdns-58.co.uk, ns-508.awsdns-63.com, ns-960.awsdns-56.net",True,cloudfront,,,,,
[x],19.staging.vivy.com,"18.196.163.78, 3.121.175.76, 3.74.193.56","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],1933.vivy.com,"18.198.139.143, 52.59.116.42, 18.184.229.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],1ofust76.pr.dev.vivy.com,"18.198.139.143, 18.184.229.143, 52.59.116.42","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1123.awsdns-12.org, ns-2006.awsdns-58.co.uk, ns-508.awsdns-63.com, ns-960.awsdns-56.net",,,,,,,
[x],2.pr.dev.vivy.com,,"ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],20.staging.vivy.com,"18.196.163.78, 3.74.193.56, 3.121.175.76","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],2011.okta-test-1verwijdertmerchantrusspyware.vivy.com,"52.59.116.42, 18.198.139.143, 18.184.229.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],2012-pr-courses.pr.dev.vivy.com,"18.198.139.143, 18.184.229.143, 52.59.116.42","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],2017.pr.okta-test-18dev.vivy.com,"18.198.139.143, 18.184.229.143, 52.59.116.42","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],23-227-37-137-oktascimserver.portal.staging.vivy.com,"13.32.121.127, 13.32.121.88, 13.32.121.13, 13.32.121.117","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,
[x],244-153.vivy.com,"52.59.116.42, 18.184.229.143, 18.198.139.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],26.pay.air-france.pr.dev-billing-east-14.vivy.com,"18.184.229.143, 18.198.139.143, 52.59.116.42","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],29host5.pr.dev.vivy.com,"18.198.139.143, 18.184.229.143, 52.59.116.42","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],2b-www.vivy.com,"18.198.139.143, 18.184.229.143, 52.59.116.42","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],3.pay.air-france.pr-okta-test-18.dev.vivy.com,"52.59.116.42, 18.184.229.143, 18.198.139.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],3.pr.dev.vivy.com,"52.59.116.42, 18.198.139.143, 18.184.229.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],360-security-america.vivy.com,"18.198.139.143, 52.59.116.42, 18.184.229.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],360-security-antisandboxrus-free.vivy.com,"18.184.229.143, 18.198.139.143, 52.59.116.42","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],37970u.pr.dev.vivy.com,"18.198.139.143, 52.59.116.42, 18.184.229.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],39663-turkey.pr.dev.vivy.com,"18.184.229.143, 18.198.139.143, 52.59.116.42","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],3awww.vivy.com,"52.59.116.42, 18.184.229.143, 18.198.139.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],3com.pr.dev.vivy.com,"18.198.139.143, 18.184.229.143, 52.59.116.42","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],3com.vivy.com,"18.184.229.143, 52.59.116.42, 18.198.139.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],3ng.vivy.com,"18.198.139.143, 18.184.229.143, 52.59.116.42","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],4.pr.dev.vivy.com,"18.198.139.143, 18.184.229.143, 52.59.116.42","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],4.vivy.com,"52.59.116.42, 18.184.229.143, 18.198.139.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],6.auth-ns.auth-ns.auth-ns.staging.vivy.com,"3.121.175.76, 3.74.193.56, 18.196.163.78","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],6.pr.dev.vivy.com,"18.184.229.143, 18.198.139.143, 52.59.116.42","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],6122-hollyworldgames.bakersfield.pr.dev.vivy.com,,"ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],61221arlet-dec.websitescust95.pr.dev.vivy.com,"18.198.139.143, 52.59.116.42, 18.184.229.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1123.awsdns-12.org, ns-2006.awsdns-58.co.uk, ns-508.awsdns-63.com, ns-960.awsdns-56.net",,,,,,,
[x],66.staging.vivy.com,"3.74.193.56, 3.121.175.76, 18.196.163.78","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],7.auth-ns.auth-ns.staging.vivy.com,"3.121.175.76, 18.196.163.78, 3.74.193.56","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],7.pr.dev.vivy.com,,"ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],8.pr.dev.vivy.com,"52.59.116.42, 18.184.229.143, 18.198.139.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1123.awsdns-12.org, ns-2006.awsdns-58.co.uk, ns-508.awsdns-63.com, ns-960.awsdns-56.net",,,,,,,
[x],8.vivy.com,"52.59.116.42, 18.184.229.143, 18.198.139.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],82.staging.vivy.com,"18.196.163.78, 3.74.193.56, 3.121.175.76","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],85.staging.vivy.com,"18.196.163.78, 3.74.193.56, 3.121.175.76","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],85p-chatserver.pr.dev.vivy.com,"52.59.116.42, 18.184.229.143, 18.198.139.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],86.staging.vivy.com,"3.121.175.76, 3.74.193.56, 18.196.163.78","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],8ww.vivy.com,"18.198.139.143, 52.59.116.42, 18.184.229.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],9.auth-ns.auth-ns.staging.vivy.com,"3.74.193.56, 3.121.175.76, 18.196.163.78","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],91.staging.vivy.com,"18.196.163.78, 3.74.193.56, 3.121.175.76","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],93.staging.vivy.com,"3.74.193.56, 18.196.163.78, 3.121.175.76","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],96.staging.vivy.com,"3.74.193.56, 18.196.163.78, 3.121.175.76","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],98.staging.vivy.com,"3.74.193.56, 18.196.163.78, 3.121.175.76","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],9qm-lax1.pr.dev.vivy.com,"52.59.116.42, 18.184.229.143, 18.198.139.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],a.pr.dev.vivy.com,"52.59.116.42, 18.198.139.143, 18.184.229.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],a.vivy.com,,"ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],a01.vivy.com,"52.59.116.42, 18.198.139.143, 18.184.229.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],a02.pr.dev.vivy.com,,"ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],abts-north-dynamic-001.www.vivy.com,"18.198.139.143, 18.184.229.143, 52.59.116.42","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],abts-north-dynamic-229.www.vivy.com,"52.59.116.42, 18.198.139.143, 18.184.229.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],ac.vivy.com,"52.59.116.42, 18.198.139.143, 18.184.229.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],academico.pr.dev.vivy.com,"52.59.116.42, 18.184.229.143, 18.198.139.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1123.awsdns-12.org, ns-2006.awsdns-58.co.uk, ns-508.awsdns-63.com, ns-960.awsdns-56.net",,,,,,,
[x],access.auth-ns.staging.vivy.com,"3.121.175.76, 3.74.193.56, 18.196.163.78","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],access.pr.dev.vivy.com,"52.59.116.42, 18.198.139.143, 18.184.229.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],access.vivy.com,"52.59.116.42, 18.184.229.143, 18.198.139.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],accounting.pr.dev.vivy.com,"18.198.139.143, 52.59.116.42, 18.184.229.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],accounts.pr.dev.vivy.com,,"ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],accounts.vivy.com,"18.184.229.143, 18.198.139.143, 52.59.116.42","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],activestat.auth-ns.staging.vivy.com,"18.196.163.78, 3.121.175.76, 3.74.193.56","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],activity-timeline.vivy.com,"18.184.229.143, 52.59.116.42, 18.198.139.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],ad.vivy.com,"18.184.229.143, 18.198.139.143, 52.59.116.42","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],admin.auth-ns.auth-ns.staging.vivy.com,"18.196.163.78, 3.74.193.56, 3.121.175.76","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],administracion.vivy.com,"18.198.139.143, 52.59.116.42, 18.184.229.143","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],administrador.pr.dev.vivy.com,"18.184.229.143, 18.198.139.143, 52.59.116.42","ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
