input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_self_signed,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,cdn,tls_issuer_org_,tech_,tls_wildcard_certificate,webserver,tls_subject_org_,csp_domains_,final_url,tls_expired
academy.engelvoelkers.com,Engel & Völkers Academy,200,82845,academy.engelvoelkers.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,,2023-04-03T00:00:00Z,2024-04-13T23:59:59Z,CN=academy.engelvoelkers.com,academy.engelvoelkers.com,academy.engelvoelkers.com,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,320ae24ce375f53d29f59c78fbaa0a66,c7718e0424625de489346760181c5ffddb792e379bb52fe738f3c9aa2e18e202,ctls,academy.engelvoelkers.com,azure,443,https://academy.engelvoelkers.com:443,https,text/html,GET,52.169.122.168,/,-1198505336,52.169.122.168,1760,False,True,DigiCert Inc,ZURB Foundation,,,,,https://academy.engelvoelkers.com/pages/saml-request.jsf,
admin.tableau.engelvoelkers.com,401 Authorization Required,401,176,admin.tableau.engelvoelkers.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,,2023-06-22T23:47:56Z,2023-09-20T23:47:55Z,CN=admin.tableau.engelvoelkers.com,admin.tableau.engelvoelkers.com,admin.tableau0102.engelvoelkers.com,"CN=R3, O=Let's Encrypt, C=US",R3,56ac02fe52247ceabf44fd91063562ba,011c00e19976a27839b8aec45188d0d06299d8bc36dac83a54364ff9197d5e3d,ctls,admin.tableau.engelvoelkers.com,google,443,https://admin.tableau.engelvoelkers.com:443,https,text/html,GET,35.205.2.217,/,-172989243,35.205.2.217,8,False,True,Let's Encrypt,OpenResty,,openresty,,,,
alertmanager.ev-cloud-platform.engelvoelkers.com,,404,19,alertmanager.ev-cloud-platform.engelvoelkers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2023-07-06T07:23:02Z,2024-07-05T07:23:02Z,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,83f913af069b69cd755ab12a65c8d832.e468e80f6f84d39a7fa2385aaff75599.traefik.default,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,2e14d1bbf6a47d793a9637fa371b522f,68553bf39d32faee143847e51cab6ef969c008f7af6554434a1e1915f6ca31e5,ctls,alertmanager.ev-cloud-platform.engelvoelkers.com,google,443,https://alertmanager.ev-cloud-platform.engelvoelkers.com:443,https,text/plain,GET,34.95.111.165,/,-138391155,34.95.111.165,2,False,True,,,,,,,,
alster.engelvoelkers.com,Engel & Völkers | Ihr Immobilienmakler an über 1.000 Standorten,200,190699,www.engelvoelkers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2022-11-11T00:00:00Z,2023-12-12T23:59:59Z,CN=*.engelvoelkers.com,*.engelvoelkers.com,engelvoelkers.com,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,c091bf481631609a52078b36a524d609,3348c70d3722d40bf2cf3e35bfec06ba54574b82e885c4a017a07053612339d1,ctls,www.engelvoelkers.com,google,443,https://alster.engelvoelkers.com:443,https,text/html,GET,35.190.46.123,/,-345512542,35.190.46.123,4542,False,True,DigiCert Inc,jQuery,True,cloudflare,,,https://www.engelvoelkers.com/de/?default,
alt.engelvoelkers.com,Engel & Völkers | Ihr Immobilienmakler an über 1.000 Standorten,200,190933,www.engelvoelkers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2022-11-11T00:00:00Z,2023-12-12T23:59:59Z,CN=*.engelvoelkers.com,*.engelvoelkers.com,engelvoelkers.com,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,c091bf481631609a52078b36a524d609,3348c70d3722d40bf2cf3e35bfec06ba54574b82e885c4a017a07053612339d1,ctls,www.engelvoelkers.com,google,443,https://alt.engelvoelkers.com:443,https,text/html,GET,35.190.46.123,/,-345512542,35.190.46.123,4542,False,True,DigiCert Inc,jQuery,True,cloudflare,,,https://www.engelvoelkers.com/de/?default,
analysis.engelvoelkers.com,,403,217,analysis.engelvoelkers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,True,2021-04-07T11:54:08Z,2026-04-06T11:54:08Z,CN=130.211.51.20,130.211.51.20,kubernetes.default.svc.cluster.local,CN=63a2e998-aa56-43e5-8e96-edaed8f52052,63a2e998-aa56-43e5-8e96-edaed8f52052,826dc6403f7c3eebe792bd3f3d88dff2,9ebf9036878a332c51c517362b0bbe4664c727d676c6415072d19d58fb27deea,ctls,analysis.engelvoelkers.com,google,443,https://analysis.engelvoelkers.com:443,https,application/json,GET,130.211.51.20,/,151275702,130.211.51.20,10,False,True,,,,,,,,
analytics-service-bq.engelvoelkers.com,,404,10,analytics-service-bq.engelvoelkers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-25T01:00:02Z,2023-08-23T01:00:01Z,CN=analytics-service-bq.engelvoelkers.com,analytics-service-bq.engelvoelkers.com,analytics-service-bq.engelvoelkers.com,"CN=R3, O=Let's Encrypt, C=US",R3,c6fa2925201ed30e20b513757c8da1f5,045d9b1562fc483f64f09fe9b87b48721ddf2502fdfdd6b3d7a8bd3dc5eae174,ctls,analytics-service-bq.engelvoelkers.com,google,443,https://analytics-service-bq.engelvoelkers.com:443,https,text/plain,GET,35.186.199.237,/,-573464491,35.186.199.237,2,False,True,Let's Encrypt,HSTS,,,,,,
analytics.engelvoelkers.com,,404,13,analytics.engelvoelkers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,True,2023-06-07T11:20:05Z,2023-09-05T12:14:19Z,CN=com-engelvoelkers-prod1.collector.snplow.net,com-engelvoelkers-prod1.collector.snplow.net,com-engelvoelkers-prod1.collector.snplow.net,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,c6ba42943d85fc615c20b57faf0c614a,9d2087a9adf4bf04b7502d105d589d07e047c9ac6ae8f5b4fc5724277ccc4dc6,ctls,analytics.engelvoelkers.com,google,443,https://analytics.engelvoelkers.com:443,https,text/plain,GET,34.117.46.165,/,-1420358624,34.117.46.165,1,False,True,Google Trust Services LLC,HTTP/3,,akka-http,,,,
api-neighbourhood.engelvoelkers.com,,200,20,api-neighbourhood.engelvoelkers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-06-25T04:49:29Z,2023-09-23T04:49:28Z,CN=api-neighbourhood.engelvoelkers.com,api-neighbourhood.engelvoelkers.com,api-neighbourhood.engelvoelkers.com,"CN=R3, O=Let's Encrypt, C=US",R3,4bbce0bd2d42c0bd9a9fc7635109d07f,7dde67db4b1b85bc87ee413b681fe833e981bec7076ca1397cf2a7cb37f431bf,ctls,api-neighbourhood.engelvoelkers.com,google,443,https://api-neighbourhood.engelvoelkers.com:443,https,text/plain,GET,35.186.199.237,/,-330977266,35.186.199.237,1,False,True,Let's Encrypt,HSTS,,,,,,
artifactory.engelvoelkers.com,JFrog,200,3029,artifactory.engelvoelkers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-06-06T03:30:07Z,2023-09-04T03:30:06Z,CN=artifactory.engelvoelkers.com,artifactory.engelvoelkers.com,artifactory.engelvoelkers.com,"CN=R3, O=Let's Encrypt, C=US",R3,1ff334164424488bc6b13a621124ac8c,bdb2d77ee8bb2f273b19dc708c4a83c02606ad6806a7b2d0383eefb076f0b424,ctls,artifactory.engelvoelkers.com,google,443,https://artifactory.engelvoelkers.com:443,https,text/html,GET,34.95.111.165,/,-138391155,34.95.111.165,1,False,True,Let's Encrypt,HSTS,,,,,,
