new,host,a,soa,status_code,cdn,cdn-name,cname,txt,aaaa,ns,mx,caa,has_internal_ips,internal_ips,ptr
[x],104epex.ang.af.mil,131.62.62.200,"gunter-ns1.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],104fw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],105aw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],106rqw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],108thwing.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],109aw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],110atkw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],110wg.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],114fw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],114fwpublic.ang.af.mil,131.43.30.31,"gunter-ns1.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],115fw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],118wg.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],11thmeu.usmc.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],120thairliftwing.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],122fw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],127wg.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],131bw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],132fwepex.ang.af.mil,131.43.78.11,"gunter-ns1.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],134arw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],139aw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],141arw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],142fw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],147pex.ang.af.mil,132.13.56.130,"gunter-ns1.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],153aw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],154wg.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],155arw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],157arw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],15ows.us.af.mil,,"n0d.akamaiedge.akamai.csd.disa.mil, hostmaster.akamai.com",NOERROR,,,"15ows.us.af.mil.apps.gcds.disa.mil, gcdsaf4.af.mil.edgekey.dmz.akamai.csd.disa.mil, e1082.d.akamaiedge.akamai.csd.disa.mil",,,,,,,,
[x],15wing.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],161arw.ang.af.mil,131.60.112.7,"gunter-ns1.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],165aw.pex.ang.af.mil,132.50.62.250,"gunter-ns1.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],165aw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],168wg.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],169fw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],171arw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],174attackwing.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],175976-acp-01.pentagon.mil,155.19.88.12,"dns-mas-a1-t.pentagon.mil, sysadmin.pentagon.mil",NOERROR,,,,,,,,,,,
[x],175976-hh-01.pentagon.mil,155.19.88.13,"dns-mas-a1-t.pentagon.mil, sysadmin.pentagon.mil",NOERROR,,,,,,,,,,,
[x],175976-vpn-01.pentagon.mil,155.19.88.16,"dns-mas-a1-t.pentagon.mil, sysadmin.pentagon.mil",NOERROR,,,,,,,,,,,
[x],175976-wks-01.pentagon.mil,155.19.88.11,"dns-mas-a1-t.pentagon.mil, sysadmin.pentagon.mil",NOERROR,,,,,,,,,,,
[x],175wg.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],176wg.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],177fw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],178fw-ii-01.ang.af.mil,137.14.206.10,"gunter-ns1.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],17owspass.hickam.af.mil,131.38.119.20,"yokota-ns10.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],180fw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],182aw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],184jayhawks.dodlive.mil,104.102.56.32,"n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"www.dodlive.mil.edgekey.net, e17101.dscb.akamaiedge.net",,"2a02:26f0:1700:192::42cd, 2a02:26f0:1700:1b8::42cd",,,,,,
[x],186arw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],188wg.epex.ang.af.mil,132.13.126.6,"gunter-ns1.afnoc.af.mil, dnsman.us.af.mil",NOERROR,,,,,,,,,,,
[x],192fw.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
[x],193cs-dc2.193cs.deployed.socom.mil,214.42.125.4,"ns1.socom.mil, hostmaster.socom.mil",NOERROR,,,,,,,,,,,
[x],193cs-exch.193cs.deployed.socom.mil,214.42.125.5,"ns1.socom.mil, hostmaster.socom.mil",NOERROR,,,,,,,,,,,
[x],193csfilo1.193cs.deployed.socom.mil,214.42.125.35,"ns1.socom.mil, hostmaster.socom.mil",NOERROR,,,,,,,,,,,
[x],1af.usaf.afpims.mil,155.7.216.55,"dns1.nipr.mil, hostmaster\@nic.mil",NOERROR,,,,,,,,,,,
