input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,tls_wildcard_certificate,cdn_name,cdn,csp_domains_,final_url
affiliates.silvergoldbull.com,Affiliate Sign Up,200,42529,affiliates.silvergoldbull.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-04T14:18:08Z,2023-08-02T14:18:07Z,CN=affiliates.silvergoldbull.com,affiliates.silvergoldbull.com,,affiliates.silvergoldbull.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,fa260ca048a7ee3e3a449620640b0f4c,4eee8cb56c3d7349ec8f4cfbc9130690559e7e5906ce01f7d2816cbf3d6cbe28,ctls,affiliates.silvergoldbull.com,443,https://affiliates.silvergoldbull.com:443,https,cloudflare,text/html,GET,172.66.43.188,/,-1468854848,2606:4700:3108::ac42:2bbc,HTTP/3,274,False,,,cloudflare,True,,
atb.silvergoldbull.ca,ATB,200,94926,atb.silvergoldbull.ca,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-04T13:48:54Z,2023-08-02T13:48:53Z,CN=atb.silvergoldbull.ca,atb.silvergoldbull.ca,,atb.silvergoldbull.ca,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a9743e824bdc084f776ddff5fa78195e,f087f83aa3928c887728a5f55afb08e7cf0e6ae4f839d81cbf6aed939f9ddf02,ctls,atb.silvergoldbull.ca,443,https://atb.silvergoldbull.ca:443,https,cloudflare,text/html,GET,172.66.43.200,/,-1468854848,2606:4700:3108::ac42:2838,HTTP/3,630,False,,,cloudflare,True,,
atcbju.silvergoldbull.ca,,404,91,atcbju.silvergoldbull.ca,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-18T00:00:00Z,2023-06-21T23:59:59Z,"CN=atcbju.silvergoldbull.ca, O=Criteo SA, L=Paris, ST=Île-de-France, C=FR",atcbju.silvergoldbull.ca,Criteo SA,atcbju.silvergoldbull.ca,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,95aa8df20d1e611452650db6a5b01469,aa633fe1aa9354220ae9cf5c4aafafd6f3a432c6a6bd7a63ffc5fa7744ca893d,ctls,atcbju.silvergoldbull.ca,443,https://atcbju.silvergoldbull.ca:443,https,Kestrel,text/html,GET,178.250.1.11,/,-1947197333,2a02:2638:3::c,Microsoft ASP.NET,1,False,,,,,,
autodiscover.sgb.co,Sign in to Outlook,200,201356,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,ctls,login.microsoftonline.com,80,http://autodiscover.sgb.co:80,http,,text/html,GET,40.99.155.232,/,-1249852061,2603:1026:c0d:c31::8,HSTS,173,False,,,,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=9e324915-62d9-3be9-7a14-775a6ebfb91e&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=sgb.co&nonce=638196926560052367.db8dc4ae-af26-4fc6-a2fc-686d5d85865a&state=DctBDoIwEEbhVm_iwl2hFuZnWBDPMsy0xkTTBBSvbxff2z3vnDs3p8bHFjdh4NuMOYEQI6UBU2crm46Sg5SEMBZFkFQ0gGFkTAwS395LX3_S37csr_eyP9ZO6_WwRb6fas9d65G3Pw
autodiscover.silvergoldbull.de,Sign in to Outlook,200,197901,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,ctls,login.microsoftonline.com,80,http://autodiscover.silvergoldbull.de:80,http,,text/html,GET,40.99.149.184,/,-1249852061,2603:1026:c0d:6b::8,HSTS,174,False,,,,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=b0a43adf-2aad-8aec-11e7-258453710633&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=silvergoldbull.de&nonce=638196926562443728.69e60916-f06a-4f5e-a70b-249363f3babb&state=DYtBDoMgEACh_UtvKAIu7sH0LbsFGpNtSLTa73cPM5fJWGPMXbkp1qtMhrhMCBhghpBSzGEZACt4nMA1D-RSm6uj7NmFhBFii0zMVl839h-Nz72SfNZjk6vu7y6FT5Gh1MdVVjq_vWzHq2v6Aw
beta.alterx.com,502 Bad Gateway,502,156,beta.alterx.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T03:10:52Z,2023-07-09T03:10:51Z,CN=*.alterx.com,*.alterx.com,,alterx.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,ece5f9f8e1057a420e27a739d3412ac5,01a87f9a68fe06fa6225b89bcc9874ae2a52b124fd5aea7d1628e094d25f117a,ctls,beta.alterx.com,443,https://beta.alterx.com:443,https,cloudflare,text/html,GET,172.66.40.197,/,27038046,2606:4700:3108::ac42:28c5,HTTP/3,14,False,,True,cloudflare,True,,
bowvalleycu.silvergoldbull.ca,Bow Valley Credit Union,200,56569,bowvalleycu.silvergoldbull.ca,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-04T14:24:10Z,2023-08-02T14:24:09Z,CN=bowvalleycu.silvergoldbull.ca,bowvalleycu.silvergoldbull.ca,,bowvalleycu.silvergoldbull.ca,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c26efca46629b36350652a82cb516c13,23dd3caf475e72de1cfe80b2a5422569eea6fc35d841a56f1310b13b8063154e,ctls,bowvalleycu.silvergoldbull.ca,443,https://bowvalleycu.silvergoldbull.ca:443,https,cloudflare,text/html,GET,172.66.40.56,/,-1468854848,2606:4700:3108::ac42:2838,HTTP/3,388,False,,,cloudflare,True,,
buy.silvergoldbull.ca,Buy at Silver Gold Bull,200,123269,buy.silvergoldbull.ca,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-04T13:47:50Z,2023-08-02T13:47:49Z,CN=buy.silvergoldbull.ca,buy.silvergoldbull.ca,,buy.silvergoldbull.ca,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c4f97d4a0c7aa24ccfef7bb570b50f5b,3de61a31bccad847e3a93b4175ece373c26c23108d7c44f1878c905b02c74aca,ctls,buy.silvergoldbull.ca,443,https://buy.silvergoldbull.ca:443,https,cloudflare,text/html,GET,172.66.40.56,/,-1468854848,2606:4700:3108::ac42:2bc8,HTTP/3,4855,False,,,cloudflare,True,,
content-test.sgb.co,Welcome to your Strapi app,200,3314,content-test.sgb.co,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T00:00:00Z,2024-04-23T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.sgb.co,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",c272d384f3e45e593b9166b58b9294e0,cc2794b84edbfc5453afd3070262a488fb260d9e1b087bd4af6c81c9c4aa9ac0,ctls,content-test.sgb.co,443,https://content-test.sgb.co:443,https,cloudflare,text/html,GET,172.67.68.130,/,-1144348573,2606:4700:20::681a:dac,Strapi,34,False,,True,cloudflare,True,https:,
enterpriseenrollment.silvergoldbull.com,Microsoft Intune admin center,200,39820,intune.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-20T00:03:25Z,2024-04-14T00:03:25Z,"CN=intune.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",intune.microsoft.com,Microsoft Corporation,intune.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,fbe882ad9daeb5df0f0d14db966ea3c8,d5bab55b00d08eec6b9981deee10c77d19ccdd091bfd836e38b6bc95a281a90d,ctls,intune.microsoft.com,443,https://enterpriseenrollment.silvergoldbull.com:443,https,,text/html,GET,13.74.111.192,/,1631801191,13.74.111.192,HSTS,4,False,,,azure,True,,https://intune.microsoft.com/
