new,host,a,soa,status_code,ns,has_internal_ips,internal_ips,cname,cdn,cdn-name,aaaa,caa,mx,txt
[x],155-9-203-24.bin-ext.sbb.ch,"18.198.186.199, 18.159.239.113, 18.156.205.46","ns-1864.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"2a00:4bc0:2103:0:ef14:5e43:1b26:7ca9, 2a00:4bc0:2103:2:412f:4837:2217:54a0, 2a00:4bc0:2103:1:a38d:4cf6:4958:2fa2",,,
[x],3ugz5.bin-ext-i.sbb.ch,"18.157.54.50, 18.197.82.217, 35.157.142.150","ns-443.awsdns-55.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"2a00:4bc0:2104:0:c190:633a:a364:29bf, 2a00:4bc0:2104:2:38f1:acc2:fed7:d695, 2a00:4bc0:2104:1:4206:927e:d64a:be84",,,
[x],535-3-3.bin-ext-i.sbb.ch,"18.197.82.217, 35.157.142.150, 18.157.54.50","ns-443.awsdns-55.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"2a00:4bc0:2104:0:c190:633a:a364:29bf, 2a00:4bc0:2104:2:38f1:acc2:fed7:d695, 2a00:4bc0:2104:1:4206:927e:d64a:be84",,,
[x],614-5.bin-i.sbb.ch,"10.241.20.134, 10.241.20.229, 10.241.21.12","ns-234.awsdns-29.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1492.awsdns-58.org, ns-1554.awsdns-02.co.uk, ns-234.awsdns-29.com, ns-891.awsdns-47.net",True,"10.241.20.134, 10.241.20.229, 10.241.21.12",,,,"2a00:4bc0:2104:4:5ab4:49b0:ee0:ec6, 2a00:4bc0:2104:5:6b99:e329:c72b:e162, 2a00:4bc0:2104:3:f523:5381:c18e:ba3c",,,
[x],87-14.bin-i.sbb.ch,"10.241.21.12, 10.241.20.134, 10.241.20.229","ns-234.awsdns-29.com, awsdns-hostmaster.amazon.com",NOERROR,,True,"10.241.21.12, 10.241.20.134, 10.241.20.229",,,,"2a00:4bc0:2104:3:f523:5381:c18e:ba3c, 2a00:4bc0:2104:5:6b99:e329:c72b:e162, 2a00:4bc0:2104:4:5ab4:49b0:ee0:ec6",,,
[x],ampsolrsearch.bin-ext.sbb.ch,"18.156.205.46, 18.198.186.199, 18.159.239.113","ns-1864.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"2a00:4bc0:2103:2:412f:4837:2217:54a0, 2a00:4bc0:2103:1:a38d:4cf6:4958:2fa2, 2a00:4bc0:2103:0:ef14:5e43:1b26:7ca9",,,
[x],analytics-stage.bin-ext.sbb.ch,"18.156.205.46, 18.159.239.113, 18.198.186.199","ns-1864.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"2a00:4bc0:2103:0:ef14:5e43:1b26:7ca9, 2a00:4bc0:2103:1:a38d:4cf6:4958:2fa2, 2a00:4bc0:2103:2:412f:4837:2217:54a0",,,
[x],atl-prd-asap-44.bin-ext.sbb.ch,"18.198.186.199, 18.156.205.46, 18.159.239.113","ns-1864.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"2a00:4bc0:2103:1:a38d:4cf6:4958:2fa2, 2a00:4bc0:2103:2:412f:4837:2217:54a0, 2a00:4bc0:2103:0:ef14:5e43:1b26:7ca9",,,
[x],authprod-db1site.event.sbb.ch,34.65.78.110,"ns1.eurodns.com, hostmaster.eurodns.com",NOERROR,"ns1.eurodns.com, ns4.eurodns.com, ns3.eurodns.com, ns2.eurodns.com",,,evenito.site,True,google,,"sectigo.com, pki.goog",,
[x],bc1-9-9-7.app.sbb.ch,"18.185.7.179, 18.192.203.152, 54.93.146.106","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
