input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,csp_domains_,final_url
acc.pon-cat.com,Geen webhosting actief,200,1467,acc.pon-cat.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2024-02-22T23:59:59Z,"CN=pon-cat.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",pon-cat.com,"Cloudflare, Inc.",pon-cat.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",8e73f6557bc4d1f5b57f9391e7b8930a,a0cab8a654e1559c8e3f18ab03695e30d002ce6d40d12a47b1d0c7e7c48ffb8c,True,ctls,acc.pon-cat.com,cloudflare,443,https://acc.pon-cat.com:443,https,cloudflare,text/html,GET,104.18.24.15,/,-780928015,2606:4700::6812:180f,HTTP/3,51,False,True,,,
autodiscover.pon-cat.com,Sign in to Outlook,200,39375,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,,80,http://autodiscover.pon-cat.com:80,http,,text/html,GET,40.99.149.136,/,-1249852061,2603:1026:c0d:2a::8,HSTS,95,False,,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=93900c87-fc03-b49e-3922-49906ebee1d2&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=pon-cat.com&nonce=638259438484738938.1e92cd92-103e-4fd1-834c-269e3860e660&state=DcsxDsIwDEDRBO4Ck9skDqk9VJwlcoyERHFVSrk-Gd7fvnfOnbtT50OPmwpSunFGypQnJEYaonKSxgliQIX8aBEIs0AqrEglaCnB9_c62q-O903ra5lXe4PUfRBbLkeb63e39vyIHbr9AQ
brukt.pon-cat.com,Pon Equipment NO,200,194282,brukt.pon-cat.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-07T00:00:00Z,2023-11-07T23:59:59Z,CN=brukt.pon-cat.com,brukt.pon-cat.com,,www.brukt.pon-cat.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,a7159cc7aea1d699c05ddc8719f25836,2028e30c08dd1a37041c3fd6f011be0e8bf32799316bb10623a0e2a3d7f3afb6,,ctls,brukt.pon-cat.com,,443,https://brukt.pon-cat.com:443,https,Microsoft-IIS/10.0,text/html,GET,85.17.240.138,/,1631801191,85.17.240.138,Windows Server,1245,False,,,,https://brukt.pon-cat.com/poneqno/search.aspx
content.pon-cat.com,,200,3358,content.pon-cat.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2024-02-22T23:59:59Z,"CN=pon-cat.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",pon-cat.com,"Cloudflare, Inc.",pon-cat.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",8e73f6557bc4d1f5b57f9391e7b8930a,a0cab8a654e1559c8e3f18ab03695e30d002ce6d40d12a47b1d0c7e7c48ffb8c,True,ctls,content.pon-cat.com,cloudflare,443,https://content.pon-cat.com:443,https,cloudflare,text/html,GET,104.18.24.15,/,-1765246129,2606:4700::6812:180f,React,44,False,True,,,
criticalpower.pon-cat.com,,523,,criticalpower.pon-cat.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2024-02-22T23:59:59Z,"CN=pon-cat.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",pon-cat.com,"Cloudflare, Inc.",pon-cat.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",8e73f6557bc4d1f5b57f9391e7b8930a,a0cab8a654e1559c8e3f18ab03695e30d002ce6d40d12a47b1d0c7e7c48ffb8c,True,ctls,criticalpower.pon-cat.com,cloudflare,443,https://criticalpower.pon-cat.com:443,https,cloudflare,,GET,104.18.25.15,/,-1840324437,2606:4700::6812:190f,HTTP/3,1,False,True,,,
enterpriseenrollment.pon-cat.com,Microsoft Intune admin center,200,42108,intune.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-07-15T23:09:38Z,2024-06-27T23:59:59Z,"CN=intune.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",intune.microsoft.com,Microsoft Corporation,intune.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,cc05305937f68a7eea27d9d7af0caa65,110faef00876766ade3550f2f7525379d91c5b3f225fef3ca414db8c9620b49b,,ctls,intune.microsoft.com,azure,443,https://enterpriseenrollment.pon-cat.com:443,https,,text/html,GET,13.74.111.192,/,1631801191,13.74.111.192,HSTS,4,False,True,,,https://intune.microsoft.com/
enterpriseregistration.pon-cat.com,Service,404,1565,enterpriseregistration.pon-cat.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-07-03T00:00:00Z,2024-07-03T23:59:59Z,"CN=graph.windows.net, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",graph.windows.net,Microsoft Corporation,sts.windows.net,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,e7df1f16e52638c1dfeed42ec0ca9590,2ac4f3864729a635125d556395e9307bc2967b6675fdc970a1d9e7daad887c7f,True,ctls,enterpriseregistration.pon-cat.com,azure,443,https://enterpriseregistration.pon-cat.com:443,https,,text/html,GET,40.126.32.131,/,-2070773535,2603:1026:3000:150::3,HSTS,14,False,True,True,,
ftp.pon-cat.com,,523,,ftp.pon-cat.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2024-02-22T23:59:59Z,"CN=pon-cat.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",pon-cat.com,"Cloudflare, Inc.",pon-cat.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",8e73f6557bc4d1f5b57f9391e7b8930a,a0cab8a654e1559c8e3f18ab03695e30d002ce6d40d12a47b1d0c7e7c48ffb8c,True,ctls,ftp.pon-cat.com,cloudflare,443,https://ftp.pon-cat.com:443,https,cloudflare,,GET,104.18.25.15,/,-1840324437,2606:4700::6812:190f,HTTP/3,1,False,True,,,
https://w3.org,W3C,200,104044,www.w3.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-12T00:00:00Z,2024-07-11T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",www.w3.org,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4be7d5184dbeed691e08c88415a4ac04,d2c32177b1a9120738128b4154cbfb495799f027e406135afc8c3ba1d7b351cf,,ctls,www.w3.org,cloudflare,443,https://w3.org:443,https,cloudflare,text/html,GET,104.18.23.19,/,-15365615,2606:4700::6812:1713,HTTP/3,894,False,True,,https://cms.w3.org/,https://www.w3.org/
hub.pon-cat.com,Service,200,6437,hub.pon-cat.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-28T00:00:00Z,2023-09-28T23:59:59Z,CN=hub.pon-cat.com,hub.pon-cat.com,,hub.pon-cat.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,a1eaeac7b07857b2d4eb238c434c563b,c92d4bbfcf402e60fce8965443124c518699172a248517b3bc65f4d0bfee9c1d,,ctls,hub.pon-cat.com,azure,443,https://hub.pon-cat.com:443,https,,text/html,GET,20.52.134.77,/,-1840324437,20.52.134.77,,53,False,True,,,
insight.pon-cat.com,Geen webhosting actief,200,1467,insight.pon-cat.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2024-02-22T23:59:59Z,"CN=pon-cat.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",pon-cat.com,"Cloudflare, Inc.",pon-cat.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",8e73f6557bc4d1f5b57f9391e7b8930a,a0cab8a654e1559c8e3f18ab03695e30d002ce6d40d12a47b1d0c7e7c48ffb8c,True,ctls,insight.pon-cat.com,cloudflare,443,https://insight.pon-cat.com:443,https,cloudflare,text/html,GET,104.18.24.15,/,-780928015,2606:4700::6812:180f,HTTP/3,51,False,True,,,
microgrids.pon-cat.com,Pon Cat MicroGrid,200,899,microgrids.pon-cat.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-10T12:29:09Z,2023-09-08T12:29:08Z,CN=microgrids.pon-cat.com,microgrids.pon-cat.com,,microgrids.pon-cat.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,65d85a713f450ec9dd5ac37f2e40245f,466e2dfa542116a74dbc7ade91a1daf89f608d920bf2a161aa7ca0a0710fcfca,,ctls,microgrids.pon-cat.com,cloudflare,443,https://microgrids.pon-cat.com:443,https,cloudflare,text/html,GET,104.18.25.15,/,1257089850,2606:4700::6812:190f,React,1,False,True,,,
norway.pon-cat.com,Geen webhosting actief,200,1467,norway.pon-cat.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2024-02-22T23:59:59Z,"CN=pon-cat.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",pon-cat.com,"Cloudflare, Inc.",pon-cat.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",8e73f6557bc4d1f5b57f9391e7b8930a,a0cab8a654e1559c8e3f18ab03695e30d002ce6d40d12a47b1d0c7e7c48ffb8c,True,ctls,norway.pon-cat.com,cloudflare,443,https://norway.pon-cat.com:443,https,cloudflare,text/html,GET,104.18.24.15,/,-780928015,2606:4700::6812:180f,HTTP/3,51,False,True,,,
peppwepamt01.pon-cat.com,403 - Forbidden: Access is denied.,403,1233,peppwepamt01.pon-cat.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-10T00:00:00Z,2024-01-19T23:59:59Z,CN=peppwepamt01.pon-cat.com,peppwepamt01.pon-cat.com,,peppwepamt01.pon-cat.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3fe61a637eff6ca169b6e1877bddc56f,9f5cfd28948eb73599a102cd9742dc8003bbf8a5507f7db52416179fe1f65bec,,ctls,peppwepamt01.pon-cat.com,,443,https://peppwepamt01.pon-cat.com:443,https,Microsoft-IIS/10.0,text/html,GET,20.101.211.178,/,1631801191,20.101.211.178,Windows Server,30,False,,,,
prodproxynaxt.pon-cat.com,403 Forbidden,403,179,prodproxynaxt.pon-cat.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-12-08T00:00:00Z,2024-01-08T23:59:59Z,CN=prodproxynaxt.pon-cat.com,prodproxynaxt.pon-cat.com,,www.prodproxynaxt.pon-cat.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,5323b61467237c0a24b52125a85b23a1,4b9665aca6e0d198833050614fe8f915968bc8762468f27c238864d55459bb80,,ctls,prodproxynaxt.pon-cat.com,,443,https://prodproxynaxt.pon-cat.com:443,https,Microsoft-Azure-Application-Gateway/v2,text/html,GET,20.93.254.120,/,1525958878,20.93.254.120,,8,False,,,,
reseller.pon-cat.com,Geen webhosting actief,200,1467,reseller.pon-cat.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2024-02-22T23:59:59Z,"CN=pon-cat.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",pon-cat.com,"Cloudflare, Inc.",pon-cat.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",8e73f6557bc4d1f5b57f9391e7b8930a,a0cab8a654e1559c8e3f18ab03695e30d002ce6d40d12a47b1d0c7e7c48ffb8c,True,ctls,reseller.pon-cat.com,cloudflare,443,https://reseller.pon-cat.com:443,https,cloudflare,text/html,GET,104.18.25.15,/,-780928015,2606:4700::6812:180f,HTTP/3,51,False,True,,,
scim.pon-cat.com,1Password SCIM bridge,200,559,scim.pon-cat.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-02T05:49:57Z,2023-08-31T05:49:56Z,CN=scim.pon-cat.com,scim.pon-cat.com,,scim.pon-cat.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,45991cbf347d2ab478619a014bf4821b,65ee524e75331facfef05609f634994441f779151b784b88e99fffcc648d1453,,ctls,scim.pon-cat.com,,443,https://scim.pon-cat.com:443,https,,text/html,GET,20.93.226.234,/,104012657,20.93.226.234,,1,False,,,https://w3.org,https://scim.pon-cat.com/app/
sip.pon-cat.com,,404,75,sip.pon-cat.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-03-28T19:00:19Z,2024-03-22T19:00:19Z,"CN=sipfed.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",sipfed.online.lync.com,Microsoft Corporation,*.lync.com,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,6e32f8be92e2cf4aff781cff883f13f7,c7f7a0fb5d80892059f25bab5abeb7ffbef9ec512abd9475cf96c0bacc21d3c7,True,ctls,sip.pon-cat.com,,443,https://sip.pon-cat.com:443,https,RTC/7.0,text/plain,GET,52.112.193.13,/,41038992,2603:1027:0:48::20,HSTS,4,False,,True,,
splash.pon-cat.com,Geen webhosting actief,200,1467,splash.pon-cat.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2024-02-22T23:59:59Z,"CN=pon-cat.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",pon-cat.com,"Cloudflare, Inc.",pon-cat.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",8e73f6557bc4d1f5b57f9391e7b8930a,a0cab8a654e1559c8e3f18ab03695e30d002ce6d40d12a47b1d0c7e7c48ffb8c,True,ctls,splash.pon-cat.com,cloudflare,443,https://splash.pon-cat.com:443,https,cloudflare,text/html,GET,104.18.25.15,/,-780928015,2606:4700::6812:180f,HTTP/3,51,False,True,,,
staging.pon-cat.com,Pon Cat | Cat dealer for Norway and The Netherlands,200,38729,staging.pon-cat.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2024-02-22T23:59:59Z,"CN=pon-cat.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",pon-cat.com,"Cloudflare, Inc.",pon-cat.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",8e73f6557bc4d1f5b57f9391e7b8930a,a0cab8a654e1559c8e3f18ab03695e30d002ce6d40d12a47b1d0c7e7c48ffb8c,True,ctls,staging.pon-cat.com,cloudflare,443,https://staging.pon-cat.com:443,https,cloudflare,text/html,GET,104.18.25.15,/,1484203577,2606:4700::6812:190f,HTTP/3,162,False,True,,,https://staging.pon-cat.com/select-dealer
test.pon-cat.com,Geen webhosting actief,200,1467,test.pon-cat.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2024-02-22T23:59:59Z,"CN=pon-cat.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",pon-cat.com,"Cloudflare, Inc.",pon-cat.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",8e73f6557bc4d1f5b57f9391e7b8930a,a0cab8a654e1559c8e3f18ab03695e30d002ce6d40d12a47b1d0c7e7c48ffb8c,True,ctls,test.pon-cat.com,cloudflare,443,https://test.pon-cat.com:443,https,cloudflare,text/html,GET,104.18.25.15,/,-780928015,2606:4700::6812:190f,HTTP/3,51,False,True,,,
wfm.pon-cat.com,Microsoft Internet Information Services 8,200,265,wfm.pon-cat.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2024-02-22T23:59:59Z,"CN=pon-cat.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",pon-cat.com,"Cloudflare, Inc.",pon-cat.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",8e73f6557bc4d1f5b57f9391e7b8930a,a0cab8a654e1559c8e3f18ab03695e30d002ce6d40d12a47b1d0c7e7c48ffb8c,True,ctls,wfm.pon-cat.com,cloudflare,443,https://wfm.pon-cat.com:443,https,cloudflare,text/html,GET,104.18.24.15,/,-1171069591,2606:4700::6812:180f,HTTP/3,13,False,True,,,
