input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,cdn,tls_expired,tls_wildcard_certificate,csp_domains_,tls_subject_org_
api.gate.io,"Buy/Sell Bitcoin, Ethereum | Cryptocurrency Exchange | Gate.io",200,518862,api.gate.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-25T00:00:00Z,2024-05-24T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",7d8f8b05b7d758b3f26b6e9bb4efe69e,ab68937bf71ad1500014fa87bcf789caf12bd06304ca9bad1a864ebc5233280a,ctls,api.gate.io,cloudflare,443,https://api.gate.io:443,https,cloudflare,text/html,GET,104.18.19.156,/,-11012347,,104.18.18.156,HTTP/3,8852,False,True,,,https:,"Cloudflare, Inc."
apim.gate.io,Origin DNS error | apim.gate.io | Cloudflare,530,6960,,,,,,,,,,,,,,,,,,cloudflare,80,http://apim.gate.io:80,http,cloudflare,text/html,GET,104.18.19.156,/,113572414,,104.18.18.156,HTTP/3,94,False,True,,,,
autodiscover.gate.io,Sign in to Outlook,200,38623,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,ctls,login.microsoftonline.com,,80,http://autodiscover.gate.io:80,http,,text/html,GET,40.99.222.184,/,-1249852061,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=e3a85f8d-e744-c658-8db3-03a02e4d0b76&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=gate.io&nonce=638253426623247801.26092a97-7a72-4804-a07e-bd0110083e2e&state=DctBDoQgDEBRGI9i4g4thaG4MJ6lSmNMZkKiqNeXxfu7r5VSTfWpNNQoCi7i13kMAR16imB7DDAij2SICY2P4A0DiVkSWAsQnaDo-rZDfniYD-Hff9q4SL_n7k4TXyWn_VzzLccL,2603:1026:c0d:c1f::8,HSTS,95,False,,,,,Microsoft Corporation
autodiscover.mail.gate.io,Sign in to Outlook,200,38594,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,ctls,login.microsoftonline.com,,80,http://autodiscover.mail.gate.io:80,http,,text/html,GET,40.99.150.72,/,-1249852061,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=ee5b54f0-0a4e-a2ea-8410-c3a61ab6b29a&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=mail.gate.io&nonce=638253426627373366.3f50e408-91de-4df1-b5ce-903c5b96565e&state=DctBDoMgEEBRaO_SdAMiwwyyMD3LCGNDoiGx1l6_LN7ffa2Uune3TrseFQkmjxA8kY8QAYgsrOgkuMmksYgJZR3NgllMcpBxSYSEovv7HNqPh9chvO3zznWzbz7F1va4yszfs5X6ye2S4w8,2603:1026:c0d:82e::8,HSTS,95,False,,,,,Microsoft Corporation
data.gate.io,404 Not Found,404,166,data.gate.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-05T00:00:00Z,2024-08-02T23:59:59Z,CN=*.gate.io,*.gate.io,gate.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,7b54c1f248f572dc8d8aaafc4cce8afd,5aa007389f766a2912e3c06ad01dd83ecd3b85291df26e1fac4b0d653c5e0f97,ctls,data.gate.io,,443,https://data.gate.io:443,https,openresty,text/html,GET,13.112.252.66,/,-1694607085,,18.177.160.9,OpenResty,8,False,,,True,,
gate.io,,500,,www.gate.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T00:00:00Z,2024-04-30T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,www.gate.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",b5eac072b889bf7983a66b59667d0796,22687ed9c39523bb65fd10311aa28ab1e888a6cd92f069dd720f4b7f50f7844b,ctls,www.gate.io,,443,https://gate.io:443,https,cloudflare,text/html,GET,52.192.13.76,/,-11012347,https://www.gate.io/,18.178.82.192,HTTP/3,1,False,,,,https:,"Cloudflare, Inc."
go.gate.io,,404,21,go.gate.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-05T00:00:00Z,2024-08-02T23:59:59Z,CN=*.gate.io,*.gate.io,gate.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,7b54c1f248f572dc8d8aaafc4cce8afd,5aa007389f766a2912e3c06ad01dd83ecd3b85291df26e1fac4b0d653c5e0f97,ctls,go.gate.io,,443,https://go.gate.io:443,https,,text/plain,GET,54.95.171.228,/,-1669793162,,54.250.110.230,,1,False,,,True,,
static.gate.io,,200,15,static.gate.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2017-09-22T00:00:00Z,2018-09-22T23:59:59Z,CN=*.gate.io,*.gate.io,gate.io,"CN=RapidSSL SHA256 CA, O=GeoTrust Inc., C=US",RapidSSL SHA256 CA,GeoTrust Inc.,d917dc44480b22496bdbd6c5484f09bb,08943aae51977732f52c11ad338aa572ee57e7dd32f8b410f2497dd3e4cc11ab,ctls,static.gate.io,,443,https://static.gate.io:443,https,nginx/1.10.0 (Ubuntu),text/html,GET,139.162.94.23,/,136783210,,139.162.94.23,Ubuntu,3,False,,True,True,,
support.gate.io,Security check,403,7338,support.gate.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-28T23:39:40Z,2023-08-26T23:39:39Z,CN=support.gate.io,support.gate.io,support.gate.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6a1281230b7ef45741f194c354b8af18,6581b78321481010a7081d1615d03b4412df49816193824850af7b9cfb5f5965,ctls,support.gate.io,cloudflare,443,https://support.gate.io:443,https,cloudflare,text/html,GET,104.16.51.111,/,-1279294674,https://support.gate.io/hc/zh-cn,104.16.53.111,Cloudflare,98,False,True,,,,
testnet.gate.io,"Buy/Sell Bitcoin, Ethereum | Cryptocurrency Exchange | Gate.io",200,238073,testnet.gate.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-05T00:00:00Z,2024-08-02T23:59:59Z,CN=*.gate.io,*.gate.io,gate.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,7b54c1f248f572dc8d8aaafc4cce8afd,5aa007389f766a2912e3c06ad01dd83ecd3b85291df26e1fac4b0d653c5e0f97,ctls,testnet.gate.io,,443,https://testnet.gate.io:443,https,nginx/1.18.0 (Ubuntu),text/html,GET,52.69.28.5,/,-11012347,,35.77.160.154,Ubuntu,3616,False,,,True,,
