input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,webserver,tls_subject_org_,tls_wildcard_certificate,final_url,csp_domains_,tls_mismatched,tls_expired
3p.api.optimizely.com,Optimizely Agent,200,1459,3p.api.optimizely.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-12-26T23:59:59Z,CN=3p.api.optimizely.com,3p.api.optimizely.com,3p.api.optimizely.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,9e6cab09627ae26cbf4543f2d34202b8,af23050bc2d65f7e736f8dbffefdf6610d2694943b97ace56780ad4c0df1ca32,ctls,3p.api.optimizely.com,,443,https://3p.api.optimizely.com:443,https,text/html,GET,52.3.120.106,/,-138391155,3.209.50.222,,41,False,,,,,,,,
69-171-232-65.cdn.optimizely.com,,403,243,69-171-232-65.cdn.optimizely.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-26T00:00:00Z,2024-02-28T23:59:59Z,"CN=*.cdn.optimizely.com, O=Optimizely\, Inc., L=San Francisco, ST=California, C=US",*.cdn.optimizely.com,cdn.optimizely.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,d90fe3d2c252eebac7badc70b0a48a49,bda46307665df93e3cfb8d1e31b2c4e03b50fd2ebdd1ccfc76ad298c8e491382,ctls,69-171-232-65.cdn.optimizely.com,,443,https://69-171-232-65.cdn.optimizely.com:443,https,application/xml,GET,184.30.214.197,/,-961957421,184.30.214.197,HSTS,2,False,,AmazonS3,"Optimizely, Inc.",True,,,,
a10732733166.cdn.optimizely.com,,403,243,a10732733166.cdn.optimizely.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-26T00:00:00Z,2024-02-28T23:59:59Z,"CN=*.cdn.optimizely.com, O=Optimizely\, Inc., L=San Francisco, ST=California, C=US",*.cdn.optimizely.com,cdn.optimizely.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,d90fe3d2c252eebac7badc70b0a48a49,bda46307665df93e3cfb8d1e31b2c4e03b50fd2ebdd1ccfc76ad298c8e491382,ctls,a10732733166.cdn.optimizely.com,,443,https://a10732733166.cdn.optimizely.com:443,https,application/xml,GET,184.30.214.197,/,739090453,184.30.214.197,HSTS,2,False,,AmazonS3,"Optimizely, Inc.",True,,,,
a10812121663.cdn.optimizely.com,,403,243,a10812121663.cdn.optimizely.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-26T00:00:00Z,2024-02-28T23:59:59Z,"CN=*.cdn.optimizely.com, O=Optimizely\, Inc., L=San Francisco, ST=California, C=US",*.cdn.optimizely.com,cdn.optimizely.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,d90fe3d2c252eebac7badc70b0a48a49,bda46307665df93e3cfb8d1e31b2c4e03b50fd2ebdd1ccfc76ad298c8e491382,ctls,a10812121663.cdn.optimizely.com,,443,https://a10812121663.cdn.optimizely.com:443,https,application/xml,GET,23.215.21.78,/,200114826,23.215.21.78,HSTS,2,False,,AmazonS3,"Optimizely, Inc.",True,,,,
a10855211225.cdn.optimizely.com,,403,243,a10855211225.cdn.optimizely.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-26T00:00:00Z,2024-02-28T23:59:59Z,"CN=*.cdn.optimizely.com, O=Optimizely\, Inc., L=San Francisco, ST=California, C=US",*.cdn.optimizely.com,cdn.optimizely.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,d90fe3d2c252eebac7badc70b0a48a49,bda46307665df93e3cfb8d1e31b2c4e03b50fd2ebdd1ccfc76ad298c8e491382,ctls,a10855211225.cdn.optimizely.com,,443,https://a10855211225.cdn.optimizely.com:443,https,application/xml,GET,23.215.21.78,/,304519853,23.215.21.78,HSTS,2,False,,AmazonS3,"Optimizely, Inc.",True,,,,
a1096093.cdn.optimizely.com,,403,243,a1096093.cdn.optimizely.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-26T00:00:00Z,2024-02-28T23:59:59Z,"CN=*.cdn.optimizely.com, O=Optimizely\, Inc., L=San Francisco, ST=California, C=US",*.cdn.optimizely.com,cdn.optimizely.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,d90fe3d2c252eebac7badc70b0a48a49,bda46307665df93e3cfb8d1e31b2c4e03b50fd2ebdd1ccfc76ad298c8e491382,ctls,a1096093.cdn.optimizely.com,,443,https://a1096093.cdn.optimizely.com:443,https,application/xml,GET,184.30.214.197,/,-464418650,184.30.214.197,HSTS,2,False,,AmazonS3,"Optimizely, Inc.",True,,,,
a11000223989.cdn.optimizely.com,,403,243,a11000223989.cdn.optimizely.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-26T00:00:00Z,2024-02-28T23:59:59Z,"CN=*.cdn.optimizely.com, O=Optimizely\, Inc., L=San Francisco, ST=California, C=US",*.cdn.optimizely.com,cdn.optimizely.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,d90fe3d2c252eebac7badc70b0a48a49,bda46307665df93e3cfb8d1e31b2c4e03b50fd2ebdd1ccfc76ad298c8e491382,ctls,a11000223989.cdn.optimizely.com,,443,https://a11000223989.cdn.optimizely.com:443,https,application/xml,GET,184.30.214.197,/,-1884443478,184.30.214.197,HSTS,2,False,,AmazonS3,"Optimizely, Inc.",True,,,,
a11083715786.cdn-pci.optimizely.com,,403,243,a11083715786.cdn-pci.optimizely.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-30T00:00:00Z,2024-01-31T23:59:59Z,"CN=*.cdn-pci.optimizely.com, O=Optimizely\, Inc., L=San Francisco, ST=California, C=US",*.cdn-pci.optimizely.com,cdn-pci.optimizely.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cf66661606bfd52efe3b034685db9d7d,01cfe64bfbca3efa719e86dccee609697118b462b0deb7839fffb032e1139a29,ctls,a11083715786.cdn-pci.optimizely.com,,443,https://a11083715786.cdn-pci.optimizely.com:443,https,application/xml,GET,23.210.117.107,/,-1062968740,23.210.117.107,HSTS,2,False,,AmazonS3,"Optimizely, Inc.",True,,,,
a11085769837.cdn.optimizely.com,,403,243,a11085769837.cdn.optimizely.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-26T00:00:00Z,2024-02-28T23:59:59Z,"CN=*.cdn.optimizely.com, O=Optimizely\, Inc., L=San Francisco, ST=California, C=US",*.cdn.optimizely.com,cdn.optimizely.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,d90fe3d2c252eebac7badc70b0a48a49,bda46307665df93e3cfb8d1e31b2c4e03b50fd2ebdd1ccfc76ad298c8e491382,ctls,a11085769837.cdn.optimizely.com,,443,https://a11085769837.cdn.optimizely.com:443,https,application/xml,GET,2.17.191.240,/,-1403988781,2.17.191.240,HSTS,2,False,,AmazonS3,"Optimizely, Inc.",True,,,,
a11107397707.cdn.optimizely.com,,403,243,a11107397707.cdn.optimizely.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-26T00:00:00Z,2024-02-28T23:59:59Z,"CN=*.cdn.optimizely.com, O=Optimizely\, Inc., L=San Francisco, ST=California, C=US",*.cdn.optimizely.com,cdn.optimizely.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,d90fe3d2c252eebac7badc70b0a48a49,bda46307665df93e3cfb8d1e31b2c4e03b50fd2ebdd1ccfc76ad298c8e491382,ctls,a11107397707.cdn.optimizely.com,,443,https://a11107397707.cdn.optimizely.com:443,https,application/xml,GET,23.215.21.78,/,-360101219,23.215.21.78,HSTS,2,False,,AmazonS3,"Optimizely, Inc.",True,,,,
