input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,csp_domains_,final_url,tls_subject_org_,tls_wildcard_certificate,tls_expired,cdn_name,cdn
*.kerio.com,Home :: GFI,200,95861,www.gfi.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-01T07:48:08Z,2024-06-01T07:48:08Z,CN=*.gfi.com,*.gfi.com,gfi.com,"CN=Starfield Secure Certificate Authority - G2, OU=http://certs.starfieldtech.com/repository/, O=Starfield Technologies\, Inc., L=Scottsdale, ST=Arizona, C=US",Starfield Secure Certificate Authority - G2,"Starfield Technologies, Inc.",15a6a9e8c3f01523fd6ab16387d937e8,64a7883a91df5a1a2915870db8a18b29ac40649ba031d64dc6b9b3e1e77a6f3e,ctls,www.gfi.com,443,https://kerio.com:443,https,Apache,text/html,GET,23.185.0.2,/,-710197262,2620:12a:8000::2,Google Tag Manager,1367,False,,https://www.gfi.com/,,True,,,
admin.webmail.maximum.nl,Kerio Connect Administration,200,3964,admin.webmail.maximum.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-07-21T08:52:28Z,2023-10-19T08:52:27Z,CN=admin.webmail.maximum.nl,admin.webmail.maximum.nl,admin.webmail.maximum.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d38d8b7d25d3ba049180ffb34d679e88,107179d3f7c702f3d69e16aa459217bf643e22e668ca988cdc919e14466eed2f,ctls,admin.webmail.maximum.nl,443,https://admin.webmail.maximum.nl:443,https,Ponos Maximum,text/html,GET,217.119.4.156,/,-677167908,2a02:29b0:1013:1::4:156,,95,False,*.kerio.com,https://admin.webmail.maximum.nl/admin/,,,,,
ahoygui.maximum.nl,418 I'm a teapot,200,1420,ahoygui.maximum.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-07-03T03:45:36Z,2023-10-01T03:45:35Z,CN=nossl.nl,nossl.nl,nossl.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,71f5d1ac7d9bfcbc8bab2ab4ebd9d70e,095ceae2163409a5f0fa53100b96d86b6ea155ebfd072c4386276421e1944f46,ctls,ahoygui.maximum.nl,443,https://ahoygui.maximum.nl:443,https,Ponos Maximum,text/html,GET,217.119.4.156,/,1350920036,2a02:29b0:1013:1::4:156,HSTS,56,False,,,,,,,
assets.maximum.nl,403 Forbidden,403,150,assets.maximum.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-06-20T19:38:17Z,2023-09-18T19:38:16Z,CN=assets.maximum.nl,assets.maximum.nl,assets.maximum.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,559ea099e62030174d35f17d508fc0e0,dc0bde6491a904635297e9a3d524cdd993932e557660c817041e2c5b769d54ad,ctls,assets.maximum.nl,443,https://assets.maximum.nl:443,https,Ponos Maximum,text/html,GET,217.119.4.152,/,29599957,217.119.4.152,,8,False,,,,,,,
autodiscover.maximum.nl,Sign in to Outlook,200,39649,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,ctls,login.microsoftonline.com,80,http://autodiscover.maximum.nl:80,http,,text/html,GET,52.97.189.104,/,-1249852061,2603:1026:c0d:81a::8,HSTS,95,False,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=3183e174-fa7c-e129-4ef3-72a5a92fc6e9&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=maximum.nl&nonce=638257620556280981.b14eeda6-6f07-49b3-96fb-dd78319e6f3a&state=DctNDoMgEEBhqHdxh_IjAyxMzzJ0hsRESmKr7fFl8b3dk0KIoXt0UveIAC5aH8Bq78FGnaKZslmYCUFB0UEtKTuVoGRFFKIziaE4lP0d5_bD-Xkw7nWt-N_qWaf3Pl604vlttH1e7eLjBg,Microsoft Corporation,,,,
cdnlibs.maximum.nl,,200,15,,,,,,,,,,,,,,,,,,,80,http://cdnlibs.maximum.nl:80,http,nginx,text/html,GET,217.119.4.110,/,1398248688,217.119.4.110,Nginx,3,False,,,,,,,
defensie.maximum.nl,418 I'm a teapot,200,1420,defensie.maximum.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-07-03T03:45:36Z,2023-10-01T03:45:35Z,CN=nossl.nl,nossl.nl,nossl.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,71f5d1ac7d9bfcbc8bab2ab4ebd9d70e,095ceae2163409a5f0fa53100b96d86b6ea155ebfd072c4386276421e1944f46,ctls,defensie.maximum.nl,443,https://defensie.maximum.nl:443,https,Ponos Maximum,text/html,GET,217.119.4.78,/,1350920036,217.119.4.78,HSTS,56,False,,,,,,,
deloitte.maximum.nl,418 I'm a teapot,200,1420,deloitte.maximum.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-07-03T03:45:36Z,2023-10-01T03:45:35Z,CN=nossl.nl,nossl.nl,nossl.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,71f5d1ac7d9bfcbc8bab2ab4ebd9d70e,095ceae2163409a5f0fa53100b96d86b6ea155ebfd072c4386276421e1944f46,ctls,deloitte.maximum.nl,443,https://deloitte.maximum.nl:443,https,Ponos Maximum,text/html,GET,217.119.4.72,/,1350920036,217.119.4.72,HSTS,56,False,,,,,,,
deurbel.maximum.nl,,200,,deurbel.maximum.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-06-27T06:29:45Z,2023-09-25T06:29:44Z,CN=deurbel.maximum.nl,deurbel.maximum.nl,deurbel.maximum.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6eceded83e963e9fc371937fabc5d324,1d737ddda90911623b01b65cd88a9feb449f681c257f6c362c0a58c28e53c27b,ctls,deurbel.maximum.nl,443,https://deurbel.maximum.nl:443,https,nginx,text/html,GET,217.119.4.187,/,-780928015,217.119.4.187,Nginx,1,False,,,,,,,
dev.maximum.nl,403 Forbidden,403,1429,dev.maximum.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2019-07-18T14:39:41Z,2019-10-16T14:39:41Z,CN=nossl.nl,nossl.nl,nossl.nl,"CN=Let's Encrypt Authority X3, O=Let's Encrypt, C=US",Let's Encrypt Authority X3,Let's Encrypt,e1caa652dea5e0c297cd2b4b3a538970,bc022a62144bde1b449edf010b42780f5f14e711ec0cdd7b4972df484e57dad4,ctls,dev.maximum.nl,443,https://dev.maximum.nl:443,https,nginx,text/html,GET,217.119.4.187,/,-338790957,217.119.4.187,Nginx,56,False,,,,,True,,
