new,host,a,aaaa,soa,status_code,cdn,cdn-name,txt,ns,cname,has_internal_ips,internal_ips,mx,caa,ptr
[x],0.0l3.5-playbooktachikawa.email.account-uskey.sites-staging.federalist.18f.gov,"108.157.4.18, 108.157.4.37, 108.157.4.45, 108.157.4.111","2600:9000:2315:4000:1d:f7d5:1040:93a1, 2600:9000:2315:8600:1d:f7d5:1040:93a1, 2600:9000:2315:a600:1d:f7d5:1040:93a1, 2600:9000:2315:d800:1d:f7d5:1040:93a1, 2600:9000:2315:7000:1d:f7d5:1040:93a1, 2600:9000:2315:9c00:1d:f7d5:1040:93a1, 2600:9000:2315:600:1d:f7d5:1040:93a1, 2600:9000:2315:e600:1d:f7d5:1040:93a1","ns-1069.awsdns-05.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],00wins1.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:2329:5200:62d9:20bb","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],01.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],02b20b07-2294-424a-baf3-16a548270a23.ssb-dev.data.gov,,,"ns-1839.awsdns-37.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],08815952-d026-4bb9-b998-3284ce95393b.ssb-dev.data.gov,,,"ns-1839.awsdns-37.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],0de2abbf-26e6-452b-8a3b-923c4b884df2.ssb-staging.data.gov,,,"ns-1056.awsdns-04.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],0fwww.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,NOERROR,,,,,,,,,,
[x],1-9-9-7.fr.cloud.gov,"160.1.93.218, 15.205.11.215","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],1.usa.gov,"13.32.145.129, 13.32.145.53, 13.32.145.8, 13.32.145.44","2600:9000:20e1:ae00:13:29e9:9800:93a1, 2600:9000:20e1:c200:13:29e9:9800:93a1, 2600:9000:20e1:c400:13:29e9:9800:93a1, 2600:9000:20e1:9a00:13:29e9:9800:93a1, 2600:9000:20e1:2400:13:29e9:9800:93a1, 2600:9000:20e1:1e00:13:29e9:9800:93a1, 2600:9000:20e1:4c00:13:29e9:9800:93a1, 2600:9000:20e1:2a00:13:29e9:9800:93a1",,NOERROR,True,cloudfront,,,1.usa.gov.external-domains-production.cloud.gov,,,,,
[x],10-courier.fr.cloud.gov,"15.205.11.215, 160.1.93.218","2600:1f12:18a:7d00:2329:5200:62d9:20bb, 2600:1f12:18a:7d01:f27c:9787:253b:82ac","ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
