input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,webserver,csp_domains_,cdn_name,cdn,final_url
admin.droneportal-test.portofantwerp.com,Unifly,200,11963,admin.droneportal-test.portofantwerpbruges.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-13T11:35:54Z,2023-08-11T11:35:53Z,CN=admin.droneportal-test.portofantwerpbruges.com,admin.droneportal-test.portofantwerpbruges.com,,admin.droneportal-test.portofantwerpbruges.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,17573d62c8e193697b8df18cf92dd6de,2b1fc0b30ca83bd35eab9cac77f0e6cd03614d0a5840e8f0e6296093c5d0de2e,,ctls,admin.droneportal-test.portofantwerpbruges.com,443,https://admin.droneportal-test.portofantwerp.com:443,https,text/html,GET,20.71.75.76,/,190856733,20.71.75.76,HSTS,49,False,,https://2.aerial.maps.api.here.com/,,,https://admin.droneportal-test.portofantwerpbruges.com/
admin.droneportal.portofantwerp.com,Unifly,200,11963,admin.droneportal.portofantwerpbruges.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-06-13T11:07:54Z,2023-09-11T11:07:53Z,CN=admin.droneportal.portofantwerpbruges.com,admin.droneportal.portofantwerpbruges.com,,admin.droneportal.portofantwerpbruges.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7673df4946a29aed24349d26a08c9a3b,8b85dac9c4f238dbab0bbe0b0b01e91580a44d9ab1951b94873b6f5a5e67d7da,,ctls,admin.droneportal.portofantwerpbruges.com,443,https://admin.droneportal.portofantwerp.com:443,https,text/html,GET,20.76.27.235,/,190856733,20.76.27.235,HSTS,49,False,,https://maps.googleapis.com/,,,https://admin.droneportal.portofantwerpbruges.com/
autodiscover.portofantwerp.com,Sign in to Outlook,200,39472,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,,ctls,login.microsoftonline.com,80,http://autodiscover.portofantwerp.com:80,http,text/html,GET,40.99.149.168,/,-1249852061,2603:1026:c0d:c31::8,HSTS,95,False,,,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=965594f7-7c88-bfbe-4786-9f64a1117350&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=portofantwerp.com&nonce=638240343139769750.b058d553-99ac-40aa-bb7c-aae4e76e754b&state=DctBDoMgEEBRaO_SHYrCMLIwPcsA06RJ7Rikev2yeH_3tVLq3t06bXsUBrfM3jrvJhcxRAQ7JAtLAXAmRsrGWyKTEmZDxJ4xMIJPur9mlIvGZ2X6bOsutcmLvu3iug9ZtsdZVvo1Ke8jy8n1Dw
bedrijvengids.portofantwerp.com,Port of Antwerp,200,44485,bedrijvengids.portofantwerpbruges.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-04-17T07:30:08Z,2024-05-18T07:30:07Z,CN=bedrijvengids.portofantwerpbruges.com,bedrijvengids.portofantwerpbruges.com,,companyguide.portofantwerpbruges.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,827a400ac31c46a311b0af0cde0abbd0,d9dd43e9deae0be96b371b6b9020d9b62bb142306756ba23dda563c4f153bde7,,ctls,bedrijvengids.portofantwerpbruges.com,443,https://bedrijvengids.portofantwerp.com:443,https,text/html,GET,188.118.8.16,/,-2081826305,188.118.8.16,Google Tag Manager,619,False,,,,,https://bedrijvengids.portofantwerpbruges.com
c-point.be,Port of Antwerp,200,25062,www.c-point.be,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-11T06:07:36Z,2024-06-11T06:07:35Z,CN=c-point.be,c-point.be,,www.c-point.be,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,b25503a420ae48a5b8354fff88570d79,a0c4dd9c29b5047462e53caf7b4a3051bfca2f5a126a3e90cf424f6f1b1e71dc,,ctls,www.c-point.be,443,https://c-point.be:443,https,text/html,GET,188.118.8.17,/,-26357715,188.118.8.17,PHP,569,False,,,,,https://www.c-point.be/en/
companyguide.portofantwerp.com,Port of Antwerp,200,44485,companyguide.portofantwerpbruges.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-04-17T07:30:08Z,2024-05-18T07:30:07Z,CN=bedrijvengids.portofantwerpbruges.com,bedrijvengids.portofantwerpbruges.com,,companyguide.portofantwerpbruges.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,827a400ac31c46a311b0af0cde0abbd0,d9dd43e9deae0be96b371b6b9020d9b62bb142306756ba23dda563c4f153bde7,,ctls,companyguide.portofantwerpbruges.com,443,https://companyguide.portofantwerp.com:443,https,text/html,GET,188.118.8.16,/,-2081826305,188.118.8.16,Google Tag Manager,619,False,,,,,https://companyguide.portofantwerpbruges.com
dasp-d1.portofantwerp.com,Not Found,404,315,dasp-d1.portofantwerp.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,,2022-08-01T11:58:07Z,2023-09-02T11:58:06Z,"CN=*.portofantwerp.com, O=Haven van Antwerpen - Brugge (Port of Antwerp - Bruges), L=Antwerpen, ST=Antwerpen, C=BE",*.portofantwerp.com,Haven van Antwerpen - Brugge (Port of Antwerp - Bruges),portofantwerp.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,d1f1ba665f5e87d81e0380e107f52490,eeb1cdc7a57a6911df06ff82db28620914322b0a0472a8b3e21b5490868a91a3,True,ctls,dasp-d1.portofantwerp.com,443,https://dasp-d1.portofantwerp.com:443,https,text/html,GET,188.118.8.22,/,225052475,188.118.8.22,Microsoft HTTPAPI:2.0,7,False,Microsoft-HTTPAPI/2.0,,,,
dasp-m1.portofantwerp.com,Not Found,404,315,dasp-m1.portofantwerp.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,,2022-08-01T11:58:07Z,2023-09-02T11:58:06Z,"CN=*.portofantwerp.com, O=Haven van Antwerpen - Brugge (Port of Antwerp - Bruges), L=Antwerpen, ST=Antwerpen, C=BE",*.portofantwerp.com,Haven van Antwerpen - Brugge (Port of Antwerp - Bruges),portofantwerp.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,d1f1ba665f5e87d81e0380e107f52490,eeb1cdc7a57a6911df06ff82db28620914322b0a0472a8b3e21b5490868a91a3,True,ctls,dasp-m1.portofantwerp.com,443,https://dasp-m1.portofantwerp.com:443,https,text/html,GET,94.107.237.224,/,225052475,94.107.237.224,Microsoft HTTPAPI:2.0,7,False,Microsoft-HTTPAPI/2.0,,,,
datasharing.portofantwerp.com,Port of Antwerp Open Data | Port of Antwerp-Bruges Open Data Platform,200,28138,datasharing.portofantwerp.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-06-27T23:39:23Z,2023-09-25T23:39:22Z,CN=datasharing.portofantwerp.com,datasharing.portofantwerp.com,,datasharing.portofantwerp.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,29ae1616cd185411a2d7616b641cd040,d9376c54e3858ed34ff32a65908db9ab5afe49653006b55b93dd22c29f100f43,,ctls,datasharing.portofantwerp.com,443,https://datasharing.portofantwerp.com:443,https,text/html,GET,65.52.153.67,/,1026057194,65.52.153.67,Sitecore,582,False,,,azure,True,
digital.portofantwerp.com,,200,34433,digital.portofantwerp.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-10-10T08:03:37Z,2023-11-11T08:03:36Z,CN=digital.portofantwerp.com,digital.portofantwerp.com,,digital.portofantwerp.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,9688b627064dffd23bb23cd4242142c7,1060d81fd6a17b0bbfd125bf189d9fbaa432356bec6c3cccc6009ea9296b2b6d,,ctls,digital.portofantwerp.com,443,https://digital.portofantwerp.com:443,https,text/html,GET,63.34.38.110,/,-964123282,63.34.149.96,HSTS,17,False,,,,,
