new,host,a,cname,soa,has_internal_ips,internal_ips,status_code,cdn,cdn-name,mx,aaaa,ns,txt,caa,ptr
[x],aais-static-proxy-pvt.ats.cloud.huit.harvard.edu,"10.137.148.250, 10.137.148.82, 10.137.147.183",,"ns-1341.awsdns-39.org, awsdns-hostmaster.amazon.com",True,"10.137.148.250, 10.137.148.82, 10.137.147.183",NOERROR,,,,,"ns-1341.awsdns-39.org, ns-2007.awsdns-58.co.uk, ns-249.awsdns-31.com, ns-581.awsdns-08.net",,,
[x],backup.math.harvard.edu,140.247.39.109,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],chgis.fairbank.fas.harvard.edu,"13.224.189.41, 13.224.189.25, 13.224.189.60, 13.224.189.24",dev3259.d1wtws4r7ehkwl.amplifyapp.com,"ns-904.awsdns-49.net, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,,,,,,
[x],crico-candello.rmf.harvard.edu,"76.223.112.12, 13.248.245.245","crico.customdomains.okta.com, ok14-custom-crtrs.okta.com, ok14-custom-crtrs.oktaedge.okta.com, aea892e467587cd82.awsglobalaccelerator.com","ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
[x],dev.openscholar.harvard.edu,"18.232.209.104, 18.208.82.203",openscholar.harvard.edu,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,"ext2-10wa.noc.harvard.edu, ext1-60ox.noc.harvard.edu",,,,,
[x],harvard.edu,"151.101.130.133, 151.101.66.133, 151.101.194.133, 151.101.2.133",,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,True,fastly,"mx0a-00171101.pphosted.com, mx0b-00171101.pphosted.com","2a04:4e42::645, 2a04:4e42:200::645, 2a04:4e42:600::645, 2a04:4e42:400::645","a1-171.akam.net, a7-65.akam.net, a16-64.akam.net, a10-66.akam.net, a11-67.akam.net, a6-66.akam.net","pardot378242=7001579db574e062735763ba81b54da111abc31facf16bbfa653ab6b8a770988, status-page-domain-verification=p83gt91wpxms, globalsign-domain-verification=5A1F4E0081852ECB9015E837384121AD, google-site-verification=pWvLuNePLYxAbafZw2a95vnBhvcj12DzM9NulT9ujSY, heroku-domain-verification=1qfmzz9vp3kexf4fr5zuliwvpieih2ffz4gexo7tlh4, pardot679353=f93ea3588d69483bf48dbf587511f51d43ddadaae52b8bac6856c8428559a06d, globalsign-domain-verification=1C94E0FFAAE95796F597427644D90C03, ciscocidomainverification=41ce9827e3fbbca9ce75d5dbb5a6bc7b089dc4e239c1b56ba828216d1214480, smartsheet-site-validation=jfLh_IkQNJXuKKpTn7RydwiiaAOLy4CR, google-site-verification=DzhZyP8pu0M1-RFghfTcSN-9poidboYRNdfn2Rf2hCQ, MS=ms35192554, xIGeuA0e5B1BOjTE4IBO806ziFX9G1m2dVJ8zO7CMkmKwZ6MEkMXC0P7n5SRCGOdS9jbceH/7gKYgD4h9FBGKA==, pardot_378242_*=8b485d5cd9114869cff8f307da5fa9287434ebec11621d88c07ce97a7fee06e0, pardot679353=3cc5e124c5020a1e160f01981f45be33a467a1c802711e0e5654184ef56d18c9, globalsign-domain-verification=9ff12eafbeebb02a0f2b0383aef9d1fa, google-site-verification=xqg8LPF_v_QMEIST789q8xhRDqUEX4_8lQjAvV6YykY, globalsign-domain-verification=dcc2e5d0d67efc32044ae679c7cf19e6, google-site-verification=lY-T8NneGQX1RGXeaoBJjSmT_lx3dLRKDq1xY44ZI5w, atlassian-domain-verification=Z8oUd5brL6/RGUMCkxs4U0P/RyhpiNJEIVx9HXJLr3uqEQ1eDmTnj1eq1ObCgY1i, fastly-domain-delgation-vdnblsdg768nm-21052021, pardot962443=9098884472c5cb29a2e20700b41411cb4aa5ebcf340360e71b2cd8464d8864b6, v=spf1 redirect=_spf.harvard.edu, globalsign-domain-verification=87677a19ae97bfbeec25ff1510a80420, adobe-idp-site-verification=66e813947c764d98330002232f383a68df8ad609065abb9482f3805dd2a1902c, jAykGnWytyLeBseMa8x2/MBve6/yQqana4yrAc1ROoei7uZHUkM2FU0Xx4qI/rm+kOGdImZdoq0fdodgLEw1dg==, status-page-domain-verification=b4j4g69th3vv, Peh2GHoW8uiAzwS9tTZKlGBn9cMq6Y+XUFtrqmLtqFh1WvloPkzGczPsZcSdDfin4hZ7QiL9J7SM8yr7Yyzi8w==",,
[x],hreao.sigs.harvard.edu,207.171.2.237,harvard.omnimagnet.com,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",,,NOERROR,,,,,,,,
[x],huldb.harvard.edu,128.103.151.180,bessie.harvard.edu,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],hulweb.harvard.edu,128.103.147.209,sylvia.harvard.edu,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],nmaltec.share.library.harvard.edu,147.135.81.23,harvard1.reclaimhosting.com,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,NOERROR,,,harvard1.reclaimhosting.com,,,v=spf1 a mx ip4:147.135.81.23 ~all,,
