input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tls_expired,tech_,cdn_name,cdn,final_url,csp_domains_,tls_wildcard_certificate
adsaver.walmart.com,Invalid URL,400,208,adsaver.walmart.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-02-01T20:16:09Z,2024-03-04T20:16:08Z,"CN=ak-prod.walmart.com, O=Walmart Inc., L=Bentonville, ST=Arkansas, C=US",ak-prod.walmart.com,Walmart Inc.,a.polymorph.walmart.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,8239b4d69d71ea6b5146890509b174c3,43dc0b84006a61a93dbda1543ae765ade4230ecbcede24fbdf31f626b52b2dab,ctls,adsaver.walmart.com,443,https://adsaver.walmart.com:443,https,AkamaiGHost,text/html,GET,23.197.134.90,/,861844383,23.197.134.90,8,False,,,,,,,
advertising.walmart.com,Walmart Advertising,200,38448,advertising.walmart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-16T09:11:40Z,2024-07-17T09:11:39Z,"CN=ak-prod3.walmart.com, O=Walmart Inc., L=Bentonville, ST=Arkansas, C=US",ak-prod3.walmart.com,Walmart Inc.,et.prod.walmart.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,26963ac783645ac212751e642756af0e,812b502b0d3bf683f6f45e10b69e251ee6156801c9f5f10bd5375b7dfb376a88,ctls,advertising.walmart.com,443,https://advertising.walmart.com:443,https,,text/html,GET,2.23.209.161,/,1599332460,2.23.209.175,7,False,,HSTS,,,https://advertising.walmart.com/signin,,
advertisinghelp.walmart.com,Advertiser Community,200,153416,advertisinghelp.walmart.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-27T04:49:25Z,2024-04-27T04:49:24Z,"CN=advertisinghelp.walmart.com, O=Walmart Inc., L=Bentonville, ST=Arkansas, C=US",advertisinghelp.walmart.com,Walmart Inc.,advertisinghelp.walmart.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,18b547c149829b62b8f78884f7712a89,b6e38c25bcd6b0c4724d52b6e57bc681798856938c02582a81a72df2f020b013,ctls,advertisinghelp.walmart.com,443,https://advertisinghelp.walmart.com:443,https,sfdcedge,text/html,GET,85.222.140.6,/,1433417005,85.222.140.13,415,False,,HSTS,,,https://advertisinghelp.walmart.com/s/,https://player.vimeo.com,
affil.walmart.com,,200,4,affil.walmart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-12T22:48:55Z,2024-08-12T22:48:54Z,"CN=ak-prod4.walmart.com, O=Walmart Inc., L=Bentonville, ST=Arkansas, C=US",ak-prod4.walmart.com,Walmart Inc.,i5-me.walmartimages.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,f9418d960c203554c26a724a83f6b822,551b904b4a06bd8e7566b65137975afc6b8adf31fe93cdca320fd4c9876920c7,ctls,affil.walmart.com,443,https://affil.walmart.com:443,https,,text/plain,GET,2.23.209.143,/,1129441848,2.23.209.174,1,False,,HSTS,,,,,
affiliate.walmart.com,Invalid URL,400,209,,,,,,,,,,,,,,,,,,,,80,http://affiliate.walmart.com:80,http,AkamaiGHost,text/html,GET,104.122.33.179,/,2119053948,104.122.33.179,8,False,,,,,,,
affw.walmart.com,Invalid URL,400,208,affw.walmart.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-05-17T21:19:23Z,2024-06-17T21:19:22Z,"CN=prod.walmart.com, O=Walmart Inc., L=Bentonville, ST=Arkansas, C=US",prod.walmart.com,Walmart Inc.,img.affil.walmart.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0face3d86f6b0804327dfbb0481404a0,4caa9ba4509fcc7a579a6601bbfcfc2c92728d3ec45a55603b4ec27917ac6a31,ctls,affw.walmart.com,443,https://affw.walmart.com:443,https,AkamaiGHost,text/html,GET,104.122.33.179,/,1064313662,104.122.33.179,8,False,,,,,,,
afw.walmart.com,Invalid URL,400,208,afw.walmart.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-05-17T21:19:23Z,2024-06-17T21:19:22Z,"CN=prod.walmart.com, O=Walmart Inc., L=Bentonville, ST=Arkansas, C=US",prod.walmart.com,Walmart Inc.,img.affil.walmart.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0face3d86f6b0804327dfbb0481404a0,4caa9ba4509fcc7a579a6601bbfcfc2c92728d3ec45a55603b4ec27917ac6a31,ctls,afw.walmart.com,443,https://afw.walmart.com:443,https,AkamaiGHost,text/html,GET,23.197.132.23,/,585722051,23.197.132.23,8,False,,,,,,,
analytics-stg3.mobile.walmart.com,,404,38,analytics-stg3.mobile.walmart.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-15T00:18:46Z,2024-04-15T00:18:45Z,"CN=beacon.qa.walmart.com, O=Walmart Inc., L=Bentonville, ST=Arkansas, C=US",beacon.qa.walmart.com,Walmart Inc.,beacon.www-qa.walmart.com.mx,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,a3475873bd70cdb92c6b5a30aecbf04c,678e686a3a0a3cc12c87113e63ecfe9e15d83cadcd45f9c39c814574f9ea2281,ctls,analytics-stg3.mobile.walmart.com,443,https://analytics-stg3.mobile.walmart.com:443,https,,text/plain,GET,161.165.150.179,/,1660650983,161.165.150.179,1,False,,,,,,,
analytics-stg4.mobile.walmart.com,Error: 521,521,188,analytics-stg4.mobile.walmart.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-15T00:18:46Z,2024-04-15T00:18:45Z,"CN=beacon.qa.walmart.com, O=Walmart Inc., L=Bentonville, ST=Arkansas, C=US",beacon.qa.walmart.com,Walmart Inc.,beacon.www-qa.walmart.com.mx,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,a3475873bd70cdb92c6b5a30aecbf04c,678e686a3a0a3cc12c87113e63ecfe9e15d83cadcd45f9c39c814574f9ea2281,ctls,analytics-stg4.mobile.walmart.com,443,https://analytics-stg4.mobile.walmart.com:443,https,,text/html,GET,161.165.150.179,/,675039601,161.165.150.179,2,False,,,,,,,
analytics.mobile.walmart.com,,404,38,analytics.mobile.walmart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-22T22:03:56Z,2024-04-22T22:03:55Z,"CN=beacon.walmart.com, O=Walmart Inc., L=Bentonville, ST=Arkansas, C=US",beacon.walmart.com,Walmart Inc.,analytics.mobile.bodegaaurrera.com.mx,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,1157ccc608f22e58611bca13be0fa448,c1f2e06fdc6697b472b808e7922bf4914578f6673883cf85448ac29fe86ac6b1,ctls,analytics.mobile.walmart.com,443,https://analytics.mobile.walmart.com:443,https,,text/plain,GET,20.242.10.199,/,1660650983,20.242.10.199,1,False,,,,,,,
api-gateway.walmart.com,,400,,api-gateway.walmart.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-17T21:19:23Z,2024-06-17T21:19:22Z,"CN=prod.walmart.com, O=Walmart Inc., L=Bentonville, ST=Arkansas, C=US",prod.walmart.com,Walmart Inc.,img.affil.walmart.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0face3d86f6b0804327dfbb0481404a0,4caa9ba4509fcc7a579a6601bbfcfc2c92728d3ec45a55603b4ec27917ac6a31,ctls,api-gateway.walmart.com,443,https://api-gateway.walmart.com:443,https,,application/xml,GET,23.197.132.23,/,957680254,23.197.132.23,1,False,,,,,,,
api-stg.waiting-room.walmart.com,,400,44,api-stg.waiting-room.walmart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-12T17:12:29Z,2024-08-12T17:12:28Z,"CN=cf-nonprod2.walmart.com, O=Walmart Inc., L=Bentonville, ST=Arkansas, C=US",cf-nonprod2.walmart.com,Walmart Inc.,consulta.giftcard.qa.centroamerica.walmart.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,c04d221c7b42acc5655c7d4ff6a7af3f,5bda5435e0bc4b9e5c8dccbf83d7c0873b485d10b9aa6c8190d12abda4cd5807,ctls,api-stg.waiting-room.walmart.com,443,https://api-stg.waiting-room.walmart.com:443,https,cloudflare,text/plain,GET,104.18.37.104,/,1440896406,172.64.150.152,1,False,,Cloudflare Bot Management,cloudflare,True,,,
api-stg0.mobile.walmart.com,Error: 521,521,188,api-stg0.mobile.walmart.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-10-03T17:39:14Z,2023-11-04T17:39:13Z,"CN=ak-nonprod2.walmart.com, O=Walmart Inc., L=Bentonville, ST=Arkansas, C=US",ak-nonprod2.walmart.com,Walmart Inc.,stage.walmarthealth.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,3465d0d56c14df6bb948e171830b524a,0d951c09e3e05b57612ce1e4b51c0283defe1fb06a913dfa27a38d3cd6206212,ctls,api-stg0.mobile.walmart.com,443,https://api-stg0.mobile.walmart.com:443,https,,text/html,GET,23.197.137.149,/,675039601,23.197.137.149,2,False,,,,,,,
api-stg1.mobile.walmart.com,Error: 521,521,188,api-stg1.mobile.walmart.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-10-03T17:39:14Z,2023-11-04T17:39:13Z,"CN=ak-nonprod2.walmart.com, O=Walmart Inc., L=Bentonville, ST=Arkansas, C=US",ak-nonprod2.walmart.com,Walmart Inc.,stage.walmarthealth.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,3465d0d56c14df6bb948e171830b524a,0d951c09e3e05b57612ce1e4b51c0283defe1fb06a913dfa27a38d3cd6206212,ctls,api-stg1.mobile.walmart.com,443,https://api-stg1.mobile.walmart.com:443,https,,text/html,GET,23.197.137.149,/,675039601,23.197.137.149,2,False,,,,,,,
api-stg2.mobile.walmart.com,Error: 521,521,188,api-stg2.mobile.walmart.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-10-03T17:39:14Z,2023-11-04T17:39:13Z,"CN=ak-nonprod2.walmart.com, O=Walmart Inc., L=Bentonville, ST=Arkansas, C=US",ak-nonprod2.walmart.com,Walmart Inc.,stage.walmarthealth.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,3465d0d56c14df6bb948e171830b524a,0d951c09e3e05b57612ce1e4b51c0283defe1fb06a913dfa27a38d3cd6206212,ctls,api-stg2.mobile.walmart.com,443,https://api-stg2.mobile.walmart.com:443,https,,text/html,GET,23.197.137.149,/,675039601,23.197.137.149,2,False,,,,,,,
api-stg3.mobile.walmart.com,Error: 521,521,188,api-stg3.mobile.walmart.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-10-03T17:39:14Z,2023-11-04T17:39:13Z,"CN=ak-nonprod2.walmart.com, O=Walmart Inc., L=Bentonville, ST=Arkansas, C=US",ak-nonprod2.walmart.com,Walmart Inc.,stage.walmarthealth.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,3465d0d56c14df6bb948e171830b524a,0d951c09e3e05b57612ce1e4b51c0283defe1fb06a913dfa27a38d3cd6206212,ctls,api-stg3.mobile.walmart.com,80,http://api-stg3.mobile.walmart.com:80,http,,text/html,GET,23.199.213.238,/,675039601,23.199.213.238,2,False,,,,,https://api-stg3.mobile.walmart.com/,,
api-stg5.mobile.walmart.com,,456,55,api-stg5.mobile.walmart.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-10-03T17:39:14Z,2023-11-04T17:39:13Z,"CN=ak-nonprod2.walmart.com, O=Walmart Inc., L=Bentonville, ST=Arkansas, C=US",ak-nonprod2.walmart.com,Walmart Inc.,stage.walmarthealth.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,3465d0d56c14df6bb948e171830b524a,0d951c09e3e05b57612ce1e4b51c0283defe1fb06a913dfa27a38d3cd6206212,ctls,api-stg5.mobile.walmart.com,443,https://api-stg5.mobile.walmart.com:443,https,,text/html,GET,23.199.213.238,/,-1267740395,23.199.213.238,4,False,,,,,,,
api-uat-game.walmart.com,HTTP Status 404 – Not Found,404,400,api-uat-game.walmart.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-03T15:23:08Z,2024-06-03T15:23:07Z,"CN=nonprod.massmart.co.za, O=Walmart Inc., L=Bentonville, ST=Arkansas, C=US",nonprod.massmart.co.za,Walmart Inc.,www.game-uat.walmart.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,a48346615a7b1e1cac2eaff159b16d86,59791be79027660fcd0ee0e61ebd52131e7c699fd401c9fc7438441a6c53cf91,ctls,api-uat-game.walmart.com,443,https://api-uat-game.walmart.com:443,https,,text/html,GET,2.23.209.155,/,331859390,2.23.209.139,2,False,,HSTS,,,,,
api.cc.staging.walmart.com,,400,82,api.cc.staging.walmart.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-10-03T17:39:14Z,2023-11-04T17:39:13Z,"CN=ak-nonprod2.walmart.com, O=Walmart Inc., L=Bentonville, ST=Arkansas, C=US",ak-nonprod2.walmart.com,Walmart Inc.,stage.walmarthealth.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,3465d0d56c14df6bb948e171830b524a,0d951c09e3e05b57612ce1e4b51c0283defe1fb06a913dfa27a38d3cd6206212,ctls,api.cc.staging.walmart.com,443,https://api.cc.staging.walmart.com:443,https,,text/plain,GET,23.197.137.149,/,726122763,23.197.137.149,1,False,,Envoy,,,,,
api.feedbackally.stage.walmart.com,,400,82,api.feedbackally.stage.walmart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-19T19:55:34Z,2024-07-20T19:55:33Z,"CN=cf-nonprod.walmart.com, O=Walmart Inc., L=Bentonville, ST=Arkansas, C=US",cf-nonprod.walmart.com,Walmart Inc.,external.etc.stage.bopgta.us.walmart.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,c09c289f92ac2feef992179c3a767bc4,6fb0c76339cb0ebdc82c0fb978ce03b3a41b1f40663cb1c3a58f4210349006d2,ctls,api.feedbackally.stage.walmart.com,443,https://api.feedbackally.stage.walmart.com:443,https,cloudflare,text/plain,GET,104.18.37.104,/,726122763,172.64.150.152,1,False,,Envoy,cloudflare,True,,,
api.inhome.stg.walmart.com,Request Rejected,444,381,api.inhome.stg.walmart.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-10-03T17:39:23Z,2023-11-04T17:39:22Z,"CN=ak-nonprod.walmart.com, O=Walmart Inc., L=Bentonville, ST=Arkansas, C=US",ak-nonprod.walmart.com,Walmart Inc.,api.eclosing-stage.wal-mart.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,a3e20d30fe03a28a752d0611e0717509,771a116c8ebc84771c5e50f7d7f797a605715136963d5fa271bf3c3f3c0432d6,ctls,api.inhome.stg.walmart.com,443,https://api.inhome.stg.walmart.com:443,https,,,GET,23.197.140.112,/,292484651,23.197.140.112,12,False,,,,,,,
