new,host,ttl,a,cname,soa,ns,txt,status_code,caa,aaaa,mx,cdn,cdn-name
[x],147201935.clickup.com,300,,app.clickup.com,"{'name': 'clickup.com', 'ns': 'ns-298.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'clickup.com', 'ns': 'ns-298.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'clickup.com', 'ns': 'ns-298.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,,NOERROR,,,,,
[x],3cdn.clickup.com,300,"54.76.30.134, 52.31.209.81, 54.195.25.225",app.clickup.com,"{'name': 'clickup.com', 'ns': 'ns-298.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'clickup.com', 'ns': 'ns-298.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","ns-1480.awsdns-57.org, ns-1962.awsdns-53.co.uk, ns-298.awsdns-37.com, ns-769.awsdns-32.net",detectify-verification=7193396cd830822d08e2a8c0a4fce763,NOERROR,,,,,
[x],ads.verified.clickup.com,300,"54.195.25.225, 52.31.209.81, 54.76.30.134",app.clickup.com,"{'name': 'clickup.com', 'ns': 'ns-298.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'clickup.com', 'ns': 'ns-298.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'clickup.com', 'ns': 'ns-298.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","ns-1480.awsdns-57.org, ns-1962.awsdns-53.co.uk, ns-298.awsdns-37.com, ns-769.awsdns-32.net",detectify-verification=7193396cd830822d08e2a8c0a4fce763,NOERROR,,,,,
[x],aisumo.clickup.com,300,,app.clickup.com,"{'name': 'clickup.com', 'ns': 'ns-298.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'clickup.com', 'ns': 'ns-298.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'clickup.com', 'ns': 'ns-298.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'clickup.com', 'ns': 'ns-298.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","ns-1480.awsdns-57.org, ns-1962.awsdns-53.co.uk, ns-298.awsdns-37.com, ns-769.awsdns-32.net",detectify-verification=7193396cd830822d08e2a8c0a4fce763,NOERROR,,,,,
[x],api-ips-rc.forms.clickup.com,300,"52.39.201.50, 54.70.75.171, 52.27.144.145",app.clickup.com,"{'name': 'clickup.com', 'ns': 'ns-298.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'clickup.com', 'ns': 'ns-298.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'clickup.com', 'ns': 'ns-298.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'clickup.com', 'ns': 'ns-298.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","ns-1480.awsdns-57.org, ns-1962.awsdns-53.co.uk, ns-298.awsdns-37.com, ns-769.awsdns-32.net",detectify-verification=7193396cd830822d08e2a8c0a4fce763,NOERROR,,,,,
[x],bid46rs.cu-prod-br-inbound-emails-service.clickup.com,300,"52.31.209.81, 54.195.25.225, 54.76.30.134",app.clickup.com,"{'name': 'clickup.com', 'ns': 'ns-298.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'clickup.com', 'ns': 'ns-298.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'clickup.com', 'ns': 'ns-298.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,,NOERROR,,,,,
[x],bugreports.forms-cdn.clickup.com,261,"54.76.30.134, 52.31.209.81, 54.195.25.225",app.clickup.com,"{'name': 'clickup.com', 'ns': 'ns-298.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'clickup.com', 'ns': 'ns-298.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,,NOERROR,,,,,
[x],chavez.clickup.com,300,"54.76.30.134, 54.195.25.225, 52.31.209.81",app.clickup.com,"{'name': 'clickup.com', 'ns': 'ns-298.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'clickup.com', 'ns': 'ns-298.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'clickup.com', 'ns': 'ns-298.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'clickup.com', 'ns': 'ns-298.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,,NOERROR,,,,,
[x],clickup.com,60,"108.138.64.90, 108.138.64.113, 108.138.64.126, 108.138.64.10",,"{'name': 'clickup.com', 'ns': 'ns-298.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,"pendo-domain-verification=9dcd1017-80ab-4397-9dee-1751a578522c, stripe-verification=d8cb8993e0f3b1f4ab3b30216e1799717d8f74236283e54109c7252b44004d53, google-site-verification=RA3ngRWOgEL05ABw0V3Q3nFGv61vNFwURw5rg0xOxdE, docker-verification=dfa26109-b441-4cba-914d-0b6de8414061, postman-domain-verification=d67e8c10a203660ad91f0a219252951e1beb6cd3e38e12933b80d94d0011ec347e6ead70f5559947f1f06867733eb657f389fb2bdf77130b6c0a5253adb6d5ca, google-site-verification=YXCVxSjCpEftf3AxQMU8q-6Xj3k5l3JD_2ew33ne5i8, ca3-1c005c5a80ee4c30a0290c7eb53e0ab5, google-site-verification=iOtCbvqPP8mxG0PMuoPgVTe1CUYjNeDMPgC8pGNCPW8, google-site-verification=IjMWJ-9aZcHqivGqB40_W7fc2iooVvY8lwJbQvAKDIw, google-site-verification=7iLCwqddBc3lpvssnnz30WxrKPNeuf9GsYY5Tu0nRWc, stripe-verification=59cd619e7b056e0bb4264f5dae7f293120c6ff79699a2e7052df17de89b63ea9, zQqh6VDaII38TcL52OdvmIFvk5jJfQ, google-site-verification=mA9LytKzaYEzebtWUcPbs-MBhi_v6x9QxG_uAavGcYg, loom-site-verification=549fcc52c4fc4d0db1f8ba3cf5f3a235, adobe-idp-site-verification=a45ecfcb5974389d24c0bcb2aa8ab2a359b2aa4a69838a350635ed286fafed6f, w1xczd2rhx8lt48k4mbl7z97rx67x1mq, facebook-domain-verification=43fulpvnj58vh7vqj1cdq7ibky5shn, docusign=c21075d5-698a-4531-86ec-d17e9eea4155, segment-site-verification=KoguFnloPsYpTSy0OEpRmptCDUhZZnih, google-site-verification=s1DkH7V2Ofnk4MFWAhovBKaskp-vqnNw8r9ZZbW7rw0, 1password-site-verification=5WC3TEJLRREGRKR2ISSIWBLOL4, zapier-domain-verification-challenge=f3572a60-e411-450c-a7d8-69fcfaa22ab3, v=spf1 include:_spf.google.com include:amazonses.com include:mail.zendesk.com include:_spf.qemailserver.com include:mktomail.com include:_spf.salesforce.com ~all, parallels-domain-verification=c617bfa7b6ad499a992d6fd9bfa890ba222afe20b67646efb5a1727289ec879a, google-site-verification=6yXTl_GBV48WZQx1bPweEvC19oULtfxojPoNylrEz1E, twilio-domain-verification=30469a41349e661576ee1b7a943736b7, google-site-verification=GXz6h33cQ166RXYz8OmuY5ValPFVnrWXBrZB2fsmRcY, MS=ms76961327, google-site-verification=mXwYhuwXoRdlfmQ0kIELMvcG2Ffi19YCyNfNwbnHtUw, MS=880F4748C24452A4F1DDBDFDCD356CA0B3B1D5E0",NOERROR,,"2600:9000:2118:e00:8:4496:4180:93a1, 2600:9000:2118:5a00:8:4496:4180:93a1, 2600:9000:2118:6000:8:4496:4180:93a1, 2600:9000:2118:c600:8:4496:4180:93a1, 2600:9000:2118:8800:8:4496:4180:93a1, 2600:9000:2118:0:8:4496:4180:93a1, 2600:9000:2118:2200:8:4496:4180:93a1, 2600:9000:2118:dc00:8:4496:4180:93a1","aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com",,
[x],cloud-jumpbox.partner.clickup.com,300,"52.27.144.145, 52.39.201.50, 54.70.75.171",app.clickup.com,"{'name': 'clickup.com', 'ns': 'ns-298.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'clickup.com', 'ns': 'ns-298.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'clickup.com', 'ns': 'ns-298.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'clickup.com', 'ns': 'ns-298.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'clickup.com', 'ns': 'ns-298.awsdns-37.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,detectify-verification=7193396cd830822d08e2a8c0a4fce763,NOERROR,,,,,
