input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,cdn,tls_subject_org_,webserver,tls_wildcard_certificate,csp_domains_,final_url,tls_mismatched,tls_self_signed
adfs.bentley.com,Not Found,404,315,adfs.bentley.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-27T00:00:00Z,2023-08-27T23:59:59Z,"CN=*.bentley.com, O=Bentley Systems\, Incorporated, L=Exton, ST=Pennsylvania, C=US",*.bentley.com,bentley.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3c63060ffece1c71f4e71a96d0771b2e,ab173e72db63cddaf3f5abd08d3c168d45a64e8c17bad4f25f95a9c905dacccc,ctls,adfs.bentley.com,443,https://adfs.bentley.com:443,https,text/html,GET,64.90.235.124,/,225052475,64.90.235.124,Microsoft HTTPAPI:2.0,7,False,,,"Bentley Systems, Incorporated",Microsoft-HTTPAPI/2.0 Microsoft-HTTPAPI/2.0,True,,,,
admin.australiaeast.openground.bentley.com,403 Forbidden,403,146,admin.australiaeast.openground.bentley.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-31T06:18:27Z,2023-08-29T06:18:26Z,CN=admin.australiaeast.openground.bentley.com,admin.australiaeast.openground.bentley.com,admin.australiaeast.openground.bentley.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,68621452f407d17847596c0d1c15772f,565442bb497a075b430eddf68899e13d33ef2b87bdb93a8c507d320a321dbe91,ctls,admin.australiaeast.openground.bentley.com,443,https://admin.australiaeast.openground.bentley.com:443,https,text/html,GET,20.211.191.235,/,-1561873722,20.211.191.235,HSTS,8,False,,,,,,,,,
admin.eastus-dev.openground.bentley.com,403 Forbidden,403,146,admin.eastus-dev.openground.bentley.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-07T15:03:43Z,2023-10-05T15:03:42Z,CN=admin.eastus-dev.openground.bentley.com,admin.eastus-dev.openground.bentley.com,admin.eastus-dev.openground.bentley.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,09a7e1ab5f5564b67549fe6d9d708f4f,9c10b88d75534d9348eff7fbedee2a2b6569928721df1a9b0e4b19a4dd80ab05,ctls,admin.eastus-dev.openground.bentley.com,443,https://admin.eastus-dev.openground.bentley.com:443,https,text/html,GET,52.154.77.156,/,-1561873722,52.154.77.156,HSTS,8,False,azure,True,,,,,,,
admin.eastus-qa.openground.bentley.com,403 Forbidden,403,146,admin.eastus-qa.openground.bentley.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-28T11:21:09Z,2023-08-26T11:21:08Z,CN=admin.eastus-qa.openground.bentley.com,admin.eastus-qa.openground.bentley.com,admin.eastus-qa.openground.bentley.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,484f818a9d5be8b48ea3011619517db2,3565150b497fbe55efbdaaa63e81d679f680bb5f83c188fc816e0a06478044f8,ctls,admin.eastus-qa.openground.bentley.com,443,https://admin.eastus-qa.openground.bentley.com:443,https,text/html,GET,40.76.74.83,/,-1561873722,40.76.74.83,HSTS,8,False,azure,True,,,,,,,
admin.eastus.openground.bentley.com,403 Forbidden,403,146,,,,,,,,,,,,,,,,,,80,http://admin.eastus.openground.bentley.com:80,http,text/html,GET,40.87.107.231,/,,40.87.107.231,,8,False,azure,True,,,,,,,
admin.uksouth-dev.openground.bentley.com,403 Forbidden,403,146,admin.uksouth-dev.openground.bentley.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-04T07:16:47Z,2023-10-02T07:16:46Z,CN=admin.uksouth-dev.openground.bentley.com,admin.uksouth-dev.openground.bentley.com,admin.uksouth-dev.openground.bentley.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f4cc245c815eb144aca098aa58b81b4d,246ca61137df44b736e8e66e6a01ffea217f3dcc51ec7f1923449058ce2d6faf,ctls,admin.uksouth-dev.openground.bentley.com,443,https://admin.uksouth-dev.openground.bentley.com:443,https,text/html,GET,51.142.229.54,/,-1561873722,51.142.229.54,HSTS,8,False,azure,True,,,,,,,
admin.uksouth.openground.bentley.com,403 Forbidden,403,146,admin.uksouth.openground.bentley.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-31T06:18:02Z,2023-08-29T06:18:01Z,CN=admin.uksouth.openground.bentley.com,admin.uksouth.openground.bentley.com,admin.uksouth.openground.bentley.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4234068ecd6f08a6b6272a3e77b03c6c,b8bfaa20431910471792ff0338cce20abf2a304e09a0b1ea77b4666401daf0f2,ctls,admin.uksouth.openground.bentley.com,443,https://admin.uksouth.openground.bentley.com:443,https,text/html,GET,20.77.79.154,/,-1561873722,20.77.79.154,HSTS,8,False,,,,,,,,,
admin.westeurope.openground.bentley.com,403 Forbidden,403,146,admin.westeurope.openground.bentley.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-16T09:38:52Z,2023-09-14T09:38:51Z,CN=admin.westeurope.openground.bentley.com,admin.westeurope.openground.bentley.com,admin.westeurope.openground.bentley.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,684c3f509e703dc979d457623eeb8944,02a60e29e6168352dc986a71bbc29ac9bb7cb7682d030280041777fe1a859c94,ctls,admin.westeurope.openground.bentley.com,443,https://admin.westeurope.openground.bentley.com:443,https,text/html,GET,20.160.92.98,/,-1561873722,20.160.92.98,HSTS,8,False,,,,,,,,,
adminportal.eastus-dev.openground.bentley.com,403 Forbidden,403,146,adminportal.eastus-dev.openground.bentley.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-07T14:59:15Z,2023-10-05T14:59:14Z,CN=adminportal.eastus-dev.openground.bentley.com,adminportal.eastus-dev.openground.bentley.com,adminportal.eastus-dev.openground.bentley.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,519c466e26b657d5e2fba95a3159953e,c997a7b80a9bcd82e463e64ecee9798e80fd72e2e3609a760164746896d88b5b,ctls,adminportal.eastus-dev.openground.bentley.com,443,https://adminportal.eastus-dev.openground.bentley.com:443,https,text/html,GET,52.154.77.156,/,-1561873722,52.154.77.156,HSTS,8,False,azure,True,,,,,,,
adminportal.eastus.openground.bentley.com,403 Forbidden,403,146,adminportal.eastus.openground.bentley.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-31T06:14:32Z,2023-08-29T06:14:31Z,CN=adminportal.eastus.openground.bentley.com,adminportal.eastus.openground.bentley.com,adminportal.eastus.openground.bentley.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8ebfae31d51895abbbcf096a5daea957,16e68a59f8db5f41dd351cf546248b2af06b9daf0246c1c5b3b7260142968da3,ctls,adminportal.eastus.openground.bentley.com,443,https://adminportal.eastus.openground.bentley.com:443,https,text/html,GET,40.87.107.231,/,-1561873722,40.87.107.231,HSTS,8,False,azure,True,,,,,,,
