input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,content_type,tls_expired,tls_mismatched,final_url,csp_domains_
00-2-okta-mfa-ackswagger--acc08idsautodiscoverpermutations-ii.tu-chemniz.de,tu-chemniz.de,200,14763,00-2-okta-mfa-ackswagger--acc08idsautodiscoverpermutations-ii.tu-chemniz.de,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2020-07-20T00:00:00Z,2022-09-18T12:00:00Z,"CN=*.parkingcrew.net, O=Team Internet AG, L=München, ST=Bayern, C=DE",*.parkingcrew.net,Team Internet AG,parkingcrew.net,"CN=Thawte TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",Thawte TLS RSA CA G1,DigiCert Inc,c8d24496ae4ad1eab19ff778fd737adb,3f2b65bb53e5210c7437a4939306760cc521cd950f5d5dbf530b68230a00df70,ctls,00-2-okta-mfa-ackswagger--acc08idsautodiscoverpermutations-ii.tu-chemniz.de,,443,https://00-2-okta-mfa-ackswagger--acc08idsautodiscoverpermutations-ii.tu-chemniz.de:443,https,nginx,GET,185.53.178.54,/,-1840324437,185.53.178.54,Nginx,385,False,,True,text/html,True,True,,
17-121-112-152.tu-chemniz.de,tu-chemniz.de,200,14750,17-121-112-152.tu-chemniz.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-31T09:29:41Z,2023-08-29T09:29:40Z,CN=17-121-112-152.tu-chemniz.de,17-121-112-152.tu-chemniz.de,,17-121-112-152.tu-chemniz.de,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,81458f3276de59b058727f131c7f7937,0cde38af38d054f22be7e05e5cef0ab8d9063ee3bd491d9dd5f48e3a1db248d4,ctls,17-121-112-152.tu-chemniz.de,,443,https://17-121-112-152.tu-chemniz.de:443,https,nginx,GET,185.53.178.54,/,-1840324437,185.53.178.54,Nginx,385,False,,,text/html,,,,
205-185-200-172.tu-chemniz.de,tu-chemniz.de,200,14752,205-185-200-172.tu-chemniz.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-06T06:13:55Z,2023-10-04T06:13:54Z,CN=205-185-200-172.tu-chemniz.de,205-185-200-172.tu-chemniz.de,,205-185-200-172.tu-chemniz.de,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,576270ac0c7b180f31ba5d38c6589ca5,9c86d7f5528f49319ab52cd74d47967ac0d61a9353957fbec2c8fa78bdf0e3a7,ctls,205-185-200-172.tu-chemniz.de,,443,https://205-185-200-172.tu-chemniz.de:443,https,nginx,GET,185.53.178.54,/,-1840324437,185.53.178.54,Nginx,385,False,,,text/html,,,,
450596g46.tu-chemniz.de,tu-chemniz.de,200,14740,450596g46.tu-chemniz.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-31T09:25:38Z,2023-08-29T09:25:37Z,CN=450596g46.tu-chemniz.de,450596g46.tu-chemniz.de,,450596g46.tu-chemniz.de,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2f9a86d499b0b456152898a6f499c387,4def4603dc7b02e6b2bc1ef907e6159693fae5926d97b6a037f0957df7765ea4,ctls,450596g46.tu-chemniz.de,,443,https://450596g46.tu-chemniz.de:443,https,nginx,GET,185.53.178.54,/,-1840324437,185.53.178.54,Nginx,385,False,,,text/html,,,,
5505-0-3.tu-chemniz.de,tu-chemniz.de,200,14734,5505-0-3.tu-chemniz.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2020-07-20T00:00:00Z,2022-09-18T12:00:00Z,"CN=*.parkingcrew.net, O=Team Internet AG, L=München, ST=Bayern, C=DE",*.parkingcrew.net,Team Internet AG,parkingcrew.net,"CN=Thawte TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",Thawte TLS RSA CA G1,DigiCert Inc,c8d24496ae4ad1eab19ff778fd737adb,3f2b65bb53e5210c7437a4939306760cc521cd950f5d5dbf530b68230a00df70,ctls,5505-0-3.tu-chemniz.de,,443,https://5505-0-3.tu-chemniz.de:443,https,nginx,GET,185.53.178.54,/,-1840324437,185.53.178.54,Nginx,385,False,,True,text/html,True,True,,
access.tu-chemniz.de,tu-chemniz.de,200,14734,access.tu-chemniz.de,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-05-31T09:27:25Z,2023-08-29T09:27:24Z,CN=access.tu-chemniz.de,access.tu-chemniz.de,,access.tu-chemniz.de,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,12e95598ae47b73206fac744d6147cb9,148f3afadb430b1135706afb09ce40c25e62af31dd04ec969d53f664d1e9a27c,ctls,access.tu-chemniz.de,,443,https://access.tu-chemniz.de:443,https,nginx,GET,185.53.178.54,/,-1840324437,185.53.178.54,Nginx,385,False,,,text/html,,,,
account-ipbetatemp-exchangedns.tu-chemniz.de,tu-chemniz.de,200,14782,account-ipbetatemp-exchangedns.tu-chemniz.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-06T06:13:39Z,2023-10-04T06:13:38Z,CN=account-ipbetatemp-exchangedns.tu-chemniz.de,account-ipbetatemp-exchangedns.tu-chemniz.de,,account-ipbetatemp-exchangedns.tu-chemniz.de,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8ff3f98d5fab3b78291ac46cebbaecfd,68b81c42e0b88aa6f75979ec8952020e9746acf8e35af5d2caaa308b05a28dd1,ctls,account-ipbetatemp-exchangedns.tu-chemniz.de,,443,https://account-ipbetatemp-exchangedns.tu-chemniz.de:443,https,nginx,GET,185.53.178.54,/,-1840324437,185.53.178.54,Nginx,385,False,,,text/html,,,,
accounts-iprf-us-east-2.tu-chemniz.de,tu-chemniz.de,200,14768,accounts-iprf-us-east-2.tu-chemniz.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-06T06:12:35Z,2023-10-04T06:12:34Z,CN=accounts-iprf-us-east-2.tu-chemniz.de,accounts-iprf-us-east-2.tu-chemniz.de,,accounts-iprf-us-east-2.tu-chemniz.de,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,243c5ac54c7496eafafdee977f242e3d,a689d6ebe5bd447b29684332934a880a129a7fbbb97bdf542ba4368d120611a7,ctls,accounts-iprf-us-east-2.tu-chemniz.de,,443,https://accounts-iprf-us-east-2.tu-chemniz.de:443,https,nginx,GET,185.53.178.54,/,-1840324437,185.53.178.54,Nginx,385,False,,,text/html,,,,
accounts3-demo.tu-chemniz.de,tu-chemniz.de,200,14784,accounts3-demo.tu-chemniz.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-31T09:26:39Z,2023-08-29T09:26:38Z,CN=accounts3-demo.tu-chemniz.de,accounts3-demo.tu-chemniz.de,,accounts3-demo.tu-chemniz.de,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c7e8152345380aa49593ebde68a2bfbe,44dbf789d0ed6d4291c9f023935e7d04b790ee6ebe1799a2f7002d472de3adec,ctls,accounts3-demo.tu-chemniz.de,,443,https://accounts3-demo.tu-chemniz.de:443,https,nginx,GET,185.53.178.54,/,-1840324437,185.53.178.54,Nginx,385,False,,,text/html,,,,
adr-mdn.tu-chemniz.de,tu-chemniz.de,200,14736,adr-mdn.tu-chemniz.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-31T09:38:08Z,2023-08-29T09:38:07Z,CN=adr-mdn.tu-chemniz.de,adr-mdn.tu-chemniz.de,,adr-mdn.tu-chemniz.de,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,23b008ae16ad376a790170092b312d6b,3233f0ea6b34ee2695d60361d81bdcce4ed9d00ed0bf07f4d5060e0af2c35542,ctls,adr-mdn.tu-chemniz.de,,443,https://adr-mdn.tu-chemniz.de:443,https,nginx,GET,185.53.178.54,/,-1840324437,185.53.178.54,Nginx,385,False,,,text/html,,,,
