input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,final_url,a_,lines,failed,cdn,tls_subject_org_,webserver,tech_,tls_wildcard_certificate,tls_expired,tls_mismatched,location
1pscim.lansweeper.com,1Password SCIM bridge,200,559,https:,1pscim.lansweeper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-27T09:00:25Z,2023-09-25T09:00:24Z,CN=1pscim.lansweeper.com,1pscim.lansweeper.com,1pscim.lansweeper.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9202a7342fd43f0d4dc6c57479c00ec7,efc9916183c766349a1cc8836492656fbc6a90befba80672292d847d6d9d0691,ctls,1pscim.lansweeper.com,azure,443,https://1pscim.lansweeper.com:443,https,text/html,GET,52.226.104.252,/,104012657,https://1pscim.lansweeper.com/app/,52.226.104.252,1,False,True,,,,,,,
app.lansweeper.com,Lansweeper,200,16096,,app.lansweeper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-13T00:00:00Z,2024-04-10T23:59:59Z,CN=*.lansweeper.com,*.lansweeper.com,*.lansweeper.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5b645c597cbf33b3ebb26378835676fb,6488cfba2f6aa8670e49e4debf3c60d3a1d957fa139e40845b8604d1e33bd27b,ctls,app.lansweeper.com,cloudfront,443,https://app.lansweeper.com:443,https,text/html,GET,108.138.7.27,/,884067248,,2600:9000:2490:9200:b:ac51:6480:93a1,1,False,True,,CloudFront,HSTS,True,,,
appqa.lansweeper.com,Lansweeper,200,16121,,appstag.lansweeper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-13T00:00:00Z,2024-04-10T23:59:59Z,CN=*.lansweeper.com,*.lansweeper.com,*.lansweeper.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5b645c597cbf33b3ebb26378835676fb,6488cfba2f6aa8670e49e4debf3c60d3a1d957fa139e40845b8604d1e33bd27b,ctls,appstag.lansweeper.com,,80,http://appqa.lansweeper.com:80,http,text/html,GET,162.255.119.254,/,-1304537671,https://appstag.lansweeper.com,162.255.119.254,1,False,,,CloudFront,HSTS,True,,,
appstag.lansweeper.com,Lansweeper,200,16121,,appstag.lansweeper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-13T00:00:00Z,2024-04-10T23:59:59Z,CN=*.lansweeper.com,*.lansweeper.com,*.lansweeper.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5b645c597cbf33b3ebb26378835676fb,6488cfba2f6aa8670e49e4debf3c60d3a1d957fa139e40845b8604d1e33bd27b,ctls,appstag.lansweeper.com,cloudfront,443,https://appstag.lansweeper.com:443,https,text/html,GET,108.138.17.64,/,-1304537671,,2600:9000:2491:7e00:10:c11c:2280:93a1,1,False,True,,CloudFront,HSTS,True,,,
autodiscover.lansweeper.com,Sign in to Outlook,200,39496,,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,ctls,login.microsoftonline.com,,80,http://autodiscover.lansweeper.com:80,http,text/html,GET,52.97.189.104,/,-1249852061,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=8ac3cd8b-6cfb-6c29-b20e-c3d72dd1722a&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=lansweeper.com&nonce=638258513556195786.9d2dd357-00df-4bb2-9396-de2c27c531e1&state=DctNDsIgEEBh0Lu4MKGFGYefReNZKDMmJq00VNvry-J7u6eVUtfu0mnbo4LHCBTJIZF3iUL0Q2JgRgrGWn6ZxzyDSZi8YYECoRA6cbq_97GeeXw2ycs6LfmznyKbtKHU9XbwlH_fyu-91EPaHw,2603:1026:c0d:71::8,95,False,,Microsoft Corporation,,HSTS,,,,
backend.lansweeper.com,Not Found,404,315,,backend.lansweeper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2022-06-22T00:00:00Z,2023-06-30T23:59:59Z,CN=forum.lansweeper.com,forum.lansweeper.com,www.forum.lansweeper.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,65191d9f03b53c127aa86e9c126f9228,72a8a773cb783a223266de903b3d3a134a0cd5d69465fa2d1832d113a8246284,ctls,backend.lansweeper.com,azure,443,https://backend.lansweeper.com:443,https,text/html,GET,40.76.64.197,/,225052475,,40.76.64.197,7,False,True,,Microsoft-HTTPAPI/2.0,Microsoft HTTPAPI:2.0,,True,True,
backoffice.lansweeper.com,,302,98,,login.lansweeper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-27T14:56:59Z,2023-09-25T14:56:58Z,CN=login.lansweeper.com,login.lansweeper.com,login.lansweeper.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,11a0c6d8d6ef222057bb945089b326e1,93c438b60008b1a68cb714d0e5d317770eb6454e4f96f40659747e664a010d69,ctls,login.lansweeper.com,,443,https://backoffice.lansweeper.com:443,https,text/plain,GET,52.19.189.213,/,321453506,https://login.lansweeper.com/login?state=hKFo2SBuYlhkNFB2MXBSbVpnRWxLOFViUjlHWVNheEotNi14U6FupWxvZ2luo3RpZNkgaUJwUEZaYnU1bTVuMkZaOFpUQnM2Z1VKNEV5aHp4OGWjY2lk2SBwQzgzVjBJZk56ZVRuZDFJcjJoa2xHUnMzWUg4R2RlMw&client=pC83V0IfNzeTnd1Ir2hklGRs3YH8Gde3&protocol=oauth2&scope=openid%20profile&response_type=code&redirect_uri=https%3A%2F%2Fbackoffice.lansweeper.com%2Fapi%2Fauth%2Fcallback&audience=http%3A%2F%2Fbackoffice.lansweeper.com&nonce=RqioijoR_lyc0lIyLaHZwI6-zjQevPwnViKDwA2jVPI&code_challenge=7-vg-rxWdCfiQy9NV7nEm0cUPj2AJW1SJcxppqSEkLc&code_challenge_method=S256,63.33.136.82,1,False,,,cloudflare,HTTP/3,,,,https://backoffice.lansweeper.com/?iss=https%3A%2F%2Flogin.lansweeper.com%2F
careers.lansweeper.com,Careers - Jobs - Lansweeper,200,92911,,careers.lansweeper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-17T21:39:21Z,2023-10-15T21:39:20Z,CN=careers.lansweeper.com,careers.lansweeper.com,careers.lansweeper.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,27d699423e217926b8f23bfdbbf9cdac,21eccb725222e796ef4d96e6626d25d37c4b3805d71ff78ffbc767cdadd83db3,ctls,careers.lansweeper.com,google,443,https://careers.lansweeper.com:443,https,text/html,GET,35.242.209.60,/,1110075459,,35.242.209.60,2901,False,True,,,Ruby on Rails,,,,
cdn.lansweeper.com,,400,351,,cdn.lansweeper.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-01T00:00:00Z,2023-10-02T23:59:59Z,"CN=sni0e1bgl.wpc.edgecastcdn.net, O=Edgecast Inc., L=Los Angeles, ST=California, C=US",sni0e1bgl.wpc.edgecastcdn.net,cdn.lansweeper.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7c0548e008b168c9e98e0002db04a506,989ffc1be0711bcccc652a778ccbe8efd61508cfb4ccd1d15b357f690c16d7f4,ctls,cdn.lansweeper.com,,443,https://cdn.lansweeper.com:443,https,application/xml,GET,152.199.21.175,/,-797747690,,2606:2800:233:1cb7:261b:1f9c:2074:3c,3,False,,Edgecast Inc.,Microsoft-HTTPAPI/2.0,Microsoft HTTPAPI:2.0,,,,
community.lansweeper.com,Home - Lansweeper Community,200,258773,,community.lansweeper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-16T00:00:00Z,2024-03-28T23:59:59Z,"CN=secure08.lithium.com, O=Khoros\, LLC, L=Austin, ST=Texas, C=US",secure08.lithium.com,community.st.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,c56746d31dd1f6314dd322421839a979,c2b1b6b49866f38b7c38096c0cd06098729ecafbf3faab0ea48f87bf16d1acd2,ctls,community.lansweeper.com,cloudfront,443,https://community.lansweeper.com:443,https,text/html,GET,13.225.78.119,/,-1840324437,,13.225.78.107,2859,False,True,"Khoros, LLC",Apache,PHP,True,,True,
