input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_expired,webserver,final_url,csp_domains_,tls_wildcard_certificate,tls_mismatched,tls_self_signed
25years.infotech.monash.edu,Bitnami WordPress Stack,200,5577,25years.infotech.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2017-08-04T12:07:52Z,2027-08-02T12:07:52Z,CN=www.example.com,www.example.com,,,CN=www.example.com,www.example.com,,6d3af228b4551f43b70556ebde68524d,b22eee512030096435f0ed10fabe9ca0728683c23e49ac0aabad0b035aa4e1fc,ctls,25years.infotech.monash.edu,,443,https://25years.infotech.monash.edu:443,https,text/html,GET,52.64.12.59,/,-1607644090,52.64.12.59,Google PageSpeed:0,51,False,,,Apache,,,,True,True
25years.it.monash.edu,"Timeline - Faculty of IT, Monash University",200,352052,www.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-09T00:00:00Z,2023-09-09T23:59:59Z,"CN=monash.edu, O=Monash University, ST=Victoria, C=AU",monash.edu,Monash University,www.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,dc0450457de4cefab8378429bf621b90,3c472e141b60d6820dba1472cfcb620d6b4415701bbf81a8940d03ea2eabb431,ctls,www.monash.edu,,443,https://25years.it.monash.edu:443,https,text/html,GET,52.64.12.59,/,1189157416,52.64.12.59,Squiz Matrix,5041,False,,,openresty,https://www.monash.edu/it/timeline,,,,
3d-cardiomics.erc.monash.edu,3D-Cardiomics: Heart Transcriptomics in Three Dimensions,200,11683,3d-cardiomics.erc.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-28T00:00:00Z,2023-09-28T23:59:59Z,"CN=3d-cardiomics.erc.monash.edu, O=Monash University, ST=Victoria, C=AU",3d-cardiomics.erc.monash.edu,Monash University,3d-cardiomics.erc.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,1d878a947988d7f07a75d4afdcb79711,719190eae7058ca6b0f840a671adb5c9bf92a9cc8e29dc6a948360c8ffab53fd,ctls,3d-cardiomics.erc.monash.edu,,443,https://3d-cardiomics.erc.monash.edu:443,https,text/html,GET,118.138.242.214,/,-780928015,118.138.242.214,Apache,337,False,,,Apache,,,,,
aa-treviso-v02.ocio.monash.edu,IIS Windows Server,200,701,aa-treviso-v02.ocio.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-27T00:00:00Z,2024-01-27T23:59:59Z,"CN=examscheduler.monash.edu, O=Monash University, ST=Victoria, C=AU",examscheduler.monash.edu,Monash University,www.examscheduler.monash.edu,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,c374b95a601790db8a47448e03640097,39262a011b3cf14b4cfb21505a0b921beeb76b331ef6865c0f95c708e5e16af9,ctls,aa-treviso-v02.ocio.monash.edu,,443,https://aa-treviso-v02.ocio.monash.edu:443,https,text/html,GET,130.194.22.205,/,1631801191,2001:388:608c:8c1:250:56ff:feb5:2f71,Windows Server,32,False,,,Microsoft-IIS/10.0,,,,True,
aad.infotech.monash.edu,Academic Allocation Database,200,9934,aad.infotech.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-30T00:00:00Z,2024-04-29T23:59:59Z,"CN=aad.infotech.monash.edu, O=Monash University, ST=Victoria, C=AU",aad.infotech.monash.edu,Monash University,fit-web58-v20.ocio.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,9a663ecfc6f2d28c9b1f5a126fda22a4,fefe2e28b88d3451d23f165f3dd91ecd0cffb3be44372e06af90c4b99453c252,ctls,aad.infotech.monash.edu,cloudfront,443,https://aad.infotech.monash.edu:443,https,text/html,GET,108.138.17.87,/,-1309951014,2600:9000:2491:1c00:2:a5c3:afc0:93a1,Red Hat,239,False,True,,Apache/2.4.6 (Red Hat Enterprise Linux) OpenSSL/1.0.2k-fips PHP/7.4.32,https://aad.infotech.monash.edu/login,,,,
ac-bbbtest3.eassessment-npd.aws.monash.edu,Zosify Ecommerce,200,78271,ac-bbbtest3.eassessment-npd.aws.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2020-03-02T15:03:13Z,2021-03-07T16:43:13Z,"emailAddress=root@ip-172-31-95-168.ec2.internal, CN=ip-172-31-95-168.ec2.internal, O=Unspecified, C=US, emailAddress=root@ip-172-31-95-168.ec2.internal",ip-172-31-95-168.ec2.internal,Unspecified,ip-172-31-95-168.ec2.internal,"emailAddress=root@ip-172-31-95-168.ec2.internal, CN=ip-172-31-95-168.ec2.internal, OU=ca-6814494948478823541, O=Unspecified, C=US, emailAddress=root@ip-172-31-95-168.ec2.internal",ip-172-31-95-168.ec2.internal,Unspecified,eb69e27dc162733ff10b9e1c80e91825,31b095bf4f5c765a76a394811902c95fb64f931436547ffb9039f1417a9a8c42,ctls,ac-bbbtest3.eassessment-npd.aws.monash.edu,,443,https://ac-bbbtest3.eassessment-npd.aws.monash.edu:443,https,text/html,GET,13.239.113.213,/,-2037171184,13.239.113.213,PHP:7.2.34,1365,False,,True,Apache/2.4.53 () OpenSSL/1.0.2k-fips,,,,True,
account-registration-qat.monash.edu,,503,170,account-registration-qat.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-17T00:00:00Z,2024-01-17T23:59:59Z,"CN=mars-qat.monash.edu, O=Monash University, ST=Victoria, C=AU",mars-qat.monash.edu,Monash University,mars-qat.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,02b6af1b4e405924d4c3e058da1bec14,dc20b0a0208af7c8bd73b7c8ad493bded8385d27560456d0d5a261b83e0a526b,ctls,account-registration-qat.monash.edu,cloudfront,443,https://account-registration-qat.monash.edu:443,https,text/html,GET,13.32.99.125,/,725065425,13.32.99.33,Amazon Web Services,12,False,True,,AmazonS3,,url=https://www.monash.edu/sorry-pages/mars-qat-is-unavailable,,,
account-registration.monash.edu,Monash Account Registration Service,200,11610,account-registration.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-05T00:00:00Z,2023-12-05T23:59:59Z,"CN=mars.monash.edu, O=Monash University, ST=Victoria, C=AU",mars.monash.edu,Monash University,mars.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,7e5c56df34a0c71577bfcdbe2718f719,7e3518932861a3b3eae5e590bddae2d202ea5d3719dc50bd96fbb322d8e467c9,ctls,account-registration.monash.edu,cloudfront,443,https://account-registration.monash.edu:443,https,text/html,GET,143.204.98.16,/,313475311,143.204.98.66,Scala,187,False,True,,Jetty(9.4.15.v20190215),,,,,
adm.monash.edu,Structure - Monash University,200,854722,www.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-09T00:00:00Z,2023-09-09T23:59:59Z,"CN=monash.edu, O=Monash University, ST=Victoria, C=AU",monash.edu,Monash University,www.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,dc0450457de4cefab8378429bf621b90,3c472e141b60d6820dba1472cfcb620d6b4415701bbf81a8940d03ea2eabb431,ctls,www.monash.edu,,443,https://adm.monash.edu:443,https,text/html,GET,130.194.11.126,/,-521555956,2001:388:608c:88b::7e,Squiz Matrix,9408,False,,,openresty,https://www.monash.edu/about/structure,,,,
admissions-accel-uat.apps.monash.edu,Monash University QA - Sign In,200,19902,monashuniqa.oktapreview.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-22T00:00:00Z,2024-03-08T23:59:59Z,"CN=*.oktapreview.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.oktapreview.com,"Okta, Inc.",oktapreview.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1225cab1a1c01b4edf8ae6892fc04205,7bec214190f7eda45abde4cdf6dcb988e471d9b7718e1e8afec1a40e1e2f9883,ctls,monashuniqa.oktapreview.com,incapsula,443,https://admissions-accel-uat.apps.monash.edu:443,https,text/html,GET,45.60.34.202,/,-1178188931,45.60.34.202,Nginx,503,False,True,,nginx,https://monashuniqa.oktapreview.com/login/login.htm?fromURI=%2Fapp%2Fmonashuniqa_admissionsacceleratoruat_1%2Fexkf407f25jfMmZ6h0h7%2Fsso%2Fsaml%3FSAMLRequest%3DnVNta9swEP4rRt%252FllzhpahEHspSxQLeZxNuHfhlX%252BbIIbMnTSWv27ye7SQm0C3SfBHeP7nnRaUHQtb1YeXfQW%252FzlkVx07FpNYmyUzFstDJAioaFDEk6K3erzvZjEqeitcUaalkWbu5L9yPMsz2Ce8QbSlE9lMeO3cznjxW0BOTwWxeymYNF3tKSMLlmYEC4SedxocqBdKKWTnKdzPrmp06nIMzGbPrCoOtF8ULpR%252Bud1TY%252FPIBKf6rri1dddzaIVEVoXSNdGk%252B%252FQ7tD%252BVhK%252Fbe9LdnCuJ5Ek0HSKBmXEQUpsuQcXQ99T3BkNdIix8ckQyoQtF8MpRu32Iq7ryuCsgi3fw7lILsiemXvxJUzf3FWmVfJP9NHYDty%252FybM4Gyuq4fsRKrymHqXaK2xCOm1rntYWwWHJnPUY%252FCWvac7Upy3BZtyZkKjDo4vWpuvBKhoeFo8g3TmkS9S6DRlscf8%252FkV2FSSGH0aFchePJ2GbYGZRBZW0hmDXWnXJ8S8%252BL3ze9vXQvP8nyLw%253D%253D%26RelayState%3Dhttps%3A%2F%2Fadmissions-accel-uat.apps.monash.edu%2F,cdn.pendo.io,True,,
