input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,cdn_name,cdn,tech_,tls_subject_org_,tls_self_signed,final_url
akatek.marketplace.playtech.com,,200,1296,akatek.marketplace.playtech.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-08-08T00:00:00Z,2023-08-08T23:59:59Z,CN=apac.marketplace.playtech.com,apac.marketplace.playtech.com,www.akatek.marketplace.playtech.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",b9d6cbaabb7e340eb2d35c6f5e82ab15,4f612fbc474a70104a420246b38fae8b81f370873a5a5f1989abfb3142b86f45,,ctls,akatek.marketplace.playtech.com,443,https://akatek.marketplace.playtech.com:443,https,AmazonS3,text/html,GET,13.32.99.51,/,-951435491,2600:9000:2251:600:10:4e07:9a00:93a1,6,False,cloudfront,True,HSTS,,,
apac.marketplace.playtech.com,,200,1296,apac.marketplace.playtech.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-08-08T00:00:00Z,2023-08-08T23:59:59Z,CN=apac.marketplace.playtech.com,apac.marketplace.playtech.com,www.akatek.marketplace.playtech.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",b9d6cbaabb7e340eb2d35c6f5e82ab15,4f612fbc474a70104a420246b38fae8b81f370873a5a5f1989abfb3142b86f45,,ctls,apac.marketplace.playtech.com,443,https://apac.marketplace.playtech.com:443,https,AmazonS3,text/html,GET,13.32.99.25,/,-951435491,2600:9000:2251:3e00:10:4e07:9a00:93a1,6,False,cloudfront,True,HSTS,,,
api-akatek.marketplace.playtech.com,,404,60,api-akatek.marketplace.playtech.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-08-08T00:00:00Z,2023-08-08T23:59:59Z,CN=apac.marketplace.playtech.com,apac.marketplace.playtech.com,www.akatek.marketplace.playtech.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",b9d6cbaabb7e340eb2d35c6f5e82ab15,4f612fbc474a70104a420246b38fae8b81f370873a5a5f1989abfb3142b86f45,,ctls,api-akatek.marketplace.playtech.com,443,https://api-akatek.marketplace.playtech.com:443,https,,application/json,GET,54.180.40.115,/,1390603384,52.78.241.206,1,False,,,HSTS,,,
api.mp.playtech.com,,200,1296,api.mp.playtech.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-11-09T00:00:00Z,2023-11-16T23:59:59Z,CN=marketplace.playtech.com,marketplace.playtech.com,www.marketplace.playtech.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",2cf7bcd2d13994c28893381499332d3e,185d7caab1bf8e8cf1e5b126d947621d5c6ee50d103f542b5788b5428c97a57e,,ctls,api.mp.playtech.com,443,https://api.mp.playtech.com:443,https,AmazonS3,text/html,GET,13.224.189.128,/,1063089065,2600:9000:20eb:be00:12:8003:a040:93a1,6,False,cloudfront,True,HSTS,,,
ar19.playtech.com,Home | Playtech PLC – Digital Summary Report 2019,200,30775,ar19.playtech.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-06-14T00:14:44Z,2023-09-12T00:14:43Z,CN=ar19.playtech.com,ar19.playtech.com,ptec-12405.design-portfolio.info,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,39ea155b082493077629b3244dc1d885,a8c5b762d94e1daaa3539998bdfbeb7a86deaed284af9279b90612ef2748151a,,ctls,ar19.playtech.com,443,https://ar19.playtech.com:443,https,,text/html,GET,165.22.112.144,/,-1795674914,165.22.112.144,824,False,,,Google Tag Manager,,,
ar20.playtech.com,Home | Playtech PLC – Digital Summary Report 2020,200,34155,ar20.playtech.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-06-13T00:14:15Z,2023-09-11T00:14:14Z,CN=ar20.playtech.com,ar20.playtech.com,ar20.playtech.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,07efa306c0f2d96f323c3d30424873c0,2fddd07568e96a504f068483ea7ef71e9db49ea8dfe83afeeee23d95454f7e7f,,ctls,ar20.playtech.com,443,https://ar20.playtech.com:443,https,,text/html,GET,139.59.173.191,/,-1795674914,139.59.173.191,890,False,,,Google Tag Manager,,,
ar21.playtech.com,Home | Playtech PLC – Digital Summary Report 2021,200,41393,ar21.playtech.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-07-20T00:14:20Z,2023-10-18T00:14:19Z,CN=ar21.playtech.com,ar21.playtech.com,ar21.playtech.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e666f8c806c24f474f532a7ae4340471,b5dbb26aca80a46bc184bd377cada43569d05104b21d0ec0767aff20fc71f23d,,ctls,ar21.playtech.com,443,https://ar21.playtech.com:443,https,,text/html,GET,134.209.185.132,/,-1795674914,134.209.185.132,1201,False,,,Google Tag Manager,,,
ar22.playtech.com,Playtech PLC's Annual Report and Acxcounts 2022,200,37039,ar22.playtech.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-06-25T00:14:28Z,2023-09-23T00:14:27Z,CN=ar22.playtech.com,ar22.playtech.com,www.ar22.playtech.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,22dbea1e767731668cd2f9b0540a748d,01908980ee2e6fa1bf75ddf140a459520f7378eae888516607468aac7eda1957,,ctls,ar22.playtech.com,443,https://ar22.playtech.com:443,https,,text/html,GET,144.126.200.222,/,-1795674914,144.126.200.222,1057,False,,,Typekit,,,
assets.playtech.com,Playtech - the source of success,200,81743,assets.playtech.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-09-08T00:00:00Z,2023-10-09T23:59:59Z,"CN=sni8f00gl.wpc.edgecastcdn.net, O=Edgecast Inc., L=Los Angeles, ST=California, C=US",sni8f00gl.wpc.edgecastcdn.net,assets.playtech.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b8b3c6d5ad1cba74cc4ac097b2cf748b,efa716a63d3a938deb81559241f5e3f61ec7b23afc370844957ddcdd43e6174d,,ctls,assets.playtech.com,443,https://assets.playtech.com:443,https,ECAcc (frc/4C86),text/html,GET,152.199.21.175,/,-1795674914,2606:2800:233:1cb7:261b:1f9c:2074:3c,745,False,,,Font Awesome,Edgecast Inc.,,
autodiscover.playtech.com,,403,44,autodiscover.playtech.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-21T00:00:00Z,2024-06-20T23:59:59Z,CN=autodiscover.playtech.com,autodiscover.playtech.com,email-uk.playtech.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,10be23e0e454567238b0a6c489b2c63f,7d3a5498732b2661f428718a5671ed1a5b7ffcfc64805f818b0a6743480ec386,,ctls,autodiscover.playtech.com,443,https://autodiscover.playtech.com:443,https,,,GET,176.113.94.132,/,21456367,176.113.94.132,1,False,,,,,,https://autodiscover.playtech.com/owa/
