input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,content_type,final_url,cdn_name,cdn,tls_expired,tls_self_signed,tls_emails_,csp_domains_
0-antivirus.yelo.be,Telenet TV Yelo,200,19605,yelo.telenet.tv,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-07T02:57:30Z,2024-04-07T02:57:29Z,"CN=yelo.telenet.tv, O=Telenet BV, L=Mechelen, ST=Antwerpen, C=BE",yelo.telenet.tv,Telenet BV,www.yelo.telenet.tv,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,018d4b6b123f4d737eaf5b45295b6754,917679594a9aca3526e6aa8a5b679dd6dafd1ffa642732b3ea3d91086c5e4550,,ctls,yelo.telenet.tv,443,https://0-antivirus.yelo.be:443,https,,GET,213.224.149.248,/,-833618195,2a02:1800:100:4001::6:2,AngularJS,54,False,,text/html,https://yelo.telenet.tv/,,,,,,
02-antivirus.yelo.be,Telenet TV Yelo,200,19605,yelo.telenet.tv,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-07T02:57:30Z,2024-04-07T02:57:29Z,"CN=yelo.telenet.tv, O=Telenet BV, L=Mechelen, ST=Antwerpen, C=BE",yelo.telenet.tv,Telenet BV,www.yelo.telenet.tv,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,018d4b6b123f4d737eaf5b45295b6754,917679594a9aca3526e6aa8a5b679dd6dafd1ffa642732b3ea3d91086c5e4550,,ctls,yelo.telenet.tv,443,https://02-antivirus.yelo.be:443,https,,GET,213.224.149.248,/,-833618195,2a02:1800:100:4001::6:2,AngularJS,54,False,,text/html,https://yelo.telenet.tv/,,,,,,
111-viruswall.yelo.be,Telenet TV Yelo,200,19605,yelo.telenet.tv,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-07T02:57:30Z,2024-04-07T02:57:29Z,"CN=yelo.telenet.tv, O=Telenet BV, L=Mechelen, ST=Antwerpen, C=BE",yelo.telenet.tv,Telenet BV,www.yelo.telenet.tv,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,018d4b6b123f4d737eaf5b45295b6754,917679594a9aca3526e6aa8a5b679dd6dafd1ffa642732b3ea3d91086c5e4550,,ctls,yelo.telenet.tv,443,https://111-viruswall.yelo.be:443,https,,GET,213.224.149.248,/,-833618195,2a02:1800:100:4001::6:2,AngularJS,54,False,,text/html,https://yelo.telenet.tv/,,,,,,
114.viruswall.yelo.be,Telenet TV Yelo,200,19605,yelo.telenet.tv,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-07T02:57:30Z,2024-04-07T02:57:29Z,"CN=yelo.telenet.tv, O=Telenet BV, L=Mechelen, ST=Antwerpen, C=BE",yelo.telenet.tv,Telenet BV,www.yelo.telenet.tv,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,018d4b6b123f4d737eaf5b45295b6754,917679594a9aca3526e6aa8a5b679dd6dafd1ffa642732b3ea3d91086c5e4550,,ctls,yelo.telenet.tv,443,https://114.viruswall.yelo.be:443,https,,GET,213.224.149.248,/,-833618195,2a02:1800:100:4001::6:2,AngularJS,54,False,,text/html,https://yelo.telenet.tv/,,,,,,
12-corona.yelo.be,Telenet TV Yelo,200,19605,yelo.telenet.tv,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-07T02:57:30Z,2024-04-07T02:57:29Z,"CN=yelo.telenet.tv, O=Telenet BV, L=Mechelen, ST=Antwerpen, C=BE",yelo.telenet.tv,Telenet BV,www.yelo.telenet.tv,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,018d4b6b123f4d737eaf5b45295b6754,917679594a9aca3526e6aa8a5b679dd6dafd1ffa642732b3ea3d91086c5e4550,,ctls,yelo.telenet.tv,443,https://12-corona.yelo.be:443,https,,GET,213.224.149.248,/,-833618195,2a02:1800:100:4001::6:2,AngularJS,54,False,,text/html,https://yelo.telenet.tv/,,,,,,
13-distance.yelo.be,Telenet TV Yelo,200,19605,yelo.telenet.tv,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-07T02:57:30Z,2024-04-07T02:57:29Z,"CN=yelo.telenet.tv, O=Telenet BV, L=Mechelen, ST=Antwerpen, C=BE",yelo.telenet.tv,Telenet BV,www.yelo.telenet.tv,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,018d4b6b123f4d737eaf5b45295b6754,917679594a9aca3526e6aa8a5b679dd6dafd1ffa642732b3ea3d91086c5e4550,,ctls,yelo.telenet.tv,443,https://13-distance.yelo.be:443,https,,GET,213.224.149.248,/,-833618195,2a02:1800:100:4001::6:2,AngularJS,54,False,,text/html,https://yelo.telenet.tv/,,,,,,
17.viruswall.yelo.be,Telenet TV Yelo,200,19605,yelo.telenet.tv,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-07T02:57:30Z,2024-04-07T02:57:29Z,"CN=yelo.telenet.tv, O=Telenet BV, L=Mechelen, ST=Antwerpen, C=BE",yelo.telenet.tv,Telenet BV,www.yelo.telenet.tv,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,018d4b6b123f4d737eaf5b45295b6754,917679594a9aca3526e6aa8a5b679dd6dafd1ffa642732b3ea3d91086c5e4550,,ctls,yelo.telenet.tv,443,https://17.viruswall.yelo.be:443,https,,GET,213.224.149.248,/,-833618195,2a02:1800:100:4001::6:2,AngularJS,54,False,,text/html,https://yelo.telenet.tv/,,,,,,
1www.yelo.be,Telenet TV Yelo,200,19605,yelo.telenet.tv,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-07T02:57:30Z,2024-04-07T02:57:29Z,"CN=yelo.telenet.tv, O=Telenet BV, L=Mechelen, ST=Antwerpen, C=BE",yelo.telenet.tv,Telenet BV,www.yelo.telenet.tv,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,018d4b6b123f4d737eaf5b45295b6754,917679594a9aca3526e6aa8a5b679dd6dafd1ffa642732b3ea3d91086c5e4550,,ctls,yelo.telenet.tv,443,https://1www.yelo.be:443,https,,GET,213.224.149.248,/,-833618195,2a02:1800:100:4001::6:2,AngularJS,54,False,,text/html,https://yelo.telenet.tv/,,,,,,
20.yelo.be,Telenet TV Yelo,200,19629,yelo.telenet.tv,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-07T02:57:30Z,2024-04-07T02:57:29Z,"CN=yelo.telenet.tv, O=Telenet BV, L=Mechelen, ST=Antwerpen, C=BE",yelo.telenet.tv,Telenet BV,www.yelo.telenet.tv,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,018d4b6b123f4d737eaf5b45295b6754,917679594a9aca3526e6aa8a5b679dd6dafd1ffa642732b3ea3d91086c5e4550,,ctls,yelo.telenet.tv,443,https://20.yelo.be:443,https,,GET,213.224.149.248,/,180636727,2a02:1800:100:4001::6:2,AngularJS,54,False,,text/html,https://yelo.telenet.tv/,,,,,,
2013-corona.yelo.be,Telenet TV Yelo,200,19605,yelo.telenet.tv,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-07T02:57:30Z,2024-04-07T02:57:29Z,"CN=yelo.telenet.tv, O=Telenet BV, L=Mechelen, ST=Antwerpen, C=BE",yelo.telenet.tv,Telenet BV,www.yelo.telenet.tv,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,018d4b6b123f4d737eaf5b45295b6754,917679594a9aca3526e6aa8a5b679dd6dafd1ffa642732b3ea3d91086c5e4550,,ctls,yelo.telenet.tv,443,https://2013-corona.yelo.be:443,https,,GET,213.224.149.248,/,-833618195,2a02:1800:100:4001::6:2,AngularJS,54,False,,text/html,https://yelo.telenet.tv/,,,,,,
