new,host,a,aaaa,soa,status_code,mx,ns,cname,has_internal_ips,internal_ips,cdn,cdn-name,caa,txt
[x],business.lat.telenet.be,195.162.204.153,2a02:1800:1e1:6002::6,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,vrnmctvip.lat.telenet.be,,,,,,
[x],chat.lat.telenet.be,213.224.233.161,2a02:1800:1e0:6001::1,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,adccusvip.lat.telenet.be,,,,,,
[x],cwi.int.telenet.be,213.224.233.43,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,adcospvip-4.int.telenet.be,,,,,,
[x],d54c719ed.static.telenet.be,84.199.25.237,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
[x],formhandler.lat.telenet.be,213.224.233.161,2a02:1800:1e0:6001::1,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,adccusVip.lat.telenet.be,,,,,,
[x],genius.trg.telenet.be,213.224.233.193,2a02:1800:1e0:6000::1,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,adccusVip.trg.telenet.be,,,,,,
[x],isepsn2.connect.telenet.be,212.123.29.167,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,
[x],jbscrtsafvip.sup.telenet.be,195.162.204.76,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,
[x],jbscrtsafvip.uat.telenet.be,195.162.204.78,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,
[x],kotnet.lat.telenet.be,195.162.204.153,2a02:1800:1e1:6002::6,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,vrnmctvip.lat.telenet.be,,,,,,
[x],login.lat.telenet.be,213.224.233.161,2a02:1800:1e0:6001::1,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,adccusVip.lat.telenet.be,,,,,,
[x],meldingen.dvp.telenet.be,195.162.204.157,2a02:1800:1e1:6002::2,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,vrnmctvip.dvp.telenet.be,,,,,,
[x],meldingen.lat.telenet.be,195.162.204.153,2a02:1800:1e1:6002::6,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,vrnmctvip.lat.telenet.be,,,,,,
[x],mijn-4.lat.telenet.be,213.224.233.161,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,adccusVip-4.lat.telenet.be,,,,,,
[x],mlp.dvp.telenet.be,195.162.204.157,2a02:1800:1e1:6002::2,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,vrnmctvip.dvp.telenet.be,,,,,,
[x],mlp.edp.telenet.be,195.162.204.159,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,vrnmctvip.edp.telenet.be,,,,,,
[x],mlp.lat.telenet.be,195.162.204.153,2a02:1800:1e1:6002::6,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,vrnmctvip.lat.telenet.be,,,,,,
[x],mobileactivation.sup.telenet.be,213.224.233.4,2a02:1800:1e0:6003::16,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,adccusvip.sup.telenet.be,,,,,,
[x],mybusinessphone.lat.telenet.be,,2a02:1800:1e1:6002::6,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,"ns.telenet-ops.be, ns2.telenet-ops.be",vrnmctvip.lat.telenet.be,,,,,,
[x],mybusinessphone.sup.telenet.be,195.162.204.154,2a02:1800:1e1:6002::3,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,vrnmctvip.sup.telenet.be,,,,,,
[x],ogw.connect.telenet.be,152.70.175.41,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,lbr.trg.connect.telenet.be,,,True,oracle,,
[x],selfstarter.edp.telenet.be,213.224.233.7,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,adccussafvip.edp.telenet.be,,,,,,
[x],sgsin3-vip1-cp.yelo.be,213.224.149.248,2a02:1800:100:4001::6:2,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
[x],speedtest.lat.telenet.be,213.224.233.161,2a02:1800:1e0:6001::1,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,adccusvip.lat.telenet.be,,,,,,
[x],sso.lat.telenet.be,195.162.204.85,2a02:1800:1e1:6001::6,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,jbscrtvip.lat.telenet.be,,,,,,
[x],tip.lat.telenet.be,213.224.233.161,2a02:1800:1e0:6001::1,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,adccusvip.lat.telenet.be,,,,,,
[x],vrnmcevip-4.dvp.telenet.be,195.162.204.163,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,
[x],vrnmctvip-4.lat.telenet.be,195.162.204.153,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,
[x],wifiportal.lat.telenet.be,213.224.233.161,2a02:1800:1e0:6001::1,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,adccusVip.lat.telenet.be,,,,,,
