input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,csp_domains_,final_url,cdn_name,cdn
1.dev.jivosite.com,403 Forbidden,403,146,1.dev.jivosite.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-14T06:33:35Z,2023-09-12T06:33:34Z,CN=dev.jivosite.com,dev.jivosite.com,dev.jivosite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cae7174c44bf27bb743c8b36e8ac5a1e,0fb7f77b620f1c51115ef54c8e0c5441bc76204e2c80a77acbfc2fe51b33598f,True,ctls,1.dev.jivosite.com,443,https://1.dev.jivosite.com:443,https,nginx,text/html,GET,46.243.227.92,/,-1561873722,46.243.227.92,Nginx,8,False,,,,
1014.dev.jivosite.com,403 Forbidden,403,146,1014.dev.jivosite.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-14T06:33:35Z,2023-09-12T06:33:34Z,CN=dev.jivosite.com,dev.jivosite.com,dev.jivosite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cae7174c44bf27bb743c8b36e8ac5a1e,0fb7f77b620f1c51115ef54c8e0c5441bc76204e2c80a77acbfc2fe51b33598f,True,ctls,1014.dev.jivosite.com,443,https://1014.dev.jivosite.com:443,https,nginx,text/html,GET,46.243.227.92,/,-1561873722,46.243.227.92,Nginx,8,False,,,,
124512.dev.jivosite.com,403 Forbidden,403,146,124512.dev.jivosite.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-14T06:33:35Z,2023-09-12T06:33:34Z,CN=dev.jivosite.com,dev.jivosite.com,dev.jivosite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cae7174c44bf27bb743c8b36e8ac5a1e,0fb7f77b620f1c51115ef54c8e0c5441bc76204e2c80a77acbfc2fe51b33598f,True,ctls,124512.dev.jivosite.com,443,https://124512.dev.jivosite.com:443,https,nginx,text/html,GET,46.243.227.92,/,-1561873722,46.243.227.92,Nginx,8,False,,,,
137.dev.jivosite.com,403 Forbidden,403,146,137.dev.jivosite.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-14T06:33:35Z,2023-09-12T06:33:34Z,CN=dev.jivosite.com,dev.jivosite.com,dev.jivosite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cae7174c44bf27bb743c8b36e8ac5a1e,0fb7f77b620f1c51115ef54c8e0c5441bc76204e2c80a77acbfc2fe51b33598f,True,ctls,137.dev.jivosite.com,443,https://137.dev.jivosite.com:443,https,nginx,text/html,GET,46.243.227.92,/,-1561873722,46.243.227.92,Nginx,8,False,,,,
2.dev.jivosite.com,403 Forbidden,403,146,2.dev.jivosite.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-14T06:33:35Z,2023-09-12T06:33:34Z,CN=dev.jivosite.com,dev.jivosite.com,dev.jivosite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cae7174c44bf27bb743c8b36e8ac5a1e,0fb7f77b620f1c51115ef54c8e0c5441bc76204e2c80a77acbfc2fe51b33598f,True,ctls,2.dev.jivosite.com,443,https://2.dev.jivosite.com:443,https,nginx,text/html,GET,46.243.227.92,/,-1561873722,46.243.227.92,Nginx,8,False,,,,
2104.dev.jivosite.com,403 Forbidden,403,146,2104.dev.jivosite.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-14T06:33:35Z,2023-09-12T06:33:34Z,CN=dev.jivosite.com,dev.jivosite.com,dev.jivosite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cae7174c44bf27bb743c8b36e8ac5a1e,0fb7f77b620f1c51115ef54c8e0c5441bc76204e2c80a77acbfc2fe51b33598f,True,ctls,2104.dev.jivosite.com,443,https://2104.dev.jivosite.com:443,https,nginx,text/html,GET,46.243.227.92,/,-1561873722,46.243.227.92,Nginx,8,False,,,,
2134124.dev.jivosite.com,403 Forbidden,403,146,2134124.dev.jivosite.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-14T06:33:35Z,2023-09-12T06:33:34Z,CN=dev.jivosite.com,dev.jivosite.com,dev.jivosite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cae7174c44bf27bb743c8b36e8ac5a1e,0fb7f77b620f1c51115ef54c8e0c5441bc76204e2c80a77acbfc2fe51b33598f,True,ctls,2134124.dev.jivosite.com,443,https://2134124.dev.jivosite.com:443,https,nginx,text/html,GET,46.243.227.92,/,-1561873722,46.243.227.92,Nginx,8,False,,,,
8pe.dev.jivosite.com,403 Forbidden,403,146,8pe.dev.jivosite.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-14T06:33:35Z,2023-09-12T06:33:34Z,CN=dev.jivosite.com,dev.jivosite.com,dev.jivosite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cae7174c44bf27bb743c8b36e8ac5a1e,0fb7f77b620f1c51115ef54c8e0c5441bc76204e2c80a77acbfc2fe51b33598f,True,ctls,8pe.dev.jivosite.com,443,https://8pe.dev.jivosite.com:443,https,nginx,text/html,GET,46.243.227.92,/,-1561873722,46.243.227.92,Nginx,8,False,,,,
aaaled.dev.jivosite.com,403 Forbidden,403,146,aaaled.dev.jivosite.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-14T06:33:35Z,2023-09-12T06:33:34Z,CN=dev.jivosite.com,dev.jivosite.com,dev.jivosite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cae7174c44bf27bb743c8b36e8ac5a1e,0fb7f77b620f1c51115ef54c8e0c5441bc76204e2c80a77acbfc2fe51b33598f,True,ctls,aaaled.dev.jivosite.com,443,https://aaaled.dev.jivosite.com:443,https,nginx,text/html,GET,46.243.227.92,/,-1561873722,46.243.227.92,Nginx,8,False,,,,
aad1.dev.jivosite.com,403 Forbidden,403,146,aad1.dev.jivosite.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-14T06:33:35Z,2023-09-12T06:33:34Z,CN=dev.jivosite.com,dev.jivosite.com,dev.jivosite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cae7174c44bf27bb743c8b36e8ac5a1e,0fb7f77b620f1c51115ef54c8e0c5441bc76204e2c80a77acbfc2fe51b33598f,True,ctls,aad1.dev.jivosite.com,443,https://aad1.dev.jivosite.com:443,https,nginx,text/html,GET,46.243.227.92,/,-1561873722,46.243.227.92,Nginx,8,False,,,,
aatest.dev.jivosite.com,403 Forbidden,403,146,aatest.dev.jivosite.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-14T06:33:35Z,2023-09-12T06:33:34Z,CN=dev.jivosite.com,dev.jivosite.com,dev.jivosite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cae7174c44bf27bb743c8b36e8ac5a1e,0fb7f77b620f1c51115ef54c8e0c5441bc76204e2c80a77acbfc2fe51b33598f,True,ctls,aatest.dev.jivosite.com,443,https://aatest.dev.jivosite.com:443,https,nginx,text/html,GET,46.243.227.92,/,-1561873722,46.243.227.92,Nginx,8,False,,,,
abc.dev.jivosite.com,403 Forbidden,403,146,abc.dev.jivosite.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-14T06:33:35Z,2023-09-12T06:33:34Z,CN=dev.jivosite.com,dev.jivosite.com,dev.jivosite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cae7174c44bf27bb743c8b36e8ac5a1e,0fb7f77b620f1c51115ef54c8e0c5441bc76204e2c80a77acbfc2fe51b33598f,True,ctls,abc.dev.jivosite.com,443,https://abc.dev.jivosite.com:443,https,nginx,text/html,GET,46.243.227.92,/,-1561873722,46.243.227.92,Nginx,8,False,,,,
