input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_wildcard_certificate,webserver,cdn_name,cdn,tls_mismatched,tls_subject_org_,tls_self_signed,final_url,csp_domains_
10jahre.gulp.ch,,404,,10jahre.gulp.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.ch,gulp.ch,*.gulp.ch,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3f069ef9f5c721be75c9a6e52c9bbc18,cb4bf7da31168bc0605e26cf4b4e3f83ecee19af66b14b5e3ab8124af4e23d33,ctls,10jahre.gulp.ch,443,https://10jahre.gulp.ch:443,https,text/plain,GET,52.16.150.197,/,-1840324437,54.195.118.103,,1,False,True,awselb/2.0,,,,,,,
autodiscover.gulp.de,Sign in to Outlook,200,200632,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,ctls,login.microsoftonline.com,80,http://autodiscover.gulp.de:80,http,text/html,GET,52.98.243.24,/,-1249852061,2603:1026:c0d:82f::8,HSTS,174,False,,,,,,Microsoft Corporation,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=ac2fa075-cc00-e38d-adce-42e09f5cce76&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=gulp.de&nonce=638201015043764463.97919952-ae5d-4d11-b6d1-7dc5b4b7d8cb&state=DctLDoQgEABRcI5iMjuUloaWhZmzAE3MJBqM3-vL4tWupBDiUzWV1DWCnBkHDRqsRkMO0ZnOkwfv7aBCtqyQAVR0DIo42YiReExR1rftyxP6357Dsk7ztWwd5-_NU7jOwv8jlTvvLw,
billing-systems.localhost.gulp.ch,403 Forbidden,403,520,billing-systems.localhost.gulp.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.de,gulp.de,*.gulp.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,26402e67bb6eeee1b71bab34fc9d0ff4,db0158c1a6704cf22df634a900fd5cda51beef1be1c02f2ee5b7c915a753067f,ctls,billing-systems.localhost.gulp.ch,443,https://billing-systems.localhost.gulp.ch:443,https,text/html,GET,54.195.118.103,/,2095155567,52.48.213.67,,13,False,True,awselb/2.0,,,True,,,,
cc.gulp.de,,200,13539,cc.gulp.de,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-07T19:44:56Z,2023-08-05T19:44:55Z,CN=cc.gulp.de,cc.gulp.de,cc.gulp.de,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,387576e583a1dedbd00c09b401265f8d,79b56501234e6cb1965aa89729f9abc2f5d7cbd8bb6da3dd05e1e1c1f2f436c4,ctls,cc.gulp.de,443,https://cc.gulp.de:443,https,text/html,GET,159.255.168.131,/,-595761424,159.255.168.131,PHP,540,False,,Apache,,,,,,,
click.reply.gulp.de,403 - Forbidden: Access is denied.,403,1233,click.reply.gulp.de,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-30T00:00:00Z,2023-09-30T23:59:59Z,"CN=click.reply.gulp.de, O=SALESFORCE.COM\, INC., L=San Francisco, ST=California, C=US",click.reply.gulp.de,click.reply.gulp.de,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e6fedb88ed4b7c3e7449b3f81ce5923f,adfd135f492c8692bd75130a32f78ce8300b92e9d20bc0e1e040083079befc52,ctls,click.reply.gulp.de,443,https://click.reply.gulp.de:443,https,text/html,GET,13.111.168.233,/,1631801191,13.111.168.233,HSTS,30,False,,,,,,"SALESFORCE.COM, INC.",,,
cloud.reply.gulp.ch,403 - Forbidden: Access is denied.,403,1233,cloud.reply.gulp.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-05T00:00:00Z,2024-04-04T23:59:59Z,"CN=cloud.reply.gulp.ch, O=Salesforce.com\, Inc., L=San Francisco, ST=California, C=US",cloud.reply.gulp.ch,cloud.reply.gulp.ch,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e324a71db447db7d8af849f4de214c66,82654a34e72e58695e5725a152e3061f6901f3f7cb71835d5e75f7a6fc041ee8,ctls,cloud.reply.gulp.ch,443,https://cloud.reply.gulp.ch:443,https,text/html,GET,128.245.18.71,/,1631801191,128.245.18.71,,30,False,,,,,,"Salesforce.com, Inc.",,,
cloud.reply.gulp.de,403 - Forbidden: Access is denied.,403,1233,cloud.reply.gulp.de,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-30T00:00:00Z,2023-09-30T23:59:59Z,"CN=cloud.reply.gulp.de, O=SALESFORCE.COM\, INC., L=San Francisco, ST=California, C=US",cloud.reply.gulp.de,cloud.reply.gulp.de,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,643d03d363be8905d4df1924a0238bc7,02cb65974025b1ceac91f73fdad6e9da6a6472aa2c848c8c4c28559fa06f91b3,ctls,cloud.reply.gulp.de,443,https://cloud.reply.gulp.de:443,https,text/html,GET,13.111.167.253,/,1631801191,13.111.167.253,,30,False,,,,,,"SALESFORCE.COM, INC.",,,
cog-cmn-svcs-fs.gulp.ch,,404,,cog-cmn-svcs-fs.gulp.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.ch,gulp.ch,*.gulp.ch,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3f069ef9f5c721be75c9a6e52c9bbc18,cb4bf7da31168bc0605e26cf4b4e3f83ecee19af66b14b5e3ab8124af4e23d33,ctls,cog-cmn-svcs-fs.gulp.ch,443,https://cog-cmn-svcs-fs.gulp.ch:443,https,text/plain,GET,52.16.150.197,/,-1840324437,52.48.213.67,,1,False,True,awselb/2.0,,,,,,,
config-uploadsweb-i.gulp.ch,,404,,config-uploadsweb-i.gulp.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.ch,gulp.ch,*.gulp.ch,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3f069ef9f5c721be75c9a6e52c9bbc18,cb4bf7da31168bc0605e26cf4b4e3f83ecee19af66b14b5e3ab8124af4e23d33,ctls,config-uploadsweb-i.gulp.ch,443,https://config-uploadsweb-i.gulp.ch:443,https,text/plain,GET,54.195.118.103,/,-1840324437,52.48.213.67,,1,False,True,awselb/2.0,,,,,,,
corporate.gulp.de,Projektakquise mit GULP Corporate | GULP,200,77414,www.gulp.de,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.de,gulp.de,*.gulp.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,26402e67bb6eeee1b71bab34fc9d0ff4,db0158c1a6704cf22df634a900fd5cda51beef1be1c02f2ee5b7c915a753067f,ctls,www.gulp.de,443,https://corporate.gulp.de:443,https,text/html,GET,199.60.103.2,/,-487203857,2606:2c40::c73c:67fe,Varnish,31,False,True,,,,,,,https://www.gulp.de/unternehmen/services/projektakquise,
