input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,webserver,tech_,tls_mismatched,location,csp_domains_,cdn_name,cdn,final_url
acc-abonnement.demorgen.be,DPG Media Privacy Gate,200,8856,myprivacy.dpgmedia.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-10T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.dpgmedia.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.be,DPG Media Services nv,dpgmedia.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ddc8be1048d6e44ff97fcb4627e7db9,587620209568fd2623e8b85cba1994a74830924cd2eeae4a8a2bc7b7be641328,True,ctls,myprivacy.dpgmedia.be,443,https://acc-abonnement.demorgen.be:443,https,text/html,GET,95.101.111.170,/,-487550464,2a02:26f0:7100::210:109,278,False,,Google Tag Manager,,,,,,https://myprivacy.dpgmedia.be/consent?siteKey=6ofbu0sz5rfxpook&callbackUrl=https%3A%2F%2Facc-abonnement.demorgen.be%2Fprivacygate-confirm%3FredirectUri%3D%252F
acc-mobilebackend.demorgen.be,Service Unavailable,503,269,acc-mobilebackend.demorgen.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-05T08:38:52Z,2023-10-03T08:38:51Z,CN=www.demorgen.be,www.demorgen.be,,www.libelletv.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9c681c08a5ff2be6f7d94166c6acae7b,5bc6fb21b36965eee92a827ab853802c779cb35889d579327445262968cae5eb,,ctls,acc-mobilebackend.demorgen.be,443,https://acc-mobilebackend.demorgen.be:443,https,text/html,GET,95.101.111.140,/,-213974082,2a02:26f0:7100::210:14a,9,False,AkamaiGHost,,,,,,,
acc-static.demorgen.be,Access Denied,401,276,acc-static.demorgen.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-11T00:00:00Z,2023-10-11T23:59:59Z,"CN=*.demorgen.be, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.demorgen.be,DPG Media Services N.V.,demorgen.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,07e65fc961c5221242745648464e607c,5a3b147ec2db60077a644d137fb79b2a2cef900a1fd360ad7abcd510b428a93c,True,ctls,acc-static.demorgen.be,443,https://acc-static.demorgen.be:443,https,text/html,GET,23.53.43.24,/,1098375665,2a02:26f0:7100::210:131,10,False,AkamaiGHost,HSTS,,,,,,
acc-voordelen.demorgen.be,Service Unavailable,503,269,acc-voordelen.demorgen.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-23T13:52:36Z,2023-08-21T13:52:35Z,CN=abonnement.hln.be,abonnement.hln.be,,www.mijnleesbox.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b06496ef87e0d1b93bdabe4a4d8d9056,c1e45a7c1a7cba73be1feb0071ab7860a07868929c98ca1363c2af8a8d442ce2,,ctls,acc-voordelen.demorgen.be,443,https://acc-voordelen.demorgen.be:443,https,text/html,GET,95.101.111.170,/,193753726,2a02:26f0:480:23::1726:629a,9,False,AkamaiGHost,,,,,,,
acc.demorgen.be,Access Denied,401,265,acc.demorgen.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-05T08:38:52Z,2023-10-03T08:38:51Z,CN=www.demorgen.be,www.demorgen.be,,www.libelletv.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9c681c08a5ff2be6f7d94166c6acae7b,5bc6fb21b36965eee92a827ab853802c779cb35889d579327445262968cae5eb,,ctls,acc.demorgen.be,443,https://acc.demorgen.be:443,https,text/html,GET,95.101.111.181,/,439619341,2a02:26f0:480:23::1726:6285,10,False,AkamaiGHost,HSTS,,,https://depersgroep.report-uri.io/r/default/csp/enforce,,,
account.demorgen.be,Inlogpoging geblokkeerd,406,3322,account.demorgen.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-11T00:00:00Z,2023-10-11T23:59:59Z,"CN=*.demorgen.be, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.demorgen.be,DPG Media Services N.V.,demorgen.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,07e65fc961c5221242745648464e607c,5a3b147ec2db60077a644d137fb79b2a2cef900a1fd360ad7abcd510b428a93c,True,ctls,account.demorgen.be,443,https://account.demorgen.be:443,https,text/html,GET,95.101.111.137,/,1910746404,2a02:26f0:7100::210:118,1,False,AkamaiGHost,,,,,,,
accounts.acc-voordelen.demorgen.be,,200,,accounts.acc-voordelen.demorgen.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-17T00:00:00Z,2023-10-17T23:59:59Z,CN=accounts.persgroep.nl,accounts.persgroep.nl,,social.volkskrant.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3f3039929bd7e3a154638178dd28b2d2,070e06f614f39e7264de842fe97efda4a8fe5f7226694e8933595229380a2dd0,,ctls,accounts.acc-voordelen.demorgen.be,443,https://accounts.acc-voordelen.demorgen.be:443,https,text/html,GET,52.30.9.119,/,-1516177449,52.30.9.119,1,False,,,,,,,,
accounts.demorgen.be,,200,,accounts.demorgen.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-17T00:00:00Z,2023-10-17T23:59:59Z,CN=accounts.persgroep.nl,accounts.persgroep.nl,,social.volkskrant.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3f3039929bd7e3a154638178dd28b2d2,070e06f614f39e7264de842fe97efda4a8fe5f7226694e8933595229380a2dd0,,ctls,accounts.demorgen.be,443,https://accounts.demorgen.be:443,https,text/html,GET,54.229.120.124,/,-1516177449,52.30.9.119,1,False,,,,,,,,
bouwjestad.demorgen.be,Bouw je stad - De Morgen,200,1665,bouwjestad.demorgen.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-05T08:38:52Z,2023-10-03T08:38:51Z,CN=www.demorgen.be,www.demorgen.be,,www.libelletv.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9c681c08a5ff2be6f7d94166c6acae7b,5bc6fb21b36965eee92a827ab853802c779cb35889d579327445262968cae5eb,,ctls,bouwjestad.demorgen.be,443,https://bouwjestad.demorgen.be:443,https,text/html,GET,95.101.111.140,/,-1158280632,2a02:26f0:480:23::1726:6295,31,False,AmazonS3,Amazon Web Services,,,,,,
brandedcontent.demorgen.be,DPG Media Privacy Gate,200,8856,myprivacy.dpgmedia.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-10T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.dpgmedia.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.be,DPG Media Services nv,dpgmedia.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ddc8be1048d6e44ff97fcb4627e7db9,587620209568fd2623e8b85cba1994a74830924cd2eeae4a8a2bc7b7be641328,True,ctls,myprivacy.dpgmedia.be,443,https://brandedcontent.demorgen.be:443,https,text/html,GET,95.101.111.146,/,-780928015,2a02:26f0:480:23::1726:6287,278,False,,Google Tag Manager,,,,,,https://myprivacy.dpgmedia.be/consent?siteKey=6ofbu0sz5rfxpook&callbackUrl=https%3A%2F%2Fbrandedcontent.demorgen.be%2Fprivacygate-confirm%3FredirectUri%3D%252F
brandedcontentbe.demorgen.be,DPG Media Branded Content -,200,16466,brandedcontentbe.demorgen.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-30T04:53:52Z,2023-09-28T04:53:51Z,CN=persgroep.be,persgroep.be,,www.willy.radio,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9996f325023724981564f1b5e3038f54,b79475021f3b18e6a1886e25e3455da88bfd5ac20a7c37525853f0263a64421d,,ctls,brandedcontentbe.demorgen.be,443,https://brandedcontentbe.demorgen.be:443,https,text/html,GET,95.101.111.152,/,1460009058,2a02:26f0:7100::210:118,114,False,Apache,Yoast SEO:19.12,,,,,,
cmp.demorgen.be,,403,243,cmp.demorgen.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T19:14:08Z,2023-10-08T19:14:07Z,CN=cmp.7sur7.be,cmp.7sur7.be,,cmp.willy.radio,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9bdb425e280a36b99919518917ed868d,82387e800f88e4a8bcb9aae93924a59321594e9d835c6270949f3dec93d847a5,,ctls,cmp.demorgen.be,443,https://cmp.demorgen.be:443,https,application/xml,GET,13.32.121.98,/,-954916949,13.32.121.91,2,False,AmazonS3,Amazon Web Services,,,,cloudfront,True,
dagkrant.demorgen.be,,200,483,krant.demorgen.be,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,2023-03-09T22:00:33Z,2023-09-04T21:59:00Z,CN=krant.demorgen.be,krant.demorgen.be,,krant.demorgen.be,"CN=Buypass Class 2 CA 5, O=Buypass AS-983163327, C=NO",Buypass Class 2 CA 5,Buypass AS-983163327,15ce2a88fad15983e38ed53f2d5112bd,9267836a70cc72640f65d35f1ad5850891506f164614a02a0f27389d181dcb6e,,ctls,krant.demorgen.be,443,https://dagkrant.demorgen.be:443,https,text/html,GET,146.185.53.23,/,-768928489,146.185.53.23,4,False,nginx,PHP,,,,,,https://krant.demorgen.be/w/dpg2/?edition=DM&customer=demorgen&folder=7927&folder_key=3dcaf04c357c577a857f3ffadc555f9b&catalog=1900&date=2023-07-14&user_ip=3.121.174.21&user_agent=Mozilla%2F5.0+%28iPhone%3B+CPU+iPhone+OS+15_5+like+Mac+OS+X%29+AppleWebKit%2F605.1.15+%28KHTML%2C+like+Gecko%29+Version%2F15.5+Mobile%2F15E148+Safari%2F604.1&client_url=https%3A%2F%2Fkrant.demorgen.be%2F&secret=71b79f5e1395c87514e23f20a8d11a02
deals.demorgen.be,DPG Media Privacy Gate,200,8832,myprivacy.dpgmedia.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-10T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.dpgmedia.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.be,DPG Media Services nv,dpgmedia.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ddc8be1048d6e44ff97fcb4627e7db9,587620209568fd2623e8b85cba1994a74830924cd2eeae4a8a2bc7b7be641328,True,ctls,myprivacy.dpgmedia.be,443,https://deals.demorgen.be:443,https,text/html,GET,146.185.53.23,/,714309747,146.185.53.23,278,False,,Google Tag Manager,,,,,,https://myprivacy.dpgmedia.be/consent?siteKey=6ofbu0sz5rfxpook&callbackUrl=https%3A%2F%2Fshop.demorgen.be%2Fprivacygate-confirm%3FredirectUri%3D%252F
demorgen.be,DPG Media Privacy Gate,200,8829,myprivacy.dpgmedia.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-10T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.dpgmedia.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.be,DPG Media Services nv,dpgmedia.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ddc8be1048d6e44ff97fcb4627e7db9,587620209568fd2623e8b85cba1994a74830924cd2eeae4a8a2bc7b7be641328,True,ctls,myprivacy.dpgmedia.be,443,https://demorgen.be:443,https,text/html,GET,95.101.111.181,/,439619341,2a02:26f0:3400::170b:ce1a,278,False,,Google Tag Manager,,,,,,https://myprivacy.dpgmedia.be/consent?siteKey=6OfBU0sZ5RFXpOOK&callbackUrl=https%3a%2f%2fwww.demorgen.be%2fprivacy-wall%2faccept%3fredirectUri%3d%252f
