input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,csp_domains_,tls_wildcard_certificate,tls_mismatched,cdn_name,cdn,tls_subject_org_,final_url,tls_expired
advanced-audit-trail-demo-acc-kibana.mendix.com,401 Unauthorized,401,381,advanced-audit-trail-demo-acc-kibana.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-01T01:06:04Z,2023-07-30T01:06:03Z,CN=advanced-audit-trail-demo-acc-kibana.mendix.com,advanced-audit-trail-demo-acc-kibana.mendix.com,advanced-audit-trail-demo-acc-kibana.mendix.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,541cf24c39ed3a42fc20daac46c77f2c,2f3878338fcd3c13ea78763da6b6c601a584293430ab7bf779ed9bf8301e08b5,ctls,advanced-audit-trail-demo-acc-kibana.mendix.com,443,https://advanced-audit-trail-demo-acc-kibana.mendix.com:443,https,Apache,text/html,GET,3.72.32.159,/,-392200610,3.72.32.159,HSTS,13,False,,,,,,,,
alb.ddcsprod.test.appservices.mendix.com,,403,,,,,,,,,,,,,,,,,,,80,http://alb.ddcsprod.test.appservices.mendix.com:80,http,,,GET,18.156.123.148,/,-1840324437,18.156.123.148,Java,1,False,,,,,,,,
ap17.opensh17ft170220.des-non-prod.rnd.mendix.com,404 Not Found,404,548,ap17.opensh17ft170220.des-non-prod.rnd.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-06T09:59:44Z,2023-07-05T09:59:43Z,CN=*.des-non-prod.rnd.mendix.com,*.des-non-prod.rnd.mendix.com,*.des-non-prod.rnd.mendix.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d2476e68ea1903b8b5e1b2ad5c9d3b97,827faca43298181debbd3ad74c5527272bce3404c9fc353a68ec2418e5748070,ctls,ap17.opensh17ft170220.des-non-prod.rnd.mendix.com,443,https://ap17.opensh17ft170220.des-non-prod.rnd.mendix.com:443,https,,text/html,GET,54.73.109.26,/,566218143,54.73.109.26,HSTS,14,False,,True,True,,,,,
apm.mendix.com,Mendix,200,1654,apm.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-07T00:00:00Z,2023-10-07T23:59:59Z,CN=*.mendix.com,*.mendix.com,mendix.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,4d437cc827473efcc313de5c3fd7d88b,0a278b58ac35dde21bb2bb39355a7c46d6aa56176ddba40cfdace6715e9c415a,ctls,apm.mendix.com,443,https://apm.mendix.com:443,https,nginx,text/html,GET,3.125.189.196,/,605480165,2a05:d014:145:aa02:39cc:ca87:679c:1a44,Nginx,42,False,https://fonts.googleapis.com,True,,,,,,
apps.openshcgift.redhat.des-non-prod.rnd.mendix.com,404 Not Found,404,548,,,,,,,,,,,,,,,,,,80,http://apps.openshcgift.redhat.des-non-prod.rnd.mendix.com:80,http,,text/html,GET,54.73.109.26,/,566218143,54.73.109.26,,14,False,,,,,,,,
apps.openshift170220.des-non-prod.rnd.mendix.com,404 Not Found,404,548,apps.openshift170220.des-non-prod.rnd.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-06T09:59:44Z,2023-07-05T09:59:43Z,CN=*.des-non-prod.rnd.mendix.com,*.des-non-prod.rnd.mendix.com,*.des-non-prod.rnd.mendix.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d2476e68ea1903b8b5e1b2ad5c9d3b97,827faca43298181debbd3ad74c5527272bce3404c9fc353a68ec2418e5748070,ctls,apps.openshift170220.des-non-prod.rnd.mendix.com,443,https://apps.openshift170220.des-non-prod.rnd.mendix.com:443,https,,text/html,GET,54.73.109.26,/,566218143,54.73.109.26,HSTS,14,False,,True,True,,,,,
appstore.home.mendix.com,Mendix App Store,200,2699,appstore.home.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-28T00:00:00Z,2023-07-28T23:59:59Z,CN=*.home.mendix.com,*.home.mendix.com,home.mendix.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,76a059bd0d654c006657fbc70c77a6a8,543518044e5ba0217fa265ca45289d3f3332c559f65c984c1e9c85b2cccf40c2,ctls,appstore.home.mendix.com,443,https://appstore.home.mendix.com:443,https,nginx,text/html,GET,3.126.216.110,/,1445320534,2a05:d014:145:aa01:e7ed:1bdf:317c:168e,Nginx,67,False,,True,,,,,,
appwithfiles-le.apps.openshifthw0220.des-non-prod.rnd.mendix.com,404 Not Found,404,146,,,,,,,,,,,,,,,,,,80,http://appwithfiles-le.apps.openshifthw0220.des-non-prod.rnd.mendix.com:80,http,,text/html,GET,54.73.109.26,/,1494302000,54.73.109.26,,8,False,,,,,,,,
atlas.mendix.com,Atlas UI: The Mendix UI Framework,200,123080,www.mendix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-18T19:23:45Z,2023-06-16T19:23:44Z,CN=www.mendix.com,www.mendix.com,www.mendix.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,77e3f4bdad2958a68672643d6a993ca9,d6910abf45f30ac9f170c70eafb846ce500023cff4472085a5216d12bf6e7d61,ctls,www.mendix.com,443,https://atlas.mendix.com:443,https,cloudflare,text/html,GET,34.148.174.211,/,-1466832905,34.148.174.211,ZURB Foundation,827,False,,,,google,True,,https://www.mendix.com/atlas/,
brand.mendix.com,Squarespace - Domain Not Claimed,404,3054,,,,,,,,,,,,,,,,,,80,http://brand.mendix.com:80,http,Squarespace,text/html,GET,198.49.23.144,/,1993478122,198.185.159.145,Squarespace Commerce,51,False,,,,,,,,
